T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.747465445419456403e-10 3.235700831800930551e-11 3.776304046785467703e-11 1.443309871599696463e-11 1.246454305330644474e-11 1.012470968413605981e-11 1.871398416912170659e-12 1.589262687551722186e-11 5.690153898168377739e-13 6.250921993409130023e-12 2.689484718355304212e-10 6.620873903124840108e-11 7.714825422349894121e-11 4.431324787328605109e-11 1.947418102889971787e-11 2.995375327066554122e-11 3.547254534513229381e-12 1.626910128736171155e-11 1.298845773654111559e-12 2.941052454825184342e-10 9.132851291712751192e-11 5.322896466924028736e-11 6.411149863662900954e-11 1.776619055654181297e-11 5.915354548242042677e-11 3.366618286140238936e-12 2.361834604210875347e-11 2.440779352875762699e-10 1.079608932027237828e-10 4.283371037060048751e-11 9.973279061514050989e-11 1.760852915110083867e-11 3.449704813926170371e-11 3.432958108880854262e-12 2.018274064894220933e-10 1.350511214613864911e-10 4.909567326577992302e-11 1.211656620146985310e-10 1.035459306546733431e-11 3.931922866214834797e-11 1.564636706520204721e-10 1.661632811200369852e-10 5.508523414169790233e-11 6.580639326943820855e-11 1.092810351371841105e-11 1.268865118973347532e-10 1.509267928744629532e-10 2.856077743350172511e-11 6.784600814114207315e-11 1.115498804583820852e-10 8.525943867344397442e-11 2.761220455969039828e-11 5.142128060277414842e-11 8.512326814933375811e-11 5.586137139221931126e-11
2.000000000000000000e+00 1.749531266539592041e-10 3.334237640109755870e-11 3.049085366979717488e-11 1.660796871173112555e-11 1.205720420169291071e-11 1.130305363901692774e-11 2.378765761544776785e-12 1.441675203763335854e-11 6.273352240611676761e-13 5.811109983455818926e-12 2.646387585832009480e-10 7.065205100764163446e-11 6.479890201174887076e-11 4.735855752989471717e-11 2.059843263355135219e-11 3.202082596480145666e-11 3.757953417736580068e-12 1.717400483287424697e-11 1.379593285234560370e-12 2.898435116850371934e-10 9.739020243827113928e-11 5.480849221469638678e-11 7.092114675037716560e-11 1.964381385982362834e-11 5.727444491732640628e-11 3.471781112652185290e-12 2.239934488786153301e-11 2.465109717230096046e-10 1.175022085079018366e-10 4.689112798658871151e-11 1.009207543980035041e-10 1.823002064196673721e-11 3.537464230060853121e-11 3.879429506489068604e-12 2.074105014515080161e-10 1.434761165049384322e-10 5.180973417062920914e-11 1.132946612194795926e-10 1.037395498075676497e-11 3.916231027865339213e-11 1.720066037586908005e-10 1.684264220197524748e-10 5.063216654216296367e-11 6.457884941893337550e-11 1.051324895381262979e-11 1.383447570227789096e-10 1.537397024269580358e-10 2.608689547794349561e-11 6.805335041399250530e-11 1.128286588871478211e-10 8.911716365271748944e-11 2.427378488155410942e-11 5.303548598381733934e-11 9.339271476783991909e-11 5.253936016984658411e-11
3.000000000000000000e+00 1.723735475422402665e-10 3.565943655456163188e-11 2.666961206709083167e-11 1.735527196435721691e-11 1.156812655654844593e-11 1.223122886554715640e-11 2.782649317319540848e-12 1.283571111206309342e-11 6.807855068783167816e-13 5.547726551618471621e-12 2.563824896643767143e-10 7.248059021997049506e-11 5.747695700473998338e-11 4.896588432523905665e-11 2.076760274296188575e-11 3.380735573112427906e-11 3.935305886443530989e-12 1.700604634780194376e-11 1.485795355423180608e-12 2.809698062345820802e-10 1.015238530690943803e-10 5.423632550836537449e-11 7.375167777925425508e-11 2.080372545078337765e-11 5.331817608635587580e-11 3.722065107614065172e-12 2.170613549972461395e-11 2.448409084075969549e-10 1.229487954310881054e-10 4.844778099742864116e-11 1.014396001390114138e-10 1.783189286660879826e-11 3.546408780851528858e-11 4.119003610718723686e-12 2.089080328309136854e-10 1.494295660108810338e-10 5.199422008947047166e-11 1.036493452499241067e-10 1.054835932773757414e-11 3.852229970396225913e-11 1.780868455827762810e-10 1.689313164057556801e-10 4.588393972762768736e-11 6.336268333254188898e-11 1.037481864682862188e-11 1.428040180900055936e-10 1.477448767923383391e-10 2.488585768135246419e-11 6.706083637916342738e-11 1.072434268435096325e-10 9.203242736328207620e-11 2.258786732312469313e-11 5.435326307061202246e-11 9.750652079377633434e-11 5.144327431785177136e-11
4.000000000000000000e+00 1.690591264277178614e-10 3.807039022394352783e-11 2.448520709146036181e-11 1.751943867168414752e-11 1.109191080823523428e-11 1.283505574715051305e-11 2.986751934244324827e-12 1.156069694137980873e-11 7.254622564939191347e-13 5.337408416200213005e-12 2.501331595596380530e-10 7.406726819278979201e-11 5.259030685502765920e-11 4.953746462736892601e-11 2.052497433243440411e-11 3.446065018618961574e-11 4.004218834247798272e-12 1.665705108421288746e-11 1.573705177797559978e-12 2.736159134531343932e-10 1.041589679017170533e-10 5.268694037235522881e-11 7.453552330132702321e-11 2.112606200806946080e-11 4.946732652125940387e-11 3.927255275127341454e-12 2.111707364678532037e-11 2.429379390964606034e-10 1.257110203969992786e-10 4.844636588143303667e-11 9.982885448640920327e-11 1.713924613566412099e-11 3.519293318192641724e-11 4.265854187441604641e-12 2.092783682880702897e-10 1.520942832180551094e-10 5.062686056100043196e-11 9.509530702380022070e-11 1.069632499775859647e-11 3.776740847904831890e-11 1.802763791513185602e-10 1.663376836978874274e-10 4.177424105779432149e-11 6.214385442347559916e-11 1.033299550331590245e-11 1.430831172775795522e-10 1.399759533934234370e-10 2.402136619877693439e-11 6.580091331226195946e-11 1.013806206983768934e-10 9.369676749926025031e-11 2.154979240971570701e-11 5.547741413777054860e-11 9.941543937522614904e-11 5.111904241004013412e-11
5.000000000000000000e+00 1.660695795835954876e-10 4.018029841230857175e-11 2.316192916183977008e-11 1.743798067272815003e-11 1.064940964311646483e-11 1.311541889250289299e-11 3.048602820780554291e-12 1.056015110372556677e-11 7.583945783494123028e-13 5.156952463036593397e-12 2.458814801496504756e-10 7.565907288790367736e-11 4.910046631437137597e-11 4.940401279409601942e-11 2.004809853077686595e-11 3.421620661877863500e-11 4.007663115752572406e-12 1.626938121389931675e-11 1.639139883314332165e-12 2.682396238480714642e-10 1.058270190865241157e-10 5.079847965399255651e-11 7.398430847948323425e-11 2.089124739952568743e-11 4.613602699117437297e-11 4.071008887526142423e-12 2.057026426560822816e-11 2.412577887212773945e-10 1.267559891283860970e-10 4.755575351358669641e-11 9.676506052730532971e-11 1.643031280426140318e-11 3.471432726772950894e-11 4.354907143741438839e-12 2.090715298214561920e-10 1.522064624231006312e-10 4.852723816631736833e-11 8.804240519639918537e-11 1.077947648981007071e-11 3.696138598242057627e-11 1.802527416288871928e-10 1.616876629211562341e-10 3.841542865379122487e-11 6.087822952894469400e-11 1.030722123459385933e-11 1.411358968282780738e-10 1.327305554179128232e-10 2.328602840727638087e-11 6.446221256010471123e-11 9.661975078260853712e-11 9.438388273957964583e-11 2.079612224534617619e-11 5.648784631734113488e-11 1.000548635033094972e-10 5.116732044845273804e-11
6.000000000000000000e+00 1.635945997624595711e-10 4.188847176259038861e-11 2.230844566790317834e-11 1.724172477601162381e-11 1.023644342253748282e-11 1.314794334851156253e-11 3.027520052705971969e-12 9.763774634152243710e-12 7.815132295187669342e-13 4.995960163401451720e-12 2.428880396234369155e-10 7.711862318428002159e-11 4.645544942107994543e-11 4.880741122942718518e-11 1.943758077729134816e-11 3.344960181274789468e-11 3.975038582305594525e-12 1.587746310512953141e-11 1.686487032188564358e-12 2.641993439523846006e-10 1.067531971361111839e-10 4.883207058974366550e-11 7.259364608961663395e-11 2.035983039943669356e-11 4.331624249619293137e-11 4.166164331644022282e-12 2.005132900685112279e-11 2.395786343767302993e-10 1.266226737400041607e-10 4.619955220695735094e-11 9.301913472454259132e-11 1.578093578238172827e-11 3.411944190988441912e-11 4.407035029012012699e-12 2.082438727930569651e-10 1.505900009875938815e-10 4.619775254621380307e-11 8.225940963666203147e-11 1.080844874741915341e-11 3.614319357065198655e-11 1.788295968755641294e-10 1.561119458458251822e-10 3.568832383185250569e-11 5.958750550807936611e-11 1.027646172817067154e-11 1.382423226902660283e-10 1.264324487105213026e-10 2.262828122867240978e-11 6.310747925076529674e-11 9.301937843477603862e-11 9.441819615632529778e-11 2.019758845679307304e-11 5.745786722589822144e-11 9.994851770612026593e-11 5.145254208545564249e-11
7.000000000000000000e+00 1.615236281892130178e-10 4.319715236429875646e-11 2.171159571187069655e-11 1.698497031300836413e-11 9.848595005630935288e-12 1.301340621044583449e-11 2.962319241599677366e-12 9.116460065208263387e-12 7.973897873323807917e-13 4.849219614840944952e-12 2.405270762586949858e-10 7.831667384098437589e-11 4.434117816067177579e-11 4.791681961466427119e-11 1.876251793048026898e-11 3.242654534979353033e-11 3.923266147775449105e-12 1.549396335778446898e-11 1.720621923394339936e-12 2.608544912070272004e-10 1.070676669984147752e-10 4.690117738795042973e-11 7.072112531971234983e-11 1.969567404719289730e-11 4.092515391607109036e-11 4.226704619167755890e-12 1.955770868877248078e-11 2.376826452975999861e-10 1.256702134835800266e-10 4.463488097208483730e-11 8.908477828308738747e-11 1.520463958568441438e-11 3.346830733411388857e-11 4.435620381083784007e-12 2.067997236868536102e-10 1.479157356065750247e-10 4.389397536204863412e-11 7.746682526292424419e-11 1.080012652294852136e-11 3.533840800243058897e-11 1.765605387561028139e-10 1.503246889261875623e-10 3.345593416223175920e-11 5.830455019995431575e-11 1.023725634380406123e-11 1.351005124172212566e-10 1.210395204853717058e-10 2.203365279927198001e-11 6.177031354006856461e-11 9.037219768970277031e-11 9.404127390629522679e-11 1.969924699175221319e-11 5.842138065640505091e-11 9.940498524539343216e-11 5.190638195566915858e-11
8.000000000000000000e+00 1.596982695009100808e-10 4.414736950801344228e-11 2.125285523214622056e-11 1.669396980851322986e-11 9.483938865889027861e-12 1.277522479969199125e-11 2.875784874561656150e-12 8.579782115870464564e-12 8.081217823116067608e-13 4.713990944629919162e-12 2.383925225022488027e-10 7.919614718557917307e-11 4.257509170526692741e-11 4.685103763689125011e-11 1.806884945572205600e-11 3.130496818627666309e-11 3.862072562262073075e-12 1.512518066817297908e-11 1.745306126101633472e-12 2.577800577993552273e-10 1.068846303046728444e-10 4.505823929372461899e-11 6.860899406642726612e-11 1.899039255042326372e-11 3.888115984627385003e-11 4.263278537861500091e-12 1.908984547956925614e-11 2.354763987154222553e-10 1.241659193235510495e-10 4.301241109156248746e-11 8.522848434170217489e-11 1.469709687147733530e-11 3.279952948747356031e-11 4.449157934591480715e-12 2.048361775213926943e-10 1.446620765178256657e-10 4.173088603960153216e-11 7.344001921257881144e-11 1.076808174880831193e-11 3.456242202054092097e-11 1.738331561773315437e-10 1.447045857159725695e-10 3.160656776264439816e-11 5.705516282469424349e-11 1.019074837776176931e-11 1.320501702589896877e-10 1.164175850250686573e-10 2.149582717573554056e-11 6.047156584445831299e-11 8.845740973551798343e-11 9.341543494598120959e-11 1.927293056588961477e-11 5.938648699399241583e-11 9.860984097154612549e-11 5.248045106020254544e-11
9.000000000000000000e+00 1.579932341564285727e-10 4.479301098609931479e-11 2.086671402910544960e-11 1.638395794261328159e-11 9.141803062390313178e-12 1.247786355399694271e-11 2.780800072693580606e-12 8.127159571139250443e-12 8.152222019445543912e-13 4.588630462329172130e-12 2.362576548392371026e-10 7.975675126929421531e-11 4.104922888423834539e-11 4.569260797205560856e-11 1.738515383146799408e-11 3.017236200695148130e-11 3.797099191524527295e-12 1.477436676623397844e-11 1.763166750688721554e-12 2.547444626917973005e-10 1.063130105674798388e-10 4.332675298836042520e-11 6.641258654205680619e-11 1.829225654967062165e-11 3.711740401915823084e-11 4.283339152612495390e-12 1.864817786306525778e-11 2.329618865266774821e-10 1.223107455589307729e-10 4.141684921320780076e-11 8.157874508907925814e-11 1.424970719130259963e-11 3.213677508496098517e-11 4.452942928664891437e-12 2.024867845875459706e-10 1.411460996945403939e-10 3.975125502758612359e-11 7.001133167223576240e-11 1.072166209703455526e-11 3.382310886877958060e-11 1.709059090597181151e-10 1.394285488541594109e-10 3.005562070611921027e-11 5.585537023140950617e-11 1.013875463866997472e-11 1.292374577773347702e-10 1.124329901463841242e-10 2.100968943981678668e-11 5.922294965127562075e-11 8.709306533634701597e-11 9.264549146868136170e-11 1.890151166291382341e-11 6.034869634206059995e-11 9.767455008238062332e-11 5.313483804589821277e-11
1.000000000000000000e+01 1.563287955253836631e-10 4.518878134704435806e-11 2.051764081566451218e-11 1.606502415224030652e-11 8.821755920918735928e-12 1.215086406578258276e-11 2.684490152463745833e-12 7.739845927992761725e-12 8.197325287547551854e-13 4.471948545741585869e-12 2.340154311572378732e-10 8.002969788275366285e-11 3.969817401619226259e-11 4.449769289039339988e-11 1.672796222017545516e-11 2.907470087314815566e-11 3.731601454349406136e-12 1.444283226271440644e-11 1.775963235289801967e-12 2.516444570088282957e-10 1.054511796759958786e-10 4.171493002594098485e-11 6.422711331361046054e-11 1.762516888031336747e-11 3.558138387877990502e-11 4.291948527666768155e-12 1.823226609923250967e-11 2.301899512692014451e-10 1.202520933040946360e-10 3.989303066342323543e-11 7.818776004845613976e-11 1.385367402206714690e-11 3.149358530846936438e-11 4.450193683995548110e-12 1.998807726025137750e-10 1.375680709577594284e-10 3.796259787344935160e-11 6.705658336338797570e-11 1.066684155658930410e-11 3.312310846711476161e-11 1.679423120781186081e-10 1.345631439788538296e-10 2.873980122711320401e-11 5.471309077946806365e-11 1.008266194074511646e-11 1.267100261247754100e-10 1.089721270312092850e-10 2.056993430183917857e-11 5.802925546169035019e-11 8.613876316183986686e-11 9.179727630425503351e-11 1.857303782367106826e-11 6.129811748155565585e-11 9.666480862736981265e-11 5.383507826234380853e-11
