R	Gamma	E
1.00	0	882358.6709
1.00	30	187002.882989
1.00	40	129516.409636
1.00	50	111988.925752
1.00	60	90712.353301
1.00	70	76848.064065
1.00	80	70556.924696
1.00	90	71504.357807
1.00	100	81533.680923
1.00	110	88951.397219
1.00	120	102579.641037
1.00	130	114933.885201
1.00	140	139434.218727
1.00	150	227582.807175
1.00	160	516533.859889
1.10	0	1650239.668253
1.10	30	174120.561936
1.10	40	110756.991594
1.10	50	91262.025802
1.10	60	78032.710721
1.10	70	64397.149183
1.10	80	58512.644447
1.10	90	59787.584257
1.10	110	74095.820984
1.10	120	87607.288537
1.10	130	98010.174905
1.10	140	118670.626002
1.10	150	211390.334445
1.10	160	580167.493817
1.10	170	2010708.497629
1.10	180	4908620.201199
1.20	30	159089.018956
1.20	40	94311.412686
1.20	50	78105.198628
1.20	60	65927.661744
1.20	70	53006.699653
1.20	80	47519.592272
1.20	90	48470.780083
1.20	100	55487.656892
1.20	110	60994.997141
1.20	120	73100.66926
1.20	130	84021.309977
1.20	140	99962.759941
1.20	150	187083.726434
1.20	160	582578.449684
1.20	170	2581010.12875
1.30	10	2042339.344535
1.30	20	441759.409926
1.30	30	140630.053236
1.30	40	79982.444178
1.30	50	67323.274156
1.30	60	54290.980645
1.30	70	42620.519743
1.30	80	37647.930707
1.30	90	38464.964245
1.30	100	43396.917608
1.30	110	49867.237991
1.30	120	60482.169869
1.30	130	72290.435639
1.30	140	83851.985943
1.30	150	157377.313716
1.30	160	512745.47266
1.30	170	2386205.078529
1.40	10	2100595.791062
1.40	20	403070.93432
1.40	30	119685.621047
1.40	40	67971.276976
1.40	50	58496.255866
1.40	60	43877.834654
1.40	70	33729.73724
1.40	80	29455.253204
1.40	90	29753.885686
1.40	100	33248.428332
1.40	110	39398.042072
1.40	120	49283.546359
1.40	130	64378.505809
1.40	140	70739.238147
1.40	150	127486.232929
1.40	160	402603.702702
1.40	170	1661505.072828
1.40	180	4691081.420177
1.50	10	1616019.07715
1.50	20	329457.643886
1.50	30	98710.435376
1.50	40	58383.970981
1.50	60	35092.593399
1.50	70	26415.954324
1.50	80	22660.597239
1.50	90	22483.167366
1.50	100	25102.970546
1.50	110	30479.732128
1.50	120	39428.492557
1.50	140	60603.321253
1.50	150	101936.49695
1.50	160	293975.513782
1.50	170	1004719.596489
1.50	180	2033697.857993
1.60	0	2582805.108305
1.60	10	1038023.227247
1.60	20	247015.536434
1.60	30	80249.277107
1.60	40	51095.374254
1.60	60	27838.979331
1.60	70	20428.655374
1.60	80	17134.391968
1.60	90	16751.634619
1.60	100	18753.999733
1.60	110	23273.82051
1.60	120	31111.493798
1.60	130	43286.552966
1.60	140	53011.363405
1.60	150	82859.85123
1.60	160	210104.277509
1.60	170	601020.134946
1.60	180	1016696.372855
1.70	0	1212572.656628
1.70	10	617122.581215
1.70	20	175832.465893
1.70	30	65850.431017
1.70	40	45766.580424
1.70	50	32713.960318
1.70	60	21907.322399
1.70	70	15615.330676
1.70	80	12795.389433
1.70	90	12358.946952
1.70	100	13900.67405
1.70	110	17615.110959
1.70	120	24302.760437
1.70	130	35302.416733
1.70	140	47288.981526
1.70	150	70122.614892
1.70	160	154992.668987
1.70	170	377704.307779
1.70	180	575228.872481
1.80	0	611873.335839
1.80	10	359013.737971
1.80	20	123579.168104
1.80	30	55820.581707
1.80	40	41930.241691
1.80	50	26700.557079
1.80	60	17118.371732
1.80	70	11831.432439
1.80	80	9469.938361
1.80	90	9049.435928
1.80	100	10239.807283
1.80	110	13247.724871
1.80	120	18839.900489
1.80	130	28499.882998
1.80	140	42723.69237
1.80	150	62256.722556
1.80	160	123240.91504
1.80	170	264948.521812
1.80	180	381181.700626
1.90	0	325969.429728
1.90	10	212235.481517
1.90	20	89491.462534
1.90	30	49547.772285
1.90	50	21611.1199
1.90	60	13300.803357
1.90	70	8907.036747
1.90	80	6960.761369
1.90	90	6584.371329
1.90	100	7504.199461
1.90	110	9915.046795
1.90	120	14517.528816
1.90	130	22800.766365
1.90	140	36053.813904
1.90	160	107184.667008
1.90	170	215867.816936
1.90	180	315785.905279
2.00	0	185324.503083
2.00	10	132426.208848
2.00	20	69613.534686
2.00	30	45961.274917
2.00	40	29291.962571
2.00	50	17377.04378
2.00	60	10288.033957
2.00	70	6673.098098
2.00	80	5087.158666
2.00	90	4763.154012
2.00	100	5473.796436
2.00	110	7391.650955
2.00	120	11131.82006
2.00	130	18089.780638
2.00	140	31277.033119
2.00	150	53655.129377
2.00	160	99861.882012
2.00	170	202445.693037
2.00	180	343277.24491
2.10	0	116129.670603
2.10	10	91175.949928
2.10	20	59555.076846
2.10	30	43908.300656
2.10	40	24648.08124
2.10	50	13886.021688
2.10	60	7928.190168
2.10	70	4980.0802
2.10	80	3698.367685
2.10	90	3425.80279
2.10	100	3974.555499
2.10	110	5491.649295
2.10	120	8500.110109
2.10	130	14242.390852
