R	Gamma	E
1.00	0	64870.370114
1.00	10	63728.438318
1.00	20	60502.493322
1.00	30	55785.317773
1.00	40	50368.811131
1.00	50	44982.651839
1.00	60	40190.280968
1.00	70	36420.060757
1.00	80	34033.524349
1.00	90	33400.103337
1.00	100	34983.305257
1.00	110	39429.598552
1.00	120	47645.793659
1.00	130	60837.585685
1.00	140	80834.534514
1.00	150	113971.583723
1.00	160	196725.265068
1.00	170	545543.97602
1.10	0	58820.849859
1.10	20	54265.25881
1.10	30	49327.409851
1.10	40	43816.311546
1.10	50	38514.335299
1.10	60	33926.843797
1.10	70	30392.407955
1.10	80	28186.971245
1.10	90	27607.622704
1.10	100	29056.957633
1.10	110	33132.498135
1.10	120	40705.418243
1.10	130	52945.799317
1.10	140	71513.5035
1.10	150	102086.326365
1.10	160	181912.360056
1.10	170	588578.851417
1.20	0	54505.13998
1.20	10	54359.349469
1.20	20	50139.705876
1.20	30	51748.821949
1.20	40	40381.206979
1.20	50	35019.028789
1.20	60	30464.7388
1.20	70	26980.099954
1.20	80	24760.884402
1.20	90	24031.487125
1.20	100	25124.006575
1.20	110	28563.5314
1.20	120	35148.054519
1.20	130	45974.643075
1.20	140	62506.808645
1.20	160	152683.202966
1.20	170	428381.57365
1.20	180	1347311.798189
1.30	0	46792.168244
1.30	10	46456.55194
1.30	20	46087.314591
1.30	30	40482.29035
1.30	50	32211.524915
1.30	60	27913.694491
1.30	70	24570.098333
1.30	80	22364.151033
1.30	90	21470.424225
1.30	160	122742.016479
1.30	170	259531.032342
1.30	180	478991.639893
1.40	0	40684.870361
1.40	10	39496.433927
1.40	20	40117.649072
1.40	30	33138.738935
1.40	40	30943.460531
1.40	140	43049.546054
1.40	150	60572.364857
1.40	160	93810.949658
1.40	180	230754.94093
1.50	0	36004.562433
1.50	20	28250.175362
1.50	30	26343.401978
1.50	40	24720.04249
1.50	50	23068.126807
1.50	120	19581.733761
1.50	130	24772.547991
1.50	140	33691.345611
1.50	150	47640.405466
1.50	170	110512.398488
1.50	180	132492.430143
1.60	0	23620.612681
1.60	10	23076.003112
1.60	20	21863.647344
1.60	30	20555.087236
1.60	40	19313.429917
1.60	50	18100.733856
1.60	60	16829.105673
1.60	70	15484.51228
1.60	80	14197.96894
1.60	90	13183.311194
1.60	100	12682.951694
1.60	110	13054.180324
1.60	120	14842.633375
1.60	130	18807.272611
1.60	140	25854.270649
1.60	150	36853.322407
1.60	180	86358.593019
1.70	0	17693.637758
1.70	10	17400.693301
1.70	20	16671.030945
1.70	30	15778.884323
1.70	40	14872.759535
1.70	50	13968.772164
1.70	60	13025.985299
1.70	70	12025.653954
1.70	80	11024.395521
1.70	90	10160.653347
1.70	100	9651.149836
1.70	110	9810.58623
1.70	120	11091.395228
1.70	130	14112.023068
1.70	140	19601.123797
1.70	150	28158.106904
1.70	160	39899.374095
1.80	0	13177.183047
1.80	10	13007.192613
1.80	20	12561.346835
1.80	30	11972.562347
1.80	40	11336.417922
1.80	50	10677.01789
1.80	60	9974.380445
1.80	70	9214.287717
1.80	80	8431.378862
1.80	90	7726.146863
1.80	100	7269.791612
1.80	110	7316.847533
1.80	120	8231.991644
1.80	130	10511.491823
1.80	140	14730.680662
1.80	150	21306.246109
1.80	160	29981.532637
1.90	0	9776.560056
1.90	10	9674.202683
1.90	20	9397.963941
1.90	30	9014.967276
1.90	40	8579.97766
1.90	50	8110.158727
1.90	60	7593.782854
1.90	70	7020.57152
1.90	80	6414.083577
1.90	90	5848.78255
1.90	100	5457.125342
1.90	110	5440.238414
1.90	120	6087.292181
1.90	130	7790.513637
1.90	140	10997.64812
1.90	150	15998.885099
1.90	160	22449.626856
1.90	170	28681.002397
1.90	180	31460.901948
2.00	0	7234.706977
2.00	10	7172.139451
2.00	20	7000.331129
2.00	30	6754.16657
2.00	40	6462.991502
2.00	50	6135.367696
2.00	60	5762.16642
2.00	70	5335.093053
2.00	80	4870.171716
2.00	90	4422.611267
2.00	100	4094.068885
2.00	110	4041.85878
2.00	120	4493.074514
2.00	130	5754.080091
2.00	140	8169.379384
2.00	150	11941.646997
2.00	160	16738.103809
2.00	170	21213.56466
2.00	180	23137.238913
2.10	0	5343.42842
2.10	10	5305.263173
2.10	20	5199.271048
2.10	30	5043.81709
2.10	40	4853.204092
2.10	50	4629.567993
2.10	60	4364.374556
2.10	70	4050.105244
2.10	80	3697.176974
2.10	90	3346.135997
2.10	100	3074.630063
2.10	110	3004.942676
2.10	120	3314.395751
2.10	130	4240.281567
2.10	140	6045.155439
2.10	150	8871.257399
2.10	160	12431.299884
2.10	170	15685.140632
2.10	180	17054.582822
2.20	0	3940.189832
2.20	10	3917.362882
2.20	20	3853.563536
2.20	30	3758.155495
2.20	40	3636.900798
2.20	50	3487.880539
2.20	60	3302.766795
2.20	70	3074.367831
2.20	80	2808.802265
2.20	90	2535.562173
2.20	100	2313.62944
2.20	110	2237.673147
2.20	120	2445.526876
2.20	130	3120.136755
2.20	140	4460.130619
2.20	150	6565.569367
2.20	160	9201.698108
2.20	170	11580.048636
2.20	180	12568.66383
2.30	0	2900.777637
2.30	10	2887.745364
2.30	20	2851.165314
2.30	30	2795.393066
2.30	40	2721.408229
2.30	50	2625.12379
2.30	60	2498.527427
2.30	70	2334.659638
2.30	80	2136.495649
2.30	90	1925.20358
2.30	100	1745.371779
2.30	110	1669.991947
2.30	120	1805.862499
2.30	130	2293.691002
2.30	140	3283.171077
2.30	150	4844.515216
2.30	160	6791.734105
2.30	170	8533.591906
2.30	180	9251.940628
2.40	0	2131.516519
2.40	10	2124.739345
2.40	20	2105.664753
2.40	30	2075.79307
2.40	40	2033.625988
2.40	50	1974.12376
2.40	60	1889.763235
2.40	70	1773.89461
2.40	80	1627.273745
2.40	90	1464.863774
2.40	100	1320.223911
2.40	110	1249.401532
2.40	120	1334.914449
2.40	130	1684.895298
2.40	140	2412.16356
2.40	150	3565.77836
2.40	160	5000.887992
2.40	170	6277.072529
2.40	180	6800.579113
2.50	0	1562.346165
2.50	10	1559.506944
