T	1->0	2->0	3->0	4->0	5->0	2->1	3->1	4->1	5->1	3->2	4->2	5->2	4->3	5->3	5->4	
1.000000000000000000e+00 3.074774516368925687e-12 5.759285223720757266e-14 2.790472482578991510e-14 3.012173822020459401e-14 2.967266092620503343e-15 2.247366295581012780e-12 5.256855205621933775e-13 2.646448428756595121e-14 1.208849134057344418e-14 2.272224946371845949e-13 2.114819942756448686e-13 2.444267555096052397e-14 2.455938913456117807e-13 1.732205046167010404e-13 6.033660780221605489e-13
2.000000000000000000e+00 3.442300816156633534e-12 9.912152678147398760e-14 3.758891106607971102e-14 4.580419072712388805e-14 3.987968736543879112e-15 2.741855415495004882e-12 6.833867385333668044e-13 4.017255195975821927e-14 1.637964394241094168e-14 3.032165368376649775e-13 3.226421928772550145e-13 3.293522202662753758e-14 3.781797811174686265e-13 1.973981864874770462e-13 6.031923778123612079e-13
3.000000000000000000e+00 3.403666679212028594e-12 1.321256461680059938e-13 4.023589127606362401e-14 4.828691551160063362e-14 4.356603906564006594e-15 2.730654669552853052e-12 7.062857738216703093e-13 4.228995224904714084e-14 1.796575644365062278e-14 3.197331988540918352e-13 3.387400261827713335e-13 3.600488950187820021e-14 4.015374014055002595e-13 1.939692672937334990e-13 5.325332914737535829e-13
4.000000000000000000e+00 3.331604833452265208e-12 1.578029337629591205e-13 4.121547186486777470e-14 4.823540241434209630e-14 4.529917398533766058e-15 2.635462237350045483e-12 7.065845321534073404e-13 4.220586692562501075e-14 1.873008808633551170e-14 3.239308651944078696e-13 3.369487661709171792e-13 3.744517495679069779e-14 4.024985249980230345e-13 1.892202637947433437e-13 4.809878724097364572e-13
5.000000000000000000e+00 3.275173462032566262e-12 1.754500472763683405e-13 4.168661850925900876e-14 4.774899768171220906e-14 4.632108856318937228e-15 2.513593788740593367e-12 7.031336140176256234e-13 4.175812169543898049e-14 1.919153829144512747e-14 3.250065701549288432e-13 3.322928488634162962e-13 3.829107954703736963e-14 3.989427398793662806e-13 1.856190978250153728e-13 4.458734627341250077e-13
6.000000000000000000e+00 3.238804062032846331e-12 1.863488455825325389e-13 4.199654856485826683e-14 4.730538629869559325e-14 4.707324661358387800e-15 2.381707982744005117e-12 7.001471916399241506e-13 4.136077141899369424e-14 1.953637133404380802e-14 3.254383165749347524e-13 3.281038457092933839e-13 3.891114694358253309e-14 3.951952168901834371e-13 1.832560947765965315e-13 4.216680068614906120e-13
7.000000000000000000e+00 3.219787558732486510e-12 1.924182476874825812e-13 4.226912529338066407e-14 4.701342076385209230e-14 4.773522998772736512e-15 2.248885343249415639e-12 6.986126408680568030e-13 4.110599520488163798e-14 1.984106017066088930e-14 3.260068748580152402e-13 3.250918618944301268e-13 3.945546051787172890e-14 3.923605428427958399e-13 1.819292501779360307e-13 4.047363607031566826e-13
8.000000000000000000e+00 3.214719038670821356e-12 1.953502768142096152e-13 4.255191817983797206e-14 4.688526020596341383e-14 4.838457055506743611e-15 2.120537369581605368e-12 6.986534931300564583e-13 4.100241031426664448e-14 2.013898414435882545e-14 3.269612745004300460e-13 3.232976807642179602e-13 3.998889156721867620e-14 3.906501774499934160e-13 1.814332420873010274e-13 3.928218679975348445e-13
9.000000000000000000e+00 3.220631290090109007e-12 1.964028035683049207e-13 4.286285467272514077e-14 4.690729545475046833e-14 4.905329583201879576e-15 1.999604571220094286e-12 7.001500012989808266e-13 4.103680582446305186e-14 2.044416244032230099e-14 3.283631154134647218e-13 3.225936359558133570e-13 4.053830500914524468e-14 3.900139708362965133e-13 1.815952873225557328e-13 3.844805218252856999e-13
1.000000000000000000e+01 3.235069803611319248e-12 1.964435501965086327e-13 4.320744354437831294e-14 4.706068625953251136e-14 4.975059106027482839e-15 1.887417891831696917e-12 7.029255062733125645e-13 4.119185102123054452e-14 2.076081019860488743e-14 3.302048721208883549e-13 3.228249238879910196e-13 4.111149248887712488e-14 3.903327343820034966e-13 1.822701622421535129e-13 3.787415349955177729e-13
