   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          84.0109      
  0.1000000000          0      1      6      1    1          72.4365      
  0.1500000000          0      1      6      1    1          76.8857      
  0.2000000000          0      1      7      1    1          78.8322      
  0.2500000000          0      1      7      1    1          79.5132      
  0.3000000000          0      1      7      1    1          79.9459      
  0.3500000000          0      1      8      1    1          80.4341      
  0.4000000000          0      1      8      1    1          81.0968      
  0.4500000000          0      1      8      1    1          82.0833      
  0.5000000000          0      1      8      1    1          40.0026      
  0.5500000000          0      1      8      1    1          92.5793      
  0.6000000000          0      1      9      1    1          108.833      
  0.6500000000          0      1      9      1    1          83.1648      
  0.7000000000          0      1      9      1    1          83.5665      
  0.7500000000          0      1      9      1    1          84.3831      
  0.8000000000          0      1      9      1    1          85.2050      
  0.8500000000          0      1      9      1    1          85.9925      
  0.9000000000          0      1      9      1    1          86.7352      
  0.9500000000          0      1     10      1    1          87.4423      
   1.000000000          0      1     10      1    1          88.1215      
   1.050000000          0      1     10      1    1          88.7948      
   1.100000000          0      1     10      1    1          89.4228      
   1.150000000          0      1     10      1    1          90.0593      
   1.200000000          0      1     10      1    1          90.6973      
   1.250000000          0      1     10      1    1          91.3426      
   1.300000000          0      1     10      1    1          92.0017      
   1.350000000          0      1     10      1    1          92.6820      
   1.400000000          0      1     10      1    1          93.3884      
   1.450000000          0      1     11      1    1          94.1270      
   1.500000000          0      1     11      1    1          92.1485      
   1.550000000          0      1     11      1    1          92.3788      
   1.600000000          0      1     11      1    1          92.4375      
   1.650000000          0      1     11      1    1          89.6039      
   1.700000000          0      1     11      1    1          103.071      
   1.750000000          0      1     11      1    1          99.4343      
   1.800000000          0      1     11      1    1          99.7359      
   1.850000000          0      1     11      1    1          100.489      
   1.900000000          0      1     11      1    1          101.601      
   1.950000000          0      1     11      1    1          102.734      
   2.000000000          0      1     11      1    1          103.963      
   2.050000000          0      1     11      1    1          105.329      
   2.100000000          0      1     11      1    1          106.744      
   2.150000000          0      1     11      1    1          108.288      
   2.200000000          0      1     11      1    1          109.935      
   2.250000000          0      1     11      1    1          111.659      
   2.300000000          0      1     11      1    1          113.360      
   2.350000000          0      1     11      1    1          110.199      
   2.400000000          0      1     11      1    1          119.307      
   2.450000000          0      1     11      1    1          121.589      
   2.500000000          0      1     11      1    1          124.436      
   2.550000000          0      1     11      1    1          127.771      
   2.600000000          0      1     11      1    1          131.617      
   2.650000000          0      1     11      1    1          136.105      
   2.700000000          0      1     11      1    1          141.293      
   2.750000000          0      1     11      1    1          147.406      
   2.800000000          0      1     11      1    1          154.644      
   2.850000000          0      1     11      1    1          163.271      
   2.900000000          0      1     11      1    1          173.599      
   2.950000000          0      1     12      1    1          186.011      
   3.000000000          0      1     12      1    1          200.812      
   3.050000000          0      1     12      1    1          218.323      
   3.100000000          0      1     12      1    1          245.228      
   3.150000000          0      1     12      1    1          268.430      
   3.200000000          0      1     12      1    1          285.353      
   3.250000000          0      1     12      1    1          308.737      
   3.300000000          0      1     12      1    1          328.717      
   3.350000000          0      1     12      1    1          342.385      
   3.400000000          0      1     12      1    1          347.889      
   3.450000000          0      1     12      1    1          345.257      
   3.500000000          0      1     12      1    1          336.063      
   3.550000000          0      1     12      1    1          322.688      
   3.600000000          0      1     12      1    1          307.514      
   3.650000000          0      1     12      1    1          292.195      
   3.700000000          0      1     12      1    1          277.732      
   3.750000000          0      1     12      1    1          264.727      
   3.800000000          0      1     12      1    1          253.290      
   3.850000000          0      1     12      1    1          243.361      
   3.900000000          0      1     12      1    1          234.880      
   3.950000000          0      1     12      1    1          227.786      
   4.000000000          0      1     12      1    1          221.521      
   4.050000000          0      1     12      1    1          216.318      
   4.100000000          0      1     12      1    1          212.140      
   4.150000000          0      1     12      1    1          208.350      
   4.200000000          0      1     12      1    1          205.243      
   4.250000000          0      1     12      1    1          202.665      
   4.300000000          0      1     12      1    1          200.527      
   4.350000000          0      1     12      1    1          198.767      
   4.400000000          0      1     12      1    1          197.361      
   4.450000000          0      1     12      1    1          196.242      
   4.500000000          0      1     12      1    1          195.408      
   4.550000000          0      1     12      1    1          194.813      
   4.600000000          0      1     12      1    1          194.425      
   4.650000000          0      1     12      1    1          194.246      
   4.700000000          0      1     12      1    1          194.255      
   4.750000000          0      1     12      1    1          194.427      
   4.800000000          0      1     12      1    1          194.769      
   4.850000000          0      1     12      1    1          195.262      
   4.900000000          0      1     13      1    1          195.968      
   4.950000000          0      1     13      1    1          196.764      
   5.000000000          0      1     13      1    1          197.697      
   5.050000000          0      1     13      1    1          198.775      
   5.100000000          0      1     13      1    1          199.979      
   5.150000000          0      1     13      1    1          201.330      
   5.200000000          0      1     13      1    1          202.851      
   5.250000000          0      1     13      1    1          204.481      
   5.300000000          0      1     13      1    1          206.254      
   5.350000000          0      1     13      1    1          208.169      
   5.400000000          0      1     13      1    1          210.233      
   5.450000000          0      1     13      1    1          212.446      
   5.500000000          0      1     13      1    1          214.803      
   5.550000000          0      1     13      1    1          217.315      
   5.600000000          0      1     13      1    1          219.976      
   5.650000000          0      1     13      1    1          222.793      
   5.700000000          0      1     13      1    1          225.762      
   5.750000000          0      1     13      1    1          228.878      
   5.800000000          0      1     13      1    1          232.146      
   5.850000000          0      1     13      1    1          235.552      
   5.900000000          0      1     13      1    1          239.094      
   5.950000000          0      1     13      1    1          242.759      
   6.000000000          0      1     13      1    1          246.539      
   6.050000000          0      1     13      1    1          250.413      
   6.100000000          0      1     13      1    1          254.367      
   6.150000000          0      1     13      1    1          258.377      
   6.200000000          0      1     13      1    1          262.416      
   6.250000000          0      1     13      1    1          266.461      
   6.300000000          0      1     13      1    1          270.477      
   6.350000000          0      1     13      1    1          274.432      
   6.400000000          0      1     13      1    1          278.297      
   6.450000000          0      1     13      1    1          282.042      
   6.500000000          0      1     13      1    1          285.620      
   6.550000000          0      1     13      1    1          289.001      
   6.600000000          0      1     13      1    1          292.165      
   6.650000000          0      1     13      1    1          295.087      
   6.700000000          0      1     13      1    1          297.730      
   6.750000000          0      1     13      1    1          300.085      
   6.800000000          0      1     13      1    1          302.138      
   6.850000000          0      1     13      1    1          303.883      
   6.900000000          0      1     13      1    1          305.318      
   6.950000000          0      1     13      1    1          306.444      
   7.000000000          0      1     13      1    1          307.273      
   7.050000000          0      1     13      1    1          307.814      
   7.100000000          0      1     13      1    1          308.086      
   7.150000000          0      1     14      1    1          308.157      
   7.200000000          0      1     14      1    1          307.949      
   7.250000000          0      1     14      1    1          307.531      
   7.300000000          0      1     14      1    1          306.931      
   7.350000000          0      1     14      1    1          306.168      
   7.400000000          0      1     14      1    1          305.268      
   7.450000000          0      1     14      1    1          304.251      
   7.500000000          0      1     14      1    1          303.142      
   7.550000000          0      1     14      1    1          301.956      
   7.600000000          0      1     14      1    1          300.717      
   7.650000000          0      1     14      1    1          299.435      
   7.700000000          0      1     14      1    1          298.129      
   7.750000000          0      1     14      1    1          296.813      
   7.800000000          0      1     14      1    1          295.500      
   7.850000000          0      1     14      1    1          294.198      
   7.900000000          0      1     14      1    1          292.917      
   7.950000000          0      1     14      1    1          291.666      
   8.000000000          0      1     14      1    1          290.451      
   8.050000000          0      1     14      1    1          289.279      
   8.100000000          0      1     14      1    1          288.153      
   8.150000000          0      1     14      1    1          287.080      
   8.200000000          0      1     14      1    1          286.059      
   8.250000000          0      1     14      1    1          285.097      
   8.300000000          0      1     14      1    1          284.193      
   8.350000000          0      1     14      1    1          283.350      
   8.400000000          0      1     14      1    1          282.568      
   8.450000000          0      1     14      1    1          281.849      
   8.500000000          0      1     14      1    1          281.192      
   8.550000000          0      1     14      1    1          280.598      
   8.600000000          0      1     14      1    1          280.066      
   8.650000000          0      1     14      1    1          279.598      
   8.700000000          0      1     14      1    1          279.190      
   8.750000000          0      1     14      1    1          278.843      
   8.800000000          0      1     14      1    1          278.557      
   8.850000000          0      1     14      1    1          278.329      
   8.900000000          0      1     14      1    1          278.160      
   8.950000000          0      1     14      1    1          278.047      
   9.000000000          0      1     14      1    1          277.991      
   9.050000000          0      1     14      1    1          277.987      
   9.100000000          0      1     14      1    1          278.037      
   9.150000000          0      1     14      1    1          278.137      
   9.200000000          0      1     14      1    1          278.287      
   9.250000000          0      1     14      1    1          278.484      
   9.300000000          0      1     14      1    1          278.727      
   9.350000000          0      1     14      1    1          279.015      
   9.400000000          0      1     14      1    1          279.343      
   9.450000000          0      1     14      1    1          279.713      
   9.500000000          0      1     14      1    1          280.119      
   9.550000000          0      1     14      1    1          280.561      
   9.600000000          0      1     14      1    1          281.037      
   9.650000000          0      1     14      1    1          281.543      
   9.700000000          0      1     14      1    1          282.078      
   9.750000000          0      1     14      1    1          282.639      
   9.800000000          0      1     15      1    1          283.271      
   9.850000000          0      1     15      1    1          283.876      
   9.900000000          0      1     15      1    1          284.501      
   9.950000000          0      1     15      1    1          285.141      
   10.00000000          0      1     15      1    1          285.795      
   10.05000000          0      1     15      1    1          286.458      
   10.10000000          0      1     15      1    1          287.129      
   10.15000000          0      1     15      1    1          287.806      
   10.20000000          0      1     15      1    1          288.485      
