R	Gamma	E
1.00	0	48924.74794
1.00	10	47900.998517
1.00	20	44981.076827
1.00	30	40633.251934
1.00	40	35554.147222
1.00	50	30452.815202
1.00	60	25911.867321
1.00	70	22386.813387
1.00	80	20268.584133
1.00	90	19963.653681
1.00	100	21982.884084
1.00	110	27034.726114
1.00	120	36119.568518
1.00	130	50616.817881
1.00	140	72781.154859
1.00	150	110307.08097
1.00	160	206154.026801
1.00	170	652148.225848
1.10	0	43628.277717
1.10	20	39296.344898
1.10	30	34590.914424
1.10	40	29274.195907
1.10	50	24118.613903
1.10	60	19656.105788
1.10	70	16250.955764
1.10	80	14201.647713
1.10	90	13831.032385
1.10	100	15573.965479
1.10	110	20069.458344
1.10	120	28251.429302
1.10	130	41411.938698
1.10	140	61501.849661
1.10	150	94766.650255
1.10	160	177660.333424
1.10	170	551066.592511
1.20	0	42834.421807
1.20	10	41500.636509
1.20	30	32054.756993
1.20	40	26173.647167
1.20	50	20758.235065
1.20	60	16209.367756
1.20	70	12766.480566
1.20	80	10627.258184
1.20	90	10027.841845
1.20	100	11319.030745
1.20	110	15051.012988
1.20	120	22059.834933
1.20	130	33519.870908
1.20	140	51075.725888
1.20	150	79081.808104
1.20	160	140543.170049
1.20	170	344843.384849
1.20	180	721449.698326
1.30	0	43415.507568
1.30	10	41916.803542
1.30	30	30135.777849
1.30	40	23787.824761
1.30	50	18295.462251
1.30	60	13800.161709
1.30	70	10405.832563
1.30	80	8223.628335
1.30	90	7417.05501
1.30	100	8259.186971
1.30	110	11206.853443
1.30	120	16980.402184
1.30	130	26613.84656
1.30	140	41489.64038
1.30	160	107117.489376
1.30	170	207493.785125
1.30	180	316271.811614
1.40	0	41837.355405
1.40	20	33396.101836
1.40	40	20979.999153
1.40	50	15855.731071
1.40	60	11686.601543
1.40	70	8516.329878
1.40	80	6412.182808
1.40	90	5491.890074
1.40	100	5967.404313
1.40	110	8208.918811
1.40	120	12816.935847
1.40	130	20670.187998
1.40	140	32919.842803
1.40	150	51160.584627
1.40	160	80867.822987
1.40	180	174778.597444
1.50	0	24526.720339
1.50	10	30215.056571
1.50	20	26801.829945
1.50	30	22109.449578
1.50	50	13277.085065
1.50	60	9674.756372
1.50	70	6880.437515
1.50	80	4966.068515
1.50	90	4030.213717
1.50	100	4241.741197
1.50	110	5896.806654
1.50	120	9482.879976
1.50	130	15719.587689
1.50	150	39746.872373
1.50	160	60661.753783
1.50	180	113963.215545
1.60	0	53319.778141
1.60	10	22434.995854
1.60	30	17260.604909
1.60	40	13857.242429
1.60	60	7792.020952
1.60	70	5454.882465
1.60	80	3800.178107
1.60	90	2923.238453
1.60	100	2964.150992
