R	Gamma	E
1.00	0	-41.107610665049
1.00	10	-41.112275211299
1.00	20	-41.125579355334
1.00	30	-41.145389505995
1.00	40	-41.168531613159
1.00	50	-41.1917749954
1.00	60	-41.212465079265
1.00	70	-41.22852640907
1.00	80	-41.238177773071
1.00	90	-41.239567138641
1.00	100	-41.230366846657
1.00	110	-41.207348957433
1.00	120	-41.165955363807
1.00	130	-41.099901026023
1.00	140	-40.998912861663
1.00	150	-40.827932137191
1.00	160	-40.391221256611
1.00	170	-38.359121874506
1.10	0	-41.13174316249
1.10	20	-41.151480903524
1.10	30	-41.172920425336
1.10	40	-41.19714518081
1.10	50	-41.220635744199
1.10	60	-41.240968430148
1.10	70	-41.256483437457
1.10	80	-41.26582077331
1.10	90	-41.267509421237
1.10	100	-41.259568032603
1.10	110	-41.239085057055
1.10	120	-41.201805249013
1.10	130	-41.141841547538
1.10	140	-41.050305164906
1.10	150	-40.898739559619
1.10	160	-40.52104809478
1.10	170	-38.819683749719
1.20	0	-41.135360236673
1.20	10	-41.141437410517
1.20	30	-41.1844760105
1.20	40	-41.211272322355
1.20	50	-41.235946758952
1.20	60	-41.256672926393
1.20	70	-41.272359876909
1.20	80	-41.282106892656
1.20	90	-41.284838034843
1.20	100	-41.278954944501
1.20	110	-41.261950779813
1.20	120	-41.23001623274
1.20	130	-41.177800459366
1.20	140	-41.097810086994
1.20	150	-40.970204969064
1.20	160	-40.690166358922
1.20	170	-39.75930595503
1.20	180	-38.043361087255
1.30	0	-41.132712614759
1.30	10	-41.139541213723
1.30	30	-41.19321952407
1.30	40	-41.222142930643
1.30	50	-41.247167979147
1.30	60	-41.267650078404
1.30	70	-41.283115782164
1.30	80	-41.293058637638
1.30	90	-41.296733656638
1.30	100	-41.292896620545
1.30	110	-41.279466061966
1.30	120	-41.253159834544
1.30	130	-41.209266626055
1.30	140	-41.141487512572
1.30	160	-40.842464987889
1.30	170	-40.385116867654
1.30	180	-39.889487639995
