T	1->0	2->0	3->0	4->0	5->0	2->1	3->1	4->1	5->1	3->2	4->2	5->2	4->3	5->3	5->4	
1.000000000000000000e+00 6.403706348790411425e-12 1.391397988838044671e-13 3.945613670280459106e-14 2.808027671843724702e-14 2.067859850337194716e-15 1.550962001387009656e-12 8.450312828891486724e-13 2.152619365212864941e-14 1.180859653241620134e-14 3.695593097557778807e-13 2.313230777342203478e-13 1.786970130887467317e-14 2.136177074171132128e-13 1.005658232921917525e-13 1.452925016793302092e-13
2.000000000000000000e+00 4.460352390184737703e-12 1.388092425635073652e-13 3.078580327752890153e-14 2.810389551953670258e-14 2.242341486837850070e-15 1.551208450942214582e-12 6.439980127536228918e-13 2.157384744204778960e-14 1.291454900326369286e-14 2.911158320385746355e-13 2.393301684679398400e-13 1.943396237071450319e-14 2.278292697240044963e-13 1.104215239983542481e-13 1.614127173791082244e-13
3.000000000000000000e+00 3.592023962470552028e-12 1.442170858320287663e-13 2.722689137013764745e-14 2.683119212035875902e-14 2.277341082267945763e-15 1.519900769988766233e-12 5.617467451001786238e-13 2.060179625616088248e-14 1.316478098834202257e-14 2.550810042830617262e-13 2.314601802424221797e-13 1.975025950743019417e-14 2.222284402547103690e-13 1.126651489082184417e-13 1.655860563752545263e-13
4.000000000000000000e+00 3.147631285047821786e-12 1.500253264686708858e-13 2.542558152928202041e-14 2.596092344535998956e-14 2.280897779444444364e-15 1.472346740222467901e-12 5.199238885743189883e-13 1.993090521664634201e-14 1.321739660229910315e-14 2.357407550026058258e-13 2.252593042388835061e-13 1.978069887559095143e-14 2.167584013487731081e-13 1.130428613322034253e-13 1.664793699972769918e-13
5.000000000000000000e+00 2.896106357089433612e-12 1.533852717953671171e-13 2.442744107846522988e-14 2.545556752752786222e-14 2.284373219950761564e-15 1.413266592811267486e-12 4.963122602810330022e-13 1.953788782450906548e-14 1.326421952997828827e-14 2.244268539742279595e-13 2.214655790769149570e-13 1.980639578052337304e-14 2.130776366794828879e-13 1.132823013276234699e-13 1.668512560100689620e-13
6.000000000000000000e+00 2.746675202783723902e-12 1.541317542641547268e-13 2.387219970522008048e-14 2.521597155857895693e-14 2.295038684779050469e-15 1.347296539444336442e-12 4.826015050607629226e-13 1.934843387303922589e-14 1.335102600473306393e-14 2.176259259566545964e-13 2.195965046193568269e-13 1.989330723262713116e-14 2.110258955819950688e-13 1.138111741911664427e-13 1.674537302986898814e-13
7.000000000000000000e+00 2.657369553544373765e-12 1.529703376383023077e-13 2.359150954944322031e-14 2.517061679928809184e-14 2.313961650098814230e-15 1.278967472421090470e-12 4.749504478824326447e-13 1.930832398834782768e-14 1.348557854657775138e-14 2.136415993271132611e-13 2.191875521567684314e-13 2.005170436146028213e-14 2.102713726373720475e-13 1.147115125107581065e-13 1.684736061608284504e-13
8.000000000000000000e+00 2.606255407131473042e-12 1.506611384083205597e-13 2.349490947769280500e-14 2.527158878246775919e-14 2.340531195317320456e-15 1.211598649142832712e-12 4.713176360225912109e-13 1.938107305289460779e-14 1.366510406724293072e-14 2.115491862096961165e-13 2.198956655562381873e-13 2.027667175639680472e-14 2.105335877573730658e-13 1.159670540804966768e-13 1.699242055092066507e-13
9.000000000000000000e+00 2.580731248594716635e-12 1.477939497641424816e-13 2.352883193739393234e-14 2.548638486421400158e-14 2.373663100092528881e-15 1.147230002064621150e-12 4.705072073793936386e-13 1.954187992398969593e-14 1.388368098792150124e-14 2.107987236713875049e-13 2.214758381395420584e-13 2.055895516417599768e-14 2.116003278287907471e-13 1.175315712869676864e-13 1.717605029316071567e-13
1.000000000000000000e+01 2.572965540484507979e-12 1.447746078086684153e-13 2.365920477985895944e-14 2.579234553776403089e-14 2.412121433742380565e-15 1.086939530927781186e-12 4.717667323032267480e-13 1.977343886088651233e-14 1.413425031080631091e-14 2.110409961737846184e-13 2.237515728625058296e-13 2.088788940181094499e-14 2.133138013603257039e-13 1.193483755177379064e-13 1.739152736677038272e-13
