T	1->0	2->0	3->0	4->0	5->0	2->1	3->1	4->1	5->1	3->2	4->2	5->2	4->3	5->3	5->4	
1.000000000000000000e+00 6.388912990370785846e-12 1.389472840012912711e-13 2.030786387746370836e-14 1.544411449895030617e-14 1.737788823238646356e-15 1.499199353162101599e-12 4.245998627541366016e-13 1.186861264040896256e-14 9.930033172651568557e-15 2.035167967860679554e-13 1.337603254543814463e-13 1.499110860654744474e-14 1.306481965197871151e-13 8.415358532456599444e-14 1.217661052351410923e-13
2.000000000000000000e+00 4.453274922863775455e-12 1.385610292094354038e-13 2.144336881798526563e-14 2.064437175103548201e-14 2.117781111399758801e-15 1.529478187098080519e-12 4.381643644337819344e-13 1.587830282562750686e-14 1.218402359251526058e-14 2.132795447405620769e-13 1.829858822978456632e-13 1.832138802987732154e-14 1.818294664888008870e-13 1.037610477396031668e-13 1.515791996741772362e-13
3.000000000000000000e+00 3.587688710519270885e-12 1.440295962953456003e-13 2.150694001420320706e-14 2.201084747558400513e-14 2.198145861876805395e-15 1.507354503837052165e-12 4.356236757992287001e-13 1.692301240794003885e-14 1.269218509403317933e-14 2.083870555688283026e-13 1.954160813376934375e-13 1.903458297999735930e-14 1.934956491724196019e-13 1.082702695634507783e-13 1.589495344511018059e-13
4.000000000000000000e+00 3.144634896953228951e-12 1.498812757945814897e-13 2.146800270522398727e-14 2.254298421508775384e-14 2.223007579318185792e-15 1.463938207951397323e-12 4.326424022290316618e-13 1.732305178189861328e-14 1.286896320734855979e-14 2.037948175025798424e-13 1.998372721920406230e-13 1.925473890893821883e-14 1.967910187412540645e-13 1.097722503089658751e-13 1.614720147218993583e-13
5.000000000000000000e+00 2.893878678079382411e-12 1.532705773701315708e-13 2.148061215800212199e-14 2.287498587733645506e-14 2.239326130342212939e-15 1.407125738293062488e-12 4.313193289920030075e-13 1.756922914606746792e-14 1.299178587341329424e-14 2.008028551101481406e-13 2.023323427571240108e-13 1.939594307328005013e-14 1.981981650767212286e-13 1.107116598725968624e-13 1.628800734301497608e-13
6.000000000000000000e+00 2.744936096896757196e-12 1.540380413350457973e-13 2.156805437328712491e-14 2.318013942291467274e-14 2.258614209744928398e-15 1.342556517011409833e-12 4.317836225768883715e-13 1.779550882174006124e-14 1.313008130052022174e-14 1.992382653412134368e-13 2.045332549336368441e-13 1.956084068221808520e-14 1.993940917908403765e-13 1.117194423210491491e-13 1.642020819317860119e-13
7.000000000000000000e+00 2.655963607892137477e-12 1.528923794407207852e-13 2.172588631050949999e-14 2.351198897591172270e-14 2.283695627569099099e-15 1.275165305179711111e-12 4.338053113690577210e-13 1.804322103037511004e-14 1.330161874664572676e-14 1.988012640707675336e-13 2.069327782004809084e-13 1.977513023503731538e-14 2.008580431029764582e-13 1.129659583230067772e-13 1.657476080293030166e-13
8.000000000000000000e+00 2.605088900817925652e-12 1.505954143773054205e-13 2.194426579130043985e-14 2.388668621175786128e-14 2.314847406898511121e-15 1.208461455076078558e-12 4.371202910659874082e-13 1.832480891612705885e-14 1.350876742709447548e-14 1.992436456554672636e-13 2.096739558801954028e-13 2.004178356465655421e-14 2.027138774486609205e-13 1.144812581489089399e-13 1.675958286331405265e-13
9.000000000000000000e+00 2.579744221459982106e-12 1.477379452547736176e-13 2.221344546485134519e-14 2.430747432663762687e-14 2.351482806535188787e-15 1.144584899789222987e-12 4.414990861308469193e-13 1.864276358284566838e-14 1.374851778905431514e-14 2.003790778006954937e-13 2.127813708109311849e-13 2.035600083610596336e-14 2.049705100598666471e-13 1.162457631430790938e-13 1.697403704206561405e-13
1.000000000000000000e+01 2.572117945108545579e-12 1.447264547159425159e-13 2.252501975469301417e-14 2.477301616512999824e-14 2.392661667181141444e-15 1.084670821869977575e-12 4.467554002087164163e-13 1.899605585632384629e-14 1.401555361248756920e-14 2.020695608919027949e-13 2.162386375563801707e-13 2.070978206551428196e-14 2.076000416014308160e-13 1.182189728300350858e-13 1.721379042609001922e-13
1.100000000000000000e+01 2.577010611231198334e-12 1.418231794350538458e-13 2.287202071109965822e-14 2.528047258653149446e-14 2.437277234563911125e-15 1.029202210733687030e-12 4.527406528098341608e-13 1.938250871943722476e-14 1.430340144925351138e-14 2.042120361855235324e-13 2.200165906430880948e-13 2.109361127744321481e-14 2.105650803078933531e-13 1.203503740612869021e-13 1.747274401936876020e-13
1.200000000000000000e+01 2.590752298245854618e-12 1.391890301283552636e-13 2.324872240979680205e-14 2.582668614882824879e-14 2.484158843883662749e-15 9.782685270547234952e-13 4.593364155248524702e-13 1.979970631468671957e-14 1.460508132727241326e-14 2.067283948829073801e-13 2.240839135939665824e-13 2.149737755217885306e-14 2.138284630154958424e-13 1.225853242992348529e-13 1.774404219375670099e-13
1.300000000000000000e+01 2.610629546674973748e-12 1.369171539881561369e-13 2.365040392415340826e-14 2.640863069362769995e-14 2.532150082174458721e-15 9.317361372855288066e-13 4.664477200606630281e-13 2.024533674060070094e-14 1.491361111919852952e-14 2.095584680075215081e-13 2.284110592888845496e-13 2.191106882485366384e-14 2.173564767965372898e-13 1.248692946021022288e-13 1.802074433631387600e-13
1.400000000000000000e+01 2.634569970289994149e-12 1.350565965139995404e-13 2.407313978408067784e-14 2.702356420225851833e-14 2.580170604735870205e-15 8.893546731623801158e-13 4.739977497344898802e-13 2.071730648529227024e-14 1.522240956143937973e-14 2.126551583036851704e-13 2.329715026776201182e-13 2.232531711509929805e-14 2.211196137316609505e-13 1.271510969272028974e-13 1.829630303203634638e-13
