R	0	30	60	90
1.0	1131917.927889	277808.787195	67818.547213	77383.989983
1.1	573666.298369	171307.572306	52646.414168	58721.809726
1.2	306795.793422	108197.559587	41914.702051	44715.68478
1.3	175312.193453	72810.170689	33908.268987	33941.677686
1.4	110705.356773	53706.297441	27597.264945	25795.303217
1.5	80313.939712	43215.598405	22458.079559	19663.915968
1.6	67623.905232	36426.282926	18242.552022	21882.577133
1.7	63934.411795	30649.06723	14819.493104	16893.853488
1.8	64556.635345	24999.491285	14569.965012	10878.546989
1.9	31839.206428	19618.315073	11567.129944	7900.40445
2.0	23335.166891	14979.813071	7852.014238	5703.56944
2.1	17073.825352	11235.065063	5748.538498	4092.250654
2.2	12447.856913	8278.822959	4171.029368	2916.76221
2.3	8988.275427	6051.198706	2999.302868	2063.902055
2.4	6451.590251	4382.450029	2136.763955	1448.717853
2.5	4604.764275	3138.818098	1507.143313	1007.715206
2.6	3254.848483	2221.692328	1051.29023	693.602842
2.7	2274.364742	1552.682112	724.007831	471.38146
2.8	1568.576123	1069.819109	491.120767	315.298072
2.9	1065.384302	725.03755	326.973523	206.576905
3.0	710.441843	481.645623	212.469384	131.441022
3.1	463.003186	311.952206	133.498694	80.062393
3.2	292.801022	195.267882	79.729987	45.339465
3.3	177.494363	116.325462	43.703904	22.211282
3.4	100.732743	63.802681	19.938049	7.103728
3.5	50.676407	29.629929	4.647154	-2.485798
3.6	18.858928	7.989476	-4.867602	-8.300094
3.7	-0.690396	-5.22489	-10.485577	-11.552066
3.8	-12.122471	-12.865634	-13.504564	-13.08948
3.9	-18.282967	-16.882779	-14.817509	-13.507955
4.0	-21.096262	-18.589522	-15.037761	-13.226008
4.1	-21.845006	-18.859549	-14.585947	-12.534205
4.2	-21.371074	-18.26928	-13.748714	-11.628847
4.3	-20.218181	-17.196395	-12.718359	-10.637034
4.4	-18.731232	-15.886161	-11.619927	-9.636342
4.5	-17.124129	-14.495293	-10.530981	-8.671152
4.6	-15.524919	-13.121477	-9.495616	-7.764563
4.7	-14.005797	-11.822266	-8.535603	-6.927241
4.8	-12.60319	-10.62768	-7.65877	-6.162889
4.9	-11.33092	-9.548925	-6.864947	-5.471507
5.0	-10.188913	-8.584558	-6.149944	-4.851004
5.1	-9.169195	-7.725879	-5.508317	-4.298101
5.2	-8.259835	-6.960899	-4.934212	-3.808701
5.3	-7.447869	-6.277543	-4.422234	-3.377997
5.4	-6.721108	-5.66549	-3.967118	-3.000833
5.5	-6.069192	-5.116424	-3.564006	-2.671771
5.6	-5.483796	-4.624102	-3.208047	-2.385436
5.7	-4.958416	-4.183459	-2.894432	-2.136614
5.8	-4.487816	-3.790322	-2.618521	-1.920426
5.9	-4.067537	-3.440439	-2.375788	-1.732408
6.0	-3.693301	-3.129875	-2.162031	-1.568575
6.2	-3.066002	-2.609802	-1.806524	-1.299967
6.4	-2.571654	-2.198122	-1.526784	-1.092083
6.6	-2.178649	-1.868202	-1.304216	-0.92853
6.8	-1.86212	-1.600856	-1.125291	-0.79779
7.0	-1.604743	-1.382813	-0.979946	-0.691871
7.2	-1.394613	-1.204257	-0.860593	-0.605064
7.4	-1.222518	-1.057312	-0.761377	-0.533413
7.6	-1.080638	-0.935201	-0.678013	-0.473897
7.8	-0.962358	-0.832534	-0.607399	-0.42424
8.0	-0.862468	-0.745364	-0.547329	-0.382464
8.2	-0.777212	-0.670697	-0.49602	-0.34721
8.4	-0.704011	-0.606674	-0.452167	-0.31724
8.6	-0.64096	-0.551597	-0.414549	-0.29164
8.8	-0.586671	-0.504246	-0.382199	-0.269596
9.0	-0.539891	-0.463481	-0.354238	-0.250517
9.5	-0.448865	-0.383956	-0.299015	-0.212713
10.0	-0.384062	-0.326804	-0.258497	-0.184928
10.5	-0.335977	-0.284097	-0.227579	-0.163755
11.0	-0.298978	-0.250997	-0.203322	-0.147127
11.5	-0.269724	-0.224662	-0.183679	-0.133705
12.0	-0.246058	-0.203245	-0.16753	-0.122605
12.5	-0.2265	-0.185441	-0.153919	-0.113237
13.0	-0.210078	-0.170414	-0.142258	-0.105191
13.5	-0.196041	-0.157508	-0.132164	-0.098172
14.0	-0.183885	-0.146279	-0.12329	-0.091982
14.5	-0.173254	-0.136437	-0.115395	-0.086428
15.0	-0.163826	-0.127663	-0.108335	-0.081444
16.0	-0.147846	-0.112723	-0.096126	-0.072713
17.0	-0.134686	-0.100378	-0.08595	-0.065287
18.0	-0.123652	-0.089966	-0.077208	-0.058882
19.0	-0.114189	-0.081007	-0.069628	-0.053243
20.0	-0.105789	-0.073094	-0.06301	-0.04821
21.0	-0.098209	-0.066014	-0.057146	-0.043681
22.0	-0.091934	-0.059982	-0.051873	-0.039827
23.0	-0.086307	-0.054569	-0.047091	-0.036076
24.0	-0.081231	-0.049663	-0.042809	-0.032623
25.0	-0.076591	-0.045223	-0.038855	-0.029453
50.0	-0.025334	0.004384	0.00608	0.008482
100.0	-0.002447	0.026826	0.027257	0.027881
