T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.797934542437265369e-12 7.587185011045267036e-13 1.275319695984894075e-12 2.524719478027261695e-13 1.095313722690446409e-13 7.761518033862383045e-14 4.146154453625480752e-14 2.261011360515449392e-15 6.933178051924801813e-16 4.627014147791232324e-16 1.753963470593929083e-12 6.404196677687404205e-12 1.461702884696254120e-12 5.791248740719134978e-13 2.822739568652600391e-13 2.007493647376304769e-13 8.754132448727671166e-15 2.967484642434114539e-15 1.875160680734717201e-15 1.993835799388114864e-12 1.386844484842347635e-11 1.075998021001031609e-12 1.250406570506012108e-12 4.154407785101034053e-13 3.048772869706105762e-14 7.012609088195944864e-15 5.659567162554350839e-15 1.316353814579621644e-12 1.333133933576141059e-11 1.175401759000478958e-12 1.973170664368456551e-12 4.727257275267204466e-14 2.378764016573020446e-14 1.088761170228344537e-14 1.128479088403969199e-12 1.824040160787477460e-11 1.179840152270304865e-12 2.416945002851605457e-13 3.002551884021294654e-14 3.675433338058377008e-14 1.578677586834660339e-12 2.065597163196325144e-11 1.131761604082475981e-13 1.617610622203688190e-13 3.881524349360651603e-14 2.027477147511827117e-12 2.219574224052795822e-12 6.521446706870187512e-14 2.133832871986467281e-13 2.249922188170886966e-13 1.115779095175810979e-12 8.320580077467663557e-14 1.618163348253424301e-13 1.259966112629126114e-12 2.165887395146757455e-13
2.000000000000000000e+00 3.802146104417320248e-12 1.717964818399562023e-12 1.614622598526939081e-12 2.274644205101307343e-13 1.263052507151081948e-13 8.537033593731765151e-14 4.579718527630505110e-14 2.624669414391382192e-15 1.206425114855691362e-15 7.452685219398223267e-16 2.183506193343297625e-12 6.496367560648100049e-12 1.446104335791798069e-12 6.559959473080121017e-13 3.160465145823313752e-13 2.212158879859937417e-13 1.030188683148764063e-14 5.162391553644318447e-15 3.039876046501361976e-15 2.115253804604786507e-12 1.229026902378653062e-11 1.334231852320255672e-12 1.369795556889575342e-12 4.693211058686508513e-13 3.590445689318280234e-14 1.232147594844304173e-14 9.180257707521546772e-15 1.220990751043402373e-12 1.563913849458291118e-11 1.372703028069909517e-12 2.194217430684521729e-12 5.712876141224043989e-14 4.176083978460801465e-14 1.782447562827687897e-14 1.286117425371475892e-12 2.066915708518737253e-11 1.365282670358233527e-12 2.907408004671849239e-13 5.344582704177574710e-14 6.003662539863088845e-14 1.761895605310928551e-12 2.367057841093508393e-11 1.385842452041275795e-13 2.856964353208998580e-13 6.408841933539967118e-14 2.300958123117526808e-12 2.661192285115836466e-12 1.157455384846960772e-13 3.512773122653657635e-13 2.750728639989759172e-13 1.982219660362713746e-12 1.373447138770948605e-13 2.845378143987848331e-13 2.102048594227586652e-12 3.566058587579280744e-13
3.000000000000000000e+00 4.731578852811008180e-12 2.578925889846899459e-12 1.739263701627500390e-12 2.227626567640967347e-13 1.339201252185090639e-13 9.003339018730014504e-14 4.840000355493534903e-14 2.820199499807979073e-15 1.444480190557971890e-15 8.691776873788892196e-16 2.480823619611823843e-12 6.517470713456600151e-12 1.457772083323728010e-12 6.917520193771566981e-13 3.347649538667749827e-13 2.333489221113031392e-13 1.112382789480799790e-14 6.173397070632097110e-15 3.550964886762417743e-15 2.154409425414423926e-12 1.165033891398807328e-11 1.453794820841669121e-12 1.435749661296481313e-12 4.994929906170205494e-13 3.868828369257645298e-14 1.477262268083801733e-14 1.071074861961630457e-14 1.170490521265546605e-12 1.654245641346219455e-11 1.478399937531435898e-12 2.313858264117429513e-12 6.216246410092167197e-14 4.993281472179995937e-14 2.085745014659120789e-14 1.319703871021290270e-12 2.179361640522039837e-11 1.465962065768636830e-12 3.140656662712668782e-13 6.422432396620313593e-14 7.008172783388100885e-14 1.812473479107450793e-12 2.509259722966357961e-11 1.503911123197719549e-13 3.414730167758590338e-13 7.518661270283771599e-14 2.398962971027491169e-12 2.821038966048333884e-12 1.386989926100944566e-13 4.111319236811480444e-13 2.965556438709684095e-13 2.375407947381100844e-12 1.607905280247322109e-13 3.345465986490435440e-13 2.468741348029145065e-12 4.128716519789662845e-13
4.000000000000000000e+00 5.218437573883828351e-12 3.382812880722804483e-12 1.763078112244733312e-12 2.229556181203224017e-13 1.376211491555805484e-13 9.280369265297274562e-14 4.976241549369142703e-14 2.940801823625312101e-15 1.578401305180193907e-15 9.371619653802201770e-16 2.690862528174727623e-12 6.486705537677848055e-12 1.455131780106342931e-12 7.107288622333142154e-13 3.445704376115327293e-13 2.395127145155610264e-13 1.161013462379132698e-14 6.736270844860317927e-15 3.827805445390010666e-15 2.198827714092301398e-12 1.123254183453548845e-11 1.508590401886407566e-12 1.468833666478999670e-12 5.139271227057829345e-13 4.027010678837510717e-14 1.611729619303766758e-14 1.152570150228691411e-14 1.166790374721670419e-12 1.685048299090152341e-11 1.531221832785889069e-12 2.365809164020126447e-12 6.490361590068728291e-14 5.431195309573839941e-14 2.245662528762436735e-14 1.340949291046602357e-12 2.223410819522327130e-11 1.512826672448569101e-12 3.257380100478172147e-13 6.996860827616450338e-14 7.526136786485996619e-14 1.827123678252735585e-12 2.562998755622336172e-11 1.561866206764905764e-13 3.702407499271917224e-13 8.093062854649191432e-14 2.417898465282138735e-12 2.880229271262696334e-12 1.505377240926726665e-13 4.413371512940202530e-13 3.054304652101764033e-13 2.573761397255810275e-12 1.724482291894533114e-13 3.570204527914548029e-13 2.649630338135217845e-12 4.379556606884767851e-13
5.000000000000000000e+00 5.492095333383227234e-12 4.140602608335590549e-12 1.742075548520425351e-12 2.259099614470784936e-13 1.399002708429722740e-13 9.484934188027516058e-14 5.028895184326395824e-14 3.029349448213253233e-15 1.667738561760604836e-15 9.826699570241262252e-16 2.864146520417114951e-12 6.436610266660964984e-12 1.447279390523067781e-12 7.245703890579713919e-13 3.505649601076227290e-13 2.417004176693738624e-13 1.194605082229677639e-14 7.107819883497404192e-15 4.009004696977050504e-15 2.229470965383918294e-12 1.093709271022610609e-11 1.535963677714686562e-12 1.489044343391005197e-12 5.185119304713976520e-13 4.132368393434094880e-14 1.698057413376242770e-14 1.204788481750133551e-14 1.187845973247674348e-12 1.693130869707420657e-11 1.560220154808628371e-12 2.376093423007591893e-12 6.659656490710045327e-14 5.705083388210974406e-14 2.345827262632835931e-14 1.369727569874719933e-12 2.238746898297807294e-11 1.527282140506220272e-12 3.323579508073445221e-13 7.348759711402323771e-14 7.841542023527532868e-14 1.840410008164066488e-12 2.566588209203645566e-11 1.593871540147247745e-13 3.871981355286181108e-13 8.439232416101726956e-14 2.397251832699620852e-12 2.900873868196092669e-12 1.574544701266544744e-13 4.588888560169281528e-13 3.092075820039779247e-13 2.685253739863659543e-12 1.790176858680421282e-13 3.680347019207942979e-13 2.749842250662044596e-12 4.498689578519622655e-13
6.000000000000000000e+00 5.644645228029986671e-12 4.836707812162745626e-12 1.700913837889342831e-12 2.308733613739644212e-13 1.417422410218565503e-13 9.666778465050832253e-14 5.016609239720748190e-14 3.105392291478869789e-15 1.736251140672791810e-15 1.018464637017192415e-15 3.013361745302999281e-12 6.387523256641525315e-12 1.438930315800591591e-12 7.376982078059317319e-13 3.549495194235070670e-13 2.408303692829265643e-13 1.221573435151330048e-14 7.390506524865273695e-15 4.147708467007197393e-15 2.246241540863886277e-12 1.072941310255632110e-11 1.551329187584107012e-12 1.504825945298939360e-12 5.159811005813512763e-13 4.215166817342838003e-14 1.761311180657718305e-14 1.243952458328424942e-14 1.220548727058314307e-12 1.692944704390894150e-11 1.577948715721760060e-12 2.356568408959466057e-12 6.779804341824621795e-14 5.901124332894749015e-14 2.418547193082018359e-14 1.405359777901056353e-12 2.241953433585826456e-11 1.519317364753346137e-12 3.367671570192222946e-13 7.591682596774122794e-14 8.064243374944234130e-14 1.859606796669342885e-12 2.536891806848839081e-11 1.614405396108632917e-13 3.984662023062843540e-13 8.677494868541135025e-14 2.352585888178758868e-12 2.906541945632116969e-12 1.619793294973400167e-13 4.704857053939580268e-13 3.112053199119980380e-13 2.754231195824172906e-12 1.831635401545954499e-13 3.740529577537689118e-13 2.811511290189093428e-12 4.557625435377563025e-13
7.000000000000000000e+00 5.721192874289686340e-12 5.460432134060325337e-12 1.651763464923078587e-12 2.374260177320650991e-13 1.435360989945366791e-13 9.842305693863900086e-14 4.954833658251549504e-14 3.178324588655666539e-15 1.794801415687615378e-15 1.050164144334328731e-15 3.139810238339220637e-12 6.353072783074519607e-12 1.431823018504092873e-12 7.517170562069324545e-13 3.585738675018124433e-13 2.376479082995433348e-13 1.245929132049951572e-14 7.631189849510417230e-15 4.267282441115075150e-15 2.254621608823186278e-12 1.058918832871250279e-11 1.561351068308162584e-12 1.519136913706314446e-12 5.082851106630463831e-13 4.289681039426880454e-14 1.812933670529603688e-14 1.277201181112453809e-14 1.259013361494444862e-12 1.690343912362388975e-11 1.589606105259780294e-12 2.315575634438696662e-12 6.876899726676211640e-14 6.058538985002040841e-14 2.478042396548030717e-14 1.444765620934450315e-12 2.239648900105301773e-11 1.495562283629529673e-12 3.402546438693628026e-13 7.777488061517123847e-14 8.242646473497482767e-14 1.883226466436170672e-12 2.484470289406050939e-11 1.629881889728679931e-13 4.068227002059609759e-13 8.861247013701901532e-14 2.292489907915762631e-12 2.906916512542143300e-12 1.652688377888312821e-13 4.791087864257661981e-13 3.128167888582871491e-13 2.800944384153814191e-12 1.860845627642250945e-13 3.779448651676074761e-13 2.853525027242136679e-12 4.588698913411282631e-13
8.000000000000000000e+00 5.747371617186141847e-12 6.010924271140848672e-12 1.600864464623593622e-12 2.452937803935151305e-13 1.454216794361536540e-13 1.001242502254776752e-13 4.857916206727202505e-14 3.252854351605914120e-15 1.848880045716985196e-15 1.080525360494672265e-15 3.244233878663415736e-12 6.340862909043933751e-12 1.426448692008242073e-12 7.670806054711027696e-13 3.616747681109145124e-13 2.328361376377078886e-13 1.269676119927730543e-14 7.853530634824500855e-15 4.379119405364552503e-15 2.259408329117208907e-12 1.050230053665807523e-11 1.568993861582078492e-12 1.532477602038654855e-12 4.970425957361037196e-13 4.362937963322395367e-14 1.858681434807712037e-14 1.308016426618543622e-14 1.300735629430257654e-12 1.687674460530540929e-11 1.597175741842435309e-12 2.260019121491038244e-12 6.963827212993021486e-14 6.196947893119770930e-14 2.531219493225941352e-14 1.485798064545558365e-12 2.234163947581520690e-11 1.461173270425817829e-12 3.434354762736335886e-13 7.932170939390601617e-14 8.400255789388883221e-14 1.908027600930384043e-12 2.417255191311595221e-11 1.643250623280147364e-13 4.136489717804256715e-13 9.016530538231069848e-14 2.222954267207812801e-12 2.906196788422019656e-12 1.678939301264660821e-13 4.862116710706781895e-13 3.145610042064087457e-13 2.835470640917904836e-12 1.883686509614247834e-13 3.810117600398108896e-13 2.885107969957863682e-12 4.607513076291602724e-13
9.000000000000000000e+00 5.739325593615843687e-12 6.493832036784143814e-12 1.551380763792790033e-12 2.542735863514117940e-13 1.474257168342682162e-13 1.017216834488243819e-13 4.738051586210309783e-14 3.331382536570705333e-15 1.901462296207688773e-15 1.111013986275489431e-15 3.328740958600653994e-12 6.354014498998959671e-12 1.422803109383126033e-12 7.837234022427563029e-13 3.642400011269206156e-13 2.269718183368683498e-13 1.293840983340045788e-14 8.070306462909922329e-15 4.489212534749174347e-15 2.263716580963303377e-12 1.045822729491249472e-11 1.575523117601416420e-12 1.544403436151620808e-12 4.835506015712917105e-13 4.438454085519916514e-14 1.901654169004589598e-14 1.338226177335223318e-14 1.344548105495138195e-12 1.685735553671608423e-11 1.601299674538605750e-12 2.195427696826551015e-12 7.047171369026903388e-14 6.326818407538770401e-14 2.581682321559310262e-14 1.527173904670611184e-12 2.226065433079761333e-11 1.420131673473555598e-12 3.466101495227093751e-13 8.069663143411141217e-14 8.549299309588583586e-14 1.931201799436068728e-12 2.341252421090867989e-11 1.655897753312857350e-13 4.196778700081870153e-13 9.156951628620971118e-14 2.148385010445398717e-12 2.906224722646888465e-12 1.701517522565153264e-13 4.925516965879650221e-13 3.165855013518559582e-13 2.863159853505539337e-12 1.903209660338559472e-13 3.838290599727839543e-13 2.911062341499306437e-12 4.621744550930465356e-13
1.000000000000000000e+01 5.707918748535146603e-12 6.917612786771492219e-12 1.504827223224867148e-12 2.641913475667565233e-13 1.495213074107064593e-13 1.031568392669113337e-13 4.604779859697569227e-14 3.415124391688210619e-15 1.954235418823585553e-15 1.142454192656077403e-15 3.396320721923800349e-12 6.392748865323022783e-12 1.420686931329831536e-12 8.013314601978849822e-13 3.661886118561333291e-13 2.205043154790743759e-13 1.318948384714591702e-14 8.288723706393256588e-15 4.600881786152044186e-15 2.269320407581175035e-12 1.044866125445771463e-11 1.581379896668176285e-12 1.554272501676865778e-12 4.687902380623759864e-13 4.517960945004396383e-14 1.943596748040420347e-14 1.368837624009891691e-14 1.389759873201571878e-12 1.684611805399330670e-11 1.602147895117617925e-12 2.125976019538553659e-12 7.130339605919314722e-14 6.453962160694457667e-14 2.631403768362496017e-14 1.568046458019963898e-12 2.215319813716525104e-11 1.375386043344992699e-12 3.499235378472039728e-13 8.197783877971247197e-14 8.696424029080118724e-14 1.950849953790364401e-12 2.260846085774178860e-11 1.668478003860702771e-13 4.253148900799459135e-13 9.289965779992691259e-14 2.071960200040694320e-12 2.907761632580268846e-12 1.722032753845268890e-13 4.985414127778131543e-13 3.188962042380093428e-13 2.886986576812792608e-12 1.921058869773360801e-13 3.866359877453692271e-13 2.934005222051476746e-12 4.635133248406091137e-13
