R	Gamma	E
1.00	0	938322.802597
1.00	10	666908.29838
1.00	20	331579.38605
1.00	30	173454.482346
1.00	40	115843.669585
1.00	50	93237.781785
1.00	60	81552.55668
1.00	70	75650.670992
1.00	80	75524.468544
1.00	90	81428.947672
1.00	100	94642.848693
1.00	110	108042.127492
1.00	120	111464.822089
1.00	130	119079.533667
1.00	140	146157.92083
1.00	150	246101.488878
1.00	160	584983.135107
1.00	170	1576253.455191
1.00	180	2778172.584226
1.10	0	1771570.022348
1.10	10	1038587.529851
1.10	20	384235.6188
1.10	30	159812.629956
1.10	40	95859.965515
1.10	50	75973.399174
1.10	60	66749.687604
1.10	70	62230.385047
1.10	80	62800.999422
1.10	100	98603.314663
1.10	110	94351.702649
1.10	120	95341.741763
1.10	130	99387.514377
1.10	140	121768.32781
1.10	150	223598.337479
1.10	160	636136.338681
1.10	170	2345367.39264
1.10	180	7269961.871701
1.20	0	3873049.231512
1.20	10	1583194.928895
1.20	20	426905.829331
1.20	30	143880.675428
1.20	40	78086.070735
1.20	50	61287.588081
1.20	60	54126.296292
1.20	90	56791.025844
1.20	100	59564.925022
1.20	110	78173.973758
1.20	120	79790.814381
1.20	130	82359.594983
1.20	140	99907.548312
1.20	150	192373.262824
1.20	160	609327.236954
1.20	170	2742890.525294
1.30	10	2088920.040975
1.30	20	432006.513749
1.30	30	124406.7
1.30	40	62624.247833
1.30	50	48888.053027
1.30	60	43177.28296
1.30	70	39942.406859
1.30	90	40367.035506
1.30	100	46244.917343
1.30	110	61831.240559
1.30	130	67861.226393
1.30	140	81288.248819
1.30	150	157055.324622
1.30	160	510356.888425
1.30	170	2241427.164068
1.40	10	2084671.448881
1.40	20	387992.41414
1.40	30	102474.765881
1.40	40	49684.041865
1.40	50	38692.326045
1.40	60	33881.945027
1.40	90	31457.883405
1.40	100	35216.225255
1.40	110	47818.535055
1.40	130	55710.573992
1.40	140	66261.963503
1.40	150	123805.752731
1.40	160	385004.132076
1.40	170	1442435.924466
1.40	180	3408116.838938
1.50	0	6021374.529797
1.50	10	1558853.29305
1.50	20	310243.391778
1.50	30	80703.29753
1.50	40	39319.333011
1.50	50	30518.493666
1.50	60	26237.010351
1.50	70	23539.747484
1.50	90	23675.388078
1.50	100	26462.966613
1.50	110	36535.04135
1.50	120	42356.878406
1.50	130	45607.606881
1.50	140	54629.764575
1.50	150	96884.438506
1.50	160	274663.838512
1.50	170	862892.317453
1.50	180	1605350.937477
1.60	0	2375916.802386
1.60	10	981537.939487
1.60	20	226030.212237
1.60	30	61681.193506
1.60	40	31363.14651
1.60	50	24078.689903
1.60	60	20112.681833
1.60	70	17645.83123
1.60	90	17540.751457
1.60	100	19671.681205
1.60	110	27684.731818
1.60	120	32852.891482
1.60	130	37195.42764
1.60	140	45761.741833
1.60	150	77549.574418
1.60	160	195761.175523
1.60	170	523432.654853
1.60	180	864958.560458
1.70	0	1119335.37027
1.70	10	573685.668405
1.70	20	154877.351722
1.70	30	46868.913691
1.70	40	25444.367819
1.70	50	19032.57967
1.70	60	15265.840316
1.70	70	13103.596084
1.70	90	12841.102515
1.70	100	14472.709122
1.70	110	20859.168491
1.70	120	25296.065394
1.70	130	30159.328589
1.70	140	38864.875323
1.70	150	64811.712079
1.70	160	146935.628199
1.70	170	343986.034495
1.70	180	530057.796565
1.80	0	562124.205131
1.80	10	327601.847655
1.80	20	103517.749894
1.80	30	36483.709063
1.80	40	21127.62264
1.80	50	15101.735424
1.80	60	11476.119689
1.80	70	9658.378727
1.80	90	9321.905449
1.80	100	10568.350512
1.80	110	15697.209704
1.80	120	19394.902187
1.80	130	24294.80915
1.80	140	33247.760314
1.80	150	56667.845539
1.80	160	120232.965341
1.80	170	258518.256679
1.80	180	386558.660123
1.90	0	295771.358401
1.90	10	188772.598216
1.90	20	70459.580351
1.90	30	29828.797055
1.90	40	17936.320513
1.90	50	12021.66975
1.90	60	8583.115232
1.90	70	7068.179368
1.90	90	6713.489603
1.90	100	7661.25885
1.90	130	19408.671383
1.90	140	28379.223487
1.90	150	50973.126278
1.90	160	107064.78181
1.90	170	226216.165281
1.90	180	356922.181717
2.00	0	164658.757891
2.00	10	113778.587402
2.00	20	51202.858934
2.00	30	25803.847188
2.00	40	15446.659596
2.00	50	9569.534597
2.00	70	5132.981984
2.00	90	4795.248547
2.00	100	5512.24916
2.00	130	15347.983771
2.00	140	23976.706709
2.00	150	46062.909601
2.00	160	100267.388919
2.00	170	222587.245817
2.00	180	441458.300679
2.10	0	100385.859231
2.10	10	75280.549603
2.10	20	41099.606997
2.10	30	23298.398814
2.10	40	13352.496045
2.10	50	7562.998954
2.10	70	3697.70249
2.10	90	3395.525642
2.10	100	3934.859641
2.10	130	11945.51181
2.10	140	19948.486486
2.10	150	40996.680228
2.10	160	94491.368518
2.10	170	230473.821336
2.10	180	772378.782564
2.20	0	70302.491098
2.20	10	57106.182176
2.20	20	36338.126442
2.20	30	21397.044276
2.20	40	11469.32557
2.20	50	5938.690258
2.20	70	2640.572607
2.20	90	2381.545722
2.20	100	2784.663824
2.20	130	9130.867727
2.20	140	16302.235412
2.20	150	35535.175299
2.20	160	86481.143736
2.20	170	231491.411826
2.30	0	57865.763748
2.30	10	49794.77304
2.30	20	34045.057135
2.30	30	19486.71069
2.30	40	9710.380354
2.30	50	4650.653645
2.30	70	1866.112434
2.30	90	1652.299086
2.30	100	1951.55891
2.30	130	6896.579395
2.30	140	13062.376421
2.30	150	29897.086736
2.30	160	75546.783369
2.30	170	208662.565264
2.40	0	54341.14402
2.40	10	47822.52686
2.40	20	32630.202974
2.40	30	17292.27399
2.40	40	8032.533166
2.40	50	3612.273714
2.40	60	1915.716711
2.40	70	1304.683406
2.40	90	1131.818627
2.40	100	1352.404411
2.40	120	3072.433178
2.40	130	5151.254464
2.40	140	10236.25718
2.40	150	24444.682419
2.40	160	63024.112935
2.40	170	171697.186757
2.50	0	55022.959416
2.50	10	47369.79679
2.50	20	29763.759837
2.50	30	14831.98717
2.50	40	6513.836332
2.50	60	1382.306736
2.50	70	898.180185
2.50	80	792.84208
2.50	90	763.394141
2.50	100	924.818928
2.50	120	2203.49465
2.50	130	3805.076524
2.50	140	7875.362463
2.50	150	19470.295795
2.50	160	50683.02204
2.60	0	57392.242533
2.60	10	44762.047172
2.60	20	25716.433556
2.60	60	986.469683
2.60	70	608.209546
2.60	80	530.436116
2.60	90	504.940715
2.60	100	622.198308
2.60	110	1011.979639
2.60	120	1563.397573
2.60	130	2778.765084
2.60	140	5964.243371
2.60	150	15136.708061
2.60	160	39670.598518
2.70	0	60154.733654
2.70	10	32021.121325
2.70	20	20412.91657
2.70	30	9975.340454
2.70	50	1623.935636
2.70	60	694.224535
2.70	70	402.759785
2.70	80	346.310728
2.70	90	325.433415
2.70	100	409.955525
2.70	110	694.408779
2.70	120	1095.49754
2.70	130	2004.698674
2.70	140	4450.273135
2.70	150	11559.797201
2.70	170	71244.774291
2.80	0	62706.180847
2.80	10	28795.255248
2.80	20	16167.932363
2.80	30	7836.519614
2.80	40	3205.267995
2.80	50	1207.754997
2.80	60	479.648286
2.80	70	258.720413
2.80	80	218.815573
2.80	90	202.15656
2.80	100	262.583494
2.80	120	756.406141
2.80	130	1426.899354
2.80	140	3273.388281
2.80	150	8683.134012
2.80	170	51468.742274
2.90	0	64813.109962
2.90	10	21630.225638
2.90	20	12754.853659
2.90	30	6049.890487
2.90	40	2441.567732
2.90	50	885.607943
2.90	60	324.357774
2.90	70	158.961357
2.90	80	131.517247
2.90	90	118.597024
2.90	100	161.4182
2.90	110	308.753403
2.90	120	512.992019
2.90	130	1000.150785
2.90	140	2373.030234
2.90	150	6424.924359
2.90	160	16952.399759
2.90	170	36930.444789
2.90	180	54169.522824
3.00	0	19236.115997
3.00	10	15949.045893
3.00	20	9620.836761
3.00	30	4595.043354
3.00	40	1833.294635
3.00	50	639.371865
3.00	60	212.763029
3.00	70	90.833607
3.00	80	72.63493
3.00	90	62.8375
3.00	100	92.899477
3.00	110	197.508425
3.00	120	339.827767
3.00	130	688.462548
3.00	140	1694.351173
3.00	150	4686.413285
3.00	160	12387.764167
3.00	170	26347.001775
3.00	180	36767.165182
3.10	0	13918.018508
3.10	10	11672.263117
3.10	20	7161.094217
3.10	30	3440.659438
3.10	40	1357.569061
3.10	50	453.492088
3.10	60	133.602308
3.10	70	45.118573
3.10	80	33.66128
3.10	90	26.34582
3.10	100	73.244438
3.10	110	120.704496
3.10	120	218.193029
3.10	130	463.502361
3.10	140	1189.721412
3.10	150	3370.335002
3.10	160	8938.059935
3.10	170	18673.016428
3.10	180	25287.901755
3.20	0	10040.094584
3.20	10	8483.225013
3.20	20	5269.783226
3.20	30	2543.810328
3.20	40	991.375343
3.20	50	315.021342
3.20	60	78.286484
3.20	70	15.113821
3.20	80	8.379992
3.20	90	3.070229
3.20	100	36.823153
3.20	110	68.504337
3.20	120	133.851026
3.20	130	303.228126
3.20	140	819.595563
3.20	150	2388.909599
3.20	160	6370.065137
3.20	170	13133.980049
3.20	180	17458.541561
3.30	0	7209.016571
3.30	10	6123.660524
3.30	20	3839.775042
3.30	30	1858.429054
3.30	40	713.528768
3.30	50	213.279644
3.30	60	40.299749
3.30	70	-4.006138
3.30	80	-7.465147
3.30	90	-11.236576
3.30	100	12.947281
3.30	110	33.602041
3.30	120	76.246896
3.30	130	190.649426
3.30	140	551.867464
3.30	150	1667.21221
3.30	160	4484.38983
3.30	170	9160.739917
3.30	180	12031.931588
3.40	0	5150.104831
3.40	10	4391.716789
3.40	20	2772.551023
3.40	30	1342.365937
3.40	40	505.552817
3.40	50	139.512175
3.40	60	14.763641
3.40	70	-15.675335
3.40	80	-16.91691
3.40	90	-19.521567
3.40	100	-2.253641
3.40	110	10.780412
3.40	120	37.627704
3.40	130	112.857623
3.40	140	361.017067
3.40	150	1143.527782
3.40	160	3117.012202
3.40	170	6331.995086
3.40	180	8250.569687
3.50	0	3659.636693
3.50	10	3129.380046
3.50	20	1984.382362
3.50	30	958.126288
3.50	40	351.893916
3.50	50	86.876288
3.50	60	-1.935054
3.50	70	-22.307874
3.50	80	-22.083738
3.50	90	-23.810424
3.50	100	-11.56967
3.50	110	-3.751052
3.50	120	12.312595
3.50	130	60.108283
3.50	140	227.092716
3.50	150	768.643219
3.50	160	2137.073851
3.50	170	4334.454441
3.50	180	5618.151409
3.60	0	2585.502397
3.60	10	2214.858405
3.60	20	1407.432042
3.60	30	675.336407
3.60	40	239.836211
3.60	50	49.914542
3.60	60	-12.434417
3.60	70	-25.582044
3.60	80	-24.416135
3.60	90	-25.487258
3.60	100	-16.870322
3.60	110	-12.582703
3.60	120	-3.763326
3.60	130	25.163085
3.60	140	134.752469
3.60	150	503.908486
3.60	160	1443.038811
3.60	170	2935.003095
3.60	180	3793.252647
3.70	0	1814.876206
3.70	10	1556.132754
3.70	20	988.584743
3.70	30	468.434152
3.70	40	159.138806
3.70	50	24.440064
3.70	60	-18.63677
3.70	70	-26.655673
3.70	80	-24.910274
3.70	90	-25.496862
3.70	100	-19.487284
3.70	110	-17.559547
3.70	120	-13.513228
3.70	130	2.701823
3.70	140	72.367188
3.70	150	319.657331
3.70	160	957.090215
3.70	170	1962.624123
3.70	180	2534.734852
3.80	0	1264.618685
3.80	10	1083.613038
3.80	20	686.957895
3.80	30	320.402388
3.80	40	101.779975
3.80	50	7.279868
3.80	60	-21.9005
3.80	70	-26.324468
3.80	80	-24.25043
3.80	90	-24.484824
3.80	100	-20.343978
3.80	110	-19.962166
3.80	120	-18.990588
3.80	130	-11.137269
3.80	140	31.248498
3.80	150	193.461816
3.80	160	620.818503
3.80	170	1293.013243
3.80	180	1672.415884
3.90	0	873.729948
3.90	10	748.148488
3.90	20	470.774934
3.90	30	214.790087
3.90	40	61.572926
3.90	50	-3.933675
3.90	60	-23.188957
3.90	70	-25.134149
3.90	80	-22.906922
3.90	90	-22.892709
3.90	100	-20.081832
3.90	110	-20.67741
3.90	120	-21.62897
3.90	130	-19.121871
3.90	140	4.991163
3.90	150	108.606053
3.90	160	390.987299
3.90	170	836.250403
3.90	180	1086.144654
4.00	0	597.602853
4.00	10	510.781782
4.00	20	318.36224
4.00	30	140.236882
4.00	40	33.823914
4.00	50	-10.946838
4.00	60	-23.182907
4.00	70	-23.458249
4.00	80	-21.200873
4.00	90	-21.019162
4.00	100	-19.144377
4.00	110	-20.318891
4.00	120	-22.419568
4.00	130	-23.209907
4.00	140	-11.061578
4.00	150	52.799231
4.00	160	236.039673
4.00	170	527.804726
4.00	180	691.038788
4.10	0	403.725282
4.10	10	343.975957
4.10	20	211.242303
4.10	30	88.195606
4.10	40	15.02371
4.10	50	-15.033699
4.10	60	-22.361241
4.10	70	-21.550235
4.10	80	-19.347566
4.10	90	-19.060195
4.10	100	-17.835203
4.10	110	-19.310841
4.10	120	-22.043048
4.10	130	-24.766203
4.10	140	-20.242058
4.10	150	17.121395
4.10	160	133.225508
4.10	170	321.818197
4.10	180	427.356503
4.20	0	268.487036
4.20	10	227.601007
4.20	20	136.629126
4.20	30	52.309979
4.20	40	2.583516
4.20	50	-17.116833
4.20	60	-21.059603
4.20	70	-19.578793
4.20	80	-17.486207
4.20	90	-17.13829
4.20	100	-16.357065
4.20	110	-17.94417
4.20	120	-20.962894
4.20	130	-24.729004
4.20	140	-24.894625
4.20	150	-4.824545
4.20	160	66.339324
4.20	170	186.050434
4.20	180	253.384336
4.30	0	174.817453
4.30	10	147.035585
4.30	20	85.154711
4.30	30	27.910764
4.30	40	-5.386199
4.30	50	-17.858264
4.30	60	-19.50913
4.30	70	-17.651502
4.30	80	-15.700564
4.30	90	-15.322839
4.30	100	-14.839107
4.30	110	-16.414978
4.30	120	-19.49289
4.30	130	-23.732993
4.30	140	-26.639061
4.30	150	-17.569077
4.30	160	23.955956
4.30	170	98.037598
4.30	180	140.22026
4.40	0	110.443019
4.40	10	91.730213
4.40	20	50.021241
