R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-85446319.59730278,115953996.2208145,-369119744.36193365,209299339.29348254,-465967036.55824727,208721437.55654156,-371869271.2902548,144267862.2127071,-192643446.80165064,61223950.69277467,-36442490.3751046,-5977832.018674429,50332022.890992746,-38545970.905243516,75228548.00970908,-40573156.25774312,85463455.9379703,-49551674.02265604,49480840.19889217
1.1,-54916742.029256105,74735230.27559505,-237325743.45891687,134952844.9874424,-299611790.9201901,134507998.12261158,-238986239.3138983,92675067.05693287,-123510852.1914222,38870872.42136898,-22832102.455340818,-4517113.356740333,33089830.418739412,-25442854.166867,49090617.28153873,-26680437.802661445,55806496.39944193,-32700804.40310299,32340471.419236954
1.2,-35172295.06213893,48023898.887009054,-152074503.83999294,86750473.54420368,-192018723.1588759,86406617.23952404,-153085273.3394031,59320430.83160181,-78902463.69043896,24550667.86710189,-14193761.707230374,-3383693.458512757,21741551.485584367,-16783925.75091389,31989690.006579794,-17526700.611452155,36387370.66668074,-21559145.11235147,21107094.30990302
1.3,-22438616.75121984,30756532.72751138,-97079662.34766237,55576045.72075996,-122616128.5301393,55309737.02806124,-97703799.9926863,37818051.83266899,-50202083.30494149,15412956.828953527,-8741530.226492098,-2516185.891075193,14277233.043448066,-11065224.249114353,20815572.08453348,-11501030.253434004,23688621.470173,-14198669.759986853,13754472.658326807
1.4,-14251838.311127134,19624391.550511934,-61709909.62676043,35469404.65743134,-77979573.27263258,35263110.056025036,-62103849.54599913,24000200.952044245,-31796109.89825746,9608396.126596406,-5322510.771025851,-1859452.2943669648,9370670.899178453,-7290634.882431885,13523958.431896064,-7538378.962283225,15396116.222133614,-9340593.743070565,8948506.116935292
1.5,-9006595.244900428,12469072.126067474,-39038271.122048855,22540457.447353374,-49364799.09167716,22380823.210150305,-39294409.46967747,15152002.806916544,-20034422.67938736,5940112.6672144225,-3194841.0209974376,-1366740.4126010202,6147386.317417532,-4800761.822034323,8772559.791656064,-4935124.542605064,9988982.93588207,-6137297.056797478,5811695.529811512
1.6,-5659045.785718953,7885197.038810301,-24560518.8336105,14254930.397362957,-31087469.44956828,14131649.863709476,-24733137.326427292,9508660.283592084,-12548740.783228762,3635643.865172152,-1882868.9551119704,-999860.0581189384,4031147.0109380465,-3159351.087097595,5681009.406149417,-3226788.832528499,6468798.9027705435,-4027337.3814160805,3767490.374283239
1.7,-3531995.950649208,4959555.9471407905,-15354297.429752233,8965178.11569749,-19460477.454048265,8870225.523011878,-15475198.719351608,5925597.41183259,-7806109.710433027,2197974.81197964,-1082870.0833907342,-728419.7330414002,2642505.4285174212,-2077945.3832337859,3672578.16057866,-2107015.5393325905,4180891.699188791,-2639103.7747660694,2437508.035018793
1.8,-2187208.816498203,3100064.4683263316,-9528196.088286418,5602376.5224192785,-12097939.104582364,5529470.02957044,-9616046.780631172,3662362.096638776,-4816854.727006404,1308418.4852437873,-601806.4562930377,-528697.2537552383,1731766.6894921854,-1365926.0388114476,2369917.160269479,-1373920.003055775,2696525.449091401,-1726826.2556148663,1573722.8280851252
1.9,-1341866.13933791,1923776.6276688515,-5861345.167455849,3474878.162210145,-7460047.835587248,3419090.0357104517,-5927201.836461662,2241277.9669357482,-2943880.2265569526,763423.8020230712,-317647.13500488526,-382449.9481518119,1134731.6049135595,-897405.0052340378,1526451.9347836943,-894587.5516901957,1735300.209155024,-1128098.8669767245,1013766.9183699542
2.0,-814008.1101898719,1183676.3556815446,-3568044.5034613446,2136319.027790445,-4555934.481139346,2093783.6632728404,-3618585.597054814,1355147.33524102,-1778369.3744958278,433550.1680844656,-153730.26444780352,-275813.9917464804,743496.0858663251,-589295.3527563934,981282.3497153106,-581597.8549831936,1114089.1201852239,-735700.1660808555,651494.0136041328
2.1,-486965.0718882326,720900.5406787544,-2144327.7846767525,1299494.0339145004,-2750032.6152460864,1267183.6986782392,-2183721.081924626,807095.892077493,-1058922.394668486,236897.9671829473,-62249.217996968335,-198354.36902894004,487197.8577734794,-386794.0122156874,629566.230345321,-377513.1651695277,713473.2206149183,-478910.5950044718,417613.89122382156
2.2,-286217.1683040326,433616.41585513507,-1268139.3915422189,780221.8535714272,-1636143.9784991674,755771.2908318489,-1299107.5246300586,471446.16887595475,-619065.553470109,121947.7367450521,-13652.867364384434,-142279.48167758688,319330.7503498202,-253776.89888869866,403092.70222485403,-244636.9000949133,455702.6006654474,-311134.5578814023,266966.0116001063
2.3,-164372.91571655808,256788.47210890433,-734532.681596033,460829.76252945757,-955711.2721118623,442397.40437653364,-758953.6574357611,268325.8019287863,-353256.63313211576,56509.60143208092,10131.167334692014,-101810.73341969005,209392.20913148866,-166447.91555486145,257554.5413036319,-158257.56896487312,290242.87216558575,-201705.5503194641,170165.71324436064
