T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.487035049607952723e-10 5.375373829287801829e-11 2.251612351623365377e-11 9.526288601900309923e-12 7.773219379673829676e-12 5.253087227706566265e-12 4.045567524721992474e-12 2.663433725492670289e-12 2.207379468241142284e-12 2.062075844962786383e-12 2.181128178894535877e-10 6.808191394399482436e-11 4.169593257530930486e-11 2.308875731695052808e-11 1.906039353189947486e-11 1.326356012084074095e-11 7.631277970216630012e-12 1.009166805604065691e-11 5.216671417924154303e-12 2.623166916570687108e-10 7.586115452845890452e-11 5.027592104102249482e-11 2.616467102788189484e-11 2.301851319413232613e-11 1.351175667953346419e-11 1.131181408737331856e-11 1.204654711073584484e-11 2.553573914818990207e-10 7.357315779019297719e-11 5.663634491054141300e-11 3.333212980908121967e-11 3.264955223303034131e-11 1.996158134252850225e-11 1.642441075141225087e-11 2.257272526263547782e-10 7.063915423626544383e-11 5.894916643478778917e-11 2.627928568589722319e-11 2.783781003493122022e-11 2.254640567591668028e-11 2.121780910231586282e-10 7.867535606259996996e-11 6.235790071597460073e-11 3.199122926947807542e-11 3.350716966783710492e-11 1.824065372455352309e-10 6.984438651881021337e-11 6.892377476131587841e-11 3.111988441207177954e-11 1.759122044032209986e-10 7.475772661260591752e-11 6.712782711085321172e-11 1.485895034238833071e-10 9.239136646256869509e-11 1.320136656963627039e-10
2.000000000000000000e+00 1.510787338366655523e-10 4.083470864271711921e-11 1.979943376261506326e-11 9.043746662982643129e-12 7.364202067613861215e-12 4.536665198219930294e-12 3.995632771072258873e-12 2.997784280689333127e-12 1.900240031001498270e-12 2.487959504609556402e-12 2.149566406805987788e-10 5.889528402571265381e-11 3.714030366719264497e-11 2.039181321898066077e-11 1.807964518501000022e-11 1.238199369763158717e-11 8.020328637160673021e-12 1.019681388270903358e-11 4.741938694317094652e-12 2.469842535311674153e-10 6.828347243972618601e-11 4.552291820975407444e-11 2.348170933798082230e-11 2.216132458644136568e-11 1.534450796853725813e-11 1.132784339945240024e-11 1.146285241689374103e-11 2.473947186612502055e-10 6.850489355462285249e-11 5.195628324440940843e-11 3.014851825662948734e-11 2.863672254640166481e-11 1.912991739612110479e-11 1.361898855485251924e-11 2.325533769948530935e-10 6.888869508352985848e-11 5.691032504318815380e-11 2.665995205202444830e-11 2.683836169511332282e-11 2.045983933485959204e-11 2.210955996248604711e-10 7.475122212117615147e-11 5.821930463815230944e-11 2.939092709664676832e-11 3.093942600754016173e-11 1.945813255262611955e-10 7.053722446951162833e-11 6.278975023500178737e-11 3.072055253386676854e-11 1.862949398089083981e-10 7.234768206307625099e-11 6.111923240276755331e-11 1.630232683928286892e-10 8.349308655990873239e-11 1.493080517731886133e-10
3.000000000000000000e+00 1.471685302451198385e-10 3.532228526744013368e-11 1.827782421180058908e-11 8.942389550855715082e-12 7.339454665818823564e-12 4.432296986363458164e-12 4.083487260806082776e-12 3.201195303253902998e-12 1.906416383664667840e-12 2.541830669093052628e-12 2.068128437456870379e-10 5.575830864610100760e-11 3.495916719378197869e-11 1.968504011644077847e-11 1.745157906873029378e-11 1.209546582521014383e-11 8.366629713498449106e-12 1.010562040127354607e-11 4.714962621085671720e-12 2.338499227635559663e-10 6.682010916872485039e-11 4.359044990464394005e-11 2.286466711816209946e-11 2.160557696358688864e-11 1.625425882585480794e-11 1.122541703977601891e-11 1.119294693329024616e-11 2.370837101029701372e-10 6.800330521275142153e-11 4.984388565412856657e-11 2.957452440715241952e-11 2.687762166381269210e-11 1.951170871652007953e-11 1.294902216872304790e-11 2.278100131626249887e-10 7.019737783252818517e-11 5.564750820136901543e-11 2.776765568280131764e-11 2.653402220035842419e-11 2.049138421039114895e-11 2.201327925731112112e-10 7.586619603292740427e-11 5.625924607382700616e-11 2.989425399419607396e-11 3.029344800749609770e-11 1.977563655961642016e-10 7.302007406599668370e-11 6.064471591050707610e-11 3.153651829228662968e-11 1.904372438878659251e-10 7.400365750299997517e-11 5.954410512971015950e-11 1.713950872440170254e-10 8.297525075479453341e-11 1.591104201377309653e-10
4.000000000000000000e+00 1.422381096580006757e-10 3.306354078586331728e-11 1.728413723279117896e-11 8.909319597644489730e-12 7.319927569280779243e-12 4.533470888570561721e-12 4.051024120022244165e-12 3.345491519287729582e-12 1.937581586377121319e-12 2.495984186450639025e-12 1.991411367949419008e-10 5.512526805576819690e-11 3.362159694410782639e-11 1.952129230636664159e-11 1.704312557822291112e-11 1.206338192412963287e-11 8.544919477487476702e-12 9.947484513582538819e-12 4.743273625568344081e-12 2.236099022982547547e-10 6.763916961591017025e-11 4.246965628390664713e-11 2.300531517589425414e-11 2.125754501115346182e-11 1.665671973745511009e-11 1.103594326434082441e-11 1.103172633476748942e-11 2.282970519690360258e-10 6.929743948059500939e-11 4.855105999548173363e-11 2.970479858177094506e-11 2.594988570082968815e-11 2.001411330307920580e-11 1.284322214477983754e-11 2.217228876406199294e-10 7.259619996619830187e-11 5.462039328288662061e-11 2.883583177836194569e-11 2.646197204249522391e-11 2.098770795473225189e-11 2.169264082813751418e-10 7.850079633787228136e-11 5.496924268885311852e-11 3.106787066336279194e-11 3.005712373328287330e-11 1.978012777347759676e-10 7.656767078292025828e-11 5.955719552909872654e-11 3.268689553315162203e-11 1.916943570800609121e-10 7.744992984858911226e-11 5.896299970031425645e-11 1.758915920373923774e-10 8.514553352543030579e-11 1.647152334767944099e-10
5.000000000000000000e+00 1.374928925141037082e-10 3.242437992565323719e-11 1.657567782890795772e-11 8.948615909998432106e-12 7.283747566518748100e-12 4.676194922520899421e-12 3.957835675534101347e-12 3.435333969296795196e-12 1.950117517027271728e-12 2.435514811885455232e-12 1.925098931699867006e-10 5.574254167684969282e-11 3.274562946135526299e-11 1.959275529443052945e-11 1.674101462965859580e-11 1.212740104943173339e-11 8.599752329541428069e-12 9.795606680445564838e-12 4.751931273394799332e-12 2.154392300719184585e-10 6.941380049040928269e-11 4.167237531756290668e-11 2.343630492227285724e-11 2.096878368784171036e-11 1.686572900501200254e-11 1.082193477744860733e-11 1.094845482878211757e-11 2.209462083152612582e-10 7.142517486692489471e-11 4.759378055465053895e-11 3.005229709024266174e-11 2.534419349946296962e-11 2.047785467042148413e-11 1.285204226177244005e-11 2.158798126493199819e-10 7.541663016634285738e-11 5.366504917071673252e-11 2.982930596660795496e-11 2.640036007894882701e-11 2.152497148488289401e-11 2.132126715237330273e-10 8.157365114996780956e-11 5.392621647605000481e-11 3.228855662489812952e-11 2.989331339895461125e-11 1.964479628479539649e-10 8.042504797847080031e-11 5.872949936401892509e-11 3.384751665090884939e-11 1.915380242814385762e-10 8.143626698928610042e-11 5.856142111158804966e-11 1.782083648011927013e-10 8.812992416108681175e-11 1.679657039848299383e-10
6.000000000000000000e+00 1.331725518221294049e-10 3.262930209580042576e-11 1.602945986763102372e-11 9.047110409013701143e-12 7.233954734108532222e-12 4.807733112026808596e-12 3.847188111514625143e-12 3.481654595795533482e-12 1.943182416106879041e-12 2.382033294880210013e-12 1.867327751372929988e-10 5.701488796946172253e-11 3.211236477240982470e-11 1.977549684115937321e-11 1.648655770650726132e-11 1.221638948202031085e-11 8.577833360584692711e-12 9.663752400360952929e-12 4.735707947239589497e-12 2.086520700997051626e-10 7.154436139795352598e-11 4.101170007172824447e-11 2.395694482913421342e-11 2.068652334401222665e-11 1.700247721146455009e-11 1.060720566153975470e-11 1.091160091442738474e-11 2.146149739736611587e-10 7.388324664288180662e-11 4.677767509801629594e-11 3.045676971809882521e-11 2.486987422361503606e-11 2.086173152427155749e-11 1.285143786026852075e-11 2.104994650453250174e-10 7.829636643998270535e-11 5.271310189824482161e-11 3.073755997974948339e-11 2.627528948149072563e-11 2.198294371429945605e-11 2.093868251037808547e-10 8.464752191248074086e-11 5.296823951807803289e-11 3.339386378926065737e-11 2.971022346821397887e-11 1.943517532729543286e-10 8.416902876554361082e-11 5.792596517748026416e-11 3.489483147341994922e-11 1.905324504674876041e-10 8.534842848713650340e-11 5.812199815375423703e-11 1.791249994592635180e-10 9.118039702716146273e-11 1.696607748224510844e-10
7.000000000000000000e+00 1.292574194806541984e-10 3.325748003550806163e-11 1.557780927563353859e-11 9.178021916701123504e-12 7.172806079850386541e-12 4.914038449734110552e-12 3.737850097627958951e-12 3.495957736697653270e-12 1.922373354080369610e-12 2.338320978322229803e-12 1.815666315155077982e-10 5.859037789202651184e-11 3.159275195721592761e-11 2.000172221320681188e-11 1.624791758621102392e-11 1.229826223122394423e-11 8.508669639526088161e-12 9.546470124410458406e-12 4.700438351799551586e-12 2.027756646383150397e-10 7.371869341805788948e-11 4.039994406775901434e-11 2.447073522257679142e-11 2.039757666971479381e-11 1.710220850271089991e-11 1.039849849078941831e-11 1.089479065576292880e-11 2.089619114364476778e-10 7.636828597835781088e-11 4.601268875888361038e-11 3.084612314220596342e-11 2.444797231746630253e-11 2.115223160398187131e-11 1.281053960392828581e-11 2.055155581202744776e-10 8.101931228369030108e-11 5.174732128810956023e-11 3.154019456686599875e-11 2.607569495583946534e-11 2.233228177152512254e-11 2.055158711596640103e-10 8.750584417270604020e-11 5.202632026802810473e-11 3.433759983865400634e-11 2.948057879086682349e-11 1.917950949652618701e-10 8.757821617068756962e-11 5.708633225097926638e-11 3.578470658532831136e-11 1.889212805790498170e-10 8.889490018512865707e-11 5.759031418652070297e-11 1.790395624471396942e-10 9.397225076780108349e-11 1.702123196754171915e-10
8.000000000000000000e+00 1.256724927710268700e-10 3.406934638161858869e-11 1.518250599388839403e-11 9.317562105926181748e-12 7.101807464735978407e-12 4.993671979899353201e-12 3.636239442345794818e-12 3.487601525060890948e-12 1.892886886328021433e-12 2.302388479060830541e-12 1.768300275359554908e-10 6.024847485296110185e-11 3.111728938068975036e-11 2.023102841694298535e-11 1.600927477697778282e-11 1.235941594562242160e-11 8.410398297874852258e-12 9.436539126517142944e-12 4.652384693119281343e-12 1.975048891271424306e-10 7.576876377774875522e-11 3.979554838515302877e-11 2.493042598653784731e-11 2.010072132084128723e-11 1.717154717816233355e-11 1.019711342605449485e-11 1.088086027826698406e-11 2.037590573435876600e-10 7.870307056120005186e-11 4.525890502845067219e-11 3.118439054048263969e-11 2.404483348440160340e-11 2.135002239891579493e-11 1.272763394541925978e-11 2.008268114288708593e-10 8.346951513090506222e-11 5.077078074950711295e-11 3.222275255082477062e-11 2.581196725366396659e-11 2.257565991970704485e-11 2.016070719992202840e-10 9.004395044148592456e-11 5.107489841126104449e-11 3.511229532355279730e-11 2.920045847707235288e-11 1.889255733212352912e-10 9.055618965698225526e-11 5.620530130136525269e-11 3.650962369329949878e-11 1.868483290073985017e-10 9.196228960251791364e-11 5.696574402241199043e-11 1.782040229922436744e-10 9.638007734187849710e-11 1.698961319649476974e-10
9.000000000000000000e+00 1.223476433177016806e-10 3.492948655310447191e-11 1.482199237433375862e-11 9.449992683863776774e-12 7.022425432184147410e-12 5.049244632962821698e-12 3.543681949638553997e-12 3.463611030525730683e-12 1.858531715908635142e-12 2.271773618732756830e-12 1.724056130491480184e-10 6.185671061980443701e-11 3.065241649692113800e-11 2.044047031423006826e-11 1.576448140688041512e-11 1.239566184942824247e-11 8.294649364916186126e-12 9.329159115605814901e-12 4.596569229492039081e-12 1.926513270168265067e-10 7.761190738645292701e-11 3.918141489630961766e-11 2.531595769156616885e-11 1.979809417785836592e-11 1.721062892870854627e-11 1.000306182473039267e-11 1.086057313307528512e-11 1.988681852433110281e-10 8.079739037177405207e-11 4.450234834231073739e-11 3.145613051598483828e-11 2.364719868387121126e-11 2.146386690195922467e-11 1.261002003359378298e-11 1.963565712341098451e-10 8.560071697084585198e-11 4.979287928634357259e-11 3.278195689003820978e-11 2.549981259506515119e-11 2.272706206073702151e-11 1.976715811315417788e-10 9.222582815754132645e-11 5.011038806328285798e-11 3.572767882231589183e-11 2.887588156862268915e-11 1.858407434350180038e-10 9.308340889769794673e-11 5.529436521171982778e-11 3.708022529243526561e-11 1.844261622265767875e-10 9.453562798416622544e-11 5.626668722150166542e-11 1.768067462389769026e-10 9.838009106739673242e-11 1.689273155932599448e-10
1.000000000000000000e+01 1.192308154625884761e-10 3.576453076752301440e-11 1.448434616440936144e-11 9.566842489669575879e-12 6.936251071705180353e-12 5.084486876889637251e-12 3.459693892894936978e-12 3.429095972376244993e-12 1.821889459113828845e-12 2.244596085972984716e-12 1.682226179634391477e-10 6.334286037250405881e-11 3.018459526405830380e-11 2.061869155058270487e-11 1.551273720750756555e-11 1.240751501294817879e-11 8.169141394753916820e-12 9.221915686504135413e-12 4.536681794383777502e-12 1.881025928992338847e-10 7.921749050633959726e-11 3.855343638621433564e-11 2.562278891541280979e-11 1.949258642427250899e-11 1.721979883304101539e-11 9.816223724966224616e-12 1.082997656518310279e-11 1.942112126269014413e-10 8.261779101400277763e-11 4.374186965194525162e-11 3.165820358142440626e-11 2.325118722156527470e-11 2.150609499901115380e-11 1.246687398902991462e-11 1.920584700300263097e-10 8.741037028804719717e-11 4.882365896925278364e-11 3.322364238696632043e-11 2.515438204186184460e-11 2.280319030174030851e-11 1.937315399928058776e-10 9.405661881882554109e-11 4.913935551240011328e-11 3.620135384657299035e-11 2.851663919156042231e-11 1.826160338121901250e-10 9.518343372710726704e-11 5.436874239989048884e-11 3.751516835634702897e-11 1.817521632738367788e-10 9.664981577227591797e-11 5.551653961077403900e-11 1.749984017079525481e-10 9.999796121001917633e-11 1.674802367816505562e-10
1.100000000000000000e+01 1.162866795145165084e-10 3.653791032261213510e-11 1.416318836772513455e-11 9.664673489358589865e-12 6.844919153028397275e-12 5.103159490708032541e-12 3.383294594341378645e-12 3.387712438957664001e-12 1.784635356165187635e-12 2.219619860144871099e-12 1.642401546249519534e-10 6.467395008851721803e-11 2.971062633331002334e-11 2.076164877071473327e-11 1.525581867563426493e-11 1.239758054983518879e-11 8.039076139556746529e-12 9.113946340379441825e-12 4.475285189827468600e-12 1.837933609887455237e-10 8.058508183141138324e-11 3.791390910217781735e-11 2.585473779689260363e-11 1.918696955777408970e-11 1.720082126628168046e-11 9.636547202333900366e-12 1.078816501052049622e-11 1.897468147332987667e-10 8.416462774214180449e-11 4.298184692627632243e-11 3.179429254832021477e-11 2.285702025452736914e-11 2.148967060674426404e-11 1.230666812274257467e-11 1.879085821043512086e-10 8.891990603977002861e-11 4.787167039526030028e-11 3.355899852576476184e-11 2.478839161903591195e-11 2.281982787912237100e-11 1.898146673916537100e-10 9.556346389210788618e-11 4.817184788187300630e-11 3.655352790133797438e-11 2.813311774642261742e-11 1.793129244713842334e-10 9.690034696420583610e-11 5.344261394161268270e-11 3.783530445659409390e-11 1.789101004175583292e-10 9.836069051258579019e-11 5.473756901187289371e-11 1.729004074827669567e-10 1.012798074195001982e-10 1.656948661776714191e-10
1.200000000000000000e+01 1.134920410748397048e-10 3.723437490871087647e-11 1.385525691027960925e-11 9.743065082728871498e-12 6.749985611149269283e-12 5.108637367975007927e-12 3.313475457448857071e-12 3.342047971569357998e-12 1.747815798840043695e-12 2.196085692810543275e-12 1.604350590719408686e-10 6.584098682567439688e-11 2.923212143716380527e-11 2.086956603357318949e-11 1.499644897513508509e-11 1.236914028740429272e-11 7.907960382947216470e-12 9.005230122917348303e-12 4.414068149054548851e-12 1.796861572121450214e-10 8.173019416264747110e-11 3.726777982415118795e-11 2.601954915670217684e-11 1.888358823369405568e-11 1.715653497759966332e-11 9.464012288359353705e-12 1.073578605048542293e-11 1.854544785311225934e-10 8.545623578491681368e-11 4.222829707464396906e-11 3.187132353733297492e-11 2.246645777724528716e-11 2.142661462382832165e-11 1.213636773056654325e-11 1.838966336463802510e-10 9.016155115408264111e-11 4.694337584491746978e-11 3.380143924372978131e-11 2.441179427833245439e-11 2.279049644510077427e-11 1.859485790840184428e-10 9.678298950748156216e-11 4.721790237132545160e-11 3.680400765112688804e-11 2.773475067300045316e-11 1.759812898197621049e-10 9.828494900616827552e-11 5.252751523028172390e-11 3.806058591302460614e-11 1.759695034016437679e-10 9.972888943120434133e-11 5.394848528503304548e-11 1.706091005614614198e-10 1.022766705629380097e-10 1.636810830412544008e-10
1.300000000000000000e+01 1.108315749315597786e-10 3.785054924332190846e-11 1.355897592409084825e-11 9.803190959660541902e-12 6.652837768028681823e-12 5.103775048520635395e-12 3.249338980853266713e-12 3.293917387726885656e-12 1.712054078248671975e-12 2.173541502312134302e-12 1.567939507545628672e-10 6.684854910439169557e-11 2.875251030276113131e-11 2.094490588698888105e-11 1.473742074623484637e-11 1.232544346132292564e-11 7.778130384829889982e-12 8.896130898288781916e-12 4.354077223291919266e-12 1.757592662981706921e-10 8.267540405371029967e-11 3.662060706793997564e-11 2.612627879147115572e-11 1.858427995079317818e-11 1.709027941106180456e-11 9.298572604812688181e-12 1.067415386858520620e-11 1.813244996342897642e-10 8.651889185574319958e-11 4.148697276291735185e-11 3.189729726856225266e-11 2.208158566303273031e-11 2.132732956361137361e-11 1.196133975359833367e-11 1.800194316842589022e-10 9.117038737949873337e-11 4.604320547977221808e-11 3.396455844420067988e-11 2.403202851258599052e-11 2.272618186436904475e-11 1.821573017401612706e-10 9.775380809506190903e-11 4.628596278361859109e-11 3.697067311150022117e-11 2.732939673046645295e-11 1.726605204274350781e-10 9.938708984001014364e-11 5.163204493589476737e-11 3.820865093317331236e-11 1.729858587213593599e-10 1.008116401411690493e-10 5.316381719697565355e-11 1.681992559830646742e-10 1.030368351224006058e-10 1.615231406061187183e-10
1.400000000000000000e+01 1.082946963872090785e-10 3.838926840186445899e-11 1.327362730905866967e-11 9.846927289080980426e-12 6.554649470183939444e-12 5.090900176020349648e-12 3.190120283137752277e-12 3.244581876587191742e-12 1.677694338065737793e-12 2.151719766291083765e-12 1.533083942914185752e-10 6.770809137929680152e-11 2.827551739806003728e-11 2.099110375553119099e-11 1.448117798876715663e-11 1.226939448158148703e-11 7.651103222324058023e-12 8.787137865251724183e-12 4.295906311895359155e-12 1.719994299305726062e-10 8.344514755835911763e-11 3.597754135450538680e-11 2.618386247613938766e-11 1.829039587730170330e-11 1.700545133180389816e-11 9.140120898539281986e-12 1.060476568392213304e-11 1.773520984305725274e-10 8.738090930644379302e-11 4.076256517698946156e-11 3.188008544445023193e-11 2.170428092965513198e-11 2.120043955408011868e-11 1.178552866450215574e-11 1.762766800723199426e-10 9.198002813502426371e-11 4.517385807269550958e-11 3.406099358696795192e-11 2.365444231746627976e-11 2.263552229225713930e-11 1.784597655663067014e-10 9.851245181226975519e-11 4.538236250963474081e-11 3.706887812975774780e-11 2.692322026272543884e-11 1.693806592925834632e-10 1.002519141447275357e-10 5.076212078748452211e-11 3.829437021892759226e-11 1.700018067616703410e-10 1.016591852286501719e-10 5.239413215360798922e-11 1.657275764613695532e-10 1.036025656191555941e-10 1.592842023656121511e-10
1.500000000000000000e+01 1.058735046748078936e-10 3.885626095963331029e-11 1.299888443494242356e-11 9.876339798208550740e-12 6.456371805547924312e-12 5.071863851941258764e-12 3.135173020655474947e-12 3.194908168640419690e-12 1.644899576866263800e-12 2.130459288540939132e-12 1.499721266278284560e-10 6.843386210950683179e-11 2.780445947193230068e-11 2.101182900576994946e-11 1.422966044164593790e-11 1.220345191886372902e-11 7.527819001643215245e-12 8.678731631316685429e-12 4.239841602587769469e-12 1.683976107111777451e-10 8.406290029768571885e-11 3.534289001418847261e-11 2.620041888482729757e-11 1.800286447589944184e-11 1.690523593797145705e-11 8.988478618835091657e-12 1.052906054100737250e-11 1.735341797170237129e-10 8.806944572114004737e-11 4.005848848408128881e-11 3.182683825815062126e-11 2.133601424467862647e-11 2.105289045162743325e-11 1.161170979380327892e-11 1.726686011220905629e-10 9.262057481706025900e-11 4.433665957449491615e-11 3.410190614818198691e-11 2.328272921155205994e-11 2.252516146315657800e-11 1.748695786480818071e-10 9.909147465659790306e-11 4.451135370521355085e-11 3.711138338769214589e-11 2.652081910618384107e-11 1.661637094967742383e-10 1.009184257656960847e-10 4.992142865820953140e-11 3.832989878265842159e-11 1.670489120864790961e-10 1.023137611063748062e-10 5.164659930908151464e-11 1.632360394979081779e-10 1.040092061883271231e-10 1.570105752681346910e-10
1.600000000000000000e+01 1.035615273127602708e-10 3.925827236096939865e-11 1.273456059803682107e-11 9.893414158053015965e-12 6.358746326985268650e-12 5.048111940441879049e-12 3.083948722413885723e-12 3.145482994485246792e-12 1.613717427125085601e-12 2.109658499689300442e-12 1.467795788088679047e-10 6.904055745044578426e-11 2.734198381415195922e-11 2.101058733068164444e-11 1.398428800292762649e-11 1.212963152807209948e-11 7.408811128403731551e-12 8.571323618270504384e-12 4.185967641047019567e-12 1.649466467159770608e-10 8.454983002133063592e-11 3.472000132930977643e-11 2.618298205202744992e-11 1.772226821391654675e-11 1.679247389768910381e-11 8.843400949662940667e-12 1.044831498681138061e-11 1.698676996097748521e-10 8.860898576955490110e-11 3.937694609733945951e-11 3.174375432353932181e-11 2.097781517215308143e-11 2.089016088231037186e-11 1.144174127325656419e-11 1.691947484943302041e-10 9.311791180121838577e-11 4.353190009331546177e-11 3.409683603225548759e-11 2.291931523061353662e-11 2.240012837849281100e-11 1.713954925902853452e-10 9.951883540371445680e-11 4.367538098794319049e-11 3.710856280814729521e-11 2.612545479895915906e-11 1.630250049974036451e-10 1.014193326508646086e-10 4.911190105361679814e-11 3.832496254351039344e-11 1.641496044576915964e-10 1.028098850720092096e-10 5.092564431830413203e-11 1.607549227171418082e-10 1.042854593058016205e-10 1.547354075943155102e-10
