R	Gamma	E
1.00	0	-224.643951071448
1.00	10	-225.802854227478
1.00	20	-227.703726486156
1.00	30	-228.999141383382
1.00	90	-230.106863180984
1.00	100	-230.131614033879
1.00	110	-230.148669044449
1.00	120	-230.118195172655
1.00	130	-230.005415747191
1.00	140	-229.753553395937
1.00	150	-229.286552112819
1.00	170	-227.722802909083
1.00	180	-227.280865355471
1.10	0	-227.14197607693
1.10	20	-228.679919298695
1.10	30	-229.442239092738
1.10	90	-230.155528367086
1.10	100	-230.192207950082
1.10	110	-230.206799590392
1.10	120	-230.186294332926
1.10	130	-230.105969959449
1.10	140	-229.928030781246
1.10	150	-229.605957915386
1.10	170	-228.582968819208
1.20	0	-228.258751302019
1.20	10	-228.571143464714
1.20	100	-230.24507392269
1.20	110	-230.253443366494
1.20	120	-230.233970166742
1.20	130	-230.166352914601
1.20	140	-230.021384571084
1.20	160	-229.374837624085
1.30	0	-228.675908008112
1.30	10	-228.941308190626
1.30	100	-230.291520087298
1.30	110	-230.293317692848
1.30	120	-230.27136709153
1.30	130	-230.2064928795
1.30	140	-230.072905115382
1.30	150	-229.840224410974
1.40	110	-230.328337240145
1.40	120	-230.303717427138
1.40	130	-230.238740952865
1.40	140	-230.10804207459
1.40	150	-229.886109132684
1.40	160	-229.529410534351
1.40	170	-228.830045008692
1.50	10	-228.842480668597
1.50	20	-229.614523883758
1.50	30	-229.942209264078
1.50	110	-230.359001588329
1.50	120	-230.331555418469
1.50	150	-229.928261218768
1.50	160	-229.554541418835
1.50	180	-227.006932033128
1.60	10	-228.447132866647
1.60	20	-229.662238155206
1.60	30	-230.004902718708
1.60	40	-230.163496828734
1.60	120	-230.358924620674
1.60	130	-230.296295128613
1.60	140	-230.173286779924
1.60	150	-229.975539072506
1.60	170	-227.694095818035
1.60	180	-224.415590901904
1.70	0	-223.769847676611
1.70	10	-227.783927508505
1.70	20	-229.701270007905
1.70	30	-230.06669511279
1.70	40	-230.206929593703
1.70	120	-230.382443019947
1.70	130	-230.325050405783
1.70	140	-230.210116950831
1.70	150	-230.003300503076
1.70	170	-226.713521697966
1.70	180	-218.317739067233
1.80	10	-226.917690838292
1.80	20	-229.740884656557
1.80	30	-230.124320677873
1.80	40	-230.248138522254
1.80	60	-230.355183458616
1.80	70	-230.376604910597
1.80	90	-230.388208409182
