R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-10103950.94693343,1221694.4095772724,-4692380.154681014,8188736.143051896,-4373331.397274299,-1408301.9797399084,376849.87205838977,-1990650.3726358383,-114333.23138684055,-777538.1644694362,2048100.1869846357,1199778.5274338778,495077.8048528085,-1423895.9603627159,-891933.7529149187,1614073.990621006,-5247542.125420249,5551758.796712773,-1443870.5636379328
1.1,-6222766.074212513,796719.1605752832,-2950558.5885531027,5132482.842935632,-2755993.4532635435,-852990.3956329218,226580.5914209462,-1239161.1506256987,-67021.14594817198,-492695.66189163266,1285351.0061251714,743731.8306902978,307579.2019382609,-883057.4129674548,-563245.0098223485,1016341.1617130938,-3295526.9893036624,3501049.266442864,-921569.8720733341
1.2,-3808780.1843404784,517219.4197355798,-1845949.1135391586,3201537.442858307,-1729003.4754050772,-512364.84573119547,134866.7299419454,-767419.0218946689,-38686.5548989193,-311031.9111610413,803108.5314397811,458479.37521615304,190092.1571906236,-544647.9705015635,-354302.36799511506,637365.9676452205,-2060732.1434833256,2199000.1324159065,-586258.3374309854
1.3,-2315298.4185020714,334080.0939325149,-1148376.0063074164,1986551.2696079798,-1079356.386954104,-304912.212127235,79353.60288417412,-472617.4642438661,-21912.736065065572,-195552.18749467024,499396.06184686295,280920.04952951096,116813.00691419849,-333914.7091275602,-221935.14707574452,397950.6535630005,-1282597.9126002723,1375209.1829085208,-371610.52336795337
1.4,-1396689.6298690138,214574.82293060984,-709895.4255994975,1225479.2862188295,-670118.3675840643,-179568.87992635023,46068.37731950611,-289291.2032574555,-12118.392544348188,-122404.73822899714,308923.8282596815,170979.85599795321,71335.90480937998,-203373.30523842125,-138389.0831314373,247287.88526855136,-794252.8355910676,855992.1779644949,-234632.66760790622
1.5,-835305.395286405,136950.78667691178,-435699.0788342541,751083.2936582041,-413504.7877149617,-104510.42008740355,26326.531820539476,-175896.03307658274,-6493.890148273178,-76249.89537948978,190014.85654707148,103301.90633086891,43266.80189960666,-122970.42831315439,-85868.21115206723,152874.21616562517,-489139.6125102219,530091.5461426968,-147515.3951970297
1.6,-494681.43367727584,86788.4110953277,-265226.88568332087,456983.4233568555,-253409.73746892155,-60015.548189724555,14764.437361683877,-106166.05863564272,-3330.172089784777,-47248.88203250517,116150.59146169522,61905.44949477377,26045.603883330274,-73760.07203759186,-52994.27467542665,93978.26680852097,-299430.1448488582,326447.23161190073,-92312.89723890081
1.7,-289659.05607197137,54558.0159131593,-159932.86865924895,275754.59993714484,-154092.47858791365,-33940.40375154361,8093.0242052333715,-63562.08580629207,-1597.4119170400772,-29109.52061938498,70516.28060331852,36762.60184387924,15549.155451085218,-43849.79604230953,-32514.66166521387,57419.915851813144,-182096.58807582382,199816.74692354674,-57473.66749107194
1.8,-167371.0133963359,33982.67543611451,-95379.02002546877,164829.26903417558,-92867.41070753576,-18859.952549273254,4311.660078296496,-37715.577129263394,-681.8703438442888,-17820.463645333803,42490.34387526024,21610.762664526817,9197.687246662406,-25809.782882044547,-19821.827968954738,34849.12161485769,-109944.58079228365,121493.64377115361,-35582.44050804758
1.9,-95183.79487407686,20943.38028855684,-56138.97208165916,97448.4883755199,-55392.27161675737,-10270.462143765091,2214.6830584341023,-22157.762140781346,-222.53333151887472,-10833.169373853927,25390.856503710915,12559.196998209161,5385.071753289796,-15022.167894644452,-11999.147861859265,20995.90568135272,-65855.88936253234,73331.17149827603,-21893.23869149863
