T	1->0	2->0	3->0	4->0	5->0	2->1	3->1	4->1	5->1	3->2	4->2	5->2	4->3	5->3	5->4	
1.000000000000000000e+00 1.323391109181076646e-11 7.672854149089497843e-12 4.998906833240606272e-15 1.108267600729883888e-14 1.538493272855143484e-15 5.137077864761609917e-11 5.038852776054859317e-13 3.447054061095742403e-14 7.733385555608005899e-15 3.035408391298966475e-12 1.894648190701962810e-13 2.686044165818533394e-14 1.040706105769333433e-12 9.217467180191414087e-14 6.048429582808702379e-13
2.000000000000000000e+00 9.253206523256308845e-12 6.440952591445166254e-12 4.939324169514153191e-15 1.285596639431768224e-14 1.802007146064616691e-15 4.610651843070542538e-11 4.738088572861210874e-13 4.042374457579307813e-14 9.154591563758440257e-15 2.772871377024159087e-12 2.216794744472589925e-13 3.154439394716561949e-14 1.211071667989559254e-12 1.080448348643307486e-13 7.065415865455986094e-13
3.000000000000000000e+00 7.228081936883747558e-12 5.756051361422530482e-12 4.706050778740824047e-15 1.272938029532106809e-14 1.786282866718266240e-15 4.213206475800982133e-11 4.384403417013501348e-13 4.004627751134726087e-14 9.109426188520930857e-15 2.530032835657340778e-12 2.196566745902665992e-13 3.133326758282870303e-14 1.196960325610078788e-12 1.071848384619309489e-13 6.993524002867421956e-13
4.000000000000000000e+00 6.018599327352418294e-12 5.296369142164769031e-12 4.503569238762440603e-15 1.240129961069196576e-14 1.738799480448254105e-15 3.915368447165180895e-11 4.114337255182340300e-13 3.889956182377476592e-14 8.881992854672148687e-15 2.354128928608946171e-12 2.134379539414855288e-13 3.051532744173181560e-14 1.161045516324533600e-12 1.042966060565316784e-13 6.790455971831931399e-13
5.000000000000000000e+00 5.237025393688246522e-12 4.945392200028756493e-12 4.345180126587669457e-15 1.209453105694129314e-14 1.694503845894540184e-15 3.673780353165569397e-11 3.911733720687193138e-13 3.780114308168190489e-14 8.662548818741667197e-15 2.224912318353296198e-12 2.074099843039844066e-13 2.972837247919794882e-14 1.126470884216273563e-12 1.015260071890730617e-13 6.594772738044764011e-13
6.000000000000000000e+00 4.702500822880371367e-12 4.650799447681500004e-12 4.225164264691188793e-15 1.184456046051993590e-14 1.659082811092941756e-15 3.463585020469102345e-11 3.757955793486907259e-13 3.689281332376867829e-14 8.484592696030149386e-15 2.127549956281959476e-12 2.023550652746457301e-13 2.908756834916249768e-14 1.097234453721659963e-12 9.924906501603012478e-14 6.430667316269508465e-13
7.000000000000000000e+00 4.320767427627023544e-12 4.389314797984155141e-12 4.136230408967387866e-15 1.165162001909996314e-14 1.632644473558144317e-15 3.273038774385667717e-11 3.639793894003190483e-13 3.618047315234743096e-14 8.350038380485704608e-15 2.052649787342800970e-12 1.983206386359173161e-13 2.860001129995928889e-14 1.073500397368559998e-12 9.748384396602519388e-14 6.299242642812343355e-13
8.000000000000000000e+00 4.039078216914833747e-12 4.150858254337098738e-12 4.072295833383823870e-15 1.150891850647861044e-14 1.614197686092965899e-15 3.097120231384150729e-11 3.548260376095421576e-13 3.564139696374622574e-14 8.254104227939879279e-15 1.994163594804522713e-12 1.951939511718733296e-13 2.824918479500419868e-14 1.054618242162992198e-12 9.617202474606667512e-14 6.196668386841559151e-13
9.000000000000000000e+00 3.826149912724483973e-12 3.931006015635823071e-12 4.028683455992348354e-15 1.140908089731164431e-14 1.602652499178978876e-15 2.933729190308110195e-11 3.477153236064672235e-13 3.524970941135412859e-14 8.191210576462309814e-15 1.948052245904358228e-12 1.928413827569829026e-13 2.801551331164668258e-14 1.039845053840233681e-12 9.524619855316628187e-14 6.118530287122830829e-13
1.000000000000000000e+01 3.662409429279721835e-12 3.727606666052970749e-12 4.001834601854756890e-15 1.134563078642718544e-14 1.597037841360592587e-15 2.781870717275156951e-11 3.422085656381001830e-13 3.498249753270039357e-14 8.156357994155895399e-15 1.911519655496164944e-12 1.911429993707917905e-13 2.788130973051549801e-14 1.028520712005411779e-12 9.464582803387963159e-14 6.060872354958849773e-13
