R	Gamma	E
1.00	0	-72.946202742967
1.00	10	-74.264104511398
1.00	20	-76.346295807843
1.00	30	-77.690661539572
1.00	40	-78.341094644887
1.00	50	-78.608517185131
1.00	60	-78.691675040774
1.00	70	-78.690233580031
1.00	80	-78.652073251655
1.00	90	-78.636408590104
1.00	100	-78.64588909956
1.00	110	-78.677808359844
1.00	120	-78.665579657499
1.00	130	-78.577095339668
1.00	140	-78.361884470301
1.00	150	-77.954715291756
1.00	160	-77.323668095714
1.00	170	-76.612696510753
1.00	180	-76.262805245935
1.10	0	-75.939847698826
1.10	10	-76.503893391187
1.10	20	-77.472434309508
1.10	30	-78.186538877772
1.10	40	-78.55941113364
1.10	50	-78.714454837473
1.10	60	-78.758292627214
1.10	70	-78.750651282434
1.10	80	-78.72294015789
1.10	90	-78.711858660459
1.10	100	-78.726205226717
1.10	110	-78.742261196426
1.10	120	-78.737382750343
1.10	130	-78.681856033133
1.10	140	-78.542448172248
1.10	150	-78.281127190564
1.10	160	-77.881682710627
1.10	170	-77.428068406274
1.10	180	-76.983194166818
1.20	0	-77.356392708572
1.20	10	-77.634392425508
1.20	20	-78.106098487777
1.20	30	-78.484361093162
1.20	40	-78.693523708403
1.20	50	-78.783123742201
1.20	60	-78.809941642017
1.20	70	-78.808188895678
1.20	80	-78.796642629064
1.20	90	-78.791095425974
1.20	100	-78.797819047205
1.20	110	-78.804918815008
1.20	120	-78.795321335353
1.20	130	-78.749383554472
1.20	140	-78.642463082523
1.20	150	-78.446052342306
1.20	160	-78.139264965306
1.20	170	-77.748250424609
1.20	180	-77.350731136091
1.30	0	-78.052464261957
1.30	10	-78.208811406714
1.30	20	-78.448317358199
1.30	30	-78.651941668575
1.30	40	-78.772359836454
1.30	50	-78.830574577181
1.30	60	-78.855146083322
1.30	70	-78.862951931596
1.30	80	-78.86320725667
1.30	90	-78.862609678247
1.30	100	-78.864111177593
1.30	110	-78.862836313183
1.30	120	-78.847312566047
1.30	130	-78.801689920574
1.30	140	-78.703910131481
1.30	150	-78.527479462923
1.30	160	-78.242397136675
1.30	170	-77.790170118105
1.30	180	-77.274076153973
1.40	0	-78.396353456382
1.40	10	-78.497196300278
1.40	20	-78.625317583956
1.40	30	-78.741816781142
1.40	40	-78.820530014309
1.40	50	-78.868697083176
1.40	60	-78.897004168617
1.40	70	-78.912127338528
1.40	80	-78.918632982371
1.40	90	-78.920487432631
1.40	100	-78.919667215717
1.40	110	-78.913467485994
1.40	120	-78.894633467904
1.40	130	-78.849011009927
1.40	140	-78.753804753378
1.40	150	-78.577921330024
1.40	160	-78.280174141365
1.40	170	-77.658757313781
1.40	180	-76.663866576358
1.50	0	-78.560881015473
1.50	10	-78.635960062426
1.50	20	-78.712252643448
1.50	30	-78.790986821346
1.50	40	-78.856046013891
1.50	50	-78.903733707894
1.50	60	-78.935282781423
1.50	70	-78.953824300534
1.50	80	-78.96289021934
1.50	90	-78.965776584955
1.50	100	-78.963712600983
1.50	110	-78.955853992266
1.50	120	-78.936596498853
1.50	130	-78.8933866122
1.50	140	-78.803491841943
1.50	150	-78.631215190172
1.50	160	-78.320282221937
1.50	170	-77.506224894656
1.50	180	-74.14347171584
1.60	0	-78.632490156181
1.60	10	-78.697394102015
1.60	20	-78.755115559734
1.60	30	-78.825127750222
1.60	40	-78.889015633271
1.60	50	-78.937075378791
1.60	60	-78.969033690835
1.60	70	-78.987900119787
1.60	80	-78.997518426001
1.60	90	-79.000309790986
1.60	100	-78.997958385253
1.60	110	-78.990167241998
1.60	120	-78.972450356477
