R	0	30	60	90
1.0	1343912.675099	308323.526624	88851.413455	104749.56335
1.1	689094.879082	199485.499637	75166.462189	81986.389862
1.2	379335.693879	134073.524014	64598.472223	63409.570386
1.3	227131.350782	97244.503975	54867.208283	48256.619752
1.4	151899.583686	77531.869297	45302.292915	36269.216787
1.5	115847.950442	66830.992337	36389.956822	27073.311288
1.6	100090.959175	59349.307031	28637.919007	20125.331939
1.7	94775.942539	51518.235037	22221.948826	14921.168652
1.8	94623.717227	42953.050875	17076.429364	11043.607805
1.9	60461.516656	34671.622016	13031.117709	8163.684013
2.0	49030.371499	27353.071818	9892.095012	6028.685065
2.1	37670.627452	21235.313048	7478.314292	4447.465167
2.2	28499.457893	16301.052449	5634.132667	3276.838078
2.3	21404.590061	12414.494596	4231.7775	2410.197668
2.4	16010.933548	9401.282692	3169.054398	1768.476276
2.5	11947.676262	7090.106693	2365.773003	1293.1599
2.6	8902.572304	5330.290466	1759.761743	941.022195
2.7	6627.377393	3996.85654	1303.250613	680.153696
2.8	4930.155574	2989.789763	959.816797	486.999666
2.9	3664.882089	2230.779537	701.800528	344.149844
3.0	2721.606591	1659.477763	508.270189	238.704454
3.1	2018.092732	1229.830935	363.408347	161.08176
3.2	1493.069858	906.954827	255.267626	104.151377
3.3	1100.978354	664.51284	174.813068	62.617292
3.4	807.985558	482.67425	115.216973	32.535657
3.5	588.991084	346.498456	71.315656	10.975002
3.6	425.366671	244.726491	39.210709	-4.250476
3.7	303.256141	168.875113	15.955352	-14.777483
3.8	212.315862	112.545466	-0.663947	-21.837039
3.9	144.797067	70.921091	-12.324797	-26.355954
4.0	94.879253	40.374538	-20.292703	-29.030019
4.1	58.182182	18.171239	-25.523286	-30.376703
4.2	31.404891	2.241637	-28.738409	-30.777022
4.3	12.056849	-8.983918	-30.481866	-30.508736
4.4	-1.741422	-16.699068	-31.162187	-29.774114
4.5	-11.406923	-21.810977	-31.084799	-28.721198
4.6	-18.006049	-25.008196	-30.477182	-27.459985
4.7	-22.339501	-26.810839	-29.508045	-26.073419
4.8	-25.007163	-27.609286	-28.302096	-24.624492
4.9	-26.457384	-27.693361	-26.951473	-23.161031
5.0	-27.024238	-27.27604	-25.524038	-21.718422
5.1	-26.95605	-26.512484	-24.0696	-20.321933
5.2	-26.437455	-25.51583	-22.62433	-18.988207
5.3	-25.606129	-24.369338	-21.213939	-17.727136
5.4	-24.565667	-23.135269	-19.856188	-16.543207
5.5	-23.394564	-21.86067	-18.562412	-15.437006
5.6	-22.152592	-20.58122	-17.339235	-14.40655
5.7	-20.884885	-19.323403	-16.189592	-13.448273
5.8	-19.62512	-18.1063	-15.113655	-12.55792
5.9	-18.397396	-16.942655	-14.109921	-11.730909
6.0	-17.218083	-15.840163	-13.175447	-10.962832
6.2	-15.040509	-13.830724	-11.500394	-9.587247
6.4	-13.123551	-12.07817	-10.057955	-8.401434
6.6	-11.457446	-10.561181	-8.817828	-7.379921
6.8	-10.017447	-9.252463	-7.751982	-6.500293
7.0	-8.776148	-8.125357	-6.835119	-5.742603
7.2	-7.708003	-7.155089	-6.044781	-5.089079
7.4	-6.78935	-6.319192	-5.361702	-4.524137
7.6	-5.998562	-5.597558	-4.769411	-4.034441
7.8	-5.316173	-4.97264	-4.254306	-3.60862
8.0	-4.725365	-4.429788	-3.805039	-3.237146
8.2	-4.212094	-3.956703	-3.412113	-2.912052
8.4	-3.764755	-3.543387	-3.067674	-2.626611
8.6	-3.373829	-3.181357	-2.764983	-2.375261
8.8	-3.031371	-2.863572	-2.498362	-2.153244
9.0	-2.730663	-2.583976	-2.262913	-1.956565
9.5	-2.126148	-2.020107	-1.784912	-1.554977
10.0	-1.680102	-1.602187	-1.427232	-1.251805
10.5	-1.345689	-1.287631	-1.155464	-1.01957
11.0	-1.091131	-1.047165	-0.945863	-0.839185
11.5	-0.894441	-0.860693	-0.781972	-0.697228
12.0	-0.740375	-0.714137	-0.65221	-0.584198
12.5	-0.6182	-0.597572	-0.548297	-0.493245
13.0	-0.520241	-0.50383	-0.464281	-0.419376
13.5	-0.440924	-0.427783	-0.395795	-0.358803
14.0	-0.376151	-0.365506	-0.33939	-0.308795
14.5	-0.322826	-0.314133	-0.292717	-0.267202
15.0	-0.278596	-0.271491	-0.253744	-0.232361
16.0	-0.210627	-0.205786	-0.193425	-0.178187
17.0	-0.162129	-0.158718	-0.150007	-0.138888
18.0	-0.126782	-0.12437	-0.118059	-0.109856
19.0	-0.100527	-0.098795	-0.094175	-0.088041
20.0	-0.080717	-0.079435	-0.076021	-0.071369
21.0	-0.065513	-0.064597	-0.062017	-0.058433
22.0	-0.053721	-0.053029	-0.05108	-0.048329
23.0	-0.044459	-0.043934	-0.042485	-0.040319
24.0	-0.037091	-0.036708	-0.035582	-0.033918
25.0	-0.03119	-0.030922	-0.03006	-0.028717
50.0	-0.00172	-0.001764	-0.001792	-0.00183
100.0	6.1e-05	3.2e-05	2e-05	-1e-06
