R	Gamma	E
1.00	0	902633.859016
1.00	30	190753.486742
1.00	40	134922.966927
1.00	50	118033.468302
1.00	60	96590.637905
1.00	70	80751.152394
1.00	80	73664.011511
1.00	90	74431.141368
1.00	100	86775.390315
1.00	110	95799.399799
1.00	120	112721.934406
1.00	130	123081.701016
1.00	140	146618.516481
1.00	150	233853.889848
1.00	160	522882.882197
1.10	0	1672049.555893
1.10	30	176213.20682
1.10	40	114525.882297
1.10	50	94719.947336
1.10	60	83853.044998
1.10	70	68414.393224
1.10	80	61794.224859
1.10	90	62963.879611
1.10	110	81131.794231
1.10	120	97129.626234
1.10	130	104296.409194
1.10	140	124321.498824
1.10	150	216430.810444
1.10	160	585575.895853
1.10	170	2014101.204943
1.10	180	4921472.662243
1.20	30	160024.793644
1.20	40	96454.903749
1.20	50	79948.636071
1.20	60	71801.725924
1.20	70	57291.02633
1.20	80	51166.80025
1.20	90	52219.50878
1.20	100	58619.001215
1.20	110	67009.950449
1.20	120	81538.071981
1.20	130	88239.022286
1.20	140	104305.600638
1.20	150	191163.739774
1.20	160	587116.42988
1.20	170	2584464.314634
1.30	10	2044236.065172
1.30	20	441134.260882
1.30	30	140746.52548
1.30	40	80717.050373
1.30	50	67280.326695
1.30	60	60135.632947
1.30	70	46983.884225
1.30	80	41349.484583
1.30	90	41566.159336
1.30	100	45716.661461
1.30	110	53561.779825
1.30	120	66810.7374
1.30	130	74793.66327
1.30	140	87142.853123
1.30	150	160785.729763
1.30	160	516741.467159
1.30	170	2389037.438592
1.40	10	2102447.38749
1.40	20	402144.385659
1.40	30	119190.905893
1.40	40	67511.345884
1.40	50	56673.891367
1.40	60	49328.06255
1.40	70	37635.871871
1.40	80	32459.748719
1.40	90	31949.164363
1.40	100	35009.48942
1.40	110	41845.840975
1.40	120	53674.467404
1.40	130	71502.458634
1.40	140	73202.460803
1.40	150	130473.530609
1.40	160	406443.057678
1.40	170	1663753.65171
1.40	180	4706420.608097
1.50	10	1617199.426656
1.50	20	328364.573536
1.50	30	97735.359567
1.50	40	56885.891756
1.50	60	39777.803827
1.50	70	29509.131778
1.50	80	24901.589292
1.50	90	24132.651033
1.50	100	26471.190232
1.50	110	32218.304102
1.50	120	42512.861966
1.50	130	58682.369819
1.50	140	62426.125729
1.50	150	104677.300265
1.50	160	297954.376749
1.50	170	1012922.038716
1.50	180	2047010.52144
1.60	0	2591338.587563
1.60	10	1038831.95042
1.60	20	245905.478491
1.60	30	78860.654136
1.60	40	48667.30965
1.60	60	31653.193396
1.60	70	22796.837427
1.60	80	18813.347411
1.60	90	18008.353175
1.60	100	19810.043203
1.60	110	24526.145654
1.60	120	33313.723126
1.60	130	47908.058215
1.60	140	54341.354336
1.60	150	85430.235992
1.60	160	214363.980497
1.60	170	609396.512551
1.60	180	1031099.485366
1.70	0	1218681.556425
1.70	10	618093.03358
1.70	20	174812.921005
1.70	30	64037.562641
1.70	40	42477.171496
1.70	50	38309.586734
1.70	60	24903.165356
1.70	70	17403.585761
1.70	80	14034.403768
1.70	90	13285.369746
1.70	100	14677.605382
1.70	110	18501.842818
1.70	120	25878.372237
1.70	130	38698.498684
1.70	140	48283.480312
1.70	150	72551.253731
1.70	160	159587.474326
1.70	170	386374.553088
1.70	180	588508.67131
1.80	0	616837.800328
1.80	10	360740.215813
1.80	20	122718.024949
1.80	30	53528.462262
1.80	40	37867.425012
1.80	50	31124.348409
1.80	60	19404.940558
1.80	70	13182.397076
1.80	80	10382.89536
1.80	90	9725.51465
1.80	100	10802.326734
1.80	110	13877.81886
1.80	120	19971.250692
1.80	130	31007.283541
1.80	140	43575.134995
1.80	150	64548.972457
1.80	160	128161.666564
1.80	170	274204.266893
1.80	180	394329.529196
1.90	0	330341.372029
1.90	10	214283.901092
1.90	20	88777.617443
1.90	30	46706.584073
1.90	50	25117.033212
1.90	60	15054.562304
1.90	70	9925.889929
1.90	80	7626.711386
1.90	90	7065.424024
1.90	100	7895.806539
1.90	110	10348.402085
1.90	120	15303.774415
1.90	130	24647.851228
1.90	140	42065.103233
1.90	160	112329.203925
1.90	170	225783.798449
1.90	180	329223.419879
2.00	0	189448.540608
2.00	10	134703.731177
2.00	20	68813.961427
2.00	30	42480.15483
2.00	40	34621.059344
2.00	50	20138.131313
2.00	60	11642.214252
2.00	70	7431.378219
2.00	80	5560.750449
2.00	90	5090.505246
2.00	100	5728.794649
2.00	110	7670.389812
2.00	120	11664.135397
2.00	130	19439.428954
2.00	140	34605.287103
2.00	150	55676.807848
2.00	160	105051.874021
2.00	170	212801.580354
2.00	180	357072.874125
2.10	0	120210.975757
2.10	10	93604.969003
2.10	20	58270.439272
2.10	30	39732.909665
2.10	40	28830.138265
2.10	50	16002.566604
2.10	60	8966.222018
2.10	70	5532.920019
2.10	80	4022.681272
2.10	90	3633.949057
2.10	100	4122.578283
2.10	110	5649.529606
2.10	120	8841.568031
2.10	130	15201.986248
2.10	140	28163.614851
2.10	150	51916.850651
2.10	160	115104.235629
2.10	170	217422.94995
2.10	180	510707.103388
2.20	0	87590.016014
2.20	10	74074.501757
2.20	30	41436.041326
2.20	40	23691.594144
2.20	50	12630.608101
2.20	60	6873.658979
2.20	70	4095.392631
2.20	80	2884.144145
2.20	90	2566.151701
2.20	100	2938.431745
2.20	110	4131.945264
2.20	120	6661.575921
2.20	130	11782.555144
2.20	140	22616.63469
2.20	150	46850.305148
2.20	170	217176.618039
