R	Gamma	E
1.00	0	-113.370940819439
1.00	30	-116.539215361964
1.00	40	-116.801143044501
1.00	50	-116.881004148627
1.00	60	-116.977947359602
1.00	70	-117.04111771843
1.00	80	-117.069782262613
1.00	90	-117.065465439111
1.00	100	-117.019768474105
1.00	110	-116.985970867021
1.00	120	-116.923876010403
1.00	130	-116.867585924153
1.00	140	-116.755954174847
1.00	150	-116.354319596415
1.00	160	-115.037761540429
1.10	0	-109.872217061188
1.10	30	-116.597911543908
1.10	40	-116.886617254464
1.10	50	-116.975442867048
1.10	60	-117.035720070338
1.10	70	-117.097848268944
1.10	80	-117.12466004915
1.10	90	-117.118850995118
1.10	110	-117.053657862397
1.10	120	-116.992095077669
1.10	130	-116.944696033003
1.10	140	-116.850560077876
1.10	150	-116.42809794129
1.10	160	-114.747825329461
1.10	170	-108.229799991623
1.10	180	-95.025940849973
1.20	30	-116.666400302879
1.20	40	-116.961548836104
1.20	50	-117.035389791084
1.20	60	-117.090874739611
1.20	70	-117.149746983101
1.20	80	-117.174748087472
1.20	90	-117.170414156293
1.20	100	-117.138442908554
1.20	110	-117.113349616442
1.20	120	-117.058192107924
1.20	130	-117.008434000531
1.20	140	-116.935799399698
1.20	150	-116.538847012073
1.20	160	-114.736840204681
1.20	170	-105.631314193626
1.30	10	-108.08567922819
1.30	20	-115.3784590515
1.30	30	-116.750505551142
1.30	40	-117.026836429782
1.30	50	-117.084515860668
1.30	60	-117.143895367504
1.30	70	-117.197069907529
1.30	80	-117.219726693489
1.30	90	-117.216004014248
1.30	100	-117.193532378062
1.30	110	-117.16405142499
1.30	120	-117.115686229758
1.30	130	-117.061883804463
1.30	140	-117.009205497707
1.30	150	-116.674199406921
1.30	160	-115.05502270518
1.30	170	-106.518911438231
1.40	10	-107.820243289236
1.40	20	-115.554736741977
1.40	30	-116.845935419511
1.40	40	-117.081563342156
1.40	50	-117.124734721029
1.40	60	-117.191341158458
1.40	70	-117.237579299065
1.40	80	-117.257055284148
1.40	90	-117.25569461425
1.40	100	-117.23977230412
1.40	110	-117.211752598244
1.40	120	-117.16671092013
1.40	130	-117.097933214418
1.40	140	-117.068951581291
1.40	150	-116.810393211521
1.40	160	-115.556865606172
1.40	170	-109.820888093849
1.40	180	-96.017120608457
1.50	10	-110.028137569085
1.50	20	-115.890143620191
1.50	30	-116.941505411077
1.50	40	-117.125246328682
1.50	60	-117.231369668613
1.50	70	-117.270903350757
1.50	80	-117.288014019076
1.50	90	-117.288822449179
1.50	100	-117.276885745889
1.50	110	-117.252387414044
1.50	120	-117.211613855602
1.50	140	-117.115134223353
1.50	150	-116.926806390898
1.50	160	-116.051812123536
1.50	170	-112.813423340929
1.50	180	-108.125052743586
1.60	0	-105.62313566383
1.60	10	-112.661680812372
1.60	20	-116.265777554377
1.60	30	-117.025620649327
1.60	40	-117.15845562364
1.60	60	-117.264419570825
1.60	70	-117.29818349593
1.60	80	-117.313193266567
1.60	90	-117.314937237617
1.60	100	-117.305813789556
1.60	110	-117.285219967871
1.60	120	-117.249508895663
1.60	130	-117.194035236444
1.60	140	-117.149725733478
1.60	150	-117.01372599672
1.60	160	-116.433957648683
1.60	170	-114.652813691992
1.60	180	-112.758853124757
1.70	0	-111.866374980258
1.70	10	-114.579445537912
1.70	20	-116.590111534445
1.70	30	-117.091226628743
1.70	40	-117.182735398291
1.70	50	-117.242207519924
1.70	60	-117.291446192274
1.70	70	-117.320114620073
1.70	80	-117.332963219602
1.70	90	-117.334951798152
1.70	100	-117.327927171617
1.70	110	-117.311002949367
1.70	120	-117.280531771937
1.70	130	-117.230413643025
1.70	140	-117.17579882749
1.70	150	-117.071761123968
1.70	160	-116.685064649316
1.70	170	-115.670315613249
1.70	180	-114.77032734717
1.80	0	-114.603362863087
1.80	10	-115.75547612753
1.80	20	-116.828195111264
1.80	30	-117.136925991267
