R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-288497041.20544696,-987199408.0256902,-1137840139.7682598,-1606400348.4781487,-1197965915.7870514,-1347537413.766931,-732722477.1584101,-755629282.8676064,-199129432.53435272,-290410461.79740924,146879120.45005932,-95223324.62415421,234371137.06744206,-128013029.38186257,128688983.15389948,-291559965.43761605,-54353724.43067426,-729724897.5225224,-79453073.37064755
1.1,-186120082.2529902,-637757428.5303116,-735392879.3543497,-1039918767.4645739,-776208272.0539235,-874874282.3485384,-475525242.8362582,-492151128.4769302,-129113297.8645871,-189986524.34454757,95770835.88809153,-62721074.12198699,152714426.5262981,-83668014.31711726,84122338.36856014,-190118240.20403868,-35108034.047183886,-476287902.26594615,-51693688.59778583
1.2,-119773186.07332437,-411154881.84553474,-474138268.13433987,-671887429.4827061,-501769890.9956835,-566999453.1859058,-307897875.6424159,-320054139.7192825,-83477836.65622114,-124143922.23174831,62384010.952326365,-41284451.27427181,99361843.25094762,-54614233.89054056,54915036.86800979,-123778820.705634,-22624807.39610372,-310395049.87803066,-33573362.90922105
1.3,-76867867.06827937,-264484512.52119255,-304890738.44004,-433205821.34839225,-323542563.7676793,-366781461.877783,-198857639.70796967,-207801649.06164867,-53800502.30552941,-81021677.82095185,40596718.27223673,-27155645.810621016,64549499.789884105,-35601431.526597284,35797195.83562158,-80455273.18488319,-14544134.920834437,-201953880.2392136,-21763554.74815945
1.4,-49185843.952223726,-169739088.6394369,-195492692.33328408,-278701073.5765197,-208043510.7087843,-236795173.24702436,-128076654.67672503,-134691135.4633885,-34549346.617548615,-52811864.37791013,26393893.25420902,-17849815.951399922,41866753.75304825,-23174901.872072853,23299724.322826054,-52204078.60605528,-9324609.805942196,-131170402.75609756,-14079429.373881456
1.5,-31370452.6047975,-108664671.18014108,-124951632.58551118,-178884217.2016758,-133368489.93192534,-152556011.92298022,-82236152.60154124,-87147730.07210174,-22096397.314550553,-34379404.72653751,17144937.87628327,-11724889.28607478,27109285.28361587,-15063656.104861956,15141235.997683892,-33810312.306491554,-5960994.257788201,-85038619.48051366,-9088619.95255153
1.6,-19936211.598301902,-69383088.66091195,-79586194.32794422,-114533666.31915057,-85210033.02958594,-98067318.25518133,-52622737.48194702,-56280960.115093574,-14066241.773765042,-22350380.956472155,11128140.044708315,-7696423.375659455,17523000.206696592,-9776377.885835042,9822993.851855718,-21854382.6328768,-3798797.8834498073,-55022429.91307995,-5853291.776844493
1.7,-12619363.350516092,-44178097.20871516,-50495667.299816705,-73140318.89414221,-54238344.392377704,-62893005.93990138,-33545144.224294744,-36275673.76071347,-8906373.838662386,-14510281.586192591,7217862.758587038,-5048715.641258625,11306031.61336086,-6334813.45265168,6361510.1291358005,-14096741.986541307,-2412647.8323675836,-35526196.47944619,-3760251.7326449202
1.8,-7952557.882202953,-28046134.305778913,-31900567.978043083,-46577234.9135383,-34380507.08247061,-40235103.62669015,-21292564.299230184,-23333366.04985623,-5604125.514127532,-9407141.44811036,4678987.550087634,-3309744.1500140354,7281049.675823707,-4097996.3840422104,4112168.5629687742,-9072609.397223474,-1526605.4078949017,-22886554.119387757,-2409161.9932374866
1.9,-4986710.268865802,-17748877.740121752,-20055869.66570432,-29573989.918606237,-21691286.530970093,-25672683.793344352,-13450093.275454847,-14976350.18611379,-3500400.012173463,-6090032.487725907,3031969.8197038183,-2168417.86519393,4679854.414291775,-2646462.4811465824,2652988.5849519237,-5825285.442910926,-962033.8918966099,-14708449.762277367,-1539064.669320918
2.0,-3109375.863065887,-11194745.995821357,-12540282.488024747,-18719188.79225421,-13613126.54898739,-16335652.185443304,-8449435.18991615,-9590910.842908451,-2167265.2752584554,-3936897.692486713,1964339.945350963,-1419855.8811056498,3001928.757808155,-1706052.371372265,1708096.1690184104,-3730848.233598046,-603540.9580330548,-9428320.628589526,-980142.846407249
2.1,-1926340.4098960282,-7035750.391048393,-7792170.567646278,-11809230.357684324,-8491888.766896455,-10364145.862421839,-5274416.214709679,-6127706.093703368,-1327630.2374913285,-2541311.2554318565,1272725.6081132204,-929224.6244626862,1921662.2917077448,-1097816.1669939402,1097387.5942314116,-2383045.8578177,-376763.5952945777,-6027015.703785637,-622088.7286084666
2.2,-1184555.5483843067,-4405142.993131965,-4807015.21774369,-7423778.144722331,-5260438.083761616,-6555297.1220368855,-3268250.8934525917,-3905531.504584993,-802619.5212534528,-1638070.3262874454,824910.8428185404,-607854.9971456093,1227571.0562329716,-705113.106680922,703456.2954711341,-1517803.755959877,-233901.73588009898,-3841343.1966893314,-393388.5719577937
2.3,-722075.7595991062,-2746983.4096414545,-2940539.646030247,-4649465.316087778,-3232241.157102446,-4132762.9646618445,-2007604.0521259843,-2482951.8973828596,-477155.1764999513,-1054353.2441500574,535035.3105145335,-397480.2415225935,782528.9836882682,-452027.9020057493,449886.66152593767,-963775.2386013942,-144314.59770426052,-2440511.075977399,-247775.64178246542
2.4,-435600.9642761825,-1705623.015640422,-1780837.6734437817,-2900384.5908496724,-1966969.4974003558,-2596587.890752653,-1220441.498726681,-1574443.6372019772,-277489.42388413334,-677694.6591410507,347401.75619291194,-259840.6009382296,497781.93388486124,-289227.6589905316,287024.97235273937,-609993.9824143314,-88419.67463782377,-1545219.683120153,-155383.99852262685
2.5,-259478.7372818458,-1054182.6313971346,-1065492.702516947,-1801674.2040242893,-1183158.1502852528,-1625561.0494529658,-732545.0407372509,-995693.1141188125,-156569.73755113262,-435011.30265590904,225916.4125836193,-169832.41363033114,315991.59505268483,-184705.7398362518,182663.5668570764,-384743.79480517324,-53742.609911766725,-974756.1938576625,-96981.1009497766
2.6,-152151.84916012856,-648362.4128000427,-627978.176991014,-1114170.2806445162,-701564.7548626213,-1013825.5760469697,-432761.54724793864,-627968.939351193,-84528.22735390886,-278881.71314046,147211.1801037084,-110996.47290072737,200187.92360915008,-117731.79015352597,115949.87113879705,-241776.6142425636,-32365.348544046057,-612450.4686819569,-60214.08337582888
2.7,-87433.38825531135,-396678.31420622155,-363079.19665906054,-685741.0106677397,-408522.5513327712,-629802.147856221,-250474.89958745893,-394954.82576164015,-42517.26835899098,-178582.4196631234,96169.39811466614,-72549.1647296799,126582.54434998592,-74902.76678535884,73409.5824321945,-151337.7856011534,-19281.556072285108,-383155.25491788104,-37171.099707356014
2.8,-48905.34751558225,-241329.16649481512,-204644.63094589452,-419924.41933522193,-232289.39353385178,-389625.2365029161,-141037.74893499122,-247711.0408072737,-18725.730862921548,-114239.35279428637,63018.837737959264,-47430.34042938922,79901.52630618136,-47569.049438710834,46354.09927267528,-94331.82130279555,-11339.493020605387,-238589.913408771,-22800.127582719873
2.9,-26333.37538372896,-145928.87607377366,-111314.53937363655,-255765.55757282497,-127826.29557027263,-240001.28609703144,-76376.28457014657,-154930.2214114528,-5812.928629813401,-73017.08556992396,41445.29045037989,-31020.740462640286,50359.64288888952,-30159.3558946648,29193.071231981372,-58536.66120657592,-6564.417196639274,-147819.03660039103,-13885.904819451014
3.0,-13379.62745446424,-87661.98182380784,-57393.36368589908,-154886.9386733427,-67030.99892402405,-147172.15968679072,-38949.383049711214,-96635.8839236178,738.0737203401006,-46639.42464483399,27369.931145842642,-20299.995941551755,31702.42873476766,-19092.33727113184,18337.93615306342,-36151.9799945703,-3725.588586499743,-91078.86410272834,-8389.494916577285
3.1,-6149.0758597739205,-52282.3655301576,-27034.36963087087,-93220.03925098851,-32492.765970671328,-89826.68058799944,-17877.52902201225,-60115.66375146614,3672.68481920079,-29778.633777296818,18157.82700175762,-13294.308553535411,19941.675399481384,-12070.562291998674,11490.750571018374,-22214.76722503222,-2060.5056230909495,-55782.674827964525,-5022.994371328182
3.2,-2269.321582502578,-30934.669870009326,-10548.604854627605,-55733.071427168674,-13513.8457496875,-54559.75473940232,-6471.448869243664,-37302.47969911621,4633.864443253934,-19010.599001367824,12106.127266479632,-8714.438976787349,12540.451241316132,-7623.354061315525,7183.806126842965,-13577.68500716771,-1099.922575628486,-33941.838008376006,-2976.39020016761
