T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.621852391920258521e-10 4.545434468267961290e-11 3.746236400956890955e-11 1.943622900894838867e-11 1.266234180370565219e-11 1.005331841670976540e-11 4.888728350710925959e-12 5.761448720369135084e-12 1.976444439822857804e-12 2.310285896736272358e-12 2.650903954290096906e-10 7.213264813143047314e-11 7.683870573571077220e-11 3.508911816265375823e-11 2.446716083216074645e-11 3.044887183992184664e-11 9.069689797448833814e-12 1.092530988401672826e-11 6.931313096427219576e-12 2.789352315280001530e-10 8.797457511865200732e-11 9.142172181827625651e-11 5.352152278287358077e-11 3.094099291083141300e-11 2.929009096367437372e-11 1.415846572259067158e-11 1.865098651768480714e-11 2.510517281489478707e-10 1.010135057972571432e-10 9.380257249884560206e-11 6.712033304828100879e-11 2.914413398993045658e-11 3.786032931292358403e-11 1.826340443275416559e-11 2.518966021035876928e-10 9.287583065714518821e-11 7.462981852019385720e-11 6.315339017892466127e-11 2.406993426390707728e-11 4.054945965694990180e-11 2.104615290172836675e-10 1.324383888645020813e-10 7.336548810718855248e-11 6.237151840802398583e-11 3.152520768969792693e-11 1.866110560167452937e-10 1.553030042896534199e-10 5.986926748009885153e-11 7.706070170156191528e-11 1.750637151124034472e-10 1.713801977639213914e-10 5.760356385959105658e-11 1.452848888673715533e-10 1.856303074477781842e-10 1.297210851499616074e-10
2.000000000000000000e+00 1.518261320595557090e-10 4.325127323146476544e-11 3.644880325759994787e-11 1.861393092892383560e-11 1.328780581287683864e-11 1.108995763433157431e-11 4.989091206440659264e-12 5.984811358124243439e-12 2.355554470096392704e-12 2.230534592306129800e-12 2.588005339655700921e-10 7.244050650868242605e-11 7.282692568598837599e-11 3.700873583329029460e-11 2.593706481894870298e-11 3.002632099793068593e-11 1.091043651215915364e-11 1.113905008315589575e-11 7.382665112467251736e-12 2.869221073589864962e-10 8.887761541890355295e-11 8.720652259958044269e-11 5.296836620876704763e-11 3.002192023853783450e-11 2.878926475968892683e-11 1.485137407624246879e-11 1.886387128087514360e-11 2.698861887155928957e-10 9.716576216251679059e-11 8.719714699145154818e-11 6.184336851702181877e-11 3.034994689383773927e-11 3.663284278576094529e-11 1.809111939749507316e-11 2.602202460272313614e-10 9.741329534836427000e-11 7.265156261015021026e-11 6.184654550481298702e-11 2.694796938781470747e-11 3.892518278210144606e-11 2.188177070207353513e-10 1.299537436579622294e-10 7.487824818259822110e-11 6.108793788211793955e-11 3.131059810918143258e-11 2.009958591794251147e-10 1.459365022628470044e-10 6.487516270248533114e-11 7.180190536731731359e-11 1.805700439496469338e-10 1.650415459683271059e-10 6.122435626414610892e-11 1.584210163222018404e-10 1.810602014642655095e-10 1.386830137706843646e-10
3.000000000000000000e+00 1.504817531123529998e-10 4.264703450278206049e-11 3.520881955094650057e-11 1.808073243320153377e-11 1.314495724685855684e-11 1.136622207984978214e-11 5.078009715698280433e-12 5.826007034449387828e-12 2.679513075749399702e-12 2.206570102962105919e-12 2.575363674990368743e-10 7.296357102585097019e-11 6.866699108057704175e-11 3.768899157837901164e-11 2.562953403401049906e-11 2.936685033622400849e-11 1.217866653278345963e-11 1.097141070002988392e-11 8.255364444197470396e-12 2.891117710806596403e-10 8.957419814821300784e-11 8.334925108076622749e-11 5.241191521935178415e-11 2.968799284408617503e-11 2.853067188395648379e-11 1.578021782171754532e-11 1.852449555704281923e-11 2.779181837470924166e-10 9.473638830018981191e-11 8.228049773653904811e-11 5.781455605286341183e-11 3.056109936789519824e-11 3.552791674896312272e-11 1.802235956741791601e-11 2.640735191479166129e-10 9.817205055991439762e-11 7.210622311788836666e-11 6.026888854175397426e-11 2.803167404270164426e-11 3.749192606668051378e-11 2.258046752713220415e-10 1.267898520427617231e-10 7.479892979542662070e-11 5.960520696047417661e-11 3.143729819832618823e-11 2.088515313854917496e-10 1.397954816936744309e-10 6.701601487161568675e-11 6.806822882525372309e-11 1.880942881581281243e-10 1.582417943246159447e-10 6.294134880339815600e-11 1.685502740682539734e-10 1.749662518367266179e-10 1.469407367291210105e-10
4.000000000000000000e+00 1.504331164878353045e-10 4.224840535237937358e-11 3.414568586848512360e-11 1.774238690463445358e-11 1.285367655364292184e-11 1.143654525763100031e-11 5.156893657389953982e-12 5.690071304073484198e-12 2.933947674922294202e-12 2.163865873633274464e-12 2.550382840504659761e-10 7.351386051096685328e-11 6.526480879314207796e-11 3.814965929457585283e-11 2.506083307656585503e-11 2.867717473634642816e-11 1.307623929474778482e-11 1.078786692328176613e-11 8.919201548399778198e-12 2.880211689960662397e-10 9.049157123605601913e-11 8.017358909662201426e-11 5.222122690557803011e-11 2.964556398127615355e-11 2.826786205600588847e-11 1.664451885192148199e-11 1.813701456692326420e-11 2.797738810528948058e-10 9.390258417388741291e-11 7.867620513025873538e-11 5.522895436817185765e-11 3.047812681953529721e-11 3.459639086866335088e-11 1.789008281994421480e-11 2.653113064001222586e-10 9.837361230752771821e-11 7.195394961440562153e-11 5.901045030734929599e-11 2.839032555023094870e-11 3.603485246147527497e-11 2.307394112842443053e-10 1.242591691063895900e-10 7.395588223856329280e-11 5.812736483480763857e-11 3.133715681189254884e-11 2.139734022293458009e-10 1.353917610027354467e-10 6.767015405182934941e-11 6.499246950816006621e-11 1.942865298503794243e-10 1.521967934752694474e-10 6.339751766280982449e-11 1.759697459141851131e-10 1.682515442557244891e-10 1.532905799290795442e-10
5.000000000000000000e+00 1.500087810637764991e-10 4.182933986187235317e-11 3.330209162080917874e-11 1.753431118197975133e-11 1.255366592440053663e-11 1.145055976466656646e-11 5.222918136750265645e-12 5.576768233204472958e-12 3.109840094585760449e-12 2.102451708607787225e-12 2.513594984088129823e-10 7.396858663285279233e-11 6.257208067217642228e-11 3.855596412242465353e-11 2.451911315809260512e-11 2.800714581538514163e-11 1.368364034781256555e-11 1.059448247547978346e-11 9.327417524132718534e-12 2.851505820424441676e-10 9.140109822058539417e-11 7.771135396559801265e-11 5.228597987869828055e-11 2.970042718788633342e-11 2.797785346220755082e-11 1.727091184889942026e-11 1.770204628108361649e-11 2.785289721056875432e-10 9.390510321278970429e-11 7.602923558534827215e-11 5.358669600547189504e-11 3.022642147008116241e-11 3.372523822013324043e-11 1.761005061460882833e-11 2.650967993452438503e-10 9.852600856863973247e-11 7.184597758630626468e-11 5.795520589604217447e-11 2.834345884984803527e-11 3.457794144660912576e-11 2.340813591779961851e-10 1.222562152287555243e-10 7.289313361473003741e-11 5.669513475362539014e-11 3.093230086433545226e-11 2.174826433348550830e-10 1.318743464846595133e-10 6.749043899427612258e-11 6.223779761784089464e-11 1.988307756313543281e-10 1.467585093614193056e-10 6.299179926042552939e-11 1.809766047282237381e-10 1.613340961418125804e-10 1.574088981091945354e-10
6.000000000000000000e+00 1.490097002141418021e-10 4.136638266934128491e-11 3.262962294325722284e-11 1.739371776020880769e-11 1.226976271630013071e-11 1.143244161401419109e-11 5.265608608304964250e-12 5.470045180823772518e-12 3.216789015617621821e-12 2.031277799881933040e-12 2.470621883214521255e-10 7.426941723199726420e-11 6.043882923072104488e-11 3.888794005177319011e-11 2.403570902138241508e-11 2.734894261459185847e-11 1.406357241023310325e-11 1.038401699870129362e-11 9.534069726047520271e-12 2.813487524758833329e-10 9.212372518603629233e-11 7.576886066920257170e-11 5.241496339485063811e-11 2.973831228817429360e-11 2.763232890632527831e-11 1.764378462394487581e-11 1.723277280041839132e-11 2.757836475320751354e-10 9.421669667001060073e-11 7.401566726491687578e-11 5.246235358666237882e-11 2.984673828716004364e-11 3.285713571445383840e-11 1.720916311473787003e-11 2.639633541662390527e-10 9.859074476601290231e-11 7.163697677834933318e-11 5.696790517405072118e-11 2.803712103933914580e-11 3.317138195524052349e-11 2.360927975565149554e-10 1.204831939197006173e-10 7.174297215361103195e-11 5.528940458751671616e-11 3.029995755852597460e-11 2.196520418529440002e-10 1.287437224453008980e-10 6.680998407199189748e-11 5.971440140501896450e-11 2.017642817394460297e-10 1.417186551741903383e-10 6.208805598004060156e-11 1.839727966857175000e-10 1.545380657075449939e-10 1.597314743812057830e-10
7.000000000000000000e+00 1.475387481404143642e-10 4.086579451414197964e-11 3.207218855380981018e-11 1.727549345482084608e-11 1.200110650514091574e-11 1.138303620892886557e-11 5.280759189236575368e-12 5.363022196123603408e-12 3.271192398743220320e-12 1.957863540420836057e-12 2.425185098812895905e-10 7.438739906217610884e-11 5.871458680737888556e-11 3.910781795303879347e-11 2.359341902608939494e-11 2.669397135237150781e-11 1.427094360676391225e-11 1.016061834918692693e-11 9.601353074466676346e-12 2.770624372426847642e-10 9.256770558772570303e-11 7.415612785614006289e-11 5.247886429960854613e-11 2.970631103609442330e-11 2.722524395570272075e-11 1.780693089804070645e-11 1.675318795638236774e-11 2.723009779596915550e-10 9.453577197726486929e-11 7.239406292840141220e-11 5.159021180407016722e-11 2.937033295317314663e-11 3.198550833544011968e-11 1.673629594369203149e-11 2.621518752752451735e-10 9.848791792027560950e-11 7.127483519913758920e-11 5.598213132878388464e-11 2.756977204321874500e-11 3.185382718837921522e-11 2.369586744408934433e-10 1.187480016880254978e-10 7.053864710806406149e-11 5.390723835123483998e-11 2.953726656230085046e-11 2.206484923189048194e-10 1.257705955250118547e-10 6.583709827400729446e-11 5.740408623142183552e-11 2.033076697649321554e-10 1.369926938485821084e-10 6.094725799119025567e-11 1.854410684716042090e-10 1.480856971069793915e-10 1.608170121640357065e-10
8.000000000000000000e+00 1.457312862251782111e-10 4.033669106669061862e-11 3.158670622972065377e-11 1.715319589973098224e-11 1.174338442757925832e-11 1.130305990216018989e-11 5.269957159543297700e-12 5.254643905852672140e-12 3.288506384955839241e-12 1.886948315398706214e-12 2.379271446320867872e-10 7.431781003206290102e-11 5.727817608182816548e-11 3.919762842041107455e-11 2.317510863240342219e-11 2.604193639474698744e-11 1.435208389119703426e-11 9.932695008307880385e-12 9.578264725224699013e-12 2.725314606533200990e-10 9.271061288649539496e-11 7.274042921581663804e-11 5.241803743588066794e-11 2.959058472743991019e-11 2.676689696151704452e-11 1.781392806092830181e-11 1.628299363627244857e-11 2.684490194710311983e-10 9.471685582735284455e-11 7.100745240002750223e-11 5.082753644003035892e-11 2.882757394450013021e-11 3.112283141646707641e-11 1.623156766716409498e-11 2.598134337483236915e-10 9.818588787705088867e-11 7.075970302637420107e-11 5.498054781040405153e-11 2.701155710839744671e-11 3.064475472213600442e-11 2.368684374304709699e-10 1.169719439715411309e-10 6.930217061549321089e-11 5.256024182616152683e-11 2.871937573033737594e-11 2.206708830451744769e-10 1.228800406371996538e-10 6.470963080477669224e-11 5.529981174870990381e-11 2.037537144606682367e-10 1.325649591812204400e-10 5.972966178621486909e-11 1.858263280847271985e-10 1.420966032403164305e-10 1.611153858630685156e-10
9.000000000000000000e+00 1.437018382820632574e-10 3.978831048355739063e-11 3.114461855931868134e-11 1.701425555702396590e-11 1.149360364812390742e-11 1.119596292605909083e-11 5.237549206996860667e-12 5.146116770908944469e-12 3.280828798135124116e-12 1.821077917608939041e-12 2.333904616567924530e-10 7.407414506257347745e-11 5.604203054591023040e-11 3.915892322874939480e-11 2.277115393879046013e-11 2.539751793477480806e-11 1.434384751557379820e-11 9.708070421746249209e-12 9.499104984333628786e-12 2.678967859156193248e-10 9.257275974094601877e-11 7.144133265311540089e-11 5.221883720713049971e-11 2.939714913846926434e-11 2.627341137177239538e-11 1.771097079874513881e-11 1.583457736400258717e-11 2.644199794852825901e-10 9.470894228414852007e-11 6.976237066993829374e-11 5.010589219249159346e-11 2.824517027010135629e-11 3.028377291384175075e-11 1.572195638379290175e-11 2.570755624620280024e-10 9.769452970266211436e-11 7.011576225148303850e-11 5.396841863509220728e-11 2.641049581049421526e-11 2.954903858016862741e-11 2.360171577973687744e-10 1.151438342429001062e-10 6.805559581032881622e-11 5.126281980646746526e-11 2.789550278824952179e-11 2.199325014279042010e-10 1.200661175046627944e-10 6.351725171202010152e-11 5.339140111645140130e-11 2.033865753347842942e-10 1.284392327365518294e-10 5.852440482666582631e-11 1.854824001055757028e-10 1.366157532115224773e-10 1.609394992421893234e-10
1.000000000000000000e+01 1.415390585831552707e-10 3.922977331695201152e-11 3.072854418480245602e-11 1.685474511516012789e-11 1.125037007688105183e-11 1.106675982306178001e-11 5.188515737825555501e-12 5.039098446326724472e-12 3.256873923320866855e-12 1.761371116690516403e-12 2.289630594339751565e-10 7.368041608045111352e-11 5.494639160401581264e-11 3.900493885684829993e-11 2.237764739124851332e-11 2.476670823009059972e-11 1.427418638812063559e-11 9.492428981952640444e-12 9.386684812800645919e-12 2.632503442132438923e-10 9.219516003221138232e-11 7.021424029348775333e-11 5.189170726418731361e-11 2.913973187457993134e-11 2.576059137370408241e-11 1.753343123189182233e-11 1.541435165644860452e-11 2.603261528190808303e-10 9.451165706793601925e-11 6.860633234715385921e-11 4.939666934608515148e-11 2.764429786001667135e-11 2.947947582928609605e-11 1.522388922679482888e-11 2.540533274392173235e-10 9.704505043697016801e-11 6.937414304071708273e-11 5.295799676407553720e-11 2.579794494419301950e-11 2.856282632745143868e-11 2.345878369700187091e-10 1.132827319499094663e-10 6.681859727047145806e-11 5.002622744022785538e-11 2.709487848921129219e-11 2.186311176583823278e-10 1.173460526787798704e-10 6.231618220836351735e-11 5.166462992204645682e-11 2.024455773109124371e-10 1.246174791455937435e-10 5.737656634652349888e-11 1.846692623854771977e-10 1.316422025048786455e-10 1.604932751672855595e-10
