R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-15576411564.463356,-25635929750.785763,-68112471128.0803,-50409812985.892654,-90503418591.5916,-59504557075.883156,-83736163549.49329,-57163105815.71624,-65260126586.82101,-52667916903.365166,-52292363253.29668,-53737212676.31608,-53843609675.052635,-64800933053.93312,-74924044416.72186,-92994710123.56396,-149255168414.98596,-203026747662.9722,-107990825737.77702
1.1,-10197832327.790506,-16829917712.73961,-44617195787.45157,-33117070195.647335,-59352784848.83014,-39137325318.42148,-55003004089.253426,-37649998142.12127,-42946709773.31344,-34729187045.8713,-34469920040.7999,-35448345978.47188,-35516298813.75157,-42739877693.71341,-49409338979.641,-61323954148.880264,-98391236376.99345,-133874857791.20392,-71182828344.62302
1.2,-6667639811.419638,-11036213020.155807,-29188632347.49619,-21732517028.693604,-38875833956.8933,-25714643161.799816,-36087834026.784134,-24773960397.869938,-28233145296.060223,-22879771429.05028,-22700353319.884567,-23363351053.957703,-23406224165.295624,-28164326265.49323,-32553946816.018288,-40402724872.99327,-64801129905.319,-88196491212.09184,-46877114382.21368
1.3,-4353357585.689415,-7228271879.487961,-19068909027.30262,-14244968728.293892,-25430046215.301857,-16876869585.149063,-23648573364.96382,-16284810744.09201,-18539912614.582508,-15058938608.363855,-14934474659.672625,-15384033826.193022,-15410667528.54708,-18542011190.455,-21427990842.28854,-26593568608.91899,-42636738532.93765,-58047934602.5179,-30840384657.419044
1.4,-2838088532.00857,-4728185250.174054,-12439436456.860882,-9325594946.285078,-16611435497.803352,-11063618028.642382,-15476940139.342453,-10693026188.259235,-12160311873.684921,-9901435675.786497,-9814882025.540874,-10119927053.442038,-10136140146.349775,-12194991049.736782,-14090202912.744972,-17486518118.24058,-28024321029.394524,-38166338392.196365,-20268723301.17394
1.5,-1847291346.5092065,-3088640299.828851,-8102098905.41463,-6097101503.517759,-10834795999.230331,-7243797864.320116,-10114979220.581171,-7013281637.034103,-7965950279.057478,-6503347702.736109,-6443009943.014148,-6650145300.932269,-6659745551.337241,-8012120470.592088,-9255162927.615122,-11485884485.358923,-18399612346.09338,-25067201756.613487,-13306178153.022734
1.6,-1200350039.752833,-2014735703.7392058,-5268322459.719064,-3980780719.8765564,-7055791974.884889,-4736606521.34939,-6600935264.642875,-4594252649.444397,-5211359133.422427,-4266609267.0329432,-4224445118.235017,-4365201403.012509,-4370663409.329223,-5258080018.45354,-6072297373.265471,-7535840952.7745905,-12066338651.206148,-16445018867.758505,-8725118457.698193
1.7,-778565321.0783541,-1312228345.4150453,-3419617787.4274607,-2595224073.815829,-4587084488.765861,-3092900242.757365,-4300948412.010283,-3005727387.0515,-3404448930.0402946,-2795799644.6259627,-2766265320.2502365,-2861987730.0504847,-2864906375.83776,-3446601967.9191866,-3979176173.2700014,-4938271956.1464615,-7903224942.387925,-10775453846.535107,-5714115760.17934
1.8,-504016047.33366585,-853299413.1308742,-2215448561.5209975,-1689291410.7995422,-2976763674.8360095,-2016626891.672865,-2797663460.5115824,-1963773462.2089713,-2220668961.387624,-1829677705.798318,-1808942404.1277413,-1874090153.340224,-1875482963.506972,-2256356414.090484,-2604181385.0303903,-3231930083.340715,-5169655958.346827,-7051423081.731461,-3737255784.663838
1.9,-325610848.6770834,-553925697.4856817,-1432414523.4162378,-1097781790.0141551,-1928035882.1203187,-1312825757.67336,-1816558935.0745401,-1281161383.1820908,-1446163257.792598,-1195788501.2166815,-1181198527.3980908,-1225572804.4112396,-1226080801.6189523,-1475173337.6651633,-1701968380.319605,-2112311297.736657,-3376847167.111187,-4608111015.675637,-2440881014.6425066
