R	0	30	60	90
1.0	1337077.940134	328329.638889	93634.012794	118021.420833
1.1	766237.92051	230706.660456	77538.315772	86243.577325
1.2	509822.074317	176165.571686	64909.645102	66399.742175
1.3	410164.758114	148022.806609	54157.978691	50032.766425
1.4	411334.267842	133533.702194	44602.861414	37238.528427
1.5	512917.363985	124135.838494	36109.611093	27442.29509
1.6	769483.643555	115055.96789	28722.443329	20023.956529
1.7	1331671.210914	104890.361875	22495.044464	14527.065583
1.8	2657018.450674	94395.886913	17392.241337	10472.411844
1.9	6623746.494744	84713.530982	13280.700042	7494.013213
2.0		76472.267221	10052.518824	5317.972657
2.1		69790.29808	7566.407717	3736.617331
2.2	3670606.750996	64437.689415	5662.622719	2593.845325
2.3	1712641.260176	60018.740003	4214.833218	1773.233011
2.4	923173.622628	56047.132379	3119.736562	1188.257902
2.5	576121.018617	51985.122524	2294.854636	774.754338
2.6	440836.421557	47471.158297	1675.700117	485.272216
2.7	436853.569711	42465.222162	1212.491577	284.874493
2.8	559287.687466	37256.496482	867.113196	147.980925
2.9	875076.344561	32205.094574	610.488799	55.996624
3.0	1586868.640458	27540.787106	420.526267	-4.512207
3.1	3319447.527103	23360.083982	280.479534	-43.172066
3.2		19724.790154	177.709869	-66.8272
3.3		16608.435356	102.699645	-80.296618
3.4	7546120.080294	13953.612626	48.303066	-86.940789
3.5	2785669.774751	11699.773544	9.179218	-89.084159
3.6	1304130.975885	9787.676509	-18.655131	-88.330391
3.7	662968.63016	8164.139041	-38.148799	-85.768165
3.8	359384.750034	6784.13552	-51.487782	-82.154549
3.9	210467.774279	5610.780165	-60.29092	-77.99535
4.0	137286.525807	4614.166369	-65.750505	-73.632744
4.1	102673.774231	3769.849223	-68.760491	-69.286036
4.2	87984.889743	3057.414192	-69.979942	-65.091575
4.3	83442.364368	2459.641365	-69.909994	-61.122496
4.4	83785.002662	1960.945712	-68.927782	-57.417348
4.5	86177.013951	1547.897522	-67.318497	-53.985204
4.6	89134.062753	1208.624322	-65.299844	-50.826925
4.7	40831.299514	932.316848	-63.030168	-47.931011
4.8	30366.706595	709.28816	-60.626186	-45.281981
4.9	22411.01197	530.900557	-58.168144	-42.863997
5.0	16459.548528	389.545163	-55.713148	-40.662165
5.1	12074.173895	278.59132	-53.298926	-38.657808
5.2	8826.361356	192.334153	-50.952263	-36.830053
5.3	6425.423343	125.943406	-48.687073	-35.165605
5.4	4656.124028	75.376869	-46.515917	-33.643272
5.5	3356.247087	37.310355	-44.449816	-32.248837
5.6	2404.081085	9.030564	-42.491099	-30.968218
5.7	1708.852697	-11.645989	-40.641365	-29.789098
5.8	1203.067545	-26.458387	-38.904038	-28.696712
5.9	836.59573	-36.783242	-37.274492	-27.687889
6.0	572.254642	-43.706309	-35.751223	-26.747835
6.2	247.080874	-50.529358	-33.003489	-25.055737
6.4	83.346449	-51.651821	-30.607609	-23.575737
6.6	3.694214	-49.856346	-28.511298	-22.266134
6.8	-32.71878	-46.744774	-26.661239	-21.101877
7.0	-47.273905	-43.187945	-25.018515	-20.059894
7.2	-51.11669	-39.635691	-23.553697	-19.120824
7.4	-49.984043	-36.292983	-22.239867	-18.269776
7.6	-46.756269	-33.259231	-21.061546	-17.495954
7.8	-42.846397	-30.555098	-19.998557	-16.788266
8.0	-38.9171	-28.180008	-19.041222	-16.13792
8.2	-35.268572	-26.102642	-18.168213	-15.540557
8.4	-32.025313	-24.287427	-17.379653	-14.983054
8.6	-29.210711	-22.698494	-16.655842	-14.470957
8.8	-26.794758	-21.300525	-15.992654	-13.990723
9.0	-24.723201	-20.067234	-15.382566	-13.544126
9.5	-20.697635	-17.553529	-14.051736	-12.546307
10.0	-17.829421	-15.63127	-12.946628	-11.6909
10.5	-15.712644	-14.114093	-12.006938	-10.945813
11.0	-14.084222	-12.886664	-11.200166	-10.290804
11.5	-12.793952	-11.873516	-10.495132	-9.707248
12.0	-11.746729	-11.021111	-9.876618	-9.187049
12.5	-10.877898	-10.29182	-9.325946	-8.715795
13.0	-10.140458	-9.658984	-8.833209	-8.291693
13.5	-9.505988	-9.102158	-8.387676	-7.901913
14.0	-8.950818	-8.607244	-7.984395	-7.547469
14.5	-8.459977	-8.163914	-7.616943	-7.218516
15.0	-8.02256	-7.767625	-7.279201	-6.91607
16.0	-7.271572	-7.072846	-6.680667	-6.375083
17.0	-6.648148	-6.488425	-6.167369	-5.905054
18.0	-6.118348	-5.989057	-5.717802	-5.49391
19.0	-5.662207	-5.553432	-5.322728	-5.126077
20.0	-5.263505	-5.170614	-4.973557	-4.798642
21.0	-4.912257	-4.83168	-4.661536	-4.505958
22.0	-4.599438	-4.530039	-4.379948	-4.239933
23.0	-4.317761	-4.258371	-4.124735	-3.997588
24.0	-4.064751	-4.011056	-3.890196	-3.777797
25.0	-3.834984	-3.78644	-3.678573	-3.574634
50.0	-1.23758	-1.230231	-1.209537	-1.18508
100.0	-0.02193	-0.020299	-0.015478	-0.010639
