T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 8.589816743287532795e-11 5.353123850623541908e-11 4.270888608589542062e-11 2.333431146292476592e-11 1.779013444881998080e-11 1.751767188197311872e-11 1.013038640877635717e-11 7.530825116403859249e-12 9.600778488220012404e-12 8.755991597700696642e-12 1.971639139399290243e-10 1.289458085454914038e-10 1.001677011982122616e-10 5.737240839594813228e-11 4.033855758942281642e-11 2.978534558085165698e-11 3.046094242009052256e-11 2.801709204194817595e-11 1.500602403938747532e-11 2.711675287598522727e-10 1.574424547415858847e-10 1.294935940097713849e-10 6.845270244874003058e-11 5.827447907485575167e-11 3.418021958607551552e-11 3.342597318618552460e-11 2.527180058581523479e-11 2.492521418642119962e-10 1.495503986515816459e-10 1.311164580654787830e-10 7.231014157418245030e-11 6.174059929921732405e-11 4.333358476923535847e-11 4.067007738483869665e-11 2.733502310646792449e-10 1.690387478712465133e-10 1.481431131605061250e-10 8.779211154163379239e-11 7.526679440486489469e-11 5.184452720236732126e-11 2.534460254436852701e-10 1.654720805935075020e-10 1.424074423092554945e-10 8.964846389819426846e-11 8.467327915325231057e-11 2.525443296927895082e-10 1.738539125967487821e-10 1.520961631731917535e-10 1.013527828548205500e-10 2.478035336668238480e-10 1.519239036659767999e-10 1.497976814181932187e-10 2.339800553173853128e-10 1.613320865755557364e-10 2.340461012835508710e-10
2.000000000000000000e+00 1.282544903091906944e-10 7.040242866489265201e-11 5.127484536010533749e-11 3.076846710029648407e-11 2.471045226892109945e-11 1.896302973568892327e-11 1.390461812897646350e-11 8.459848497974102694e-12 1.093667138566495442e-11 1.116856690635393634e-11 2.774403348928620354e-10 1.589377672762445454e-10 1.289069824005466762e-10 7.469414267373505724e-11 5.557885373175963609e-11 3.765387383527690159e-11 3.992287108126257162e-11 3.274241352836529833e-11 1.827737889602267609e-11 3.595589435689390267e-10 1.950565256885492522e-10 1.672193521538398576e-10 8.888821396764113957e-11 8.003676582534622565e-11 4.472995314876604429e-11 4.408129865515548356e-11 3.358509708802466140e-11 3.440430191932572565e-10 1.930174880863844555e-10 1.728259251478324840e-10 9.900804748938089092e-11 8.570178066994764540e-11 5.632447536148113692e-11 5.106631025560421214e-11 3.703522425699506107e-10 2.136957681378736720e-10 1.949049067550365774e-10 1.113765741584530967e-10 9.898908803070042300e-11 6.808753913334459276e-11 3.516623600976129176e-10 2.097170618200325608e-10 1.952240248173924764e-10 1.214658993380466275e-10 1.105493590150190348e-10 3.564948223724723275e-10 2.288252099587859204e-10 2.053073133609712857e-10 1.280897038533918306e-10 3.412875683219893172e-10 2.096063542073756684e-10 2.064496271607658024e-10 3.343745647238983009e-10 2.205441176770815691e-10 3.363106529094762314e-10
3.000000000000000000e+00 1.656448237891323028e-10 7.754339010806293019e-11 5.654397879703961961e-11 3.338593132869924546e-11 2.864489606681226964e-11 1.838008458250463487e-11 1.481618779488640504e-11 8.526907331587286064e-12 1.074651482350151746e-11 1.148026305433814907e-11 3.385346275601118924e-10 1.697113206730233439e-10 1.410873369174189227e-10 7.744491291436178959e-11 6.155897118420655581e-11 3.926787038377057643e-11 4.067477370096080227e-11 3.205589166225293148e-11 1.891303200090011607e-11 4.187862460089873432e-10 2.069881809418406508e-10 1.797836591087235574e-10 9.389082584172803406e-11 8.661319908173865716e-11 4.780122772247521472e-11 4.619326957132980173e-11 3.578954181065397685e-11 4.128794813867483255e-10 2.104345165801310897e-10 1.912670746021777471e-10 1.077789104867927330e-10 9.436137680430776692e-11 5.926514734192115743e-11 5.393844013514387762e-11 4.406534470287835113e-10 2.283645625451217273e-10 2.129531059782531584e-10 1.168527510053616884e-10 1.065370240817206776e-10 7.202231309742950522e-11 4.221192317299802350e-10 2.263675426450641657e-10 2.159400538761605142e-10 1.307217586751913019e-10 1.178931845777349888e-10 4.293326278558912276e-10 2.478889369362551453e-10 2.248240682817070089e-10 1.340289654026578140e-10 4.125690018267902238e-10 2.335381989701142258e-10 2.292978857184348606e-10 4.088852765309257304e-10 2.439708793598552404e-10 4.107317600634532521e-10
4.000000000000000000e+00 1.987174005247839420e-10 8.158367738006656373e-11 5.998198743835664882e-11 3.405156104292406052e-11 3.063151338597671312e-11 1.730532569356656974e-11 1.476062487830746770e-11 8.340503352501798240e-12 1.021107727142487388e-11 1.109326639974185259e-11 3.888783993718901853e-10 1.745633942370185981e-10 1.467477821364971665e-10 7.570630427578142343e-11 6.324505441108192235e-11 3.882056852231886126e-11 3.906661930772240694e-11 3.042239666102178967e-11 1.876632003087610807e-11 4.660258998592273310e-10 2.112644695117849594e-10 1.838811474941500843e-10 9.346287728307294727e-11 8.732313248138913168e-11 4.768835265249640804e-11 4.575021109824093522e-11 3.596069827383132410e-11 4.673721654523201822e-10 2.177519857736138951e-10 1.988620711117612373e-10 1.089448896517704744e-10 9.643004913720840890e-11 5.866407204771346360e-11 5.403838046890592584e-11 4.947570139438757448e-10 2.334251799412937237e-10 2.188640869789373140e-10 1.162464480704725737e-10 1.079748921736770739e-10 7.210068967780937681e-11 4.776788086317955197e-10 2.333612138321770467e-10 2.227553594691303965e-10 1.316610301505465880e-10 1.187253933204770757e-10 4.851187398223269267e-10 2.548143658095127871e-10 2.310817873029883704e-10 1.334164150643026894e-10 4.697621739720603880e-10 2.436594093771235093e-10 2.374984643288262130e-10 4.668509222082807158e-10 2.531371406703767348e-10 4.674875761896557665e-10
5.000000000000000000e+00 2.272867193784466047e-10 8.438598375273153336e-11 6.219886980665470942e-11 3.384828894746955187e-11 3.146253087629767365e-11 1.621336513524894674e-11 1.439117289543420537e-11 8.078817156068914368e-12 9.630665227752201421e-12 1.051623197971924133e-11 4.295427465540253787e-10 1.768699533052319444e-10 1.489661022788546455e-10 7.267988899918868631e-11 6.306371586788449568e-11 3.764902442860168857e-11 3.701141067621093193e-11 2.879154946253267417e-11 1.838065263461919281e-11 5.039625231198223589e-10 2.123295135922999652e-10 1.844106289918198372e-10 9.115373397157882405e-11 8.577133573410730326e-11 4.637558435360261499e-11 4.460646322050863343e-11 3.545900321214325625e-11 5.102208927643346815e-10 2.209223828991271439e-10 2.010905139854478508e-10 1.070195042653965250e-10 9.579432638712209292e-11 5.696846464721472338e-11 5.306889083209408767e-11 5.363462761649424090e-10 2.349404654013029216e-10 2.193877026159086637e-10 1.135961070414808934e-10 1.070289314990916891e-10 7.087124877108502954e-11 5.210825559430954288e-10 2.364805184834477210e-10 2.234609420958663660e-10 1.294810683205482016e-10 1.172486996921306993e-10 5.281133838539361254e-10 2.572244996909735477e-10 2.316480985819617536e-10 1.305350219592120645e-10 5.147188774074491093e-10 2.479492289599344681e-10 2.391391521262240287e-10 5.119298361822934872e-10 2.565566877790054563e-10 5.109990267763194864e-10
6.000000000000000000e+00 2.513246466675500809e-10 8.656039355675118857e-11 6.353187970630234919e-11 3.322098432952062096e-11 3.162951574876879162e-11 1.523149977034847195e-11 1.393346364175793680e-11 7.810855595625692403e-12 9.084322261536972241e-12 9.927646231933834066e-12 4.614903631188173705e-10 1.778654410574616268e-10 1.491238131451528221e-10 6.941968202449482294e-11 6.207185225573151507e-11 3.625823272694455889e-11 3.505850442871590033e-11 2.735855768075400887e-11 1.792366595645175613e-11 5.338665881479203229e-10 2.118561391008787404e-10 1.831281983843318153e-10 8.822860911518180508e-11 8.337876784269125034e-11 4.470269720085514092e-11 4.333817538206129836e-11 3.473717515990283226e-11 5.432744540821022002e-10 2.221422251404827780e-10 2.004595917553579431e-10 1.038802235587836652e-10 9.406296688224054821e-11 5.502970568445780391e-11 5.170502256665936503e-11 5.679091990670043855e-10 2.349604921192768935e-10 2.173004391164396977e-10 1.103153105979010170e-10 1.051391519160870763e-10 6.918245370355180211e-11 5.543838806947072432e-10 2.377653649801668227e-10 2.213000089540723730e-10 1.261288963527685341e-10 1.149387432877662194e-10 5.608421232023473673e-10 2.576132483350427511e-10 2.295006884224932953e-10 1.268832035019293439e-10 5.492422488277703538e-10 2.494596066980699482e-10 2.375823721253656530e-10 5.464521248440000077e-10 2.573302281696442300e-10 5.439404129436576107e-10
7.000000000000000000e+00 2.710786363616709939e-10 8.831267224664002431e-11 6.420030496344396477e-11 3.237694284008177487e-11 3.141642142062815453e-11 1.437657916040961648e-11 1.346890047341858007e-11 7.561053445781876427e-12 8.589522386973464504e-12 9.384954296382653121e-12 4.859143617635339848e-10 1.780625340657338001e-10 1.479843674052631919e-10 6.627886535514543381e-11 6.073442865242179315e-11 3.484925001430641945e-11 3.334096450059253507e-11 2.613277932515387060e-11 1.744924160945851646e-11 5.568389989333755231e-10 2.105528015718991763e-10 1.808063383535546615e-10 8.516866586670398721e-11 8.072583041588707539e-11 4.300667194743344119e-11 4.211306450023060129e-11 3.395115377486555179e-11 5.681600751379377992e-10 2.222637355404582613e-10 1.982104557811698194e-10 1.003351028838761816e-10 9.190569347156195174e-11 5.313000411944848390e-11 5.022263913102942253e-11 5.913406511811775678e-10 2.342116791966415674e-10 2.138550039797519209e-10 1.069169352256718919e-10 1.028764893436038409e-10 6.734977383552628031e-11 5.793463935385557385e-10 2.379751171285036267e-10 2.177032924797768227e-10 1.223790456024398855e-10 1.123347741157340620e-10 5.851788209880778460e-10 2.568636706322200271e-10 2.259390399421359104e-10 1.230272138299113435e-10 5.750452066522065604e-10 2.494166326178305287e-10 2.343361076411059689e-10 5.722395090258879878e-10 2.566450217813944356e-10 5.682657868762485818e-10
8.000000000000000000e+00 2.869655494419785001e-10 8.971146790006537678e-11 6.436394385191016510e-11 3.142511937628722807e-11 3.098563604511534396e-11 1.363500457293904091e-11 1.302675071111042584e-11 7.335500060152654111e-12 8.145841419620573025e-12 8.901412155749639302e-12 5.040312031472276733e-10 1.776938027978546493e-10 1.460154495257076655e-10 6.336351056034985224e-11 5.926276651277371230e-11 3.350119273708409104e-11 3.186340915138672200e-11 2.508105146223487698e-11 1.697619148035589615e-11 5.739133120800382911e-10 2.087446160006923470e-10 1.778532439144635505e-10 8.216488522484195898e-11 7.805666482419098776e-11 4.141072432344714243e-11 4.096860173790398032e-11 3.315733438777172858e-11 5.863117899640025749e-10 2.216526990360011934e-10 1.950148812653934554e-10 9.674021448640631858e-11 8.961048830062217110e-11 5.135254726390221550e-11 4.873725237073258079e-11 6.081640111595455806e-10 2.329651506588758563e-10 2.096804786105304535e-10 1.035905487432251092e-10 1.004804332145365131e-10 6.550058214543623293e-11 5.974774626344035177e-10 2.374286982581207141e-10 2.133616887261883922e-10 1.185580315795210404e-10 1.096483333652124976e-10 6.026611209177430246e-10 2.553446673569643712e-10 2.216054057960611745e-10 1.191946227327147481e-10 5.936769533466947149e-10 2.483750994500879649e-10 2.301562277415143081e-10 5.908589096240168074e-10 2.550258378803501195e-10 5.855929811505586839e-10
9.000000000000000000e+00 2.994748275933148644e-10 9.078619362627699863e-11 6.414669362737830547e-11 3.042783117639772630e-11 3.043181333893877936e-11 1.298790692898833976e-11 1.261639650505455967e-11 7.133414547611203967e-12 7.748138301737868066e-12 8.474869126379499483e-12 5.169642355146928569e-10 1.768853106666779920e-10 1.435223994737604397e-10 6.069072421019630373e-11 5.775738686244786454e-11 3.224222075717124307e-11 3.059476153703820104e-11 2.416681849732427525e-11 1.651231528511530349e-11 5.860497093487776695e-10 2.066010131927604307e-10 1.745181185084584306e-10 7.929288157597455304e-11 7.547562410615311041e-11 3.994979088999740293e-11 3.990407465394762646e-11 3.237768564754617745e-11 5.989755717300515059e-10 2.204980059085275119e-10 1.912684756148853619e-10 9.325278834101140631e-11 8.730720722794630702e-11 4.971269857861236235e-11 4.729818238175671100e-11 6.196434702101898944e-10 2.313417970103233396e-10 2.051271871002706319e-10 1.004053455827070724e-10 9.806108134328082561e-11 6.369020389003360453e-11 6.100641961906552858e-10 2.362975255756467113e-10 2.086453045091657025e-10 1.148106434234207066e-10 1.069727141231882568e-10 6.145960185056140375e-10 2.532578622800782693e-10 2.168590183167864738e-10 1.154824759068229308e-10 6.065011581168980259e-10 2.466363965225457106e-10 2.254669492275144128e-10 6.036799315589049198e-10 2.527597249851411262e-10 5.973080152794014754e-10
1.000000000000000000e+01 3.091028344690059969e-10 9.156090830901327267e-11 6.364668271902923417e-11 2.942250254755334086e-11 2.981174412832052544e-11 1.241824110383292558e-11 1.223943362081249160e-11 6.951899577636425400e-12 7.390630568306886968e-12 8.098565397596977781e-12 5.256988895607088530e-10 1.757234757434807246e-10 1.407127251246086207e-10 5.824711377625443671e-11 5.626864735742928980e-11 3.107877828468082832e-11 2.949855706414771651e-11 2.335979730266958319e-11 1.606168247177039618e-11 5.941157099678190854e-10 2.042256130188806523e-10 1.709677026494051624e-10 7.657977594445886283e-11 7.302631220786007952e-11 3.862415512885646313e-11 3.891022989567132976e-11 3.162162564934790657e-11 6.072162816731440889e-10 2.189220377776165043e-10 1.872202590205525706e-10 8.993940577707105865e-11 8.505743734192902791e-11 4.820413831234998108e-11 4.592623825330478830e-11 6.268367796018144910e-10 2.294164451442669977e-10 2.004072155709537768e-10 9.738402727549046947e-11 9.567483587012849904e-11 6.194415061574416147e-11 6.181966741081236998e-10 2.347025169626886227e-10 2.037719090333713559e-10 1.112030351419722674e-10 1.043554033999982468e-10 6.220924155606205992e-10 2.507448324369219718e-10 2.119211595029343237e-10 1.119336702402148336e-10 6.146868396029503693e-10 2.443969453246067054e-10 2.205284190835032222e-10 6.118775210180261476e-10 2.500370610855792530e-10 6.045845587405708237e-10
