T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 8.667157869483337153e-11 5.407457016725026720e-11 4.287004250430286914e-11 2.336432750028838658e-11 1.763177755362719508e-11 1.774055130949480550e-11 1.000699658843356836e-11 7.501204304194531552e-12 9.748025139757785882e-12 8.961655783861682019e-12 1.995142320963543967e-10 1.286210669052742162e-10 9.870934720343727032e-11 5.725844259114506750e-11 4.014190023859594501e-11 2.991901716506732897e-11 3.049566139811642021e-11 2.819998827346081791e-11 1.499282822701763066e-11 2.707963665003969861e-10 1.588293467589446805e-10 1.303161512187103571e-10 6.893693868660178418e-11 5.848076844442044436e-11 3.449494815570663856e-11 3.381057598000177174e-11 2.487479783268439818e-11 2.466040630552995376e-10 1.499339168574610629e-10 1.302697440167343942e-10 7.339683105885114697e-11 6.195645082389487447e-11 4.281694771081140521e-11 4.065790635578986351e-11 2.716618882737226723e-10 1.694693089996661995e-10 1.479031914593188811e-10 8.781109803777522435e-11 7.490811484594187004e-11 5.099630953885021499e-11 2.505746488206781345e-10 1.660089406924576408e-10 1.418256528129210144e-10 8.902127014601007299e-11 8.512976218252341143e-11 2.522949856596437525e-10 1.734434654854369664e-10 1.528049366780664028e-10 1.016668254412489177e-10 2.480612511786247928e-10 1.500895920711150364e-10 1.499241372224428654e-10 2.329095779067957464e-10 1.603556764327173983e-10 2.328230127942473316e-10
2.000000000000000000e+00 1.284336169538499167e-10 7.066224956149299554e-11 5.193651508885718418e-11 3.092134992784337324e-11 2.460046743682007351e-11 1.901948687118439151e-11 1.386379742925848744e-11 8.454373195715202692e-12 1.105243206332341263e-11 1.127842239785650775e-11 2.790494916776879622e-10 1.589212749877886411e-10 1.272846513389397652e-10 7.450656016473787983e-11 5.591776024652143771e-11 3.782639890530407498e-11 4.010040715986721129e-11 3.282693303763866775e-11 1.836684452988260836e-11 3.606440878262709678e-10 1.962311911485291193e-10 1.682957694966790577e-10 8.927909747027345532e-11 8.051372174348352906e-11 4.495664429192235254e-11 4.436860728885876730e-11 3.326881877534446832e-11 3.428005759334765498e-10 1.938398491111250555e-10 1.726134236472844463e-10 9.940522201593910189e-11 8.616821667074646629e-11 5.596022447321980492e-11 5.104214715219485199e-11 3.695382844407241204e-10 2.133077733521168136e-10 1.947682779479435250e-10 1.112229516993989621e-10 9.889076363899154464e-11 6.751945742893942433e-11 3.500053200235086811e-10 2.102826345791586792e-10 1.954385172290273279e-10 1.214023170660301338e-10 1.108617087008372488e-10 3.566993868711123438e-10 2.285508654015129041e-10 2.057149532895891495e-10 1.284181017288199876e-10 3.417717077940939400e-10 2.087496825711984441e-10 2.063691101615259854e-10 3.325141972671995877e-10 2.194719092838844081e-10 3.351756799888011250e-10
3.000000000000000000e+00 1.656418763656260122e-10 7.773504152840286676e-11 5.719864953792652769e-11 3.353086280179818076e-11 2.852930744649120312e-11 1.836729704761875282e-11 1.480229806220000944e-11 8.526141776246808442e-12 1.082764338149203861e-11 1.154696106636819029e-11 3.395999258178051125e-10 1.699319301105055308e-10 1.398565355014777993e-10 7.732265530988344046e-11 6.200031410476085370e-11 3.944802508293176529e-11 4.086317466362857336e-11 3.207178133974838358e-11 1.902630904731523810e-11 4.201818969577992547e-10 2.078878313834886227e-10 1.808387416425433625e-10 9.418270399639676413e-11 8.707138132141480987e-11 4.798352903922052342e-11 4.641620007465702793e-11 3.555024131655507942e-11 4.122552814504611483e-10 2.112363790953368785e-10 1.913594301982065815e-10 1.078211359662588687e-10 9.483939100001860795e-11 5.899001411427802890e-11 5.392102105820750514e-11 4.400812438767848445e-10 2.277766175207475669e-10 2.128987609990592744e-10 1.165553991522464653e-10 1.065663748595361061e-10 7.163519627734148761e-11 4.210903912161122728e-10 2.268814637412810278e-10 2.163633486097807295e-10 1.308361683780744233e-10 1.181011986581214823e-10 4.296841291290347037e-10 2.476712288899134158e-10 2.251016975568356229e-10 1.343070150013908930e-10 4.130023303474274988e-10 2.331299604526428762e-10 2.292353756528890568e-10 4.071400775123839134e-10 2.430127580808268924e-10 4.098867389891115928e-10
4.000000000000000000e+00 1.985996140958775884e-10 8.176285373235095624e-11 6.054341147041943975e-11 3.416625601018903022e-11 3.050709741161519064e-11 1.726620256834309433e-11 1.475242034360210739e-11 8.339153621677779861e-12 1.027013439221998233e-11 1.113763980997810936e-11 3.896196605261136805e-10 1.748861351025569040e-10 1.458312416655212298e-10 7.563030270541489080e-11 6.368206270920454124e-11 3.898855632366006305e-11 3.924017758970424846e-11 3.040523819379624797e-11 1.888317928316647742e-11 4.673984224309251587e-10 2.119859342488593568e-10 1.848234732023955567e-10 9.368130975508459022e-11 8.770838116733344471e-11 4.784429712302211217e-11 4.592941234660476127e-11 3.577021598039013740e-11 4.670066824731168167e-10 2.184605635344368018e-10 1.990603708466576681e-10 1.088432950662348894e-10 9.686757277263026586e-11 5.845363623081440475e-11 5.402690239322265248e-11 4.942737196990504110e-10 2.328331156963571201e-10 2.188660605949011521e-10 1.158948457756799068e-10 1.080676111389133698e-10 7.182495289737965023e-11 4.769673460416462317e-10 2.338085604084026825e-10 2.232401380164545724e-10 1.318248517660722367e-10 1.188700645719274973e-10 4.854973276785380064e-10 2.546297831709633058e-10 2.312995911348147962e-10 1.336512767430805765e-10 4.701600332426345316e-10 2.434623448253945885e-10 2.374251854451612897e-10 4.653813860715805510e-10 2.523222009047638897e-10 4.668476826414598389e-10
5.000000000000000000e+00 2.271041614616528224e-10 8.455830626939674524e-11 6.267007836180529242e-11 3.393212017619512686e-11 3.133333539550437962e-11 1.616417369744220678e-11 1.438186772323729698e-11 8.076356787846283627e-12 9.675467319309662038e-12 1.054763414582405575e-11 4.300981906196303423e-10 1.772263486560495358e-10 1.482664855832798971e-10 7.262845740389420498e-11 6.346833173190777299e-11 3.779918509034414563e-11 3.716799656691477197e-11 2.875703606591512236e-11 1.849428796551614485e-11 5.052167672058417137e-10 2.129315952576956135e-10 1.852266762395115263e-10 9.131913943543687166e-11 8.608699227799014139e-11 4.651181795091172151e-11 4.475264616245344136e-11 3.530081632033066452e-11 5.099793346609765784e-10 2.215367965720554710e-10 2.013124846675321047e-10 1.068618730474037388e-10 9.619035011479504093e-11 5.680764924572211324e-11 5.305874089609869540e-11 5.359057041417646068e-10 2.344002226630399310e-10 2.194323692939069419e-10 1.132312738302881340e-10 1.071611790167842283e-10 7.066955480805327682e-11 5.205519876112094074e-10 2.368752662328903310e-10 2.239603548252341068e-10 1.296553177812613861e-10 1.173516307406555669e-10 5.284762143223495631e-10 2.570625177847384028e-10 2.318344783238242033e-10 1.307404799795806313e-10 5.150951675496021334e-10 2.478596529913092633e-10 2.390445592553082985e-10 5.107253220030376958e-10 2.558661207680223098e-10 5.104976201807650110e-10
6.000000000000000000e+00 2.511109379079565998e-10 8.672368103994209373e-11 6.393033925309543866e-11 3.327804636049043243e-11 3.149950975016646767e-11 1.517893740680299191e-11 1.392150779369326811e-11 7.807758545970312315e-12 9.119420032844637158e-12 9.950830287780146125e-12 4.619344631283170896e-10 1.782236527591800793e-10 1.485733784607038600e-10 6.938000391040415118e-11 6.243879550900702661e-11 3.639079854644912079e-11 3.519986161563993958e-11 2.731441842449336899e-11 1.803164137898109072e-11 5.349793975602554563e-10 2.123716075058858681e-10 1.838283157753768660e-10 8.835538319359946032e-11 8.363808897773937755e-11 4.482241733513504221e-11 4.345780483207975448e-11 3.460188616532933726e-11 5.430997509849839664e-10 2.226753046861177065e-10 2.006721978110768910e-10 1.037055861831085078e-10 9.442519155935684933e-11 5.490633725767194317e-11 5.169360057482784920e-11 5.674964804164138764e-10 2.344837519779568729e-10 2.173787265372071282e-10 1.099548375834890935e-10 1.052989914504556459e-10 6.903275712794037579e-11 5.539673302276505454e-10 2.381205458540605691e-10 2.217947094481797570e-10 1.263004587420085250e-10 1.150119787029196055e-10 5.611766524777166309e-10 2.574688933659412824e-10 2.296662096174117670e-10 1.270686801296408841e-10 5.496021442827010113e-10 2.494291561059684433e-10 2.374712830468179113e-10 5.454653108138700082e-10 2.567395974080755224e-10 5.435357129984164837e-10
7.000000000000000000e+00 2.708542517230618431e-10 8.846500860976400128e-11 6.454236617988049242e-11 3.241205142646017919e-11 3.128835731507232394e-11 1.432362889682143066e-11 1.345446087339609367e-11 7.557820323593817583e-12 8.617715349619594964e-12 9.402584594108222251e-12 4.862872336423155496e-10 1.784079884720363901e-10 1.475388734458957715e-10 6.624426259271206764e-11 6.106521981901486812e-11 3.496626429433963068e-11 3.346899045903480815e-11 2.608345063136956481e-11 1.755075760820474437e-11 5.578122623863798748e-10 2.110014897697936344e-10 1.814066381971800911e-10 8.526690920191854786e-11 8.094133448978058275e-11 4.311209761961281045e-11 4.221081874935300719e-11 3.383305573822345789e-11 5.680251024107126792e-10 2.227293836450863670e-10 1.984016695231998365e-10 1.001617470615870217e-10 9.224115763285139296e-11 5.303457672901028926e-11 5.020914473286011268e-11 5.909513429994852015e-10 2.337955441843231079e-10 2.139598913615654525e-10 1.065686726347213614e-10 1.030559306624088004e-10 6.723783136908234148e-11 5.790071599132595804e-10 2.382996612204764347e-10 2.181842557861988767e-10 1.225432572119850754e-10 1.123857656135834664e-10 5.854837292247064613e-10 2.567342201596881815e-10 2.260875926465029092e-10 1.231983120905195440e-10 5.753901157660210606e-10 2.494208891229376434e-10 2.342166714015054472e-10 5.714229348177043054e-10 2.561335331330938411e-10 5.679312104970035459e-10
8.000000000000000000e+00 2.867423131219885326e-10 8.985207787446824904e-11 6.466232342916104062e-11 3.144268325876214947e-11 3.086117857450633146e-11 1.358305502598440313e-11 1.301045059981403674e-11 7.332474131128892679e-12 8.168956502803741165e-12 8.915094740537955742e-12 5.043554287167221458e-10 1.780201640154531690e-10 1.456457927381127864e-10 6.333076154938305042e-11 5.956077503736557118e-11 3.360496446506703060e-11 3.197967946405217311e-11 2.502929289954399602e-11 1.707114636389894774e-11 5.747580025261629293e-10 2.091397834379882555e-10 1.783696434252057132e-10 8.224176072451170449e-11 7.823827652017696726e-11 4.150373961505642470e-11 4.104821326621451462e-11 3.305270842564486517e-11 5.862023015696777944e-10 2.220629151650860597e-10 1.951817117039610005e-10 9.657661045169258344e-11 8.992425287213231819e-11 5.127797511966340832e-11 4.872182650796709852e-11 6.077969408237619027e-10 2.326024672396704247e-10 2.098062262795467507e-10 1.032579945386586766e-10 1.006733821986600261e-10 6.541665392262648136e-11 5.971934872760848528e-10 2.377285552179161721e-10 2.138247328497491589e-10 1.187133662108520225e-10 1.096821192432962601e-10 6.029388134429412535e-10 2.552283283241674531e-10 2.217387133485271761e-10 1.193546604529095437e-10 5.940071415693029432e-10 2.484006926496338439e-10 2.300353299003670454e-10 5.901736751853689760e-10 2.545774010664090648e-10 5.853108728048477235e-10
9.000000000000000000e+00 2.992592368315682443e-10 9.091513357288650891e-11 6.441080984163978994e-11 3.043157240826094445e-11 3.031186360927248111e-11 1.293760525012261976e-11 1.259889147287366710e-11 7.130793893789475435e-12 7.767423048970130834e-12 8.485626754014348109e-12 5.172532600755756592e-10 1.771903127851521441e-10 1.432089820362338287e-10 6.065842835176435637e-11 5.802624928397346152e-11 3.233482971103728992e-11 3.070058460761891774e-11 2.411438708555904910e-11 1.660093034374626115e-11 5.867796089072233085e-10 2.069522441938321438e-10 1.749645807219477194e-10 7.935353249031175983e-11 7.563084859451821611e-11 4.003207351211979973e-11 3.996861867823175288e-11 3.228395686773690298e-11 5.988834065712824858e-10 2.208624789966628077e-10 1.914117136749893979e-10 9.310245381300193017e-11 8.760272393325972920e-11 4.965381711241240823e-11 4.728134472873454321e-11 6.192982119064014102e-10 2.310248703457975568e-10 2.052690610133783797e-10 1.000898461693867777e-10 9.826275493673688987e-11 6.362738197835856914e-11 6.098212796427991999e-10 2.365768113752400673e-10 2.090887605345667183e-10 1.149568536213325511e-10 1.069929075905705370e-10 6.148497626837102259e-10 2.531532721155174024e-10 2.169782366900547977e-10 1.156335011438303109e-10 6.068167612555521406e-10 2.466754268259359167e-10 2.253492948631172114e-10 6.030961906854846782e-10 2.523622072764097776e-10 5.970661549033156367e-10
1.000000000000000000e+01 3.088981877080565307e-10 9.167871139087844637e-11 6.388344668006774472e-11 2.941545716670146473e-11 2.969671345403112190e-11 1.236986976897366122e-11 1.222128644967725607e-11 6.949781471675433428e-12 7.406965552003531356e-12 8.107078936504419488e-12 5.259611860956727034e-10 1.760069083384274480e-10 1.404420000260343461e-10 5.821478500937695953e-11 5.651177072007714530e-11 3.116196531883139921e-11 2.959505674578438170e-11 2.330780477229603870e-11 1.614432879596054733e-11 5.947447612165735731e-10 2.045402045370707557e-10 1.713559419541088599e-10 7.662794383114978021e-11 7.316076682358206547e-11 3.869719039136619861e-11 3.896225277477978850e-11 3.153692081133555522e-11 6.071364090799941795e-10 2.192484305554720770e-10 1.873421333609361822e-10 8.980330408529967613e-11 8.533707854786594641e-11 4.815720298765134954e-11 4.590859999531631525e-11 6.265128493946942699e-10 2.291382940312323824e-10 2.005613406047976040e-10 9.708578537796662370e-11 9.588150386862434301e-11 6.189740646581193997e-11 6.179851957915931847e-10 2.349642291193745319e-10 2.041954502902788996e-10 1.113404216161829982e-10 1.043646901952804840e-10 6.223253268736611977e-10 2.506508673846266528e-10 2.120273572836072834e-10 1.120770258252031184e-10 6.149881658034794658e-10 2.444444288651557329e-10 2.204168171362815127e-10 6.113728973956382022e-10 2.496813352143818073e-10 6.043741878888178429e-10
