T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.293374814619957809e-10 5.208693331364722153e-11 3.122723928043039076e-11 1.533619966908261469e-11 9.518744537791168468e-12 9.671192966160996989e-12 6.087045714610546029e-12 4.628603439476362940e-12 3.294706277757964832e-12 4.675623231492781014e-12 2.119202817546883171e-10 9.005820737607665990e-11 5.846466886206513652e-11 3.501319204518716244e-11 2.842609058126160378e-11 1.865831126954942444e-11 1.549595003197853068e-11 1.482354703619740994e-11 1.039420553685777568e-11 2.275494492209672036e-10 1.044256324306119840e-10 7.381027591538797233e-11 4.223279318164056076e-11 3.001139371238389698e-11 3.165629846952300477e-11 2.423890898839079030e-11 1.808667671401416820e-11 2.188591388889644523e-10 1.179398934798408219e-10 7.553954833970436506e-11 5.441739107412918404e-11 4.176969103215601712e-11 3.062106557755530831e-11 2.840179124035731831e-11 2.127552532632639208e-10 1.301508358706949737e-10 8.173971011145560262e-11 4.784545474407172880e-11 4.800236417030537625e-11 3.134387109123462599e-11 2.022006619541828710e-10 1.136543447103949143e-10 8.442121581184157032e-11 5.139145378644976261e-11 5.146940635998476067e-11 2.046667816000478789e-10 1.134502290974931771e-10 9.397714328988775281e-11 5.349419218789753090e-11 2.024755203994363222e-10 9.722528211930345866e-11 9.594806136544100249e-11 1.931280011760479054e-10 9.028296789054361445e-11 1.942079726075546599e-10
2.000000000000000000e+00 1.164579876267201238e-10 4.074762112556163367e-11 3.206779857386751736e-11 1.637342096789813632e-11 9.174133497549886793e-12 8.703971286920978474e-12 5.799514802885058693e-12 4.167650915673305592e-12 3.262169310542371290e-12 4.322983815277281528e-12 1.969935083169081620e-10 8.344122245222263225e-11 5.566645026849716517e-11 3.302135816670607237e-11 2.527728428867723993e-11 1.827395452316280226e-11 1.478511000349766475e-11 1.404788532673960198e-11 9.976908075775120180e-12 2.143507099428568361e-10 9.840053956157906851e-11 7.179837787273935582e-11 4.304649540748809346e-11 2.885105229558009535e-11 2.904404052904532618e-11 2.442845692116297747e-11 1.798010480865237508e-11 2.141787308329550386e-10 1.102866572608004219e-10 7.580999398489114954e-11 5.260498057335842272e-11 4.072943775832116361e-11 2.991657252376988213e-11 2.896586444091455842e-11 2.102630958053761471e-10 1.232171742901502719e-10 7.990507726106314515e-11 4.854702282867032244e-11 4.818262719710956583e-11 2.942175796236052966e-11 2.078237591706507640e-10 1.131386250351551995e-10 8.470177798047791175e-11 4.978786536753290786e-11 4.935200967170628360e-11 2.128127522889994822e-10 1.107688343796594042e-10 9.015013588375997381e-11 5.520556810917058948e-11 2.146373842656131589e-10 9.831516019213203311e-11 8.955324332925458500e-11 2.092259665320713099e-10 9.548391513459591564e-11 2.125931916652493058e-10
3.000000000000000000e+00 1.127592074317297903e-10 3.672537680403479855e-11 3.306627545591009131e-11 1.648692854882751861e-11 9.005185680727978809e-12 8.164285244256606545e-12 5.740430679794562582e-12 3.860467954753631322e-12 3.275219644048786936e-12 4.023057842490240068e-12 1.939131920327493083e-10 8.046183085479556784e-11 5.462774210738161926e-11 3.221553044693691426e-11 2.382747057985298260e-11 1.771968973783860146e-11 1.393390218520193543e-11 1.328601253903163406e-11 9.709950814630536049e-12 2.087407902743364131e-10 9.638532757957390594e-11 7.206910011342630174e-11 4.346286420909652141e-11 2.802459598692726756e-11 2.716354084846165416e-11 2.377201667666078886e-11 1.707273772637552231e-11 2.116722707578483332e-10 1.081705456614492359e-10 7.666870837115355870e-11 5.192612889262974962e-11 4.045045168740864918e-11 2.878157576093415781e-11 2.886298497636298636e-11 2.114608454931816013e-10 1.214612227405650645e-10 7.949139524755041853e-11 4.839729913925031830e-11 4.861983277633300199e-11 2.815145962932329125e-11 2.131548911899801946e-10 1.143427642504432854e-10 8.504427396610506894e-11 4.908660990960127251e-11 4.890851258452235523e-11 2.202811884569918284e-10 1.112450095560891609e-10 8.867052277000440878e-11 5.544642423158263824e-11 2.248377330342949590e-10 1.023479540843394732e-10 8.697018385865136480e-11 2.210006848243808841e-10 1.013450387489539701e-10 2.247403234340510354e-10
4.000000000000000000e+00 1.121167123537169685e-10 3.574615380559549120e-11 3.345513536269977958e-11 1.637302572229362509e-11 8.870816562380793898e-12 7.836187433308034943e-12 5.770471829488488790e-12 3.636010090757037418e-12 3.277227834859110102e-12 3.814049035150285367e-12 1.947433765769687151e-10 7.965331526103552984e-11 5.399671612256188953e-11 3.162991781020058061e-11 2.307412994066985699e-11 1.718771704203702921e-11 1.335860073513309383e-11 1.269380159094421972e-11 9.523699730117430957e-12 2.062720303477138987e-10 9.617280744426597690e-11 7.249644912284653830e-11 4.346624524383400365e-11 2.759312037450618375e-11 2.580024171050217072e-11 2.304370755481751116e-11 1.624962198347764274e-11 2.114394534249148061e-10 1.084366677450587524e-10 7.714224687857463214e-11 5.115041008462988562e-11 4.021965919316867221e-11 2.761391201117153478e-11 2.854408626714241433e-11 2.135527678044441863e-10 1.215823511599203289e-10 7.921377824578535842e-11 4.816103755187939750e-11 4.877763480387555764e-11 2.730826330427329874e-11 2.172141218189609830e-10 1.161577370435866620e-10 8.494235494131544072e-11 4.877177753795381742e-11 4.915033144019259313e-11 2.257316569060855569e-10 1.130816732083443349e-10 8.793808173505190429e-11 5.552110645352189903e-11 2.318100131074004068e-10 1.067828162934690139e-10 8.585826943503596257e-11 2.288309229099459286e-10 1.065255744733710728e-10 2.321814472995877652e-10
5.000000000000000000e+00 1.123084020133325677e-10 3.609162297591256656e-11 3.333822015450996296e-11 1.624292717282876491e-11 8.780741186588401206e-12 7.635881507316269974e-12 5.836060118729588614e-12 3.473561579182348865e-12 3.265746794649741741e-12 3.673570372091871953e-12 1.959078176500140336e-10 7.999816806000119753e-11 5.339479056692375065e-11 3.113672987392523578e-11 2.269139690821646889e-11 1.671090270990075796e-11 1.305900682820534819e-11 1.224317814246086959e-11 9.368950404426859610e-12 2.049895752479658206e-10 9.674739019059274743e-11 7.264690544724986810e-11 4.329923408071256081e-11 2.742572024291621803e-11 2.481822803965459207e-11 2.239958728871240235e-11 1.561887050035837353e-11 2.119071508881007758e-10 1.096709781708389853e-10 7.715422420881706233e-11 5.034007230082626670e-11 3.996677728839314011e-11 2.658474092112555972e-11 2.814204206543170085e-11 2.153248927486603048e-10 1.224054531729530998e-10 7.886167780983303724e-11 4.799874116679090792e-11 4.872327500853937109e-11 2.674451119988807151e-11 2.198986309224480462e-10 1.180907715964688910e-10 8.450732743423368639e-11 4.869438014170447589e-11 4.958399265028502931e-11 2.290865334800438926e-10 1.153213660818931125e-10 8.741459088339566342e-11 5.559553250284542711e-11 2.361395462451077886e-10 1.109192912476025328e-10 8.533255063327502992e-11 2.336511087680483742e-10 1.107715177377124465e-10 2.363876135422050356e-10
6.000000000000000000e+00 1.125150026842497738e-10 3.696345746091776126e-11 3.291910805046470259e-11 1.613539868810189076e-11 8.737652297979301714e-12 7.509971025946453295e-12 5.908199097645854168e-12 3.354738418346915450e-12 3.242514373009483747e-12 3.574831998349203133e-12 1.963834543019574891e-10 8.087157153258785960e-11 5.275431573110737949e-11 3.070104057519918103e-11 2.251465819328851408e-11 1.628510243296027118e-11 1.295547457686578558e-11 1.188588999987117102e-11 9.221954530504825267e-12 2.040288611058207251e-10 9.760111792307588990e-11 7.248666731245732569e-11 4.305234053412171058e-11 2.739703086481368731e-11 2.409434821189923261e-11 2.184663885793393277e-11 1.514274138098085727e-11 2.122764740604971042e-10 1.111507157280765472e-10 7.679252003520158340e-11 4.956393626764679048e-11 3.968458175620977645e-11 2.571231579623592112e-11 2.770187957080369221e-11 2.163501699429257422e-10 1.233964101040985512e-10 7.840129509314596525e-11 4.789789871445749764e-11 4.851905877359819498e-11 2.634841365320104528e-11 2.213340824544350800e-10 1.198573160748970316e-10 8.384454243650057548e-11 4.872809545760102095e-11 4.999163597455237102e-11 2.306475681431424334e-10 1.174451234712615983e-10 8.691691494396881925e-11 5.565427123178771729e-11 2.384011644171702909e-10 1.144727163911630075e-10 8.500791055288193253e-11 2.361820433705663442e-10 1.140788087416929878e-10 2.382529234591372928e-10
7.000000000000000000e+00 1.124516789931057759e-10 3.797202285016311172e-11 3.234645896222267567e-11 1.604314643999745004e-11 8.732991536307714880e-12 7.422534957177888754e-12 5.972270305250697896e-12 3.264588562294668877e-12 3.209755265943853731e-12 3.499387430875964545e-12 1.960027298430977779e-10 8.190055367541213640e-11 5.207649263094359307e-11 3.030278796851604704e-11 2.244461842199261852e-11 1.589994919460467029e-11 1.296661066132710090e-11 1.158676262733905361e-11 9.072219576807334756e-12 2.030053723374868167e-10 9.845853658696925931e-11 7.206974510942922683e-11 4.274984097690642885e-11 2.742424738239092107e-11 2.353233896669435589e-11 2.136199701401175168e-11 1.477013093292916102e-11 2.122171448937259980e-10 1.125080596268244451e-10 7.616316477596505552e-11 4.883129629801366433e-11 3.937077343332384603e-11 2.497017754345479722e-11 2.723774316775929514e-11 2.165369160829891046e-10 1.242750750916767019e-10 7.783519201567504959e-11 4.781369794895171472e-11 4.819812236708823551e-11 2.604538805934077070e-11 2.216881319850160820e-10 1.212987128831798516e-10 8.301733379032598724e-11 4.878060872824943702e-11 5.028008086092271283e-11 2.307641820463936754e-10 1.191995084317996661e-10 8.637099982192646111e-11 5.565831076594306033e-11 2.390470360520862054e-10 1.173314957627221115e-10 8.470279797655120211e-11 2.369611361804295061e-10 1.165182007652749810e-10 2.383804048491042679e-10
8.000000000000000000e+00 1.120472004039709480e-10 3.893096232902760104e-11 3.170882431942370272e-11 1.595250384804872287e-11 8.754386953893655139e-12 7.351262408905689101e-12 6.021867369181979285e-12 3.192554994620643155e-12 3.169645471304274701e-12 3.436678285551665807e-12 1.948540011069218124e-10 8.287644135198973590e-11 5.137520554139995929e-11 2.992832857780993491e-11 2.242075459844737673e-11 1.554612236865413425e-11 1.303183870623482458e-11 1.132446490554988592e-11 8.916380130294863972e-12 2.017641619731313594e-10 9.917746725824490045e-11 7.146053245656447307e-11 4.239820218416932018e-11 2.746047709939708760e-11 2.306712306923499877e-11 2.092436543686033152e-11 1.446288619416816646e-11 2.116311404337425029e-10 1.135757713882149692e-10 7.535469191293494733e-11 4.813131895250238284e-11 3.902556907814933060e-11 2.432765455700203526e-11 2.675659754345951067e-11 2.159400107565121418e-10 1.249050236957143819e-10 7.717686370127934558e-11 4.771120607775614800e-11 4.778253473089330387e-11 2.579003800702242887e-11 2.211395307222111845e-10 1.223499128289968140e-10 8.207032725267762944e-11 4.879921559293894883e-11 5.041977865608161148e-11 2.297563951078577440e-10 1.204944539192605431e-10 8.575166097084047172e-11 5.558458357910209596e-11 2.384407876595263807e-10 1.194922921621415888e-10 8.433824941164018300e-11 2.364096232209967164e-10 1.182000860342620285e-10 2.372222020869628943e-10
9.000000000000000000e+00 1.113169060782629770e-10 3.976003642662774709e-11 3.105484537655950854e-11 1.585380622583082024e-11 8.790560513046484818e-12 7.283621908642541270e-12 6.055181925717545612e-12 3.131848361375900011e-12 3.124168102357497582e-12 3.381279854720792277e-12 1.930880904876872826e-10 8.369587357742113759e-11 5.066538226473905275e-11 2.956930737207320825e-11 2.240810071797495037e-11 1.521695685792448359e-11 1.311280374229644935e-11 1.108703325297232704e-11 8.754757689506012370e-12 2.002650352381341639e-10 9.969728783131060243e-11 7.071600584595947689e-11 4.200269906182056221e-11 2.748295776915853188e-11 2.265899049847575942e-11 2.051970575727176454e-11 1.419687255789178381e-11 2.105331072859273469e-10 1.143010209494057920e-10 7.443467285895659168e-11 4.745312916658134599e-11 3.865248548669485846e-11 2.376048897936244319e-11 2.626522255759239690e-11 2.146748992040496739e-10 1.252390298318916392e-10 7.644526482690473291e-11 4.757210853443005779e-11 4.729194319865695874e-11 2.555684656060601664e-11 2.198651973732909446e-10 1.230096314740077048e-10 8.104100275735609546e-11 4.876146503094100804e-11 5.041388469772576418e-11 2.278995370816721111e-10 1.213325186347210703e-10 8.505957775785506710e-11 5.542847035213507614e-11 2.368818989251158089e-10 1.210157207201005544e-10 8.388976536957680848e-11 2.348667609796531375e-10 1.192518751428782659e-10 2.351324242422802678e-10
1.000000000000000000e+01 1.103086405840732596e-10 4.043434012212088804e-11 3.041015491724156248e-11 1.574242336532963766e-11 8.833072054231585823e-12 7.213425331305339334e-12 6.072832445526607131e-12 3.078364010579434560e-12 3.075047702477227608e-12 3.330644292542720493e-12 1.908560420203727382e-10 8.431962961937024877e-11 4.996023302574055525e-11 2.922133624267872560e-11 2.238813640660199656e-11 1.490818792712885283e-11 1.318804539638233155e-11 1.086797925298114951e-11 8.589290130025371949e-12 1.985237833074219551e-10 1.000052475799109451e-10 6.988250156391951104e-11 4.157080616486651007e-11 2.748331108183683938e-11 2.228556699869852643e-11 2.014005655708786484e-11 1.395805422184853062e-11 2.089883950923961822e-10 1.146924856853120936e-10 7.345307414517569660e-11 4.679073122169362216e-11 3.825739754339320256e-11 2.325154326969035710e-11 2.577082804329458319e-11 2.128743021459361402e-10 1.252817621424770027e-10 7.566144873445968489e-11 4.739088797757768570e-11 4.674516888832245198e-11 2.533259778558946851e-11 2.180292393959223252e-10 1.233132107881723680e-10 7.996197770024279247e-11 4.866340101243972548e-11 5.028048913959221266e-11 2.254225334843693245e-10 1.217619020520642478e-10 8.430786130928265368e-11 5.519716326329248518e-11 2.346167104267452058e-10 1.219918454212738147e-10 8.336002488871483474e-11 2.326050665100329938e-10 1.197995682539786455e-10 2.323890745550535780e-10
