T	1->0	2->0	3->0	4->0	5->0	2->1	3->1	4->1	5->1	3->2	4->2	5->2	4->3	5->3	5->4	
1.000000000000000000e+00 4.738077791263908265e-11 2.580788049118632633e-11 4.170107075879753047e-13 5.090303101514013759e-13 5.700244696680800659e-14 6.410241649120507909e-11 2.485183604780841990e-12 5.318924004310381834e-13 1.386936922173044812e-12 2.453276372860357346e-12 4.774323662793125153e-12 1.707607909637875096e-13 1.501590529624127806e-12 2.296004957541197174e-12 8.457078250890941725e-13
2.000000000000000000e+00 3.636145732115305894e-11 2.369538778097296498e-11 6.289569070920605832e-13 6.372046389747219736e-13 8.088450352828858218e-14 7.252069266492519093e-11 3.705810660078675858e-12 6.941227209026311468e-13 1.874275718461566522e-12 3.547861124771824201e-12 5.812770059663288815e-12 2.184663063338239209e-13 1.793146862759272346e-12 3.190054698972904222e-12 1.283053817427497390e-12
3.000000000000000000e+00 3.243914817573648490e-11 2.173003929412640915e-11 6.955933219870808190e-13 6.727013286637788318e-13 9.062148744221420647e-14 7.432106455029074487e-11 4.046620621632462842e-12 7.597019008282371766e-13 2.031761151805079425e-12 3.940554671540478726e-12 6.099421913715074772e-12 2.336524822471135073e-13 1.872436212078976257e-12 3.525274404297841942e-12 1.426478885349141546e-12
4.000000000000000000e+00 3.170057747621351512e-11 2.009953979527773866e-11 7.170761474383287856e-13 6.842265718473682535e-13 9.585538413605456823e-14 7.409453928210798585e-11 4.123750722692940450e-12 7.974345066847688786e-13 2.094726663722883939e-12 4.120914753688654394e-12 6.195100477775686939e-12 2.402371104462007528e-13 1.897070700639844513e-12 3.690743533116507912e-12 1.460786071962440355e-12
5.000000000000000000e+00 3.234118660045089896e-11 1.867883247317616944e-11 7.214331140720943832e-13 6.872813403352364122e-13 9.916255843315491243e-14 7.269491422826813132e-11 4.106024223469517071e-12 8.235635971146068523e-13 2.121764041569937778e-12 4.211517867669770776e-12 6.224240580333295539e-12 2.436618234739334954e-13 1.904000663479624935e-12 3.788336970547322570e-12 1.457361189879748782e-12
6.000000000000000000e+00 3.355937686876556046e-11 1.739845427687383196e-11 7.184908559309758556e-13 6.866913050777136400e-13 1.014453941912480382e-13 7.050874216618958859e-11 4.051504469650534941e-12 8.432548994047935346e-13 2.132370553353526362e-12 4.256033288972962971e-12 6.224737749324728506e-12 2.456381651266843692e-13 1.904698005771234094e-12 3.852488723651083644e-12 1.441088981128897900e-12
7.000000000000000000e+00 3.497002009936573192e-11 1.623125465727323170e-11 7.123245185564381427e-13 6.843333895796887818e-13 1.030931754740798657e-13 6.784673845849825940e-11 3.983550690163172119e-12 8.586678529883178834e-13 2.134434219896493368e-12 4.274013986944607350e-12 6.210933583181759473e-12 2.468397291068042979e-13 1.903107621223600010e-12 3.897442996196468161e-12 1.420987148946502042e-12
8.000000000000000000e+00 3.638015468542508096e-11 1.516608021563545523e-11 7.048224044679058066e-13 6.810694971348398843e-13 1.043065538910408670e-13 6.494798510366971833e-11 3.912459947120573022e-12 8.709599048311463476e-13 2.131660467760999246e-12 4.275735819980818422e-12 6.189347853885907157e-12 2.475855938742089027e-13 1.900644971290145754e-12 3.930226404867953308e-12 1.400450031373069948e-12
9.000000000000000000e+00 3.769383952107257896e-11 1.419593539578352393e-11 6.969235744722259191e-13 6.773447258270685523e-13 1.052037726496898104e-13 6.197881653034139911e-11 3.842953705567488164e-12 8.808668605318363874e-13 2.125992097829954986e-12 4.267189746697483800e-12 6.163398444743908681e-12 2.480472417155065335e-13 1.897829468777155292e-12 3.954770642852610301e-12 1.380752745862371006e-12
1.000000000000000000e+01 3.886660149055687065e-11 1.331419682024793194e-11 6.891131822275537051e-13 6.734068591916912023e-13 1.058607194178251447e-13 5.904635168338785100e-11 3.777163306848453180e-12 8.889027360932437034e-13 2.118520015719190803e-12 4.252099894989020194e-12 6.135057356325086635e-12 2.483223131770576491e-13 1.894857535680149397e-12 3.973434472347252497e-12 1.362321927390182501e-12
