R	Gamma	E
1.00	0	45873.744739
1.00	10	45038.983411
1.00	20	42537.279814
1.00	30	38610.987103
1.00	40	33856.341358
1.00	50	28985.090478
1.00	60	24624.209633
1.00	70	21277.798672
1.00	80	19375.463495
1.00	90	19346.776071
1.00	100	21705.733821
1.00	110	27135.688478
1.00	120	36566.179178
1.00	130	51228.491779
1.00	140	73095.056018
1.00	150	109365.852039
1.00	160	201909.802682
1.00	170	631530.949049
1.10	0	39538.993199
1.10	10	38574.896576
1.10	20	35732.691297
1.10	30	31416.206978
1.10	40	26402.383416
1.10	50	21467.089584
1.10	60	17191.594753
1.10	70	13988.267256
1.10	80	12188.651151
1.10	90	12130.917188
1.10	100	14243.893637
1.10	110	19130.511676
1.10	120	27636.6532
1.10	130	40877.455514
1.10	140	60505.449434
1.10	150	92463.467573
1.10	160	173682.775211
1.10	170	556221.289415
1.20	0	38294.226469
1.20	10	36995.914169
1.20	20	33335.734181
1.20	30	28163.188325
1.20	40	22580.457331
1.20	50	17381.35054
1.20	60	13030.025438
1.20	70	9812.720564
1.20	80	7953.43951
1.20	90	7695.951178
1.20	100	9377.239945
1.20	110	13502.874887
1.20	120	20808.944842
1.20	130	32271.544446
1.20	140	49216.103187
1.20	150	75779.607127
1.20	160	136190.240955
1.20	170	351371.858722
1.20	180	789369.257571
1.30	0	39321.340407
1.30	10	37312.747894
1.30	20	32157.789726
1.30	30	25924.717485
1.30	40	19899.340798
1.30	50	14614.540439
1.30	60	10319.892513
1.30	70	7165.265822
1.30	80	5280.022114
1.30	90	4827.913505
1.30	100	6062.165701
1.30	110	9389.495117
1.30	120	15424.676538
1.30	130	24994.362421
1.30	140	39143.031654
1.30	150	60444.335336
1.30	160	101849.321044
1.30	170	207042.332641
1.30	180	329132.162341
1.40	0	40097.509389
1.40	10	35457.085769
1.40	20	29366.751721
1.40	30	22929.455188
1.40	40	17138.762536
1.40	50	12199.127054
1.40	60	8225.000334
1.40	70	5295.249785
1.40	80	3487.838535
1.40	90	2914.649175
1.40	100	3763.646464
1.40	110	6352.145261
1.40	120	11174.407415
1.40	130	18902.806807
1.40	140	30340.375609
1.40	150	46970.623905
1.40	160	74774.254885
1.40	170	127313.720579
1.40	180	172658.014241
1.50	0	21487.881871
1.50	10	27658.902103
1.50	20	23741.943897
1.50	30	18814.027516
1.50	40	14041.905162
1.50	50	9855.278915
1.50	60	6433.143149
1.50	70	3870.123806
1.50	80	2238.361576
1.50	90	1625.87129
1.50	100	2175.195072
1.50	110	4129.032253
1.50	120	7870.95198
1.50	130	13923.572638
1.50	140	22877.025415
1.50	150	35514.440115
1.50	160	54150.531619
1.50	170	81826.293428
1.50	180	104331.705116
1.60	0	41691.250926
1.60	10	20188.395427
1.60	20	17782.736865
1.60	30	14453.077116
1.60	40	10916.875985
1.60	50	7641.223956
1.60	60	4874.336574
1.60	70	2749.623329
1.60	80	1352.905259
1.60	90	764.692291
1.60	100	1097.254104
1.60	110	2533.979841
1.60	120	5363.385278
1.60	130	9974.67639
1.60	140	16777.394309
1.60	150	26128.282469
1.60	160	38603.16929
1.60	170	53829.687174
1.60	180	62504.245007
1.70	0	14888.745144
1.70	10	14349.205782
1.70	20	12827.684494
1.70	30	10618.899834
1.70	40	8122.964728
1.70	50	5689.879559
1.70	60	3557.256806
1.70	70	1871.485413
1.70	80	727.538688
1.70	90	202.558252
1.70	100	387.50329
1.70	110	1419.954335
1.70	120	3511.219468
1.70	130	6940.690399
1.70	140	11978.165014
1.70	150	18743.496309
1.70	160	27108.104698
1.70	170	35922.800889
1.70	180	40337.122008
1.80	0	10362.192319
1.80	10	10016.983828
1.80	20	9032.830203
1.80	30	7563.426845
1.80	40	5835.202706
1.80	50	4081.842064
1.80	60	2492.148938
1.80	70	1199.123295
1.80	80	294.731765
1.80	90	-149.61604
1.80	100	-59.730566
1.80	110	666.960128
1.80	120	2181.894249
1.80	130	4679.776182
1.80	140	8331.198457
1.80	150	13140.674721
1.80	160	18770.22797
1.80	170	24123.744864
1.80	180	26570.528639
1.90	0	7111.922497
1.90	10	6886.848584
1.90	20	6240.144645
1.90	30	5256.878979
1.90	40	4068.881516
1.90	50	2826.869506
1.90	60	1668.382098
1.90	70	701.37869
1.90	80	5.954533
1.90	90	-355.599869
1.90	100	-323.532782
1.90	110	178.060635
1.90	120	1255.870657
1.90	130	3042.254699
1.90	140	5641.903585
1.90	150	9013.054766
1.90	160	12810.639942
1.90	170	16181.352403
1.90	180	17627.661195
2.00	0	4813.369786
2.00	10	4664.723758
2.00	20	4235.227904
2.00	30	3573.943971
2.00	40	2759.534803
2.00	50	1888.483449
2.00	60	1056.985366
2.00	70	347.17238
2.00	80	-176.1846
2.00	90	-461.771885
2.00	100	-462.58366
2.00	110	-123.036641
2.00	120	631.013266
2.00	130	1887.702911
2.00	140	3709.568401
2.00	150	6043.496626
2.00	160	8603.391052
2.00	170	10774.69386
2.00	180	11668.107391
2.10	0	3208.237627
2.10	10	3109.268409
2.10	20	2822.073137
2.10	30	2375.770459
2.10	40	1818.059621
2.10	50	1210.826309
2.10	60	620.116983
2.10	70	106.107705
2.10	80	-281.346971
2.10	90	-501.94577
2.10	100	-519.724554
2.10	110	-294.570493
2.10	120	224.415024
2.10	130	1094.932861
2.10	140	2353.168825
2.10	150	3949.807724
2.10	160	5668.336987
2.10	170	7083.435976
2.10	180	7649.997416
2.20	0	2100.415032
2.20	10	2034.20292
2.20	20	1841.414009
2.20	30	1539.501423
2.20	40	1157.709757
2.20	50	735.90209
2.20	60	319.098146
2.20	70	-49.556161
2.20	80	-332.94213
2.20	90	-500.517952
2.20	100	-525.56298
2.20	110	-379.695609
2.20	120	-28.4686
2.20	130	565.389973
2.20	140	1421.998434
2.20	150	2500.709283
2.20	160	3646.037547
2.20	170	4571.0039
2.20	180	4934.941734
2.30	0	1344.761651
2.30	10	1300.365815
2.30	20	1170.670839
2.30	30	966.105953
2.30	40	704.663842
2.30	50	412.181575
2.30	60	119.30305
2.30	70	-143.41745
2.30	80	-348.924888
2.30	90	-474.677183
2.30	100	-501.375047
2.30	110	-409.475001
2.30	120	-176.097148
2.30	130	222.535521
2.30	140	797.116312
2.30	150	1516.056187
2.30	160	2271.399391
2.30	170	2873.657732
2.30	180	3108.122936
2.40	0	835.690101
2.40	10	805.884611
2.40	20	718.487843
2.40	30	579.618695
2.40	40	400.368394
2.40	50	197.596113
2.40	60	-7.798077
2.40	70	-194.321722
2.40	80	-342.5314
2.40	90	-436.102069
2.40	100	-461.454141
2.40	110	-405.60322
2.40	120	-253.772248
2.40	130	8.983666
2.40	140	388.114478
2.40	150	859.997963
2.40	160	1351.337778
2.40	170	1739.590511
2.40	180	1889.819443
2.50	0	497.373459
2.50	10	477.318458
2.50	20	418.246715
2.50	30	323.676612
2.50	40	200.460341
2.50	50	59.694722
2.50	60	-84.327181
2.50	70	-216.538122
2.50	80	-323.100449
2.50	90	-392.365707
2.50	100	-415.000038
2.50	110	-382.758182
2.50	120	-286.504249
2.50	130	-117.041049
2.50	140	128.307183
2.50	150	432.561281
2.50	160	746.70463
2.50	170	993.014549
2.50	180	1087.94149
2.60	0	275.979642
2.60	10	262.407911
2.60	20	222.25807
2.60	30	157.509688
2.60	40	72.450062
2.60	50	-25.547392
2.60	60	-126.680677
2.60	70	-220.405983
2.60	80	-296.948133
2.60	90	-348.115211
2.60	100	-367.62412
2.60	110	-350.525489
2.60	120	-291.55488
2.60	130	-185.236251
2.60	140	-30.290677
2.60	150	161.631706
2.60	160	358.212153
2.60	170	510.89333
2.60	180	569.478827
2.70	0	133.739016
2.70	10	124.467875
2.70	20	96.930443
2.70	30	52.247224
2.70	40	-6.83285
2.70	50	-75.360426
2.70	60	-146.593955
2.70	70	-213.155097
2.70	80	-268.183876
2.70	90	-306.015916
2.70	100	-322.513712
2.70	110	-314.908792
2.70	120	-280.519833
2.70	130	-216.266925
2.70	140	-121.530421
2.70	150	-3.888257
2.70	160	115.694683
2.70	170	207.239999
2.70	180	242.060236
2.80	0	44.470416
2.80	10	38.057907
2.80	20	18.945927
2.80	30	-12.209022
2.80	40	-53.586159
2.80	50	-101.816213
2.80	60	-152.240391
2.80	70	-199.688394
2.80	80	-239.369517
2.80	90	-267.448195
2.80	100	-281.281182
2.80	110	-279.469108
2.80	120	-260.967356
2.80	130	-224.231123
2.80	140	-168.920504
2.80	150	-99.661678
2.80	160	-29.834026
2.80	170	22.284552
2.80	180	41.715296
2.90	0	-9.767809
2.90	10	-14.263202
2.90	20	-27.704067
2.90	30	-49.689309
2.90	40	-78.973488
2.90	50	-113.222664
2.90	60	-149.187678
2.90	70	-183.228085
2.90	80	-212.006033
2.90	90	-232.98485
2.90	100	-244.560622
2.90	110	-246.155383
2.90	120	-237.678283
2.90	130	-218.556669
2.90	140	-188.560593
2.90	150	-150.275091
2.90	160	-112.114664
2.90	170	-85.048178
2.90	180	-75.442111
3.00	0	-41.150723
3.00	10	-44.342654
3.00	20	-53.916882
3.00	30	-69.631139
3.00	40	-90.614892
3.00	50	-115.223019
3.00	60	-141.152285
3.00	70	-165.815109
3.00	80	-186.878954
3.00	90	-202.706392
3.00	100	-212.409161
3.00	110	-215.891674
3.00	120	-213.558073
3.00	130	-205.413344
3.00	140	-191.294365
3.00	150	-172.444836
3.00	160	-154.061402
3.00	170	-142.580951
3.00	180	-139.107243
3.10	0	-57.870021
3.10	10	-60.160689
3.10	20	-67.059773
3.10	30	-78.434125
3.10	40	-93.676021
3.10	50	-111.608206
3.10	60	-130.566918
3.10	70	-148.682076
3.10	80	-164.308496
3.10	90	-176.406009
3.10	100	-184.568489
3.10	110	-188.984814
3.10	120	-190.271587
3.10	130	-188.738891
3.10	140	-184.280593
