T	1->0	2->0	3->0	4->0	5->0	2->1	3->1	4->1	5->1	3->2	4->2	5->2	4->3	5->3	5->4	
1.000000000000000000e+00 7.433187836843287700e-11 2.309222530518325564e-11 3.654520262530452214e-13 3.835476063308319117e-13 1.042878535191442544e-13 7.991718853284462412e-11 2.445283198894331431e-12 8.695622012403906907e-13 1.157543049915820314e-12 2.600635112267879831e-12 4.250103998675035304e-12 3.045656307110177524e-13 1.618345238298679175e-12 2.201459744632482812e-12 7.256392110364318158e-13
2.000000000000000000e+00 6.247806996641018347e-11 1.985919744605575422e-11 5.406170041245611943e-13 4.697955936283150458e-13 1.460604057160283007e-13 8.876376555710419847e-11 3.635964787486384766e-12 1.138667870687531660e-12 1.581642320355293864e-12 4.198750348414045013e-12 5.366812176145279090e-12 4.186651430269785578e-13 1.984470824550051709e-12 3.051655491924649039e-12 1.011118798937256838e-12
3.000000000000000000e+00 5.763834815081465538e-11 1.788329604239322617e-11 5.905129278494806470e-13 4.935984778022900718e-13 1.614460529204466278e-13 9.082724887930912036e-11 3.961500521567076394e-12 1.251918562270225704e-12 1.718939704638817942e-12 4.785115416346418412e-12 5.699665236003559756e-12 4.610813239116257472e-13 2.077900360131902741e-12 3.348872413592960273e-12 1.115415826469078140e-12
4.000000000000000000e+00 5.639413220062255620e-11 1.641609732658518337e-11 6.035948277136546693e-13 5.012510302471678058e-13 1.688255283179735952e-13 9.075696716423818954e-11 4.030710292442045158e-12 1.317327035836856553e-12 1.773418369304492928e-12 5.038570226363087561e-12 5.810067255173856130e-12 4.818698596652901756e-13 2.111097610681028214e-12 3.484443958263209488e-12 1.161622712900341687e-12
5.000000000000000000e+00 5.671002621671103178e-11 1.519316839714633176e-11 6.037942437316505866e-13 5.030362625290497799e-13 1.729404069238425623e-13 8.924140356153642731e-11 4.008731373590904703e-12 1.361217126561693052e-12 1.796262132032148424e-12 5.161381954401162558e-12 5.838439760938161607e-12 4.938557625462912721e-13 2.124512883633982235e-12 3.558263356703890668e-12 1.184302193877156771e-12
6.000000000000000000e+00 5.765821890028713551e-11 1.411438385291740875e-11 5.992470972831041122e-13 5.022132588074199062e-13 1.754129339839246517e-13 8.669965458904503592e-11 3.951116428327523630e-12 1.392710777826507327e-12 1.804565998823248910e-12 5.223239250785279388e-12 5.831180028972634466e-12 5.014320658749172901e-13 2.129881563349013961e-12 3.602853352618676566e-12 1.195969931851417015e-12
7.000000000000000000e+00 5.880103679393186503e-11 1.314214329497708211e-11 5.931837074421637804e-13 5.001050034022171018e-13 1.769322174712436518e-13 8.352153208778130345e-11 3.879918391794278836e-12 1.416023335510413297e-12 1.805332887225764781e-12 5.252633478212116390e-12 5.806910866440971606e-12 5.064974645747961298e-13 2.131578626308661631e-12 3.631403944683946396e-12 1.201919251411078403e-12
8.000000000000000000e+00 5.992749781931967240e-11 1.226067492621958503e-11 5.869812139445608599e-13 4.973474150431084473e-13 1.778440241744491146e-13 8.001637906659610009e-11 3.804870925431604761e-12 1.433527882319341413e-12 1.801891157360971791e-12 5.263096950461202383e-12 5.774235643481889226e-12 5.100166117208238784e-13 2.131541888790762337e-12 3.650284161995835488e-12 1.204647212712169735e-12
9.000000000000000000e+00 6.093807764695498523e-11 1.146099253244033478e-11 5.812239286826200679e-13 4.942802887015389647e-13 1.783436206299262890e-13 7.640094185259817597e-11 3.730534523013991498e-12 1.446726609831846236e-12 1.795994022602931160e-12 5.261859457367948579e-12 5.737537744397501389e-12 5.125299257013057713e-13 2.130724104860362602e-12 3.662949985505866109e-12 1.205438841858810968e-12
1.000000000000000000e+01 6.179013967465960680e-11 1.073594433810975335e-11 5.761341938621933250e-13 4.910960985560003043e-13 1.785497730464565269e-13 7.281525192675541807e-11 3.659081523462746897e-12 1.456637966585409882e-12 1.788622769651385629e-12 5.253130618690295177e-12 5.699197544689806610e-12 5.143548512657167930e-13 2.129617919470419967e-12 3.671393466727298190e-12 1.204998814530823053e-12
