R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,62776.21291315552,-28781.151402153202,173114.78366026317,-6828.504291609385,109293.49698064447,-17245.588551869823,22219.60883871268,-7824.574779341562,941.3252895107307,-8474.164865513005,-5769.150707890679,-10633.029379457477,10694.773106664734,-678.9831263816939,16809.332045679464,-988.4046863164863,-3642.3016724611552,5107.0979822153895,-9820.827241866557
1.1,49245.542748122156,-22844.9678705652,125528.13565411113,-11209.419291904838,69478.04597230013,-12527.961534641732,14211.758312772605,-5164.281633971763,568.7417687723105,-5213.51789368428,-3274.012238495914,-6205.209303981553,6324.116751276502,-491.8134613047204,9966.526365667885,-500.72924767053894,-2168.919790187616,3036.0664354720693,-5861.40999164575
1.2,37409.06204815159,-17439.417810041596,90433.61170774106,-11892.996900969743,44151.25825171966,-8997.152745717538,9066.855600321236,-3392.007489316594,347.9506454427695,-3179.111010967716,-1827.9151687696724,-3579.615499687664,3702.309161769699,-344.5154145882218,5846.542162154394,-240.0740078734612,-1278.5424616359567,1787.453471703048,-3464.1712430455564
1.3,27701.823008302516,-12916.982747602327,64760.870806387815,-10840.253735871715,28054.149434834013,-6395.742816895553,5769.301315425903,-2216.263008944329,216.534759763245,-1919.1564707229259,-1001.3854002067259,-2038.5382352202737,2143.4485510807253,-234.47099590663893,3388.5583601177773,-105.78391364400717,-745.150210871798,1041.0155471736343,-2024.8995264048262
1.4,20072.955617522428,-9328.048772568915,46115.03668551578,-9126.713026513737,17828.885625730436,-4504.1859807955,3661.073963915023,-1439.79601000586,137.5893881448786,-1145.3593066270637,-536.4979715134876,-1144.2912034134138,1225.6626529829146,-155.41231741869152,1937.1825921659936,-40.02462639223684,-428.72713607471024,598.9699967160341,-1168.8844014941465
1.5,14260.673015798498,-6583.905891258955,32660.551861551918,-7310.009194470045,11335.104634330286,-3144.386504944389,2316.7180630183652,-929.5372840175498,89.44764684883944,-674.6553426214268,-279.8742343144789,-632.0002744470615,691.2066121425146,-100.41372034913458,1090.1615979522367,-10.195965039152794,-243.08059646651782,339.9347239490456,-665.1540482038941
1.6,9938.925790947622,-4544.905370792778,23010.023052736804,-5652.647035741123,7210.621923984839,-2176.724357055989,1461.75378589896,-596.0156221079903,59.4673940450289,-391.4436947109298,-141.32558275772183,-342.7415933383231,383.7755363146665,-63.22765179990371,602.4195424602892,1.645397681186514,-135.52288567905336,189.93494678300797,-372.2976741941547
1.7,6790.189213713358,-3065.340507378198,16126.720760944387,-4254.986903696589,4589.720970113251,-1494.4537759240013,919.5149175436939,-379.29066205455007,40.30498958970226,-223.1822476833035,-68.5019482335106,-182.07561291568868,209.3621229690706,-38.750526019657094,325.8728709162221,5.07697743267318,-74.1000711571208,104.2372914409859,-204.39027831195475
1.8,4537.027907648362,-2013.9938048099239,11243.373235579566,-3133.124875694998,2922.8593486268096,-1017.5343679587475,576.5716387483795,-239.3632241965287,27.700520564053836,-124.67393783340238,-31.470957783132903,-94.48980688579667,111.94833290894121,-23.062308678835333,171.87871995426397,5.00326369502957,-39.60445523436145,56.02565561139176,-109.66412876514507
1.9,2951.6647340921804,-1281.5360477357997,7796.8247068509245,-2263.3458900241953,1861.511277633063,-686.8869722715152,360.2839221780703,-149.65505786715715,19.174151854590246,-67.9891840420291,-13.419526257337381,-47.75498106121,58.499844475329155,-13.282100692434865,87.93985870681846,3.7893821303707007,-20.6063742437579,29.38166146674554,-57.22986305650866
2.0,1854.626807560341,-781.2452699623528,5376.742756757977,-1606.5969785206075,1184.7593278714805,-459.47567359304395,224.25944448590883,-92.58802406491358,13.266722838201371,-36.031881999921595,-5.102947862978486,-23.423546616870333,29.76485484584952,-7.365782227031791,43.346429074492576,2.4702502369362747,-10.382965682237097,14.960508088578624,-28.858157078767448
2.1,1108.6528834724122,-446.68170643501173,3686.099568067847,-1121.242598580722,752.5891854315121,-304.30637407590257,138.95293262448433,-56.59582568957297,9.1021620532055,-18.45246577218207,-1.5691770938415999,-11.10848928981891,14.674053726800448,-3.9064291239916384,20.389879452204806,1.4192555486773835,-5.032659579975728,7.345725534557905,-13.927050052263075
2.2,611.1649373388399,-228.28219371493722,2511.1688661407056,-769.1193907884748,476.22781435950577,-199.28187405033378,85.60325998237853,-34.11072066697097,6.138068156514286,-9.066837740477508,-0.2516284243712026,-5.072721670963926,6.960880524574582,-1.9627397559141153,9.030530983191184,0.706370516493936,-2.3266040959209042,3.4435778593507993,-6.3386481177699014
2.3,286.9459223784312,-89.87012264382463,1699.0178682579385,-517.8932178247161,299.3368267080932,-128.7919754956435,52.3328812061915,-20.21196341491187,4.024954451125056,-4.237097668363855,0.12365140407418136,-2.2187896224110237,3.1411068997077107,-0.9224292111146283,3.691385278317065,0.28161669735796446,-1.0151800787932272,1.517074243667141,-2.6534594889678567
2.4,81.73720282706728,-5.533220265869005,1140.7895842063176,-341.4823983652055,186.1054845971176,-81.90267064159828,31.645017660850783,-11.72202071028948,2.527401482772438,-1.863424919907046,0.1522271185532769,-0.9194784295191414,1.318088010757427,-0.39889996485452034,1.3510665954417111,0.06300351380751565,-0.4135328499029221,0.6106058460895583,-0.972369552140661
2.5,-43.027323263586275,42.972142297530525,759.3913343181914,-219.5577926678826,113.72052018810027,-51.01686624553603,18.82221249200539,-6.604799748922714,1.4799752089263771,-0.7620291634091569,0.08840531390413862,-0.34799892216332035,0.48505977077220686,-0.1560504827474097,0.42369884050939394,-0.02585376725512782,-0.15677389734830824,0.21118259867249217,-0.27408899814409654
2.6,-114.38063529183705,68.28022289677502,500.4954297773125,-136.67895070244785,67.60735767297113,-30.896901743489742,10.904674869951105,-3.5668541857563074,0.7623851397529037,-0.2853381568669419,0.02474856306854694,-0.10131464430017598,0.12360423484881626,-0.05528959901139622,0.11073520510055268,-0.04322234188436584,-0.05739289787778498,0.05163354430692383,-0.027610076341328886
2.7,-151.01349172157558,78.99626370549166,326.0044062404592,-81.3599006650904,38.42337572387921,-17.959242705928908,6.040547905412901,-1.7944803243164158,0.2851499768921913,-0.0929866713767934,-0.016106952912005368,0.007013187776960448,-0.023486318676447227,-0.019263339722366254,0.032570766032824196,-0.028220427514668165,-0.02357443351271791,-0.0019300001024482238,0.030995299063665594
2.8,-165.66780195239127,80.87887448155445,209.33429415063438,-45.20563111209012,20.15735042739777,-9.770699455366666,3.0740646918799825,-0.7814022626672202,-0.019048202937894734,-0.015822932788896658,-0.0370813082666757,0.057643720198484794,-0.07805995737213708,-0.007708880338295632,0.023759729186130778,-0.004221168227498559,-0.01334481617045278,-0.013262434543221195,0.024743059994355884
2.9,-166.89918735812128,77.70656485316638,132.02894315048454,-22.175682404073793,8.926689439743805,-4.691887876220584,1.2853893627178423,-0.21656308759386012,-0.20092481864137213,0.02333463514465462,-0.047018610682685605,0.08267466381007392,-0.09458790514148323,-0.0018416582861862166,0.022339690258677915,0.016713753370056022,-0.009478300033226217,-0.010609757746817546,0.0054211887397499605
3.0,-160.35487983085744,71.901650690767,81.34237616530046,-7.986641961392434,2.2146917345997736,-1.6270436986072492,0.22685829527243184,0.08841119778305344,-0.29844414006084874,0.05477158343599652,-0.05329942448856405,0.09381825726694382,-0.09573254390443174,0.005419514028813621,0.01220385013895008,0.029835297870881305,-0.006209569249169046,-0.005153935938038304,-0.009045621378425588
3.1,-149.68747891362617,64.97237936413953,48.520927011783584,0.3562538547264875,-1.6146173370319663,0.1501210028621688,-0.3797277142028947,0.24571422347066033,-0.33967253046668355,0.086710153038696,-0.06004926019216453,0.0953708439108613,-0.09019575295913583,0.015341805006640147,-0.005378049294254634,0.03462488499202571,-0.002506804135453379,-0.0004743794149338677,-0.01533750251092507
3.2,-137.20003553465278,57.82159256029438,27.588455019858745,4.916981396336176,-3.6263441049680445,1.116691134165636,-0.7072895184361078,0.32089004061525234,-0.3449967137302173,0.11839423275256866,-0.06856383044628986,0.0895815964075148,-0.08117663462054536,0.026755545378353743,-0.02475065412796706,0.03265327094364362,0.001117114053373998,0.002842793161516571,-0.015355660683321363
3.3,-124.29592660051956,50.959082738551274,14.49135872962257,7.096609360553405,-4.513625114480608,1.5829845180783524,-0.8634428229684816,0.3513815084262733,-0.3288941857171948,0.1465356242741522,-0.07834789617955251,0.07847007531399534,-0.0700529899491725,0.03785936601620914,-0.04100830768062736,0.026223743565825786,0.003960935685952595,0.0051245893548340195,-0.01203605794360459
3.4,-111.78880890521599,44.64552115565556,6.499657182112958,7.830425017248767,-4.726061204772747,1.7486262950607665,-0.9153128476579196,0.3580319827449277,-0.3013577961448967,0.16814265505278805,-0.08809194137544327,0.06415778166527378,-0.05776972380349459,0.04707978969868189,-0.051415068977784174,0.01759828925210576,0.005596278807725648,0.006786068912806269,-0.007765755294329476
3.5,-100.11352006459815,38.988461337647166,1.7894531520523442,7.730842261102629,-4.553199492183764,1.7404002404334493,-0.904897236008451,0.3521096065162844,-0.2690373900447567,0.1814788711892708,-0.09636797887601853,0.04870270142785339,-0.04521988774278736,0.05339103852612122,-0.05526680655885282,0.008621527424018945,0.005930991613945186,0.008084229958312641,-0.004006814957226546
