R	0	30	60	90
1.0	1337772.97113	287594.234391	66350.986383	62769.155942
1.1	669197.655565	175387.033643	50567.512798	49127.532126
1.2	352793.382328	106954.209078	39283.313179	37430.002817
1.3	197022.346771	67528.411798	30895.402736	27884.578465
1.4	119782.983634	45771.287287	24348.88342	20392.242223
1.5	82595.741076	33967.020535	19018.750028	14664.86144
1.6	66229.330827	27138.470626	14593.974336	10410.833898
1.7	60622.478561	22295.636057	10961.952315	7303.252523
1.8	60358.458347	18017.771245	8055.951484	5053.237891
1.9	30148.253924	14053.813719	5787.769102	3440.43236
2.0	21341.34976	10613.25438	4096.516518	2296.435384
2.1	15087.762854	7817.203057	2847.353881	1493.735151
2.2	10638.430216	5616.0154	1935.466112	937.269668
2.3	7439.674524	3966.502752	1279.714176	557.028057
2.4	5148.496748	2753.152197	815.692797	301.776355
2.5	3530.146711	1867.64768	492.920845	134.229475
2.6	2380.941853	1231.270506	272.735015	27.439009
2.7	1570.266195	781.837834	126.016856	-37.88161
2.8	1005.050357	470.332954	31.148722	-75.368473
2.9	616.638921	258.917174	-27.720759	-94.539823
3.0	354.305894	118.982291	-62.054266	-101.959662
3.1	180.84497	29.252317	-80.028032	-102.101233
3.2	69.197034	-25.84125	-87.386029	-97.969577
3.3	-0.123989	-57.518652	-88.100063	-91.542447
3.4	-40.983103	-73.738211	-84.866242	-84.083025
3.5	-63.109174	-80.055205	-79.473887	-76.364978
3.6	-73.222437	-80.277306	-73.076075	-68.83586
3.7	-75.883471	-76.95876	-66.387015	-61.734835
3.8	-74.126431	-71.767228	-59.826924	-55.174225
3.9	-69.926234	-65.754731	-53.625404	-49.19332
4.0	-64.53629	-59.55688	-47.893955	-43.791008
4.1	-58.727367	-53.537883	-42.674226	-38.944499
4.2	-52.95417	-47.891154	-37.96798	-34.618882
4.3	-47.469746	-42.706704	-33.755214	-30.772786
4.4	-42.401766	-38.013394	-30.004048	-27.361814
4.5	-37.801562	-33.805335	-26.676602	-24.341236
4.6	-33.674708	-30.057361	-23.732142	-21.668035
4.7	-29.999979	-26.7345	-21.129394	-19.302123
4.8	-26.741558	-23.797081	-18.828226	-17.207026
4.9	-23.856888	-21.203604	-16.791162	-15.350028
5.0	-21.301791	-18.91254	-14.984095	-13.701932
5.1	-19.033847	-16.884345	-13.377134	-12.23695
5.2	-17.01446	-15.0828	-11.944407	-10.932242
5.3	-15.210082	-13.476427	-10.663844	-9.767785
5.4	-13.592531	-12.039016	-9.516788	-8.726115
5.5	-12.138752	-10.749188	-8.487257	-7.792104
5.6	-10.830147	-9.58975	-7.561681	-6.95269
5.7	-9.651529	-8.546588	-6.728216	-6.19669
5.8	-8.590229	-7.607654	-5.976619	-5.514502
5.9	-7.635144	-6.762354	-5.297939	-4.897799
6.0	-6.776192	-6.001009	-4.684366	-4.33939
6.2	-5.309337	-4.695252	-3.625801	-3.373114
6.4	-4.120179	-3.628226	-2.755314	-2.573859
6.6	-3.149671	-2.750817	-2.037056	-1.909044
6.8	-2.351773	-1.942167	-1.211814	-1.039264
7.0	-1.692522	-1.355532	-0.752203	-0.619713
7.2	-1.146509	-0.868272	-0.367691	-0.265548
7.4	-0.693257	-0.462291	-0.044444	0.03384
7.6	-0.315583	-0.122388	0.228254	0.287089
7.8	0.000848	0.163641	0.458804	0.501376
8.0	0.267389	0.405286	0.653821	0.682603
8.2	0.492765	0.609763	0.81861	0.835894
8.4	0.683505	0.782711	0.957648	0.965416
8.6	0.844705	0.92861	1.074681	1.074791
8.8	0.980506	1.051318	1.17291	1.166981
9.0	1.094438	1.154084	1.255169	1.24446
9.5	1.303062	1.341882	1.405317	1.387051
10.0	1.432171	1.457598	1.497052	1.475129
10.5	1.508218	1.524867	1.548672	1.525271
11.0	1.548266	1.559062	1.572456	1.548745
11.5	1.563615	1.570347	1.576663	1.553398
12.0	1.561771	1.565673	1.567209	1.544777
12.5	1.548004	1.549949	1.548176	1.526781
13.0	1.526003	1.526563	1.52259	1.502314
13.5	1.498414	1.497983	1.492563	1.473406
14.0	1.467102	1.465983	1.459634	1.441578
14.5	1.433455	1.431872	1.424911	1.40795
15.0	1.398451	1.396549	1.389244	1.373269
16.0	1.326994	1.324753	1.31728	1.303113
17.0	1.25638	1.254034	1.246754	1.234129
18.0	1.188447	1.18614	1.179176	1.167918
19.0	1.124065	1.121832	1.115332	1.105207
20.0	1.063742	1.061566	1.0554	1.046268
21.0	1.007494	1.005308	0.999305	0.991065
22.0	0.954585	0.952542	0.947072	0.939384
23.0	0.905279	0.903425	0.898367	0.891352
24.0	0.859342	0.857628	0.852985	0.846539
25.0	0.816522	0.814925	0.810635	0.804707
50.0	0.277051	0.276621	0.275535	0.274047
100.0	0.001521	0.001407	0.001129	0.000752
