R	Gamma	E
1.00	0	-112.150656151069
1.00	10	-113.416768356167
1.00	20	-115.001527971283
1.00	30	-115.75368684588
1.00	40	-116.034783161585
1.00	50	-116.149104036747
1.00	60	-116.208524785694
1.00	70	-116.237446701282
1.00	80	-116.237994192072
1.00	90	-116.207529529688
1.00	100	-116.14091150833
1.00	110	-116.107725448455
1.00	120	-116.093677535377
1.00	130	-116.054196332632
1.00	140	-115.919659365655
1.00	150	-115.438767410038
1.00	160	-113.823642985516
1.00	170	-109.028544889548
1.00	180	-102.99346388784
1.10	0	-108.240790109352
1.10	10	-111.686580503169
1.10	20	-114.755902972107
1.10	30	-115.814528945768
1.10	40	-116.125430092718
1.10	50	-116.227200495654
1.10	60	-116.274943472199
1.10	70	-116.297152406813
1.10	80	-116.294967650317
1.10	90	-116.264320151483
1.10	100	-116.145933298307
1.10	110	-116.175148161028
1.10	120	-116.170263352649
1.10	130	-116.146955629484
1.10	140	-116.033505601224
1.10	150	-115.546651139241
1.10	160	-113.606692001088
1.10	170	-105.473045276786
1.10	180	-79.362389126055
1.20	0	-98.30190511844
1.20	10	-109.173002049542
1.20	20	-114.561989286414
1.20	30	-115.887958744375
1.20	40	-116.206713972814
1.20	50	-116.293296645881
1.20	60	-116.33039115457
1.20	70	-116.347328955048
1.20	80	-116.344661033555
1.20	90	-116.318319596468
1.20	110	-116.245573079976
1.20	120	-116.239276307884
1.20	130	-116.224977563732
1.20	140	-116.135033507453
1.20	150	-115.695482582482
1.20	160	-113.763148088408
1.20	170	-103.759626427652
1.30	10	-106.891598119826
1.30	20	-114.5459931903
1.30	30	-115.979244441438
1.30	40	-116.278028819157
1.30	50	-116.348787688793
1.30	60	-116.377431090397
1.30	70	-116.390652572461
1.30	80	-116.388656068522
1.30	90	-116.36837463661
1.30	100	-116.33131497204
1.30	110	-116.310515602929
1.30	120	-116.30066387614
1.30	130	-116.289556236111
1.30	140	-116.220962425423
1.30	150	-115.862111611071
1.30	160	-114.245373871181
1.30	170	-106.358007947242
1.40	10	-107.009693176029
1.40	20	-114.757743924369
1.40	30	-116.08283032246
1.40	40	-116.338193518466
1.40	50	-116.394165019503
1.40	60	-116.416731572614
1.40	70	-116.427569042914
1.40	80	-116.42656951655
1.40	90	-116.412099109421
1.40	100	-116.386590088913
1.40	110	-116.366210313515
1.40	120	-116.353507892494
1.40	130	-116.34212304527
1.40	140	-116.289620162929
1.40	150	-116.017448671502
1.40	160	-114.831940515111
1.40	170	-110.205232310902
1.40	180	-101.940581633667
1.50	0	-90.01885049669
1.50	10	-109.470662396543
1.50	20	-115.122969797242
1.50	30	-116.186160923463
1.50	40	-116.386697857749
1.50	50	-116.430319568196
1.50	60	-116.44885227417
1.50	70	-116.458227695657
1.50	80	-116.458135178913
1.50	90	-116.44831694233
1.50	100	-116.430380171964
1.50	110	-116.411996696438
1.50	120	-116.397725932709
1.50	130	-116.384546903967
1.50	140	-116.341893413972
1.50	150	-116.142184996002
1.50	160	-115.337540070955
1.50	170	-112.77423891797
1.50	180	-109.676078337912
1.60	0	-105.960046990617
1.60	10	-112.108870995591
1.60	20	-115.515420126723
1.60	30	-116.276948426224
1.60	40	-116.424062977358
1.60	50	-116.458592825949
1.60	60	-116.474635431545
1.60	70	-116.482957470168
1.60	80	-116.48362964212
1.60	90	-116.47714418204
1.60	100	-116.464295001847
1.60	110	-116.448644486062
1.60	120	-116.434002840369
1.60	130	-116.418839402194
1.60	140	-116.380686904953
1.60	150	-116.231072114137
1.60	160	-115.694957255722
1.60	170	-114.261904201498
1.60	180	-112.830897268598
1.70	0	-111.545545528732
1.70	10	-113.959246428241
1.70	20	-115.846377392487
1.70	30	-116.348178215094
1.70	40	-116.451790713575
1.70	50	-116.48055423609
1.70	60	-116.495159079129
1.70	70	-116.502588944135
1.70	80	-116.503757795926
1.70	90	-116.499500052792
1.70	100	-116.490185538821
1.70	110	-116.477383169798
1.70	120	-116.463369139992
1.70	130	-116.44680829223
1.70	140	-116.40973910399
1.70	150	-116.288984081344
1.70	160	-115.914990480216
1.70	170	-115.046035100499
1.70	180	-114.263820258381
1.80	0	-114.03489212999
1.80	10	-115.074684354422
1.80	20	-116.085945456871
1.80	30	-116.39862664605
1.80	40	-116.471802360206
1.80	50	-116.497539193735
1.80	60	-116.511338039528
1.80	70	-116.517839799679
1.80	80	-116.519216253611
1.80	90	-116.516396824143
1.80	100	-116.509603113043
1.80	110	-116.499416991774
1.80	120	-116.486770064285
1.80	130	-116.469738481566
1.80	140	-116.432441955455
1.80	150	-116.325193206685
1.80	160	-116.035276832511
1.80	170	-115.420935445471
1.80	180	-114.878435626294
1.90	0	-115.230180552435
1.90	10	-115.705795552506
1.90	20	-116.241331677099
1.90	30	-116.431291470531
1.90	40	-116.486292337213
1.90	50	-116.510796398316
1.90	60	-116.523844404497
1.90	70	-116.529515585661
1.90	80	-116.530884679352
1.90	90	-116.528989764543
1.90	100	-116.524027816226
1.90	110	-116.516106285522
1.90	120	-116.505261274169
1.90	130	-116.488694559202
1.90	140	-116.451498140888
1.90	150	-116.349493949007
1.90	160	-116.09464604937
1.90	170	-115.565148577034
1.90	180	-115.005975970531
2.00	0	-115.822193063659
2.00	10	-116.04896377617
2.00	20	-116.333025759859
2.00	30	-116.451061332836
2.00	40	-116.49727971586
2.00	50	-116.521340906602
2.00	60	-116.533429310916
2.00	70	-116.538341485222
2.00	80	-116.539572058437
2.00	90	-116.538274545388
2.00	100	-116.534655022909
2.00	110	-116.528609349338
2.00	120	-116.519643370465
2.00	130	-116.504388722704
2.00	140	-116.468507233959
2.00	150	-116.36961259193
2.00	160	-116.124875854594
2.00	170	-115.583535565529
2.00	180	-114.648827066696
2.10	0	-116.115170418129
2.10	10	-116.227171197822
2.10	20	-116.381992745206
2.10	30	-116.463002813012
2.10	40	-116.506301706187
2.10	50	-116.529961545739
2.10	60	-116.540765741381
2.10	70	-116.544925945039
2.10	80	-116.545958355544
2.10	90	-116.545052299432
2.10	100	-116.542420845742
2.10	110	-116.537880838774
2.10	120	-116.530688934149
2.10	130	-116.517333613232
2.10	140	-116.484128180633
2.10	150	-116.390170405192
2.10	160	-116.149618918506
2.10	170	-115.548889270475
2.10	180	-113.266833169683
2.20	0	-116.254494564827
2.20	10	-116.312930373741
2.20	20	-116.405322920118
2.20	30	-116.471461310073
2.20	40	-116.514330830584
2.20	50	-116.536958385982
2.20	60	-116.546344896924
2.20	70	-116.549777226687
2.20	80	-116.550599677098
2.20	90	-116.549954185451
2.20	100	-116.548051090398
2.20	110	-116.544691614535
2.20	120	-116.53907609869
2.20	130	-116.527881631521
2.20	140	-116.498419631922
2.20	150	-116.412672297427
2.20	160	-116.183887956596
2.20	170	-115.537928306495
2.30	0	-116.313853749445
2.30	10	-116.348491804007
2.30	20	-116.415847776594
2.30	30	-116.479553955107
2.30	40	-116.521830847172
2.30	50	-116.54252854553
2.30	60	-116.55054813937
2.30	70	-116.553308810113
2.30	80	-116.55393600177
2.30	90	-116.553467548074
2.30	100	-116.552099951193
2.30	110	-116.549649652403
2.30	120	-116.54536674768
2.30	130	-116.536272976286
2.30	140	-116.511201258973
2.30	150	-116.436385416672
2.30	160	-116.231879548736
2.30	170	-115.638127160404
2.40	0	-116.33217144092
2.40	10	-116.358758701764
2.40	20	-116.423158678652
2.40	30	-116.488859738496
2.40	40	-116.528978096923
2.40	50	-116.547003258993
2.40	60	-116.553680392251
2.40	70	-116.555848836098
2.40	80	-116.556307479375
2.40	90	-116.555962005378
2.40	100	-116.5549864124
2.40	110	-116.553225468237
2.40	120	-116.55002844992
2.40	130	-116.542851199486
2.40	140	-116.522317872251
2.40	150	-116.459652302629
2.40	160	-116.287806161561
2.40	170	-115.807318694434
2.40	180	-110.631019193458
2.50	0	-116.330465138727
2.50	10	-116.359496278999
2.50	20	-116.434193211085
2.50	30	-116.499453389393
2.50	40	-116.535444579408
2.50	50	-116.55057269558
2.50	60	-116.555987495853
2.50	70	-116.557652588089
2.50	80	-116.557973827988
2.50	90	-116.557714890122
2.50	100	-116.557024829853
2.50	110	-116.555779792507
2.50	120	-116.553442431206
2.50	130	-116.547922999715
2.50	140	-116.531588873421
2.50	150	-116.480967829797
2.50	160	-116.343217979027
2.50	170	-115.986146004391
2.50	180	-114.397343597549
2.60	0	-116.320084554499
2.60	10	-116.36619999714
2.60	20	-116.451425515966
2.60	30	-116.510546829194
2.60	40	-116.540999417575
2.60	50	-116.553380174757
2.60	60	-116.557665794172
2.60	70	-116.558916397721
2.60	80	-116.559130171119
2.60	90	-116.558932991748
2.60	100	-116.558449573916
2.60	110	-116.557585718324
2.60	120	-116.555912624152
2.60	130	-116.551767937117
2.60	140	-116.539096232581
2.60	150	-116.499468664643
2.60	160	-116.392658056497
2.60	170	-116.140875181642
2.60	180	-115.521291228975
2.70	0	-116.307004432221
2.70	10	-116.39836186718
2.70	20	-116.471954344141
2.70	30	-116.521179488413
2.70	40	-116.545690108309
2.70	50	-116.555551679723
2.70	60	-116.558870717505
2.70	70	-116.559788898046
2.70	80	-116.559920872987
2.70	90	-116.559768855944
2.70	100	-116.559433977285
2.70	110	-116.558847610383
2.70	120	-116.557678402739
2.70	130	-116.554635861489
2.70	140	-116.545028746391
2.70	150	-116.514741869698
2.70	160	-116.434051849416
2.70	170	-116.260800904942
2.70	180	-115.985753822554
2.80	0	-116.294183433023
2.80	10	-116.43703390813
2.80	20	-116.491908278231
2.80	30	-116.530347448186
2.80	40	-116.549536246615
2.80	50	-116.557202995993
2.80	60	-116.559722325423
2.80	70	-116.560380222462
2.80	80	-116.560452420741
2.80	90	-116.560333991876
2.80	100	-116.560105185753
2.80	110	-116.559717960071
2.80	120	-116.558923135746
2.80	130	-116.556740884947
2.80	140	-116.549609500638
2.80	150	-116.526930812531
2.80	160	-116.467250289337
2.80	170	-116.349041572103
2.80	180	-116.213852756658
2.90	0	-116.282940395923
2.90	10	-116.469716023343
2.90	20	-116.509134176518
2.90	30	-116.537931704677
2.90	40	-116.552599704023
2.90	50	-116.558437370896
2.90	60	-116.560313837642
2.90	70	-116.560772157309
2.90	80	-116.560802263904
2.90	90	-116.560709210231
2.90	100	-116.560555607942
2.90	110	-116.560309153347
2.90	120	-116.559787619353
2.90	130	-116.558261130295
2.90	140	-116.553073346067
2.90	150	-116.536405916938
2.90	160	-116.493000648283
2.90	170	-116.412544633882
2.90	180	-116.340060356367
3.00	0	-116.480538562414
3.00	10	-116.495151079384
3.00	20	-116.5228027129
3.00	30	-116.543992534281
3.00	40	-116.554978217741
3.00	50	-116.559343561252
3.00	60	-116.560715507911
3.00	70	-116.561024452722
3.00	80	-116.561026228871
3.00	90	-116.560952609891
3.00	100	-116.560851863967
3.00	110	-116.56070324586
3.00	120	-116.560377094405
3.00	130	-116.559340449934
3.00	140	-116.555642544711
3.00	150	-116.543603526242
3.00	160	-116.512519523816
3.00	170	-116.457789514864
3.00	180	-116.416062607489
3.10	0	-116.504167021544
3.10	10	-116.51397956242
3.10	20	-116.53332815763
3.10	30	-116.54869304336
3.10	40	-116.556784367584
3.10	50	-116.559996574507
3.10	60	-116.560980630705
3.10	70	-116.561180364014
3.10	80	-116.561164180438
3.10	90	-116.561105623925
3.10	100	-116.561041604824
3.10	110	-116.560959674475
3.10	120	-116.560770281767
3.10	130	-116.560091573784
3.10	140	-116.557513052623
3.10	150	-116.548961939865
3.10	160	-116.5270209855
3.10	170	-116.489880346939
3.10	180	-116.464575301802
3.20	0	-116.521071510346
3.20	10	-116.527740733027
3.20	20	-116.541242688424
3.20	30	-116.552251501847
3.20	40	-116.558128604158
3.20	50	-116.560457085478
3.20	60	-116.561149025647
3.20	70	-116.56127087509
3.20	80	-116.561244293155
3.20	90	-116.561197516562
3.20	100	-116.561158661272
3.20	110	-116.561121130919
