T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 2.782233230699052574e-13 5.677277167939284240e-14 3.309489607951729576e-14 1.285273793218391985e-14 9.605622084224767156e-15 1.724396106670628727e-14 5.212672185826385399e-15 5.099806849218175052e-15 4.626770130100051246e-15 3.150365986050693982e-15 3.901274388163862630e-13 9.667723387484070829e-14 5.480483873129705966e-14 4.261716589843652323e-14 2.625578483280434683e-14 2.823140321367226248e-14 1.286100983989805347e-14 1.325543236142914191e-14 1.190812541517952160e-14 3.939093288940171540e-13 9.705781016202719115e-14 5.168259372002808390e-14 4.103965105378330038e-14 3.546341195668980610e-14 2.499815610914553095e-14 2.941573660070138573e-14 2.009313686788818575e-14 4.461439937806955381e-13 1.029027731869500584e-13 6.340700872878544951e-14 4.748038746164335471e-14 5.759649867824130212e-14 3.155795735937612642e-14 3.346049405900296775e-14 4.674060083341259228e-13 9.035534221650047602e-14 8.178146560245510636e-14 5.263452308329399781e-14 4.821517632935077786e-14 4.136376514151833687e-14 4.248188934978134812e-13 8.094559958877533782e-14 8.187974705034049788e-14 5.749346039780028814e-14 5.554279138106534874e-14 4.452307371854160881e-13 8.826419634999102378e-14 8.752007805640320209e-14 6.665681503492206685e-14 4.299013537255835507e-13 9.127053226455222050e-14 9.964010151564461632e-14 3.646285106760010978e-13 8.097306290187109785e-14 3.309283130406285874e-13
2.000000000000000000e+00 4.571395924602360950e-12 9.645435438406240113e-13 6.672468462198270183e-13 2.324556061167711009e-13 2.026768983449286521e-13 2.921842874126884450e-13 1.188730624299352456e-13 1.071403771237456440e-13 9.260228412445187981e-14 6.292099488498991362e-14 6.401047182394234197e-12 1.689440476027532189e-12 1.088737649741714187e-12 6.292749424393199297e-13 5.438704186965785145e-13 5.535265041354900422e-13 2.671273680637329061e-13 2.446605887668252658e-13 2.793681909920669157e-13 6.768931401535610640e-12 1.783123086108151837e-12 1.238825109511384622e-12 7.463729120167889393e-13 8.331377839738178629e-13 5.046165614062844259e-13 6.347302133875019751e-13 3.900238008492961936e-13 7.171350216650211363e-12 1.922750591016627509e-12 1.441000924848053574e-12 1.027694751174611769e-12 1.149552651217154871e-12 6.296875771019173620e-13 7.379246086197069415e-13 7.652469656919409249e-12 1.779810869340888234e-12 1.728404046014507596e-12 1.135028722719764896e-12 1.125634766084677701e-12 8.464824751277457458e-13 6.568500767284557831e-12 1.678651776202422470e-12 1.814773500097470141e-12 1.134499596605820699e-12 1.283159731739444549e-12 6.831112965236541722e-12 1.881829117968700412e-12 1.868642891282671953e-12 1.415039179779529475e-12 6.418510335747557767e-12 1.885060073230656318e-12 2.111112726837079926e-12 5.539495174130829082e-12 1.716604126901022540e-12 5.260419848618995138e-12
3.000000000000000000e+00 1.256635452590877408e-11 2.630297711536269259e-12 1.959112867106636440e-12 6.758727878306271004e-13 6.148298651573150298e-13 7.289042410334397927e-13 3.682247521266947195e-13 3.091218800713682732e-13 2.740821613796152791e-13 1.765096194850643065e-13 1.786234212110827437e-11 4.576410711829332513e-12 3.336013652073180102e-12 1.602732423067112930e-12 1.619790747683981664e-12 1.484640027356447367e-12 8.184183024404151370e-13 6.666290330314063566e-13 8.478008419732370112e-13 1.939925387784155158e-11 5.020057932954441331e-12 4.001211114832482829e-12 2.064377051157153832e-12 2.593177947252839574e-12 1.441806559391159936e-12 1.863913606769780570e-12 1.095428893935354369e-12 2.021987645409027610e-11 5.552105304434705066e-12 4.448431048226294201e-12 2.999756058613217123e-12 3.277231065678566276e-12 1.811632166491379365e-12 2.133678776886660392e-12 2.153357065971562754e-11 5.173697045571582740e-12 5.098279757993447953e-12 3.309246009407756513e-12 3.461093524424813178e-12 2.406908741017660244e-12 1.908782596073168531e-11 4.995525511607758537e-12 5.509373373657016446e-12 3.252441760436763187e-12 3.788910551479220445e-12 1.965522571478494225e-11 5.578098851836111116e-12 5.488303390981725464e-12 4.018468726415812527e-12 1.867880327448191211e-11 5.498823928137195598e-12 5.979354056662333462e-12 1.660983840796625833e-11 4.995441722827913532e-12 1.576788428677345078e-11
4.000000000000000000e+00 2.091570558165344403e-11 4.440037049730538691e-12 3.457574749867113206e-12 1.183672451123474390e-12 1.143806876986730073e-12 1.134798358099912328e-12 6.618764166920693049e-13 5.257124560643698388e-13 4.851160048128591842e-13 2.915562934154236709e-13 3.021061718951662873e-11 7.667082525729403184e-12 6.152795066349417633e-12 2.643343632067855241e-12 2.898642075407971539e-12 2.393749505460195886e-12 1.479566434490529007e-12 1.095844320040636796e-12 1.458674355288263773e-12 3.326109493095242522e-11 8.602713128211644637e-12 7.468042872785709997e-12 3.536192103139768489e-12 4.691473389043724948e-12 2.464902627175387297e-12 3.213911445587619101e-12 1.821208646341419429e-12 3.461969520240361001e-11 9.651014209155591349e-12 8.076935614804026784e-12 5.178904905910711637e-12 5.575959482281882273e-12 3.092410651160466665e-12 3.576793754739504483e-12 3.655647009684492846e-11 9.006605759764847845e-12 9.016987470346921736e-12 5.682250908822898710e-12 6.101543940267888623e-12 3.997006060338380663e-12 3.350750054669780681e-11 8.803386819319315230e-12 9.841982277633579628e-12 5.555242711982602178e-12 6.410530143613866217e-12 3.417458298005239664e-11 9.738951271972924214e-12 9.520581236453528998e-12 6.655761283262922248e-12 3.273582732101759946e-11 9.440757934067386527e-12 9.967693489385508834e-12 2.934645433891633324e-11 8.487238437474023378e-12 2.743209905595785971e-11
5.000000000000000000e+00 2.832155548974123997e-11 6.135353816733646371e-12 4.938390216913297399e-12 1.684637368673458404e-12 1.722819096031719564e-12 1.474345791354444020e-12 9.434543205770356351e-13 7.189454463074237200e-13 6.872234108913706192e-13 3.871231041336253299e-13 4.147522173137671155e-11 1.059449814356527910e-11 9.078419582158751167e-12 3.666306643949227174e-12 4.182956290625414357e-12 3.154088013699011229e-12 2.125557237399529164e-12 1.460296013967920923e-12 1.979666614046681786e-12 4.609338876343144762e-11 1.204221054735516043e-11 1.099298211400430659e-11 4.980657338703141857e-12 6.734420741150574545e-12 3.399656728311773692e-12 4.428448134247686494e-12 2.430434958198674761e-12 4.807364110879150835e-11 1.360595160605398739e-11 1.170773341854664402e-11 7.216676871332616919e-12 7.648849374244785424e-12 4.230287479120991091e-12 4.792383793851606084e-12 5.036643420544928441e-11 1.270798261045315494e-11 1.284873744969307982e-11 7.840806482651894007e-12 8.492653997148461298e-12 5.307863508207825608e-12 4.735663557403626261e-11 1.247915903789453745e-11 1.400293599322593546e-11 7.639741660775964630e-12 8.624203332462284534e-12 4.788947211769965967e-11 1.365145532814018460e-11 1.322064350413932538e-11 8.850513351148294240e-12 4.599491740696968428e-11 1.301463927686395049e-11 1.338253175011493057e-11 4.119695879688786815e-11 1.158418474999957100e-11 3.789844349404319071e-11
6.000000000000000000e+00 3.452708822693759085e-11 7.646454999335216243e-12 6.302888672361063279e-12 2.155713499155127407e-12 2.300973344574470617e-12 1.754078397597893774e-12 1.189389021494164698e-12 8.795078525846246033e-13 8.652025600746839812e-13 4.610728627188965165e-13 5.112517385784185936e-11 1.328038178055282611e-11 1.185072749848327196e-11 4.641211787712478782e-12 5.376134534046990501e-12 3.762972826197877570e-12 2.701705809238780065e-12 1.749806027161089645e-12 2.386285159192313502e-12 5.724664174023593209e-11 1.519516444675306588e-11 1.424586634328352696e-11 6.328064809559440322e-12 8.551770726494473873e-12 4.194070397574416799e-12 5.434824968468111044e-12 2.903450049447706026e-12 5.982618511685869048e-11 1.721805601674444786e-11 1.504589352098301651e-11 9.010029001896683501e-12 9.389179828692125596e-12 5.163316927243577260e-12 5.746260141571382442e-12 6.228631929042580153e-11 1.609246386166972360e-11 1.630952019035380166e-11 9.674016999892134815e-12 1.047312502353805256e-11 6.306608561039356863e-12 5.961672552442671780e-11 1.580806608069171738e-11 1.765082019053972297e-11 9.402660592916113068e-12 1.035807447591677569e-11 5.983142013272824507e-11 1.709944265047286055e-11 1.635505343703517966e-11 1.056621854200837562e-11 5.743103821716873520e-11 1.607296564517636112e-11 1.613115003253130257e-11 5.126321297921651776e-11 1.421118363179677114e-11 4.657804469810823915e-11
7.000000000000000000e+00 3.959288933969213218e-11 8.970962327335679870e-12 7.507760696325374438e-12 2.589480958634581503e-12 2.843703264137486776e-12 1.984669516394882085e-12 1.393667822126848943e-12 1.008840754184288685e-12 1.016161682778122220e-12 5.169053123661088078e-13 5.914118009511363237e-11 1.571691066599565709e-11 1.433978074719563976e-11 5.549791847067609772e-12 6.435202580463564858e-12 4.245941407126565258e-12 3.193993640593120615e-12 1.974729306752459525e-12 2.693638716723675776e-12 6.664381251529097886e-11 1.802955586352010414e-11 1.709175814869732746e-11 7.550801386773393008e-12 1.009493661331177948e-11 4.847905187288993958e-12 6.238915615890655869e-12 3.260202140907531158e-12 6.973166208597614889e-11 2.043998783450535980e-11 1.797254489676649533e-11 1.054642225639047217e-11 1.080676325971920432e-11 5.904165795240266514e-12 6.480318928047443017e-12 7.223826272965098330e-11 1.911796005157412903e-11 1.930111000499568131e-11 1.118956607177243143e-11 1.205685717102766460e-11 7.047673262717041877e-12 6.998833895256406081e-11 1.874777601064012320e-11 2.070245805375408399e-11 1.085934607523135362e-11 1.168751635835558379e-11 6.977258724214400167e-11 2.007212359798499081e-11 1.891940019509438968e-11 1.189195653166145972e-11 6.683937630518903704e-11 1.866699251433575495e-11 1.830654299671784162e-11 5.945342553887632766e-11 1.645174027397519682e-11 5.356716123881906755e-11
8.000000000000000000e+00 4.366075344118601707e-11 1.012724506650207960e-11 8.540585739458659915e-12 2.984044356017538586e-12 3.332616902938227747e-12 2.175003342201654040e-12 1.558563151447815454e-12 1.111621021008656088e-12 1.142292274666690514e-12 5.588202571828973466e-13 6.567346252757121883e-11 1.791363517326795330e-11 1.649860631508056683e-11 6.382350601401403603e-12 7.348865773954570885e-12 4.629895653414019761e-12 3.607098138216058897e-12 2.149107134794317138e-12 2.924789386246058967e-12 7.440751773504352268e-11 2.055329321787371281e-11 1.950277522781442942e-11 8.642665706202388761e-12 1.137306604899233515e-11 5.379140618258689645e-12 6.871909462013762032e-12 3.527326174106770842e-12 7.788997687598320987e-11 2.328236822807315577e-11 2.046518472552191840e-11 1.184643733276502454e-11 1.194944246562119381e-11 6.486692167557239019e-12 7.047224514655795159e-12 8.036989488091200943e-11 2.179848215860301386e-11 2.182213582150910047e-11 1.243276343973084350e-11 1.331085181590621729e-11 7.595950929445114616e-12 7.851678784634838158e-11 2.132366746795727633e-11 2.319328078576427332e-11 1.205921305944675763e-11 1.271015990766234605e-11 7.782306879883465441e-11 2.262820615888356149e-11 2.098889868582929510e-11 1.292678084713573573e-11 7.437387588599190534e-11 2.089146260691164595e-11 2.003169152019874395e-11 6.597759061152630919e-11 1.840466279779348204e-11 5.914356853702979079e-11
9.000000000000000000e+00 4.688309743880385855e-11 1.113845379924077808e-11 9.406807562050485284e-12 3.340129614349619475e-12 3.761263521519857378e-12 2.332122581671266403e-12 1.689517462285812530e-12 1.192898333047161904e-12 1.247315881641531307e-12 5.903705639908544764e-13 7.091982909320316739e-11 1.988683116405734951e-11 1.832803215947099773e-11 7.136433506420038850e-12 8.123282139725973844e-12 4.937124017860542105e-12 3.952293499272097132e-12 2.285343681637262232e-12 3.100395644683721825e-12 8.072817424085653267e-11 2.279086385949100157e-11 2.150399418630116400e-11 9.608981542061133872e-12 1.241810960619209318e-11 5.809502194375872891e-12 7.368400058081708080e-12 3.727998966842128797e-12 8.449611685897355723e-11 2.577900266243279101e-11 2.255015297133761997e-11 1.294104633953234841e-11 1.287082212564032533e-11 6.945296766099233745e-12 7.491644034617943693e-12 8.690938003744539782e-11 2.416933904513549980e-11 2.391532482143500815e-11 1.345435355187653389e-11 1.430643109401177609e-11 8.005086092523247267e-12 8.539510183458822787e-11 2.358316516287380042e-11 2.520119020050491590e-11 1.305361085850149560e-11 1.350924923589880005e-11 8.422292708442439022e-11 2.484011714400035860e-11 2.265417865049880681e-11 1.375017985236571373e-11 8.030855641235100733e-11 2.283288504382886754e-11 2.141426496408541091e-11 7.111960508279101517e-11 2.014749021196016724e-11 6.359063148963815695e-11
1.000000000000000000e+01 4.940116964914768107e-11 1.202710832336908082e-11 1.012106661951860273e-11 3.659916439051294019e-12 4.130438450404132489e-12 2.461718651028009972e-12 1.792598501956284974e-12 1.257132687954721996e-12 1.335001379078227867e-12 6.142751968130584275e-13 7.507905252983867286e-11 2.165625346295888603e-11 1.985324305744159232e-11 7.814510243111864418e-12 8.772742474743943831e-12 5.184875594137092756e-12 4.241808635148166886e-12 2.393135671824095742e-12 3.236459929247826579e-12 8.581017602847367341e-11 2.477309522265352892e-11 2.314249632435448195e-11 1.046054939942132491e-11 1.326755601214333388e-11 6.158969485308668165e-12 7.758827143651597957e-12 3.880067417889879959e-12 8.977057384134718415e-11 2.797131382099200911e-11 2.427445558285870193e-11 1.386200593061462078e-11 1.361860379416678121e-11 7.308755509478889505e-12 7.847326132850287356e-12 9.209971766606578047e-11 2.627128980358600074e-11 2.563842708632951376e-11 1.429931641952412620e-11 1.510409142612579335e-11 8.314765314070806937e-12 9.086175439433442184e-11 2.557613953138875595e-11 2.681073871178743902e-11 1.388602980364543246e-11 1.414763639945013979e-11 8.923994538278867952e-11 2.677385168957838906e-11 2.399784816712772588e-11 1.441988442529078698e-11 8.492936342885282097e-11 2.455794373681080305e-11 2.253827908152114928e-11 7.514939336778661334e-11 2.173396498442529743e-11 6.714813885073145912e-11
