R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-33401271.754352953,33258436.23170575,-146225391.58203587,45103757.129356444,-175984970.8693688,15113875.100408223,-106953597.95023634,-34117065.27843641,11556912.289100753,-79628861.4454045,112476171.98870264,-109511362.86685562,163445027.6378728,-116211152.26576039,171120724.3921873,-105751038.22944444,212777845.9508751,-143583700.83915842,132386681.93465796
1.1,-21114666.610530067,20938218.779539626,-92340970.54376195,28024076.19837577,-110633810.20263638,8223683.161111632,-66053467.582078375,-23787619.427199364,9875138.756533392,-53098056.577099435,74388233.84883276,-72049048.2504271,106813422.77586785,-76012131.98796253,111573297.03451759,-69057538.00717807,138686358.62231657,-93931586.82118838,86335430.37369181
1.2,-13261270.745009378,13090793.455209251,-57941347.97633282,17238180.314442135,-69073921.18458198,4172763.8196787667,-40376640.24249188,-16593113.26284991,8092372.89991068,-35404507.77937673,49175557.13918946,-47360935.59065286,69711971.810413,-49653318.027263604,72633046.29814354,-45029892.48674016,90247555.45488356,-61362391.397709765,56212519.410300784
1.3,-8265299.505343297,8117488.459003412,-36084034.93862516,10473062.73139631,-42777271.92797478,1856704.8069521978,-24370973.311725818,-11579421.939721372,6442611.853463818,-23605706.701340806,32493548.497193716,-31104412.842884786,45434775.60989675,-32390190.959018983,47204397.79106072,-29316737.186791357,58625380.01353007,-40025493.61733843,36536728.41130467
1.4,-5104467.906090704,4984000.279527295,-22271179.143897578,6264076.869388608,-26235027.951415468,584997.1181071217,-14477470.605457243,-8083717.101203118,5021548.795370253,-15738434.976237308,21461033.745824173,-20408942.30779967,29569238.271927048,-21098269.867722344,30623857.440853346,-19055231.330214325,38013250.84860629,-26065824.325623695,23704374.2943873
1.5,-3117423.7743746685,3023142.2246089536,-13596943.516984807,3670905.2988390275,-15899412.26596336,-70125.02989690863,-8423749.891743679,-5645236.758062238,3850729.108490486,-10493023.964396339,14168181.818576355,-13378371.726903416,19214679.778770212,-13721927.901854536,19829808.969481476,-12363826.135159234,24599719.412472505,-16945705.619344525,15348821.546254199
1.6,-1877654.8403631821,1805970.4370899117,-8189921.919320056,2092368.4127858533,-9493325.728683753,-370673.3681625893,-4765401.7168206535,-3943483.236206133,2914943.1317698755,-6995903.034343523,9349612.854241468,-8761096.775152955,12466295.676567877,-8910127.036809007,12814660.151916174,-8007277.390282433,15885960.684062848,-10996400.413258698,9917681.637866974
1.7,-1111070.637457639,1057745.2497871972,-4849165.943788232,1145946.6882981202,-5560801.491187323,-474860.76416738704,-2589000.684435423,-2755388.1722257324,2183370.8005311857,-4664458.2980695795,6167328.183765688,-5731591.825963572,8074629.843998554,-5775869.656644489,8263629.799647733,-5175594.782217836,10235820.34233927,-7121790.539184735,6393956.56682425
1.8,-642237.7300262615,603245.0167512211,-2807072.818912152,589597.1130872626,-3174916.0914176186,-476473.8993187721,-1320319.7229875138,-1925602.984755586,1621018.084575972,-3110170.161163805,4066627.160815022,-3745793.9741087,5221056.373044314,-3737478.4457494686,5316813.515258916,-3338303.2024513273,6579457.683230189,-4602735.758815531,4112290.2801292995
1.9,-359383.1573963124,331263.17933932017,-1575260.478329842,271156.709227046,-1748461.5738314616,-429744.3635221559,-600858.6383789041,-1345878.8272974875,1194472.9485416184,-2073979.9760995733,2680511.4254343095,-2445435.3973070546,3369881.83567997,-2413959.330731299,3412609.4614785262,-2148446.427098789,4218348.64148625,-2968017.03409584,2638009.193342352
