T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.233082368239729866e-13 2.843932341065018250e-14 5.212901671047022398e-15 3.697905916240098136e-15 2.182535816109756235e-15 8.680646110223762631e-16 1.927591565386778842e-15 1.055976718971755360e-15 1.314117204358628921e-15 1.256061127695158603e-15 1.609714602760400097e-13 3.848948296840157086e-14 9.758473629935060500e-15 6.134608775702045903e-15 3.628610700197761395e-15 3.713312846791237926e-15 3.232064563193238609e-15 3.195780854091580794e-15 2.722263026697392829e-15 1.805872433418243998e-13 3.895119963036277585e-14 1.211361194871842414e-14 1.010325134498548338e-14 7.176281808313154664e-15 9.604687054361039250e-15 7.142516937865332635e-15 4.505924531519909777e-15 1.821610929905227661e-13 4.193205275219753511e-14 1.892659438818540589e-14 1.121923238368089386e-14 9.446187895763919640e-15 8.516421895430927203e-15 7.997545388166760622e-15 1.813923943579670632e-13 3.516301447349587832e-14 1.935086219020942230e-14 1.434633799637521874e-14 9.445207933586164710e-15 8.631212604405230837e-15 1.867652772069667403e-13 3.372933448695674201e-14 1.692694118076735210e-14 1.249737613301981739e-14 1.103409638869345290e-14 1.874252132461190866e-13 3.846154649932001157e-14 1.793449807395446367e-14 1.619603558329917762e-14 1.872047287407591530e-13 3.843739033854589380e-14 1.664602901544534650e-14 1.898179070873805926e-13 3.459971009656280435e-14 1.976993880863234104e-13
2.000000000000000000e+00 1.605476557261621464e-12 6.674053294846233127e-13 2.022281730532109598e-13 1.603005069530100922e-13 8.971476964812739711e-14 4.947458696817917857e-14 8.142498575732738361e-14 4.339957230792050553e-14 5.564523434155157381e-14 5.069662066533780571e-14 2.137675708847648815e-12 1.123961918018229588e-12 4.015020464116182837e-13 2.730461526351499254e-13 1.757148420025763462e-13 1.518464191701083742e-13 1.600394150629280814e-13 1.300939535217000133e-13 1.292451789753440153e-13 2.504217363804378299e-12 1.169557064975497964e-12 5.888314814113285659e-13 4.632652840311976135e-13 3.247787977590789334e-13 3.728876571786455425e-13 2.922806096035474092e-13 1.971145510945621577e-13 2.577755277400243688e-12 1.344187739089121047e-12 7.570937288429985166e-13 4.888919411154122413e-13 4.620768628284498664e-13 3.522862692858553892e-13 3.695187357523656314e-13 2.379801250794976642e-12 1.210181477948814916e-12 8.352684581311698190e-13 5.931699852369300510e-13 4.360488714880072056e-13 3.667826409162087608e-13 2.588022182480386288e-12 1.154425861332829772e-12 7.329988767077150447e-13 5.719532593616263361e-13 4.929073415283891164e-13 2.494495574069822672e-12 1.299684288420317820e-12 7.934467476505024805e-13 6.898162792894659865e-13 2.373225641293440073e-12 1.289977499356866158e-12 7.926980003019669693e-13 2.203651407889474407e-12 1.259838944573034822e-12 2.223766974620138100e-12
3.000000000000000000e+00 4.514496728074858465e-12 2.226207750864542657e-12 7.362322946619916624e-13 5.882895696832746686e-13 3.389344085269953998e-13 2.214841390622931268e-13 2.936881101010928235e-13 1.722841701978308336e-13 2.078423590479269594e-13 1.794245128338330726e-13 6.139081144967905295e-12 4.041556352113912471e-12 1.487483854487895717e-12 1.071089864909434705e-12 7.098357631986673304e-13 5.793212643412087452e-13 6.496530315812440285e-13 4.824003912904567737e-13 5.116915304595859997e-13 7.338185590197536683e-12 4.439064978453399403e-12 2.356274824977437088e-12 1.849865755495867601e-12 1.247371494633064801e-12 1.312589125512553766e-12 1.112565636791020064e-12 7.657188011786124223e-13 8.024925209998135166e-12 4.997293165306507307e-12 2.776908390798098356e-12 1.911440542034341271e-12 1.805904139133721266e-12 1.315112318525048841e-12 1.397428871692997737e-12 7.399307057420702521e-12 4.719788257608669631e-12 3.147669178065979660e-12 2.278405664316092910e-12 1.746655598170179182e-12 1.390823277284729596e-12 8.321206628584060011e-12 4.546894738707425336e-12 2.864464588998982452e-12 2.321763739693544176e-12 1.904318081985625705e-12 8.156651900989175808e-12 4.939742313368445772e-12 3.153804218489606495e-12 2.677684770215406276e-12 7.994239837437961434e-12 4.947833642497343019e-12 3.171022069873359472e-12 7.356557542677919303e-12 5.009200994640883284e-12 7.487422161861010301e-12
4.000000000000000000e+00 7.777952326711104807e-12 4.312144012013189402e-12 1.422039977476249228e-12 1.125577061827095293e-12 6.825972768870469513e-13 4.800030204553536991e-13 5.579107006688578120e-13 3.562591381657533126e-13 4.032106823025968160e-13 3.336633777600712239e-13 1.079935574842041189e-11 7.941722014132522285e-12 2.925092110276875381e-12 2.167304504783103671e-12 1.470853964011411656e-12 1.170927976512027173e-12 1.333928922685020286e-12 9.466415004769182430e-13 1.027725818081137752e-12 1.298984081367568535e-11 9.058361266381457084e-12 4.813918844912993816e-12 3.753758648272839590e-12 2.496405803145337175e-12 2.472355279709962649e-12 2.239424671042637932e-12 1.534876494776892440e-12 1.463307678861599574e-11 1.002337124550216568e-11 5.379617663640860906e-12 3.823501906613031017e-12 3.586062743815131929e-12 2.581010925230262621e-12 2.733330609747117049e-12 1.362999493828416216e-11 9.848412371674395265e-12 6.228595712453915261e-12 4.623055058124502811e-12 3.578537054157659095e-12 2.750197068715662572e-12 1.541820518627426055e-11 9.526293028600326156e-12 5.793912040035930843e-12 4.821830828534332261e-12 3.845010410022794224e-12 1.520207034556273285e-11 1.009840794142943426e-11 6.469469153375609588e-12 5.429529774554824218e-12 1.517865464709159097e-11 1.016833947102151245e-11 6.461531528264950445e-12 1.391546051398883630e-11 1.037402270324062323e-11 1.420582785824326903e-11
5.000000000000000000e+00 1.080497124105068738e-11 6.617270141970896078e-12 2.112954138502425938e-12 1.658205748689201285e-12 1.059094816880516319e-12 7.661954124193158459e-13 8.171374876345819962e-13 5.562068903190325681e-13 5.934656596526966214e-13 4.771238056447002537e-13 1.531577722509297018e-11 1.210634011780586356e-11 4.434971082395561594e-12 3.331215078526579125e-12 2.311451024862255846e-12 1.807816292381013407e-12 2.054896856868035246e-12 1.427271109041316805e-12 1.550094665619777896e-12 1.849787767326471180e-11 1.411863850082854058e-11 7.414704123690181168e-12 5.737245421513831757e-12 3.799883995687887320e-12 3.608675399376784939e-12 3.426828464409183110e-12 2.321116690267463819e-12 2.107744576253488860e-11 1.548507067085427251e-11 7.995135453662727881e-12 5.793329815902843534e-12 5.381252836779297019e-12 3.870310856130975035e-12 4.073847305336793728e-12 1.985496324334924038e-11 1.567675404733589009e-11 9.416264842664352785e-12 7.157813901469829672e-12 5.512396036267561020e-12 4.131688294974407608e-12 2.240159443536455712e-11 1.517584123278908685e-11 8.872050781499330525e-12 7.521742904345648152e-12 5.903689435167799340e-12 2.209633617312860620e-11 1.583631611554178655e-11 1.001337495192381148e-11 8.349574225141869099e-12 2.232406908467875400e-11 1.598191836896183931e-11 9.907164953675820596e-12 2.040495293569128102e-11 1.624532645483494881e-11 2.082226107368509907e-11
6.000000000000000000e+00 1.340175907054207842e-11 8.954308511761494916e-12 2.742660272213335251e-12 2.144480203847271839e-12 1.433844536173815485e-12 1.044214194000065270e-12 1.048864309120201512e-12 7.483899610718008630e-13 7.577559310312442193e-13 5.983965355795590211e-13 1.935992377060434640e-11 1.617165183755282153e-11 5.876503763852080836e-12 4.444644518203927424e-12 3.145891118084698873e-12 2.420181517415405637e-12 2.726442221670844729e-12 1.876389706281794630e-12 2.016285803111939579e-12 2.348268600945770089e-11 1.908204392803190451e-11 9.856748989536665486e-12 7.580606857740464707e-12 5.014420211230534714e-12 4.625508834100716907e-12 4.530531014591951342e-12 3.029840209317150027e-12 2.682674239002065663e-11 2.084398294189185557e-11 1.036821672121410515e-11 7.621436361305011798e-12 6.995631486286319852e-12 5.047132168013383106e-12 5.280856519491301238e-12 2.550744129028834440e-11 2.155511240299687899e-11 1.236355673834854353e-11 9.602311190672702519e-12 7.313612568702181895e-12 5.380265529155579194e-12 2.863642369374785973e-11 2.086129506509441357e-11 1.175070530915226056e-11 1.009480057991266977e-11 7.848824645492467398e-12 2.819938979368085726e-11 2.154356494906511018e-11 1.336704803205105975e-11 1.109786328659110502e-11 2.871635226183322720e-11 2.174910718182313983e-11 1.310210439993459961e-11 2.617047216111288203e-11 2.193802781780259358e-11 2.665664552382569732e-11
7.000000000000000000e+00 1.554681626567467481e-11 1.120641272397733704e-11 3.287702671931695641e-12 2.574118573682921192e-12 1.787959157726832337e-12 1.297165955377253270e-12 1.246655288896015683e-12 9.216879186559632299e-13 8.916134022350838369e-13 6.972736674602165235e-13 2.283183998804063823e-11 1.996256418872442815e-11 7.183248180414240289e-12 5.457201399376529387e-12 3.927775614593301247e-12 2.974132891969056538e-12 3.313519748758664896e-12 2.274219111872837425e-12 2.406965596597897902e-12 2.782067667511297584e-11 2.368451759572218979e-11 1.201155504771455826e-11 9.202371760818887786e-12 6.081897365911308454e-12 5.496578809115786931e-12 5.488289260629066302e-12 3.629213621841255446e-12 3.174103427344029456e-11 2.582340497237042802e-11 1.241911424790827511e-11 9.240721535196507484e-12 8.366774979749740089e-12 6.063966070261645924e-12 6.311614057366194329e-12 3.039212889792947225e-11 2.710142962564808889e-11 1.492822070022829617e-11 1.181925557237904605e-11 8.885401276487421004e-12 6.443341143159771839e-12 3.393573850850481266e-11 2.622133506376027651e-11 1.428661764111726346e-11 1.239372229514374090e-11 9.579354600244431670e-12 3.334105754319569902e-11 2.688200051208937698e-11 1.634732141843615813e-11 1.352865469243517117e-11 3.414428445397859752e-11 2.712330806963548813e-11 1.589050242820309655e-11 3.102763628331235244e-11 2.712703488276176139e-11 3.153375403868590812e-11
8.000000000000000000e+00 1.728067289156119202e-11 1.330470523133757173e-11 3.744754654764597114e-12 2.948193884088022957e-12 2.111751188232378406e-12 1.519161803837383142e-12 1.410927518468889160e-12 1.072478089140145873e-12 9.976656202056656405e-13 7.771048971693161431e-13 2.573698434469978100e-11 2.340089400598453253e-11 8.328802469583213846e-12 6.352610333744684961e-12 4.634072305499408095e-12 3.457549701242656484e-12 3.808371395691511295e-12 2.615873102113736072e-12 2.723478203364663966e-12 3.150231685112913305e-11 2.781966621570002552e-11 1.384561443795159189e-11 1.058811401547182457e-11 6.989377229901145159e-12 6.224998280015265973e-12 6.286134458121969848e-12 4.119020762578652424e-12 3.584147709385036331e-11 3.030351241581052319e-11 1.414809199172913545e-11 1.064377485629628836e-11 9.494611420971148654e-12 6.917174060012430832e-12 7.167967862506888640e-12 3.449423783790001878e-11 3.212989025163797541e-11 1.708039435623364337e-11 1.375935115226380087e-11 1.020697303963233491e-11 7.319158653947280957e-12 3.831338572204626419e-11 3.108550119657506540e-11 1.644609583604643120e-11 1.437555889502160375e-11 1.106810771580360232e-11 3.755240488670363813e-11 3.169755730145869398e-11 1.890439717455920330e-11 1.560677397421562399e-11 3.862437174198271018e-11 3.195634300826518307e-11 1.824770819653767739e-11 3.500453157455696540e-11 3.170497209654781539e-11 3.550000744754390331e-11
9.000000000000000000e+00 1.866119542639967146e-11 1.521478758603988875e-11 4.119630338488926410e-12 3.271643109874896445e-12 2.401313416724100332e-12 1.710067587867531758e-12 1.544943003548446292e-12 1.200995462410391700e-12 1.080765914512649289e-12 8.417372061024071375e-13 2.812699331134204224e-11 2.646317112018531372e-11 9.309699820423649215e-12 7.131341059576134227e-12 5.256251755663149230e-12 3.870278276311735743e-12 4.216087719980902668e-12 2.903798812231473189e-12 2.975089145897997521e-12 3.457128457427143392e-11 3.146578337614629337e-11 1.537175780024541199e-11 1.175271891579954936e-11 7.745331002843095948e-12 6.825302330169596643e-12 6.933709308906985059e-12 4.511792403727075382e-12 3.920960177273062340e-11 3.425553157135988473e-11 1.558716044017832423e-11 1.184743219498242155e-11 1.040428522577565828e-11 7.621906277047841969e-12 7.869378657487869294e-12 3.787833883521047440e-11 3.657851031306168026e-11 1.884501838117302503e-11 1.542130672206371641e-11 1.129364765937288157e-11 8.027141042146580318e-12 4.186382978812964038e-11 3.539969038649842606e-11 1.824786275899002561e-11 1.604970145636678917e-11 1.232431787586229512e-11 4.093986130638106869e-11 3.594740763389203128e-11 2.105384806527987181e-11 1.735033213807910243e-11 4.226163127996364939e-11 3.621546798183641897e-11 2.020714880509713469e-11 3.820905966841905826e-11 3.567566836487824105e-11 3.867937554366611546e-11
1.000000000000000000e+01 1.974639977905018629e-11 1.692564424941729750e-11 4.421873594739779233e-12 3.550484283774973546e-12 2.656303254911175829e-12 1.872450798022702113e-12 1.652924747435272696e-12 1.309190610225022235e-12 1.145849284494547895e-12 8.945172057366966777e-13 3.006987492471072973e-11 2.915744093397096230e-11 1.013513703469201210e-11 7.801703685713089418e-12 5.794568430674576047e-12 4.217982166698078734e-12 4.546877338963869554e-12 3.143584098944513261e-12 3.172934692560495675e-12 3.709417711694369192e-11 3.464386094231029993e-11 1.662236421354355203e-11 1.272208817504276148e-11 8.366858855241889078e-12 7.315330269365877612e-12 7.449947099513617112e-12 4.823466823968773589e-12 4.194429595701347639e-11 3.769978125000326132e-11 1.677751787928295882e-11 1.287652752831442673e-11 1.112841516305868012e-11 8.199395962694812011e-12 8.440016806455111097e-12 4.063730195003811780e-11 4.045483146291017822e-11 2.026921112844945712e-11 1.682678215634204904e-11 1.217487626604154328e-11 8.593083989763206398e-12 4.470580760378651937e-11 3.917361169052090408e-11 1.973208875227020514e-11 1.744788438310628546e-11 1.337242124922151641e-11 4.362907421121978494e-11 3.964900479927067300e-11 2.283843595353102952e-11 1.879844184904576263e-11 4.518471130867615040e-11 3.992696677833673917e-11 2.182239707059721196e-11 4.076755512666706139e-11 3.909142455768595632e-11 4.120922439229977294e-11
