E (cm-1),1->0	,E (cm-1),2->0	,E (cm-1),3->0	,E (cm-1),4->0	,E (cm-1),5->0	,E (cm-1),6->0	,E (cm-1),7->0	,E (cm-1),8->0	,E (cm-1),9->0	,E (cm-1),10->0	,E (cm-1),2->1	,E (cm-1),3->1	,E (cm-1),4->1	,E (cm-1),5->1	,E (cm-1),6->1	,E (cm-1),7->1	,E (cm-1),8->1	,E (cm-1),9->1	,E (cm-1),10->1	,E (cm-1),3->2	,E (cm-1),4->2	,E (cm-1),5->2	,E (cm-1),6->2	,E (cm-1),7->2	,E (cm-1),8->2	,E (cm-1),9->2	,E (cm-1),10->2	,E (cm-1),4->3	,E (cm-1),5->3	,E (cm-1),6->3	,E (cm-1),7->3	,E (cm-1),8->3	,E (cm-1),9->3	,E (cm-1),10->3	,E (cm-1),5->4	,E (cm-1),6->4	,E (cm-1),7->4	,E (cm-1),8->4	,E (cm-1),9->4	,E (cm-1),10->4	,E (cm-1),6->5	,E (cm-1),7->5	,E (cm-1),8->5	,E (cm-1),9->5	,E (cm-1),10->5	,E (cm-1),7->6	,E (cm-1),8->6	,E (cm-1),9->6	,E (cm-1),10->6	,E (cm-1),8->7	,E (cm-1),9->7	,E (cm-1),10->7	,E (cm-1),9->8	,E (cm-1),10->8	,E (cm-1),10->9	
0.008199999999999999,0.002001405,0.02460000000000001,0.0004781523,0.04920000000000002,1.325159e-06,0.03199999999999992,1.205721e-05,0.02299999999999991,1.261605e-06,0.022199999999999998,5.827726e-06,0.029600000000000293,1.724802e-05,0.04519999999999991,1.169784e-05,0.019000000000000128,2.418216e-05,0.0009999999999994458,4.063949e-06,0.02460000000000001,0.003555265,0.04920000000000002,0.0009107164,0.03199999999999992,3.67206e-06,0.02299999999999991,2.694761e-05,0.022199999999999998,2.153747e-05,0.029600000000000293,2.257261e-05,0.04519999999999991,5.59234e-05,0.019000000000000128,0.0001965981,0.0009999999999994458,1.402897e-05,0.04920000000000002,0.005210073,0.03199999999999992,0.001164166,0.02299999999999991,2.210597e-05,0.022199999999999998,4.50011e-05,0.029600000000000293,3.905946e-05,0.04519999999999991,0.0001608626,0.019000000000000128,0.0002050381,0.0009999999999994458,0.0001610826,0.03199999999999992,0.005960453,0.02299999999999991,0.00140804,0.022199999999999998,3.191001e-05,0.029600000000000293,0.0001492305,0.04519999999999991,0.0001341171,0.019000000000000128,0.0001566852,0.0009999999999994458,0.001135955,0.02299999999999991,0.006717609,0.022199999999999998,0.001728604,0.029600000000000293,9.185733e-05,0.04519999999999991,0.000147554,0.019000000000000128,0.0003587152,0.0009999999999994458,0.0006547247,0.022199999999999998,0.007599783,0.029600000000000293,0.002014074,0.04519999999999991,0.000243689,0.019000000000000128,0.0002558919,0.0009999999999994458,0.0007338504,0.029600000000000293,0.008698792,0.04519999999999991,0.002467858,0.019000000000000128,0.0002634751,0.0009999999999994458,0.0004233092,0.04519999999999991,0.01005017,0.019000000000000128,0.002526298,0.0009999999999994458,0.0003913992,0.019000000000000128,0.009970964,0.0009999999999994458,0.004285099,0.0009999999999994458,0.01591384
0.05819999999999999,0.00242144,0.0746,0.0005724316,0.09920000000000007,1.540899e-06,0.08199999999999996,1.411874e-05,0.07299999999999995,1.481603e-06,0.07220000000000004,6.835725e-06,0.07960000000000012,2.016603e-05,0.09519999999999973,1.352956e-05,0.06899999999999995,2.838206e-05,0.05099999999999927,6.626576e-06,0.0746,0.00431939,0.09920000000000007,0.001062665,0.08199999999999996,4.30515e-06,0.07299999999999995,3.163762e-05,0.07220000000000004,2.526825e-05,0.07960000000000012,2.638813e-05,0.09519999999999973,6.468946e-05,0.06899999999999995,0.0002305571,0.05099999999999927,2.416645e-05,0.09920000000000007,0.006153229,0.08199999999999996,0.001368478,0.07299999999999995,2.597742e-05,0.07220000000000004,5.279485e-05,0.07960000000000012,4.567523e-05,0.09519999999999973,0.0001859521,0.06899999999999995,0.0002405302,0.05099999999999927,0.0001473373,0.08199999999999996,0.007063623,0.07299999999999995,0.001658015,0.07220000000000004,3.746935e-05,0.07960000000000012,0.0001744749,0.09519999999999973,0.0001549959,0.06899999999999995,0.0001837539,0.05099999999999927,0.0008360297,0.07299999999999995,0.0079549,0.07220000000000004,0.00203304,0.07960000000000012,0.000107462,0.09519999999999973,0.000170456,0.06899999999999995,0.0004205645,0.05099999999999927,0.0004836063,0.07220000000000004,0.008978587,0.07960000000000012,0.00236006,0.09519999999999973,0.0002816452,0.06899999999999995,0.0002998846,0.05099999999999927,0.0005468855,0.07960000000000012,0.01023578,0.09519999999999973,0.00285649,0.06899999999999995,0.0003088336,0.05099999999999927,0.0003162502,0.09519999999999973,0.01167975,0.06899999999999995,0.002964139,0.05099999999999927,0.0002926387,0.06899999999999995,0.01172845,0.05099999999999927,0.00320547,0.05099999999999927,0.01190488
0.1082,0.003031154,0.12460000000000004,0.0006657706,0.1492,1.740465e-06,0.132,1.596725e-05,0.123,1.681774e-06,0.12219999999999986,7.74687e-06,0.12960000000000038,2.275347e-05,0.1452,1.516577e-05,0.11899999999999977,3.25653e-05,0.10099999999999998,1.280689e-05,0.12460000000000004,0.005105528,0.1492,0.001204169,0.132,4.879544e-06,0.123,3.588576e-05,0.12219999999999986,2.864532e-05,0.12960000000000038,2.976757e-05,0.1452,7.251663e-05,0.11899999999999977,0.0002632661,0.10099999999999998,3.732364e-05,0.1492,0.007062047,0.132,0.001555363,0.123,2.950959e-05,0.12219999999999986,5.984352e-05,0.12960000000000038,5.154299e-05,0.1452,0.0002082373,0.11899999999999977,0.0002744241,0.10099999999999998,0.0001624301,0.132,0.008108203,0.123,0.001888752,0.12219999999999986,4.253203e-05,0.12960000000000038,0.0001968122,0.1452,0.0001734846,0.11899999999999977,0.0002092711,0.10099999999999998,0.000930724,0.123,0.009133221,0.12219999999999986,0.002312865,0.12960000000000038,0.0001213127,0.1452,0.0001906655,0.11899999999999977,0.0004783198,0.10099999999999998,0.0005577077,0.12219999999999986,0.01028,0.12960000000000038,0.002669933,0.1452,0.0003151926,0.11899999999999977,0.000340578,0.10099999999999998,0.0006297532,0.12960000000000038,0.01164257,0.1452,0.003202242,0.11899999999999977,0.0003507033,0.10099999999999998,0.0003639931,0.1452,0.01315475,0.11899999999999977,0.003370581,0.10099999999999998,0.0003366414,0.11899999999999977,0.01338647,0.10099999999999998,0.003690367,0.10099999999999998,0.01374654
0.1582,0.003651611,0.17460000000000003,0.000756622,0.19920000000000004,1.930829e-06,0.18200000000000005,1.766588e-05,0.17300000000000004,1.86379e-06,0.17220000000000013,8.567288e-06,0.1796000000000002,2.510195e-05,0.19519999999999982,1.668455e-05,0.1689999999999996,3.654138e-05,0.1509999999999998,2.004361e-05,0.17460000000000003,0.005886732,0.19920000000000004,0.001339736,0.18200000000000005,5.413063e-06,0.17300000000000004,3.972942e-05,0.17220000000000013,3.169022e-05,0.1796000000000002,3.28309e-05,0.19519999999999982,7.978105e-05,0.1689999999999996,0.0002937829,0.1509999999999998,5.02257e-05,0.19920000000000004,0.007952989,0.18200000000000005,0.001729992,0.17300000000000004,3.272602e-05,0.17220000000000013,6.61922e-05,0.1796000000000002,5.686875e-05,0.19519999999999982,0.0002287994,0.1689999999999996,0.0003059257,0.1509999999999998,0.0001685822,0.18200000000000005,0.009109413,0.17300000000000004,0.002100925,0.17220000000000013,4.712024e-05,0.1796000000000002,0.0002170351,0.19519999999999982,0.0001904886,0.1689999999999996,0.0002326634,0.1509999999999998,0.000994169,0.17300000000000004,0.0102426,0.17220000000000013,0.002568456,0.1796000000000002,0.0001338853,0.19519999999999982,0.000209185,0.1689999999999996,0.0005307953,0.1509999999999998,0.0006251299,0.17220000000000013,0.01149381,0.1796000000000002,0.002953416,0.19519999999999982,0.0003459719,0.1689999999999996,0.0003772198,0.1509999999999998,0.0007042496,0.1796000000000002,0.01295212,0.19519999999999982,0.003521246,0.1689999999999996,0.0003883296,0.1509999999999998,0.0004066272,0.19519999999999982,0.01453477,0.1689999999999996,0.003737606,0.1509999999999998,0.0003756952,0.1689999999999996,0.0149034,0.1509999999999998,0.004121635,0.1509999999999998,0.0154039
0.2082,0.004277785,0.22460000000000002,0.0008467063,0.2492000000000001,2.116481e-06,0.23199999999999987,1.927394e-05,0.2230000000000001,2.034871e-06,0.22219999999999995,9.331949e-06,0.22960000000000003,2.730516e-05,0.24519999999999964,1.813734e-05,0.21899999999999942,4.048532e-05,0.20099999999999962,2.734352e-05,0.22460000000000002,0.006670875,0.2492000000000001,0.001472307,0.23199999999999987,5.923306e-06,0.2230000000000001,4.332606e-05,0.22219999999999995,3.453178e-05,0.22960000000000003,3.570134e-05,0.24519999999999964,8.672673e-05,0.21899999999999942,0.0003232688,0.20099999999999962,6.336861e-05,0.2492000000000001,0.00883807,0.23199999999999987,0.001897699,0.2230000000000001,3.575333e-05,0.22219999999999995,7.210924e-05,0.22960000000000003,6.186478e-05,0.24519999999999964,0.0002483455,0.21899999999999942,0.000336253,0.20099999999999962,0.0001725439,0.23199999999999987,0.01008933,0.2230000000000001,0.002302258,0.22219999999999995,5.142102e-05,0.22960000000000003,0.0002359523,0.24519999999999964,0.0002065969,0.21899999999999942,0.0002549354,0.20099999999999962,0.001025759,0.2230000000000001,0.011315,0.22219999999999995,0.002809621,0.22960000000000003,0.0001456726,0.24519999999999964,0.0002266582,0.21899999999999942,0.0005802574,0.20099999999999962,0.0006877579,0.22219999999999995,0.01265834,0.22960000000000003,0.003221012,0.24519999999999964,0.0003750368,0.21899999999999942,0.0004114199,0.20099999999999962,0.0007739499,0.22960000000000003,0.01420577,0.24519999999999964,0.003823933,0.21899999999999942,0.0004233645,0.20099999999999962,0.0004460998,0.24519999999999964,0.01585907,0.21899999999999942,0.004080754,0.20099999999999962,0.0004116981,0.21899999999999942,0.01633668,0.20099999999999962,0.004519973,0.20099999999999962,0.01694909
0.2582,0.004911111,0.27460000000000007,0.0009364502,0.2992,2.300012e-06,0.2819999999999999,2.082605e-05,0.2729999999999999,2.199458e-06,0.2722000000000002,1.006121e-05,0.2796000000000003,2.941865e-05,0.2951999999999999,1.955622e-05,0.26900000000000013,4.445202e-05,0.25099999999999945,3.537338e-05,0.27460000000000007,0.007455178,0.2992,0.001603612,0.2819999999999999,6.420618e-06,0.2729999999999999,4.676546e-05,0.2722000000000002,3.724523e-05,0.2796000000000003,3.84509e-05,0.2951999999999999,9.350254e-05,0.26900000000000013,0.0003522828,0.25099999999999945,7.582054e-05,0.2992,0.009724236,0.2819999999999999,0.002061599,0.2729999999999999,3.866433e-05,0.2722000000000002,7.775095e-05,0.2796000000000003,6.665577e-05,0.2951999999999999,0.0002673056,0.26900000000000013,0.0003662127,0.25099999999999945,0.0001745789,0.2819999999999999,0.01106072,0.2729999999999999,0.002497242,0.2722000000000002,5.554372e-05,0.2796000000000003,0.0002540379,0.2951999999999999,0.0002221647,0.26900000000000013,0.0002766876,0.25099999999999945,0.001033065,0.2729999999999999,0.01236877,0.2722000000000002,0.003042084,0.2796000000000003,0.0001569631,0.2951999999999999,0.0002434695,0.26900000000000013,0.0006280456,0.25099999999999945,0.0007475502,0.2722000000000002,0.01379597,0.2796000000000003,0.003478867,0.2951999999999999,0.0004030138,0.26900000000000013,0.0004441253,0.25099999999999945,0.0008414274,0.2796000000000003,0.01542759,0.2951999999999999,0.004116497,0.26900000000000013,0.0004567779,0.25099999999999945,0.0004839369,0.2951999999999999,0.01715082,0.26900000000000013,0.004409115,0.25099999999999945,0.0004458312,0.26900000000000013,0.01771985,0.25099999999999945,0.004898075,0.25099999999999945,0.01842654
0.30820000000000003,0.005552138,0.3246,0.001026901,0.34920000000000007,2.48284e-06,0.33199999999999996,2.234379e-05,0.32299999999999995,2.360034e-06,0.32220000000000004,1.076762e-05,0.3296000000000001,3.147725e-05,0.34519999999999973,2.096418e-05,0.31899999999999995,4.844769e-05,0.30099999999999927,4.310068e-05,0.3246,0.008249191,0.34920000000000007,0.001734753,0.33199999999999996,6.911487e-06,0.32299999999999995,5.010491e-05,0.32220000000000004,3.987713e-05,0.3296000000000001,4.11259e-05,0.34519999999999973,0.0001002168,0.31899999999999995,0.0003811174,0.30099999999999927,8.797899e-05,0.34920000000000007,0.01061569,0.33199999999999996,0.002223634,0.32299999999999995,4.150503e-05,0.32220000000000004,8.321387e-05,0.3296000000000001,7.132134e-05,0.34519999999999973,0.0002859542,0.31899999999999995,0.0003963274,0.30099999999999927,0.0001811071,0.33199999999999996,0.01203135,0.32299999999999995,0.002688635,0.32220000000000004,5.955613e-05,0.3296000000000001,0.000271589,0.34519999999999973,0.0002374174,0.31899999999999995,0.0002983372,0.30099999999999927,0.001012752,0.32299999999999995,0.01341497,0.32220000000000004,0.003269378,0.3296000000000001,0.0001679372,0.34519999999999973,0.0002598681,0.31899999999999995,0.0006750291,0.30099999999999927,0.0008046259,0.32220000000000004,0.01492028,0.3296000000000001,0.003730828,0.34519999999999973,0.0004303112,0.31899999999999995,0.0004759258,0.30099999999999927,0.0009081681,0.3296000000000001,0.01663245,0.34519999999999973,0.004402924,0.31899999999999995,0.0004891689,0.30099999999999927,0.0005206067,0.34519999999999973,0.01842471,0.31899999999999995,0.004728292,0.30099999999999927,0.0004787748,0.31899999999999995,0.01907336,0.30099999999999927,0.005263647,0.30099999999999927,0.01986276
0.3582,0.00620164,0.37460000000000004,0.001118256,0.3992,2.665428e-06,0.382,2.384168e-05,0.373,2.518548e-06,0.37219999999999986,1.145978e-05,0.3796000000000004,3.350607e-05,0.3952,2.237378e-05,0.3689999999999998,5.243547e-05,0.351,5.164119e-05,0.37460000000000004,0.00905343,0.3992,0.001866483,0.382,7.400273e-06,0.373,5.33807e-05,0.37219999999999986,4.245913e-05,0.3796000000000004,4.37582e-05,0.3952,0.0001069417,0.3689999999999998,0.0004097215,0.351,0.0001023083,0.3992,0.01151504,0.382,0.002385106,0.373,4.430522e-05,0.37219999999999986,8.856263e-05,0.3796000000000004,7.591574e-05,0.3952,0.0003045094,0.3689999999999998,0.0004269358,0.351,0.0001836036,0.382,0.01300627,0.373,0.002878279,0.37219999999999986,6.350361e-05,0.3796000000000004,0.0002888084,0.3952,0.0002525269,0.3689999999999998,0.0003201828,0.351,0.0009930217,0.373,0.01446081,0.37219999999999986,0.003493857,0.3796000000000004,0.0001787172,0.3952,0.0002760304,0.3689999999999998,0.0007218224,0.351,0.0008590379,0.37219999999999986,0.01604017,0.3796000000000004,0.003979489,0.3952,0.0004572079,0.3689999999999998,0.0005072167,0.351,0.0009757797,0.3796000000000004,0.01783023,0.3952,0.004685966,0.3689999999999998,0.0005209407,0.351,0.0005570587,0.3952,0.01969076,0.3689999999999998,0.005042027,0.351,0.0005110369,0.3689999999999998,0.0204107,0.351,0.005621589,0.351,0.02127464
0.4082,0.006862027,0.4246,0.001210784,0.44920000000000004,2.851228e-06,0.43200000000000005,2.533022e-05,0.42300000000000004,2.676217e-06,0.42220000000000013,1.214108e-05,0.4296000000000002,3.552172e-05,0.4451999999999998,2.38021e-05,0.4189999999999996,5.620947e-05,0.4009999999999998,6.060187e-05,0.4246,0.009868961,0.44920000000000004,0.001999309,0.43200000000000005,7.889999e-06,0.42300000000000004,5.661978e-05,0.42220000000000013,4.501022e-05,0.4296000000000002,4.637019e-05,0.4451999999999998,0.0001137364,0.4189999999999996,0.0004377526,0.4009999999999998,0.0001150953,0.44920000000000004,0.01242615,0.43200000000000005,0.002546946,0.42300000000000004,4.708681e-05,0.42220000000000013,9.384005e-05,0.4296000000000002,8.047883e-05,0.4451999999999998,0.0003231199,0.4189999999999996,0.0004584064,0.4009999999999998,0.0001884935,0.43200000000000005,0.01398891,0.42300000000000004,0.003067472,0.42220000000000013,6.741877e-05,0.4296000000000002,0.0003058401,0.4451999999999998,0.0002676143,0.4189999999999996,0.0003425301,0.4009999999999998,0.000963518,0.42300000000000004,0.01551128,0.42220000000000013,0.003717195,0.4296000000000002,0.000189391,0.4451999999999998,0.0002920825,0.4189999999999996,0.0007688785,0.4009999999999998,0.0009106771,0.42220000000000013,0.01716182,0.4296000000000002,0.004226715,0.4451999999999998,0.000483912,0.4189999999999996,0.0005383037,0.4009999999999998,0.00104517,0.4296000000000002,0.01902789,0.4451999999999998,0.004967639,0.4189999999999996,0.0005523845,0.4009999999999998,0.0005935407,0.4451999999999998,0.02095614,0.4189999999999996,0.005352984,0.4009999999999998,0.0005429091,0.4189999999999996,0.0217413,0.4009999999999998,0.005975417,0.4009999999999998,0.02267397
0.45820000000000005,0.007529143,0.4746,0.001304691,0.4992000000000001,3.040414e-06,0.4819999999999999,2.681786e-05,0.4730000000000001,2.8325e-06,0.47219999999999995,1.282329e-05,0.4796,3.75395e-05,0.49519999999999964,2.52567e-05,0.4689999999999994,5.96305e-05,0.4509999999999996,6.997426e-05,0.4746,0.01069688,0.4992000000000001,0.002133657,0.4819999999999999,8.382287e-06,0.4730000000000001,5.985152e-05,0.47219999999999995,4.755715e-05,0.4796,4.897704e-05,0.49519999999999964,0.0001206568,0.4689999999999994,0.0004643737,0.4509999999999996,0.0001293522,0.4992000000000001,0.01335034,0.4819999999999999,0.002709862,0.4730000000000001,4.987167e-05,0.47219999999999995,9.908829e-05,0.4796,8.503958e-05,0.49519999999999964,0.000341927,0.4689999999999994,0.0004908009,0.4509999999999996,0.0001926447,0.4819999999999999,0.01498135,0.4730000000000001,0.003257175,0.47219999999999995,7.132596e-05,0.4796,0.0003227979,0.49519999999999964,0.0002827816,0.4689999999999994,0.0003655962,0.4509999999999996,0.0009361958,0.4730000000000001,0.01657002,0.47219999999999995,0.00394063,0.4796,0.0002000271,0.49519999999999964,0.0003081274,0.4689999999999994,0.0008166117,0.4509999999999996,0.0009577195,0.47219999999999995,0.01828981,0.4796,0.004473922,0.49519999999999964,0.000510584,0.4689999999999994,0.0005693899,0.4509999999999996,0.001117607,0.4796,0.02023063,0.49519999999999964,0.005249496,0.4689999999999994,0.0005837188,0.4509999999999996,0.000630454,0.49519999999999964,0.02222633,0.4689999999999994,0.005663168,0.4509999999999996,0.0005746487,0.4689999999999994,0.02307215,0.4509999999999996,0.006327743,0.4509999999999996,0.02406921
