R	Gamma	E
1.00	10	1095952.396831
1.00	20	638072.504655
1.00	30	334299.901401
1.00	40	181429.05807
1.00	50	112914.126853
1.00	60	81013.382233
1.00	70	75162.384825
1.00	80	78238.223527
1.00	90	70545.977678
1.00	100	62599.025713
1.00	110	60539.829513
1.00	120	68803.008817
1.00	130	95444.474444
1.00	140	154329.761221
1.00	150	265257.364272
1.00	160	441932.32698
1.00	170	649960.743064
1.00	180	763719.146613
1.10	0	786067.283255
1.10	10	655251.582204
1.10	20	416346.654203
1.10	30	236164.195213
1.10	40	137232.720115
1.10	50	90285.333152
1.10	60	66157.854389
1.10	70	62117.143511
1.10	80	64518.1241
1.10	100	50140.777962
1.10	110	48367.465789
1.10	120	54270.857119
1.10	130	73419.007137
1.10	140	114940.168971
1.10	150	190858.541366
1.10	160	307360.406141
1.10	170	439294.762678
1.10	180	504974.543393
1.20	0	522512.959012
1.20	10	449665.760666
1.20	20	300598.480687
1.20	30	180653.388524
1.20	40	111140.064979
1.20	50	76057.906768
1.20	60	62052.402481
1.20	70	51337.343482
1.20	80	52028.856501
1.20	90	44422.667233
1.20	100	39843.332522
1.20	110	39043.900005
1.20	120	44468.128795
1.20	130	60479.246597
1.20	140	93884.879611
1.20	150	153586.603184
1.20	160	245902.922165
1.20	170	354271.133376
1.20	180	409871.530007
1.30	0	429627.91287
1.30	10	368323.731929
1.30	20	245106.119054
1.30	30	151246.43566
1.30	40	96412.917772
1.30	50	68446.556782
1.30	60	53954.834981
1.30	70	42050.176816
1.30	80	39687.043875
1.30	90	34457.534875
1.30	100	31357.824906
1.30	110	31551.021032
1.30	120	37271.670935
1.30	130	52430.607122
1.30	140	82777.318164
1.30	150	135780.81209
1.30	160	220832.400236
1.30	170	344130.189066
1.30	180	425491.552968
1.40	0	456388.157522
1.40	10	352302.286469
1.40	20	213268.310812
1.40	30	135486.128963
1.40	40	87755.939729
1.40	50	62099.118778
1.40	60	39859.443347
1.40	70	33808.59189
1.40	80	29977.267791
1.40	90	26391.328762
1.40	100	24435.395131
1.40	110	25405.815484
1.40	120	31490.879531
1.40	130	46574.142346
1.40	140	76090.584627
1.40	150	125803.280528
1.40	160	210560.097694
1.40	170	392227.597819
1.40	180	559481.735828
1.50	0	617433.833524
1.50	10	401814.552875
1.50	20	198852.555686
1.50	30	120515.266899
1.50	40	81739.325719
1.50	50	56922.598536
1.50	60	33380.545739
1.50	70	26504.9047
1.50	80	22377.407958
1.50	90	19799.617755
1.50	100	18867.402528
1.50	110	20353.217978
1.50	120	26541.242142
1.50	130	41476.371217
1.50	140	70668.046454
1.50	150	116887.267126
1.50	160	204825.278117
1.50	170	514054.092999
1.50	180	886369.130608
1.60	0	1004491.940337
1.60	40	76524.584278
1.60	50	52150.221306
1.60	60	27388.036826
1.60	70	20337.757107
1.60	80	16539.138597
1.60	90	14585.000289
1.60	100	14331.734378
1.60	110	16205.859357
1.60	120	22210.329984
1.60	130	36583.575427
1.60	140	65120.53726
1.60	150	104342.762022
1.60	160	213693.364993
1.60	170	693320.980532
1.60	180	1632839.006734
1.70	0	1873998.80327
1.70	40	72388.565549
1.70	60	21981.383823
1.70	70	15384.783713
1.70	80	12092.968125
1.70	90	10624.242801
1.70	100	10654.073972
1.70	110	12769.478543
1.70	120	18437.699303
1.70	130	31842.019609
1.70	140	59161.220139
1.70	150	91017.624186
1.70	160	207892.529623
1.70	180	3377204.71307
1.80	20	178466.48336
1.80	50	30895.035275
1.80	60	17315.288615
1.80	70	11485.076032
1.80	80	8768.145681
1.80	90	7654.852198
1.80	100	7809.916439
1.80	110	9791.053074
1.80	120	15186.313948
1.80	130	27383.840048
1.80	140	53013.867446
1.80	160	197372.13716
1.80	170	1117816.602255
1.90	10	1031560.679417
1.90	20	164920.71074
1.90	50	24829.218135
1.90	60	13415.98924
1.90	70	8493.215149
1.90	80	6299.102129
1.90	90	5453.877522
1.90	100	5652.25051
1.90	110	7375.226752
1.90	120	12227.710257
1.90	140	47009.02652
