T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 1.076779479693726205e-12 1.345163526181725764e-13 1.267300203229762865e-14 1.187334787912396251e-16 6.683941170658135663e-18 5.835835022101285955e-12 3.570930056981230735e-13 3.769538454331472327e-15 2.369959930175834109e-16 1.011791410684616760e-11 6.158848379484277545e-14 4.165818690327529284e-15 1.033408629009135968e-12 6.090728610004227864e-14 8.475927381120081264e-13
2.000000000000000000e+00 1.100622287312606955e-12 1.564686555688957986e-13 1.470859837136425557e-14 1.389961898450341780e-16 8.574791934887409391e-18 6.594588832775205541e-12 4.157283241234673698e-13 4.317044993213508837e-15 3.106954592835945676e-16 1.183111944303030971e-11 7.323162026100795214e-14 5.556533721239345948e-15 1.297761637242434064e-12 8.308367553675811178e-14 1.196060386387397119e-12
3.000000000000000000e+00 1.203191231727225203e-12 1.673417630802044992e-13 1.581772346279323848e-14 1.451057858232860554e-16 9.500986077024327592e-18 6.871877838480002191e-12 4.463821089062732574e-13 4.460600440698616662e-15 3.474732576849927230e-16 1.250973301568725572e-11 7.720462100434699874e-14 6.257669452710337412e-15 1.405896490815634628e-12 9.430560052453530116e-14 1.371842561969579928e-12
4.000000000000000000e+00 1.350105914872456640e-12 1.722174902452778149e-13 1.637404491158839946e-14 1.483119315273132393e-16 1.003028906679060997e-17 6.968067426793462007e-12 4.614281505039200308e-13 4.532822931298067887e-15 3.680540570013890206e-16 1.277133380843603625e-11 7.925710658500293851e-14 6.645164121871888965e-15 1.461011977309488453e-12 1.003532481312468201e-13 1.463416032325375559e-12
5.000000000000000000e+00 1.513667972385976376e-12 1.745269781974322611e-13 1.664896972041898580e-14 1.504921419890604268e-16 1.037965292627531406e-17 6.997574459688015049e-12 4.685609986419903116e-13 4.581073043787216636e-15 3.810672234968258944e-16 1.283873758386939898e-11 8.051976167294308935e-14 6.884816516031151208e-15 1.491730632867106298e-12 1.039495167282695090e-13 1.514834696162740446e-12
6.000000000000000000e+00 1.676579632249960286e-12 1.758404387160726922e-13 1.674927991039970625e-14 1.523357367062926091e-16 1.064809533933414876e-17 7.007379441088235235e-12 4.708069597239860584e-13 4.622232922800604951e-15 3.905108320590414042e-16 1.279209705405648474e-11 8.144891297749889389e-14 7.053767394907198316e-15 1.510692085988655285e-12 1.063619127186156914e-13 1.546565962442409200e-12
7.000000000000000000e+00 1.830787009341941561e-12 1.768621476297616850e-13 1.671965173780077562e-14 1.541550658064670238e-16 1.088350902744200198e-17 7.016911750522296335e-12 4.694433182368030563e-13 4.663929221707476985e-15 3.983228912769243689e-16 1.266405310334767276e-11 8.225905051079623528e-14 7.189302752234020743e-15 1.523980943944625010e-12 1.081988666804644730e-13 1.568380207900760026e-12
8.000000000000000000e+00 1.974000247635467073e-12 1.779094994541126565e-13 1.658743485384323699e-14 1.561019769134539876e-16 1.111047020346318064e-17 7.033913339967763073e-12 4.652499554071605481e-13 4.709811172567348302e-15 4.054941079571431769e-16 1.247386818504979147e-11 8.305661727695592299e-14 7.310399855863184868e-15 1.534677040898737903e-12 1.097675274651914328e-13 1.585185152750479602e-12
9.000000000000000000e+00 2.106758389431959565e-12 1.791157092676345113e-13 1.637537111253854560e-14 1.582523341778751294e-16 1.134229950215979289e-17 7.060793704290574894e-12 4.588676945039139623e-13 4.761625914706795364e-15 4.125553573525451238e-16 1.223693440556733321e-11 8.389566406493159456e-14 7.427169158643370364e-15 1.544394237041524713e-12 1.112300142001081058e-13 1.599560420184753195e-12
1.000000000000000000e+01 2.230672549163766125e-12 1.805193988802359054e-13 1.610372179223421124e-14 1.606439980388581919e-16 1.158659356923901396e-17 7.097349823350980860e-12 4.508615910159272728e-13 4.820166514165036708e-15 4.198022857600584799e-16 1.196657126003489463e-11 8.480350681361633434e-14 7.545193227311379859e-15 1.553993952356253241e-12 1.126747887156189288e-13 1.612908554954938705e-12
