   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          627.961      
  0.1000000000          0      1      6      1    1          412.288      
  0.1500000000          0      1      7      1    1          314.393      
  0.2000000000          0      1      7      1    1          257.093      
  0.2500000000          0      1      8      1    1          223.229      
  0.3000000000          0      1      8      1    1          201.451      
  0.3500000000          0      1      8      1    1          186.437      
  0.4000000000          0      1      8      1    1          175.626      
  0.4500000000          0      1      9      1    1          167.584      
  0.5000000000          0      1      9      1    1          167.464      
  0.5500000000          0      1      9      1    1          156.557      
  0.6000000000          0      1      9      1    1          152.506      
  0.6500000000          0      1     10      1    1          149.097      
  0.7000000000          0      1     10      1    1          146.190      
  0.7500000000          0      1     10      1    1          143.714      
  0.8000000000          0      1     10      1    1          141.635      
  0.8500000000          0      1     10      1    1          139.936      
  0.9000000000          0      1     11      1    1          138.636      
  0.9500000000          0      1     11      1    1          137.806      
   1.000000000          0      1     11      1    1          137.644      
   1.050000000          0      1     11      1    1          138.685      
   1.100000000          0      1     11      1    1          142.626      
   1.150000000          0      1     11      1    1          157.420      
   1.200000000          0      1     11      1    1          279.261      
   1.250000000          0      1     12      1    1          255.307      
   1.300000000          0      1     12      1    1          136.203      
   1.350000000          0      1     12      1    1          126.060      
   1.400000000          0      1     12      1    1          123.425      
   1.450000000          0      1     12      1    1          122.309      
   1.500000000          0      1     12      1    1          121.653      
   1.550000000          0      1     12      1    1          121.272      
   1.600000000          0      1     12      1    1          121.026      
   1.650000000          0      1     13      1    1          120.884      
   1.700000000          0      1     13      1    1          120.828      
   1.750000000          0      1     13      1    1          120.852      
   1.800000000          0      1     13      1    1          120.951      
   1.850000000          0      1     13      1    1          121.120      
   1.900000000          0      1     13      1    1          121.358      
   1.950000000          0      1     13      1    1          121.660      
   2.000000000          0      1     13      1    1          122.027      
   2.050000000          0      1     13      1    1          122.458      
   2.100000000          0      1     13      1    1          122.952      
   2.150000000          0      1     14      1    1          123.511      
   2.200000000          0      1     14      1    1          124.139      
   2.250000000          0      1     14      1    1          124.838      
   2.300000000          0      1     14      1    1          125.611      
   2.350000000          0      1     14      1    1          126.473      
   2.400000000          0      1     14      1    1          127.430      
   2.450000000          0      1     14      1    1          128.494      
   2.500000000          0      1     14      1    1          129.681      
   2.550000000          0      1     14      1    1          131.005      
   2.600000000          0      1     14      1    1          132.487      
   2.650000000          0      1     14      1    1          134.158      
   2.700000000          0      1     14      1    1          136.046      
   2.750000000          0      1     14      1    1          138.189      
   2.800000000          0      1     14      1    1          140.632      
   2.850000000          0      1     14      1    1          143.433      
   2.900000000          0      1     14      1    1          146.667      
   2.950000000          0      1     14      1    1          150.422      
   3.000000000          0      1     14      1    1          154.813      
   3.050000000          0      1     14      1    1          159.983      
   3.100000000          0      1     14      1    1          166.117      
   3.150000000          0      1     14      1    1          173.447      
   3.200000000          0      1     15      1    1          182.268      
   3.250000000          0      1     15      1    1          192.917      
   3.300000000          0      1     15      1    1          205.809      
   3.350000000          0      1     15      1    1          221.354      
   3.400000000          0      1     15      1    1          239.884      
   3.450000000          0      1     15      1    1          261.422      
   3.500000000          0      1     15      1    1          285.337      
   3.550000000          0      1     15      1    1          309.870      
   3.600000000          0      1     15      1    1          331.953      
   3.650000000          0      1     15      1    1          347.696      
   3.700000000          0      1     15      1    1          353.935      
   3.750000000          0      1     15      1    1          349.895      
   3.800000000          0      1     15      1    1          337.554      
   3.850000000          0      1     15      1    1          320.351      
   3.900000000          0      1     15      1    1          301.562      
