   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          625.012      
  0.1000000000          0      1      6      1    1          410.674      
  0.1500000000          0      1      7      1    1          313.339      
  0.2000000000          0      1      7      1    1          256.350      
  0.2500000000          0      1      8      1    1          222.670      
  0.3000000000          0      1      8      1    1          201.009      
  0.3500000000          0      1      8      1    1          186.077      
  0.4000000000          0      1      8      1    1          175.326      
  0.4500000000          0      1      9      1    1          167.329      
  0.5000000000          0      1      9      1    1          165.824      
  0.5500000000          0      1      9      1    1          156.363      
  0.6000000000          0      1      9      1    1          152.341      
  0.6500000000          0      1     10      1    1          148.955      
  0.7000000000          0      1     10      1    1          146.069      
  0.7500000000          0      1     10      1    1          143.612      
  0.8000000000          0      1     10      1    1          141.548      
  0.8500000000          0      1     10      1    1          139.863      
  0.9000000000          0      1     11      1    1          138.576      
  0.9500000000          0      1     11      1    1          137.756      
   1.000000000          0      1     11      1    1          137.601      
   1.050000000          0      1     11      1    1          138.643      
   1.100000000          0      1     11      1    1          142.567      
   1.150000000          0      1     11      1    1          157.230      
   1.200000000          0      1     11      1    1          276.616      
   1.250000000          0      1     12      1    1          258.717      
   1.300000000          0      1     12      1    1          136.393      
   1.350000000          0      1     12      1    1          126.110      
   1.400000000          0      1     12      1    1          123.456      
   1.450000000          0      1     12      1    1          122.338      
   1.500000000          0      1     12      1    1          121.684      
   1.550000000          0      1     12      1    1          121.308      
   1.600000000          0      1     12      1    1          121.066      
   1.650000000          0      1     13      1    1          120.927      
   1.700000000          0      1     13      1    1          120.875      
   1.750000000          0      1     13      1    1          120.903      
   1.800000000          0      1     13      1    1          121.005      
   1.850000000          0      1     13      1    1          121.178      
   1.900000000          0      1     13      1    1          121.418      
   1.950000000          0      1     13      1    1          121.724      
   2.000000000          0      1     13      1    1          122.093      
   2.050000000          0      1     13      1    1          122.526      
   2.100000000          0      1     13      1    1          123.023      
   2.150000000          0      1     14      1    1          123.584      
   2.200000000          0      1     14      1    1          124.214      
   2.250000000          0      1     14      1    1          124.915      
   2.300000000          0      1     14      1    1          125.689      
   2.350000000          0      1     14      1    1          126.553      
   2.400000000          0      1     14      1    1          127.512      
   2.450000000          0      1     14      1    1          128.578      
   2.500000000          0      1     14      1    1          129.766      
   2.550000000          0      1     14      1    1          131.092      
   2.600000000          0      1     14      1    1          132.576      
   2.650000000          0      1     14      1    1          134.249      
   2.700000000          0      1     14      1    1          136.139      
   2.750000000          0      1     14      1    1          138.285      
   2.800000000          0      1     14      1    1          140.733      
   2.850000000          0      1     14      1    1          143.540      
   2.900000000          0      1     14      1    1          146.781      
   2.950000000          0      1     14      1    1          150.547      
   3.000000000          0      1     14      1    1          154.952      
   3.050000000          0      1     14      1    1          160.141      
   3.100000000          0      1     14      1    1          166.301      
   3.150000000          0      1     14      1    1          173.666      
   3.200000000          0      1     15      1    1          182.535      
   3.250000000          0      1     15      1    1          193.249      
   3.300000000          0      1     15      1    1          206.227      
   3.350000000          0      1     15      1    1          221.885      
   3.400000000          0      1     15      1    1          240.550      
   3.450000000          0      1     15      1    1          262.239      
   3.500000000          0      1     15      1    1          286.289      
   3.550000000          0      1     15      1    1          310.883      
   3.600000000          0      1     15      1    1          332.881      
   3.650000000          0      1     15      1    1          348.346      
   3.700000000          0      1     15      1    1          354.142      
   3.750000000          0      1     15      1    1          349.615      
   3.800000000          0      1     15      1    1          336.869      
   3.850000000          0      1     15      1    1          319.411      
   3.900000000          0      1     15      1    1          300.517      
   3.950000000          0      1     15      1    1          282.405      
   4.000000000          0      1     15      1    1          266.197      
   4.050000000          0      1     15      1    1          252.267      
   4.100000000          0      1     15      1    1          240.580      
