R,theta,E3_cm
2.5,0.0,2612.388128916092
2.6,0.0,1851.5454371381365
2.7,0.0,1289.0968371474355
2.8,0.0,876.5299859435866
2.9,0.0,583.3049009716748
3.0,0.0,379.3478735250848
3.1,0.0,237.14565178190355
3.2,0.0,140.7679989324677
3.3,0.0,76.53602697762172
3.4,0.0,35.037237198417664
3.5,0.0,8.876014934211485
3.6,0.0,-6.482468515145848
3.7,0.0,-15.19361410613567
3.8,0.0,-19.45298019760214
3.9,0.0,-22.118236210816136
4.0,0.0,-21.20800907696887
4.1,0.0,-20.186420515222554
4.2,0.0,-18.843521096641155
4.3,0.0,-17.133967361254136
4.4,0.0,-15.39089985060196
4.5,0.0,-13.710689872944794
4.6,0.0,-12.143553224662593
4.7,0.0,-10.71273226904611
4.8,0.0,-9.425711093546909
4.9,0.0,-8.280887526605714
5.0,0.0,-7.271216440983511
5.1,0.0,-6.386777574786188
5.2,0.0,-5.613283136605739
5.3,0.0,-4.9449609404665145
5.4,0.0,-4.367172029285608
5.5,0.0,-3.8703253621080473
5.6,0.0,-3.4393430309951483
5.7,0.0,-3.06390973138207
5.8,0.0,-2.7386702771753395
5.9,0.0,-2.453748311546976
6.0,0.0,-2.2026473880303814
6.2,0.0,-1.7822437326195741
6.4,0.0,-1.4481155563319836
6.6,0.0,-1.1822220407497144
6.8,0.0,-0.9711532899384747
7.0,0.0,-0.8033649350658881
7.2,0.0,-0.6691342511678188
7.4,0.0,-0.5608674177571428
7.6,0.0,-0.47292393286737566
7.8,0.0,-0.4010898863727789
8.0,0.0,-0.342095107185373
8.2,0.0,-0.2932181049895982
8.4,0.0,-0.25235192940096823
8.6,0.0,-0.21785051938869174
8.8,0.0,-0.18841897024011034
9.0,0.0,-0.16324523004555203
10.0,0.0,-0.08190793089578748
10.5,0.0,-0.05960930976171326
11.0,0.0,-0.04426803380469664
11.5,0.0,-0.033469882674714596
12.0,0.0,-0.02567853149545968
12.5,0.0,-0.0199502443480948
13.0,0.0,-0.01567048753939048
13.5,0.0,-0.012444212160773419
14.0,0.0,-0.009964148246706798
14.5,0.0,-0.00803277134290397
15.0,0.0,-0.006540345294881007
16.0,0.0,-0.0044114408178694475
17.0,0.0,-0.00302875092433041
18.0,0.0,-0.002150852331692761
19.0,0.0,-0.001536321757385366
20.0,0.0,-0.001119321875208783
21.0,0.0,-0.0008340028832752467
22.0,0.0,-0.0006145305743073948
23.0,0.0,-0.0004608955915389856
24.0,0.0,-0.0003511594370550597
25.0,0.0,-0.0002633711372523351
50.0,0.0,2.1947854681201306e-05
100.0,0.0,0.0
2.5,5.0,2537.1797259215396
2.6,5.0,1821.0933322245476
2.7,5.0,1273.450644407927
2.8,5.0,869.985559741893
2.9,5.0,579.7658506146486
3.0,5.0,375.92259881630764
3.1,5.0,235.35313663730958
3.2,5.0,140.62821554114078
3.3,5.0,75.52372219310267
3.4,5.0,34.504550323924725
3.5,5.0,8.672276635869038
3.6,5.0,-6.234966974299607
3.7,5.0,-16.434677297327866
3.8,5.0,-19.411982338004346
3.9,5.0,-22.078313774265265
4.0,5.0,-21.133936389842777
4.1,5.0,-20.11228198765134
4.2,5.0,-18.774781644634935
4.3,5.0,-17.071373199396376
4.4,5.0,-15.335416665785104
4.5,5.0,-13.662295717314162
4.6,5.0,-12.101831098336007
4.7,5.0,-10.677045696713504
4.8,5.0,-9.395445541515052
4.9,5.0,-8.25534068223834
5.0,5.0,-7.249773767468471
5.1,5.0,-6.365993327554818
5.2,5.0,-5.598161336076613
5.3,5.0,-4.932165571987608
5.4,5.0,-4.356286089855823
5.5,5.0,-3.860975744435648
5.6,5.0,-3.4312224713524415
5.7,5.0,-3.0567987512222436
5.8,5.0,-2.732393303017711
5.9,5.0,-2.448173656263457
6.0,5.0,-2.197687260202248
6.2,5.0,-1.7782931905121657
6.4,5.0,-1.4449990171078504
6.6,5.0,-1.1798297682543726
6.8,5.0,-0.9693316523080779
7.0,5.0,-0.8019822451723491
7.2,5.0,-0.6680368802662133
7.4,5.0,-0.5599675713098239
7.6,5.0,-0.47215577354814403
7.8,5.0,-0.4004314632080312
8.0,5.0,-0.34150252446574686
8.2,5.0,-0.2927133136886968
8.4,5.0,-0.25191298166411047
8.6,5.0,-0.21745546424227427
8.8,5.0,-0.18808975865773647
9.0,5.0,-0.16293796631785937
9.5,5.0,-0.11458770639658923
10.0,5.0,-0.08177624688662234
10.5,5.0,-0.05952152146191054
11.0,5.0,-0.044224138095334244
11.5,5.0,-0.0334259869653522
12.0,5.0,-0.02565658364077848
12.5,5.0,-0.0199502443480948
13.0,5.0,-0.01567049065831256
13.5,5.0,-0.012444212160773419
14.0,5.0,-0.009964148246706798
14.5,5.0,-0.00803277134290397
15.0,5.0,-0.006540345294881007
16.0,5.0,-0.0044114408178694475
17.0,5.0,-0.0030506987790116114
18.0,5.0,-0.002150852331692761
19.0,5.0,-0.0015582696120665673
20.0,5.0,-0.0011412697298899843
21.0,5.0,-0.0008340028832752467
22.0,5.0,-0.0006364784289885961
23.0,5.0,-0.00048284344622018694
24.0,5.0,-0.00037310729173626103
25.0,5.0,-0.0002853189919335364
50.0,5.0,0.0
100.0,5.0,0.0
2.5,10.0,2365.4783142149545
2.6,10.0,1743.286393506703
2.7,10.0,1230.4051071725257
2.8,10.0,843.8305705592539
2.9,10.0,564.8324675773929
3.0,10.0,366.8826582810312
3.1,10.0,229.05755077064643
3.2,10.0,135.80139779091292
3.3,10.0,73.98678525328829
3.4,10.0,32.96649406223513
3.5,10.0,8.788203133330882
3.6,10.0,-6.2601846102035275
3.7,10.0,-15.10393677191531
3.8,10.0,-19.706385605314274
3.9,10.0,-21.061048865037016
4.0,10.0,-20.921419105573953
4.1,10.0,-19.898645381507308
4.2,10.0,-18.57297472319629
4.3,10.0,-16.887299826410093
4.4,10.0,-15.171842224157178
