T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.716279151277659123e-12 2.474753183290330192e-13 2.552357669874752662e-14 1.434497360674801352e-16 1.776684140766304282e-17 1.145546759437812602e-11 6.947630728532598365e-13 4.014261022688794222e-15 4.863191547375130776e-16 1.521471059196266751e-11 6.819779577164557638e-14 7.707655310759143286e-15 1.105979465915451763e-12 1.047687821412168144e-13 1.323021055706411025e-12
2.000000000000000000e+00 3.774666317270285567e-12 2.731420412119194322e-13 2.812300723205815458e-14 1.971708407844534937e-16 2.243302321815775183e-17 1.300892743953844982e-11 7.769471148162819005e-13 5.560902443362419868e-15 6.175108133117358022e-16 1.748786168889510910e-11 9.520475120923299576e-14 9.835590887109194741e-15 1.562356368469242806e-12 1.343007020197092599e-13 1.706916116587650058e-12
3.000000000000000000e+00 3.635677592702088319e-12 2.717482282999225122e-13 2.815247380408708658e-14 2.149712925696164419e-16 2.346692224433733747e-17 1.300372334060603064e-11 7.800254353237750006e-13 6.060662618568044379e-15 6.445154665171472493e-16 1.767915345325853729e-11 1.032099631659226130e-13 1.020538777471091518e-14 1.677274141052246105e-12 1.382239703520539256e-13 1.751763804121231282e-12
4.000000000000000000e+00 3.559684088133937783e-12 2.674977435261443288e-13 2.784455181575727145e-14 2.230044599204572424e-16 2.375350826977451517e-17 1.276276621424217807e-11 7.711235545910637179e-13 6.274685598553759420e-15 6.504470621320649052e-16 1.748684291045881905e-11 1.062164052836355928e-13 1.023979364640816170e-14 1.708435383507026216e-12 1.376224817060310147e-13 1.737270842525867619e-12
5.000000000000000000e+00 3.543794036030006041e-12 2.640542314905133550e-13 2.752333734004792266e-14 2.278909992546240748e-16 2.389421904210098757e-17 1.252040463519968553e-11 7.609129807140823235e-13 6.395864113677067452e-15 6.523466101562306077e-16 1.722046744501607179e-11 1.076659443888819537e-13 1.021828804485072483e-14 1.715855879456515484e-12 1.364277254315278215e-13 1.714966486891772746e-12
6.000000000000000000e+00 3.564193356485091456e-12 2.619733383182810514e-13 2.719805882091062893e-14 2.318458190254133552e-16 2.405201844336251007e-17 1.232259457230105841e-11 7.502835759611870562e-13 6.488086541840002199e-15 6.546983223817254681e-16 1.692755704367425595e-11 1.086489652965602538e-13 1.020955426667200058e-14 1.717100426619219849e-12 1.355214889582364065e-13 1.696116267662299008e-12
7.000000000000000000e+00 3.604446986653870098e-12 2.612052669520601830e-13 2.683651147038951194e-14 2.357248482881575640e-16 2.427552864315359540e-17 1.217425632086734969e-11 7.386307056167824952e-13 6.575731974493769519e-15 6.587791224923186524e-16 1.660731123074811296e-11 1.095628954090499937e-13 1.023099817914209279e-14 1.718031165715800508e-12 1.350879129560973020e-13 1.682939923664055907e-12
8.000000000000000000e+00 3.655792044590134677e-12 2.615771267196011968e-13 2.642008023663204427e-14 2.398873120306723614e-16 2.457820258302762900e-17 1.207039845939697922e-11 7.255685351899023212e-13 6.668840365798511478e-15 6.649011518358893674e-16 1.625712256395357925e-11 1.105622684923427636e-13 1.028546966313334085e-14 1.720667988077640081e-12 1.351288445656001746e-13 1.675349948321346096e-12
9.000000000000000000e+00 3.714101526248927381e-12 2.628984085382062010e-13 2.594718408979748340e-14 2.444902077613124103e-16 2.496189149882768794e-17 1.200386323364435764e-11 7.111009298085659916e-13 6.771648333828353612e-15 6.730670007412307234e-16 1.587966375665757523e-11 1.117065427727865349e-13 1.037153041448231383e-14 1.725627183004384019e-12 1.355998237456874547e-13 1.672699022178568289e-12
1.000000000000000000e+01 3.777593528044834747e-12 2.649831488957331165e-13 2.542653758240341664e-14 2.496021317914839013e-16 2.542475093392215533e-17 1.196738317555055742e-11 6.954744282590106260e-13 6.885868774444849622e-15 6.831851636931527575e-16 1.548124380263871762e-11 1.130153099337381889e-13 1.048666166815499909e-14 1.732984152984900350e-12 1.364494716539062820e-13 1.674274941353273983e-12
