R	Gamma	E
2.50	0	2727.227782
2.50	5	2780.145569
2.50	10	2896.225494
2.50	15	2995.167932
2.50	20	3022.032832
2.50	25	2959.950076
2.50	30	2818.020352
2.50	35	2618.001385
2.50	40	2384.796973
2.50	45	2140.945138
2.50	50	1903.959299
2.50	55	1685.871538
2.50	60	1493.881555
2.50	65	1331.57912
2.50	70	1200.085167
2.50	75	1099.217217
2.50	80	1028.179554
2.50	85	985.980519
2.50	90	971.981394
2.60	0	2049.019091
2.60	5	2065.687679
2.60	10	2101.706136
2.60	15	2126.990765
2.60	20	2115.445664
2.60	25	2055.497169
2.60	30	1949.483096
2.60	35	1808.437263
2.60	40	1646.699966
2.60	45	1478.122726
2.60	50	1313.983763
2.60	55	1162.361733
2.60	60	1028.278755
2.60	65	914.462899
2.60	70	821.959243
2.60	75	750.848793
2.60	80	700.64
2.60	85	670.811046
2.60	90	660.912648
2.70	0	1496.556644
2.70	5	1500.42521
2.70	10	1506.685125
2.70	15	1502.892702
2.70	20	1477.275363
2.70	25	1423.865796
2.70	30	1343.727499
2.70	35	1242.884131
2.70	40	1129.703475
2.70	45	1012.654854
2.70	50	898.831823
2.70	55	793.550262
2.70	60	700.252336
2.70	65	620.896955
2.70	70	556.239642
2.70	75	506.454473
2.70	80	471.305065
2.70	85	450.392315
2.70	90	443.4589
2.80	0	1066.926995
2.80	5	1066.313414
2.80	10	1062.167837
2.80	15	1049.205972
2.80	20	1022.157745
2.80	25	978.364015
2.80	30	918.721943
2.80	35	846.809679
2.80	40	767.671567
2.80	45	686.504982
2.80	50	607.829434
2.80	55	535.068393
2.80	60	470.551846
2.80	65	415.565445
2.80	70	370.749934
2.80	75	336.228488
2.80	80	311.818609
2.80	85	297.309004
2.80	90	292.497435
2.90	0	743.648518
2.90	5	741.719722
2.90	10	734.954888
2.90	15	721.037594
2.90	20	697.708707
2.90	25	663.95565
2.90	30	620.554865
2.90	35	569.842646
2.90	40	514.90824
2.90	45	459.025011
2.90	50	404.990049
2.90	55	355.065643
2.90	60	310.782667
2.90	65	273.065376
2.90	70	242.28041
2.90	75	218.554016
2.90	80	201.790057
2.90	85	191.824471
2.90	90	188.521037
3.00	0	506.49193
3.00	5	504.486771
3.00	10	498.045874
3.00	15	486.175145
3.00	20	467.951507
3.00	25	443.125205
3.00	30	412.342759
3.00	35	377.133678
3.00	40	339.440083
3.00	45	301.307942
3.00	50	264.565099
3.00	55	230.677913
3.00	60	200.599054
3.00	65	174.965805
3.00	70	154.061363
3.00	75	137.950083
3.00	80	126.56791
3.00	85	119.804214
3.00	90	117.562166
3.10	0	336.205446
3.10	5	334.538761
3.10	10	329.360087
3.10	15	320.255135
3.10	20	306.89144
3.10	25	289.303964
3.10	30	268.027389
3.10	35	244.035951
3.10	40	218.564725
3.10	45	192.907182
3.10	50	168.231809
3.10	55	145.478628
3.10	60	125.30815
3.10	65	108.121898
3.10	70	94.108639
3.10	75	83.310943
3.10	80	75.686181
3.10	85	71.157122
3.10	90	69.656613
3.20	0	216.307726
3.20	5	215.062898
3.20	10	211.252976
3.20	15	204.720746
3.20	20	195.377297
3.20	25	183.341491
3.20	30	169.007167
3.20	35	153.003169
3.20	40	136.107801
3.20	45	119.130738
3.20	50	102.821236
3.20	55	87.785582
3.20	60	74.460011
3.20	65	63.107601
3.20	70	53.854571
3.20	75	46.728533
3.20	80	41.700547
3.20	85	38.716507
3.20	90	37.728182
3.30	0	133.475689
3.30	5	132.607368
3.30	10	129.974555
3.30	15	125.526676
3.30	20	119.263635
3.30	25	111.308144
3.30	30	101.929041
3.30	35	91.522315
3.30	40	80.565456
3.30	45	69.563592
3.30	50	58.989405
3.30	55	49.236767
3.30	60	40.589774
3.30	65	33.223597
3.30	70	27.222491
3.30	75	22.605837
3.30	80	19.352629
3.30	85	17.424566
3.30	90	16.78663
3.40	0	77.339582
3.40	5	76.769221
3.40	10	75.048914
3.40	15	72.168859
3.40	20	68.155324
3.40	25	63.101061
3.40	30	57.176732
3.40	35	50.620089
3.40	40	43.716149
3.40	45	36.771783
3.40	50	30.083405
3.40	55	23.903011
3.40	60	18.416903
3.40	65	13.742068
3.40	70	9.936683
3.40	75	7.014798
3.40	80	4.945317
3.40	85	3.729521
3.40	90	3.297887
3.50	0	40.067252
3.50	5	39.693829
3.50	10	38.664523
3.50	15	36.912436
3.50	20	34.483699
3.50	25	31.436664
3.50	30	27.868371
3.50	35	23.91153
3.50	40	19.727786
3.50	45	15.498639
3.50	50	11.406023
3.50	55	7.610125
3.50	60	4.232833
3.50	65	1.353934
3.50	70	-1.00146
3.50	75	-2.793396
3.50	80	-4.120094
3.50	85	-4.836629
3.50	90	-5.047053
3.60	0	15.898381
3.60	5	15.633857
3.60	10	15.122365
3.60	15	14.154001
3.60	20	12.810279
3.60	25	11.117318
3.60	30	9.120388
3.60	35	6.884136
3.60	40	4.493883
3.60	45	2.052506
3.60	50	-0.330945
3.60	55	-2.55592
3.60	60	-4.542382
3.60	65	-6.253918
3.60	70	-7.703148
3.60	75	-8.70897
3.60	80	-9.408037
3.60	85	-9.81664
3.60	90	-9.948022
3.70	0	0.693972
3.70	5	0.571362
3.70	10	0.323752
3.70	15	-0.09535
3.70	20	-0.718498
3.70	25	-1.522635
3.70	30	-2.497525
3.70	35	-3.620047
3.70	40	-4.850579
3.70	45	-6.134571
3.70	50	-7.408592
3.70	55	-8.628918
3.70	60	-9.802673
3.70	65	-10.680136
3.70	70	-11.386039
3.70	75	-11.913673
3.70	80	-12.271301
3.70	85	-12.475517
3.70	90	-12.540184
3.80	0	-8.464868
3.80	5	-8.499388
3.80	10	-8.600487
3.80	15	-8.763065
3.80	20	-8.812483
3.80	25	-9.035059
3.80	30	-9.364886
3.80	35	-9.784757
3.80	40	-10.298517
3.80	45	-10.848121
3.80	50	-11.512099
3.80	55	-12.021548
3.80	60	-12.484333
3.80	65	-12.874896
3.80	70	-13.177919
3.80	75	-13.391259
3.80	80	-13.524988
3.80	85	-13.595438
3.80	90	-13.616349
3.90	0	-13.608613
3.90	5	-13.590424
3.90	10	-13.538561
3.90	15	-13.461246
3.90	20	-13.372534
3.90	25	-13.290921
3.90	30	-13.235197
3.90	35	-13.219179
3.90	40	-13.248058
3.90	45	-13.317137
3.90	50	-13.413914
3.90	55	-13.520864
3.90	60	-13.61941
3.90	65	-13.693868
3.90	70	-13.735543
3.90	75	-13.745992
3.90	80	-13.736055
3.90	85	-13.721188
3.90	90	-13.714205
4.00	0	-16.135769
4.00	5	-16.08829
4.00	10	-15.951331
4.00	15	-15.740465
4.00	20	-15.478934
4.00	25	-15.193546
4.00	30	-14.909412
4.00	35	-14.645473
4.00	40	-14.412345
4.00	45	-14.212778
4.00	50	-14.043487
4.00	55	-13.89715
4.00	60	-13.764775
4.00	65	-13.63859
4.00	70	-13.515446
4.00	75	-13.399334
4.00	80	-13.301032
4.00	85	-13.234242
4.00	90	-13.210453
4.10	0	-17.001179
4.10	5	-16.939488
4.10	10	-16.76115
4.10	15	-16.484794
4.10	20	-16.137106
4.10	25	-15.747439
4.10	30	-15.342444
4.10	35	-14.942456
4.10	40	-14.560639
4.10	45	-14.204157
4.10	50	-13.87603
4.10	55	-13.576325
4.10	60	-13.303418
4.10	65	-13.055799
