R	Gamma	E
2.00	0	-78.245761334181
2.00	5	-78.246636275904
2.00	10	-78.249203858861
2.00	15	-78.253285240609
2.00	20	-78.258573272063
2.00	25	-78.264656153756
2.00	30	-78.271079484162
2.00	35	-78.277427592133
2.00	40	-78.283390752591
2.00	45	-78.288758201069
2.00	50	-78.293341545869
2.00	55	-78.225364272506
2.00	60	-78.230551046658
2.00	65	-78.234689392701
2.00	70	-78.237896180722
2.00	75	-78.240275254272
2.00	80	-78.241911450738
2.00	85	-78.242867691806
2.00	90	-78.243182392795
2.10	0	-78.245180344546
2.10	5	-78.246366044645
2.10	10	-78.249719295074
2.10	15	-78.25474413145
2.10	20	-78.260850231392
2.10	25	-78.267478844745
2.10	30	-78.274159890656
2.10	35	-78.280507734191
2.10	40	-78.286215389369
2.10	45	-78.291137610013
2.10	50	-78.233737027432
2.10	55	-78.238114748039
2.10	60	-78.241769103313
2.10	65	-78.244735056661
2.10	70	-78.247062476735
2.10	75	-78.248804797653
2.10	80	-78.250011032601
2.10	85	-78.250719031575
2.10	90	-78.250952403553
2.20	0	-78.246925764461
2.20	5	-78.248712290878
2.20	10	-78.253119886269
2.20	15	-78.258930530018
2.20	20	-78.265390082711
2.20	25	-78.271968388449
2.20	30	-78.278275414612
2.20	35	-78.284050904048
2.20	40	-78.237230585207
2.20	45	-78.240958013208
2.20	50	-78.244369349661
2.20	55	-78.247375714408
2.20	60	-78.249935368685
2.20	65	-78.252042578517
2.20	70	-78.253713836132
2.20	75	-78.254975284602
2.20	80	-78.25585374338
2.20	85	-78.256371191128
2.20	90	-78.256542268221
2.30	0	-78.250206781358
2.30	5	-78.253996449988
2.30	10	-78.259269149568
2.30	15	-78.265123503427
2.30	20	-78.271170416576
2.30	25	-78.240894227817
2.30	30	-78.242630098353
2.30	35	-78.244819293091
2.30	40	-78.247230978613
2.30	45	-78.249662118559
2.30	50	-78.251961141909
2.30	55	-78.254030950447
2.30	60	-78.255820112172
2.30	65	-78.257310159928
2.30	70	-78.258502631223
2.30	75	-78.259408947256
2.30	80	-78.260043276236
2.30	85	-78.260418319547
2.30	90	-78.260542401289
2.40	0	-78.253867007235
2.40	5	-78.253039028709
2.40	10	-78.251482593187
2.40	15	-78.250328769316
2.40	20	-78.249935986632
2.40	25	-78.250287191286
2.40	30	-78.251233727609
2.40	35	-78.252584898575
2.40	40	-78.25415316465
2.40	45	-78.25578012112
2.40	50	-78.257348069149
2.40	55	-78.258779354469
2.40	60	-78.260030275887
2.40	65	-78.261081294157
2.40	70	-78.261928267204
2.40	75	-78.262575628593
2.40	80	-78.263030520014
2.40	85	-78.263300001058
2.40	90	-78.263389366649
2.50	0	-78.257406615918
2.50	5	-78.257165504705
2.50	10	-78.256636605576
2.50	15	-78.256185790592
2.50	20	-78.256063385083
2.50	25	-78.256346254973
2.50	30	-78.256992934469
2.50	35	-78.257904288069
2.50	40	-78.258966845706
2.50	45	-78.260077916577
2.50	50	-78.261157703666
2.50	55	-78.262151384758
2.50	60	-78.263026155614
2.50	65	-78.263765660023
2.50	70	-78.264364790643
2.50	75	-78.264824378905
2.50	80	-78.26514805036
2.50	85	-78.26534032334
2.50	90	-78.265404108055
2.60	0	-78.260496762527
2.60	5	-78.260420814841
2.60	10	-78.26025670265
2.60	15	-78.260141497387
2.60	20	-78.260194100746
2.60	25	-78.260467246228
2.60	30	-78.260950281955
2.60	35	-78.261592934145
2.60	40	-78.262329863602
2.60	45	-78.26309795813
2.60	50	-78.263845830382
2.60	55	-78.264536671279
2.60	60	-78.265147598366
2.60	65	-78.265666181637
2.60	70	-78.266087659369
2.60	75	-78.266411662466
2.60	80	-78.266640430592
2.60	85	-78.266776341325
2.60	90	-78.26682144175
2.70	0	-78.263013967007
2.70	5	-78.262996340523
2.70	10	-78.262967818248
2.70	15	-78.262985097799
2.70	20	-78.263101819004
2.70	25	-78.26334517093
2.70	30	-78.263710307929
2.70	35	-78.26416978419
2.70	40	-78.264685473274
2.70	45	-78.26521878611
2.70	50	-78.26573740207
2.70	55	-78.26621710023
2.70	60	-78.26664219692
2.70	65	-78.267003766688
2.70	70	-78.267298367127
2.70	75	-78.26752520508
2.70	80	-78.267685357588
2.70	85	-78.267780643101
2.70	90	-78.267812234071
2.80	0	-78.264971504006
2.80	5	-78.264974299687
2.80	10	-78.264993188325
2.80	15	-78.265052246939
2.80	20	-78.265175487746
2.80	25	-78.26537502669
2.80	30	-78.265646776002
2.80	35	-78.265974432433
2.80	40	-78.266335012254
2.80	45	-78.266704834482
2.80	50	-78.267063306705
2.80	55	-78.267394830449
2.80	60	-78.267688789507
2.80	65	-78.267939326019
2.80	70	-78.268143520543
2.80	75	-78.268300811845
2.80	80	-78.268412031456
