R	0	30	60	90
2.5	3603.460269	3379.694913	1236.480954	724.839865
2.6	2342.625227	2059.227076	807.194221	473.135307
2.7	1510.183647	1271.662411	519.035678	301.643045
2.8	963.726729	787.621312	326.253622	185.774906
2.9	604.841824	483.360002	197.893492	108.316476
3.0	369.161332	289.422226	113.065898	57.247345
3.1	214.978216	165.113359	57.703142	24.184206
3.2	115.011244	85.599429	22.227112	3.296555
3.3	51.166864	35.332756	0.13447	-9.433995
3.4	11.316355	4.262097	-13.030899	-16.763731
3.5	-12.702276	-14.211203	-20.314793	-20.55098
3.6	-26.368967	-24.471788	-23.790424	-22.041448
3.7	-33.341766	-29.450617	-24.860321	-22.070238
3.8	-36.047842	-31.102835	-24.460002	-21.201648
3.9	-36.091833	-30.725535	-23.2076	-19.820544
4.0	-34.531706	-29.168238	-21.506144	-18.190033
4.1	-32.079902	-26.983536	-19.614372	-16.486865
4.2	-29.200749	-24.52913	-17.69762	-14.824129
4.3	-26.205458	-22.019499	-15.844923	-13.267342
4.4	-23.293527	-19.603074	-14.122165	-11.847741
4.5	-20.584298	-17.354942	-12.551864	-10.573408
4.6	-18.13932	-15.316244	-11.141618	-9.433708
4.7	-15.979392	-13.501374	-9.88704	-8.425633
4.8	-14.097588	-11.906305	-8.776851	-7.530091
4.9	-12.469295	-10.514831	-7.79668	-6.732499
5.0	-11.060404	-9.303738	-6.931459	-6.02038
5.1	-9.83423	-8.247607	-6.167711	-5.387848
5.2	-8.756887	-7.322278	-5.490815	-4.813513
5.3	-7.800691	-6.507224	-4.891672	-4.303599
5.4	-6.945347	-5.786202	-4.360867	-3.847892
5.5	-6.177172	-5.147763	-3.890483	-3.441135
5.6	-5.487388	-4.580281	-3.473695	-3.078556
5.7	-4.870112	-4.077983	-3.104498	-2.755758
5.8	-4.320721	-3.634406	-2.777504	-2.46854
5.9	-3.83476	-3.243672	-2.487857	-2.213076
6.0	-3.407447	-2.900125	-2.231202	-1.98576
6.2	-2.707379	-2.333326	-1.801652	-1.603126
6.4	-2.175965	-1.894837	-1.462514	-1.298726
6.6	-1.771178	-1.552695	-1.193472	-1.055487
6.8	-1.458914	-1.282824	-0.978982	-0.860362
7.0	-1.213973	-1.067647	-0.80701	-0.703423
7.2	-1.018462	-0.894104	-0.668272	-0.576963
7.4	-0.859646	-0.75241	-0.555598	-0.474977
7.6	-0.728409	-0.63521	-0.463526	-0.392595
7.8	-0.618379	-0.537189	-0.387911	-0.325916
8.0	-0.525176	-0.454586	-0.325561	-0.27182
8.2	-0.445812	-0.384793	-0.274038	-0.227791
8.4	-0.378237	-0.325822	-0.231373	-0.191757
8.6	-0.320874	-0.276129	-0.195971	-0.162165
8.8	-0.272404	-0.234385	-0.166544	-0.13771
9.0	-0.231617	-0.199388	-0.142017	-0.117398
9.5	-0.156149	-0.134788	-0.096771	-0.079964
10.0	-0.107516	-0.093072	-0.067204	-0.055379
10.5	-0.075694	-0.065616	-0.047422	-0.038795
11.0	-0.054379	-0.047095	-0.033884	-0.027377
11.5	-0.03972	-0.034315	-0.024466	-0.019408
12.0	-0.029411	-0.025308	-0.017789	-0.013775
12.5	-0.022019	-0.018827	-0.013034	-0.009748
13.0	-0.016627	-0.014143	-0.009594	-0.006882
13.5	-0.012686	-0.010709	-0.007102	-0.004805
14.0	-0.009753	-0.008175	-0.005305	-0.003319
14.5	-0.007572	-0.006299	-0.003971	-0.002242
15.0	-0.005935	-0.004908	-0.003017	-0.001459
16.0	-0.003793	-0.003094	-0.001818	-0.000548
17.0	-0.002583	-0.002091	-0.001214	-0.000105
18.0	-0.001901	-0.001555	-0.000926	6.4e-05
19.0	-0.001542	-0.001267	-0.000822	0.000107
20.0	-0.001346	-0.001151	-0.000813	5.6e-05
21.0	-0.001258	-0.001126	-0.009883	-2.5e-05
22.0	-0.001239	-0.001127	-0.009342	-0.000119
23.0	-0.001248	-0.00116	-0.008807	-0.000203
24.0	-0.001275	-0.001206	-0.008287	-0.000305
25.0	-0.001313	-0.001261	-0.007777	-0.000391
50.0	-0.003561	-0.002979	-0.001541	-0.000657
100.0	-0.000221	-0.000168	-5.8e-05	-0.0
