T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.222340073659814334e-12 2.148804987830079490e-13 2.250015281415547122e-14 7.763718840999331141e-17 1.000094524257783609e-17 4.699195242747449717e-12 5.443723175733734010e-13 2.989206197680666706e-15 3.556505436105128470e-16 1.462193965967077250e-11 4.327434602462189022e-14 6.735889594913552638e-15 8.530536038016645837e-13 8.200630834999197833e-14 1.087710185857820225e-12
2.000000000000000000e+00 7.538852143584930371e-12 2.033119804595605164e-13 2.036150424349513192e-14 1.349530711892174222e-16 1.492379215532809731e-17 4.964646160037373114e-12 5.083491692981689918e-13 5.058080950903011612e-15 5.352490929005968166e-16 1.376246531950749019e-11 7.440406823208912932e-14 1.020489952154225927e-14 1.506961872629462271e-12 1.259491192159717354e-13 1.732249688419286282e-12
3.000000000000000000e+00 1.161416385403644960e-11 2.077703674796323256e-13 2.001156944376426713e-14 1.612142622272450383e-16 1.714032689927143754e-17 5.380305940261232484e-12 5.070582753997329874e-13 5.986432197675847874e-15 6.149931942622556810e-16 1.374175257752577536e-11 8.854075670729866738e-14 1.174319212538753209e-14 1.810261221800983291e-12 1.458811128707268777e-13 2.046269179909223082e-12
4.000000000000000000e+00 1.520372472820312815e-11 2.152102414002666598e-13 2.001694614160102820e-14 1.753215884899459057e-16 1.841390311545258260e-17 5.734257729203725959e-12 5.090122042782467166e-13 6.460699696586851594e-15 6.589760234506790921e-16 1.375551396298166235e-11 9.567563203307424283e-14 1.256440968550281308e-14 1.956742164699421991e-12 1.564818269516446048e-13 2.217020409988875565e-12
5.000000000000000000e+00 1.799975457259771617e-11 2.232446287984987062e-13 2.008244093356573217e-14 1.843224060671480237e-16 1.927070455166892131e-17 6.040747882103182955e-12 5.097871603175358238e-13 6.737878919382110439e-15 6.873076368846272107e-16 1.371520211711507608e-11 9.970571054635481524e-14 1.306324968547305886e-14 2.031747896347126492e-12 1.627589397169689192e-13 2.317012745001190858e-12
6.000000000000000000e+00 2.003499792382258571e-11 2.312114380501303434e-13 2.010722327284601645e-14 1.910075978152090077e-16 1.992280779298244583e-17 6.319465253455133838e-12 5.083696212739678280e-13 6.922249058564967539e-15 7.080624922109855793e-16 1.361052396594862292e-11 1.022371012023350469e-13 1.340139730202252822e-14 2.071670029951712982e-12 1.668207647666291932e-13 2.378830554262802774e-12
7.000000000000000000e+00 2.144183394503074436e-11 2.388726861361932427e-13 2.005092627431062873e-14 1.966262069429592279e-16 2.047229368240866858e-17 6.582136271034568373e-12 5.045194617238563380e-13 7.061197338860160803e-15 7.250380509691407668e-16 1.344344410422704183e-11 1.040075262841972453e-13 1.365560892739912603e-14 2.093408378371963734e-12 1.696853879003613436e-13 2.418868321078402161e-12
8.000000000000000000e+00 2.236237028023071853e-11 2.461357644813989516e-13 1.990463266591768236e-14 2.017965478151204241e-16 2.097387942692726484e-17 6.834776879984192429e-12 4.983967762618218506e-13 7.178292299976197420e-15 7.402116418896053179e-16 1.322188474909994320e-11 1.053871683513830054e-13 1.386592372145062254e-14 2.105464823354363102e-12 1.718899877448026790e-13 2.446039801450523234e-12
9.000000000000000000e+00 2.291898922081074442e-11 2.529652033491882503e-13 1.967619241310379247e-14 2.068493518479065890e-16 2.145916196287318965e-17 7.079962987893808818e-12 4.903741128273223061e-13 7.286064964345769847e-15 7.546882228585508567e-16 1.295689473932640595e-11 1.065743566347071775e-13 1.405461288752851465e-14 2.112388257036149195e-12 1.737357779084340396e-13 2.465468244227254528e-12
1.000000000000000000e+01 2.320849035700533687e-11 2.593465166142439026e-13 1.938068905531626533e-14 2.119724862798020232e-16 2.194748088243008714e-17 7.318219161134135192e-12 4.808955422977289879e-13 7.391506436614105582e-15 7.691185306943159559e-16 1.266015451036520972e-11 1.076804344924773300e-13 1.423464326447684866e-14 2.116723851628630266e-12 1.753991446250459663e-13 2.480222566092204246e-12
