   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          1893.07      
  0.1000000000          0      1      7      1    1          1517.67      
  0.1500000000          0      1      7      1    1          1390.05      
  0.2000000000          0      1      7      1    1          1425.51      
  0.2500000000          0      1      8      1    1          1495.14      
  0.3000000000          0      1      8      1    1          1491.27      
  0.3500000000          0      1      8      1    1          1405.71      
  0.4000000000          0      1      9      1    1          1283.46      
  0.4500000000          0      1      9      1    1          1160.04      
  0.5000000000          0      1      9      1    1          1076.64      
  0.5500000000          0      1      9      1    1          959.543      
  0.6000000000          0      1      9      1    1          885.115      
  0.6500000000          0      1     10      1    1          825.840      
  0.7000000000          0      1     10      1    1          779.274      
  0.7500000000          0      1     10      1    1          742.824      
  0.8000000000          0      1     10      1    1          713.975      
  0.8500000000          0      1     10      1    1          690.635      
  0.9000000000          0      1     11      1    1          671.761      
  0.9500000000          0      1     11      1    1          659.700      
   1.000000000          0      1     11      1    1          691.355      
   1.050000000          0      1     11      1    1          580.627      
   1.100000000          0      1     11      1    1          562.827      
   1.150000000          0      1     11      1    1          548.374      
   1.200000000          0      1     12      1    1          531.997      
   1.250000000          0      1     12      1    1          515.324      
   1.300000000          0      1     12      1    1          499.008      
   1.350000000          0      1     12      1    1          483.353      
   1.400000000          0      1     12      1    1          468.520      
   1.450000000          0      1     12      1    1          454.578      
   1.500000000          0      1     12      1    1          443.750      
   1.550000000          0      1     12      1    1          431.421      
   1.600000000          0      1     13      1    1          419.970      
   1.650000000          0      1     13      1    1          409.430      
   1.700000000          0      1     13      1    1          399.727      
   1.750000000          0      1     13      1    1          390.737      
   1.800000000          0      1     13      1    1          382.428      
   1.850000000          0      1     13      1    1          374.739      
   1.900000000          0      1     13      1    1          367.640      
   1.950000000          0      1     13      1    1          361.055      
   2.000000000          0      1     13      1    1          354.949      
   2.050000000          0      1     14      1    1          349.400      
   2.100000000          0      1     14      1    1          344.275      
   2.150000000          0      1     14      1    1          354.335      
   2.200000000          0      1     14      1    1          314.081      
   2.250000000          0      1     14      1    1          324.512      
   2.300000000          0      1     14      1    1          322.879      
   2.350000000          0      1     14      1    1          320.837      
   2.400000000          0      1     14      1    1          319.471      
   2.450000000          0      1     14      1    1          319.411      
   2.500000000          0      1     14      1    1          321.586      
   2.550000000          0      1     14      1    1          327.807      
   2.600000000          0      1     14      1    1          342.511      
   2.650000000          0      1     14      1    1          378.278      
   2.700000000          0      1     15      1    1          465.537      
   2.750000000          0      1     15      1    1          364.109      
   2.800000000          0      1     15      1    1          236.016      
   2.850000000          0      1     15      1    1          226.248      
   2.900000000          0      1     15      1    1          228.118      
   2.950000000          0      1     15      1    1          230.637      
   3.000000000          0      1     15      1    1          233.411      
   3.050000000          0      1     15      1    1          238.167      
   3.100000000          0      1     15      1    1          252.419      
   3.150000000          0      1     15      1    1          352.889      
   3.200000000          0      1     15      1    1          295.387      
   3.250000000          0      1     15      1    1          224.529      
   3.300000000          0      1     15      1    1          217.235      
   3.350000000          0      1     15      1    1          214.709      
   3.400000000          0      1     15      1    1          213.011      
   3.450000000          0      1     15      1    1          211.522      
   3.500000000          0      1     15      1    1          210.103      
   3.550000000          0      1     15      1    1          208.732      
   3.600000000          0      1     15      1    1          207.429      
   3.650000000          0      1     15      1    1          206.207      
   3.700000000          0      1     15      1    1          205.139      
   3.750000000          0      1     15      1    1          204.373      
   3.800000000          0      1     15      1    1          204.378      
   3.850000000          0      1     15      1    1          208.735      
   3.900000000          0      1     15      1    1          189.525      
   3.950000000          0      1     15      1    1          193.896      
   4.000000000          0      1     15      1    1          194.352      
   4.050000000          0      1     15      1    1          194.069      
   4.100000000          0      1     15      1    1          193.611      
   4.150000000          0      1     15      1    1          193.153      
   4.200000000          0      1     15      1    1          192.767      
   4.250000000          0      1     15      1    1          192.504      
   4.300000000          0      1     15      1    1          192.409      
   4.350000000          0      1     16      1    1          192.567      
   4.400000000          0      1     16      1    1          192.951      
   4.450000000          0      1     16      1    1          193.670      
   4.500000000          0      1     16      1    1          194.800      
   4.550000000          0      1     16      1    1          194.840      
   4.600000000          0      1     16      1    1          199.227      
   4.650000000          0      1     16      1    1          202.809      
   4.700000000          0      1     16      1    1          208.015      
   4.750000000          0      1     16      1    1          215.658      
   4.800000000          0      1     16      1    1          227.134      
   4.850000000          0      1     16      1    1          244.761      
   4.900000000          0      1     16      1    1          271.110      
   4.950000000          0      1     16      1    1          299.507      
   5.000000000          0      1     16      1    1          283.657      
   5.050000000          0      1     16      1    1          209.599      
   5.100000000          0      1     16      1    1          160.682      
   5.150000000          0      1     16      1    1          142.995      
   5.200000000          0      1     16      1    1          137.828      
   5.250000000          0      1     16      1    1          136.920      
   5.300000000          0      1     16      1    1          137.452      
   5.350000000          0      1     16      1    1          138.448      
   5.400000000          0      1     16      1    1          139.565      
   5.450000000          0      1     16      1    1          140.686      
   5.500000000          0      1     16      1    1          141.785      
   5.550000000          0      1     16      1    1          142.862      
   5.600000000          0      1     16      1    1          143.939      
   5.650000000          0      1     16      1    1          145.040      
   5.700000000          0      1     16      1    1          146.195      
   5.750000000          0      1     16      1    1          147.432      
   5.800000000          0      1     16      1    1          148.791      
   5.850000000          0      1     16      1    1          150.315      
   5.900000000          0      1     16      1    1          152.061      
   5.950000000          0      1     16      1    1          154.126      
   6.000000000          0      1     16      1    1          156.705      
   6.050000000          0      1     16      1    1          160.521      
   6.100000000          0      1     16      1    1          176.809      
   6.150000000          0      1     16      1    1          162.218      
   6.200000000          0      1     16      1    1          166.179      
   6.250000000          0      1     16      1    1          171.240      
   6.300000000          0      1     16      1    1          177.063      
   6.350000000          0      1     16      1    1          183.958      
   6.400000000          0      1     16      1    1          192.229      
   6.450000000          0      1     16      1    1          202.190      
   6.500000000          0      1     16      1    1          214.125      
   6.550000000          0      1     16      1    1          228.169      
   6.600000000          0      1     16      1    1          244.058      
   6.650000000          0      1     17      1    1          260.788      
   6.700000000          0      1     17      1    1          275.823      
   6.750000000          0      1     17      1    1          285.634      
   6.800000000          0      1     17      1    1          286.689      
   6.850000000          0      1     17      1    1          277.862      
   6.900000000          0      1     17      1    1          261.545      
   6.950000000          0      1     17      1    1          242.053      
   7.000000000          0      1     17      1    1          223.156      
   7.050000000          0      1     17      1    1          206.933      
   7.100000000          0      1     17      1    1          194.032      
   7.150000000          0      1     17      1    1          184.335      
   7.200000000          0      1     17      1    1          177.449      
   7.250000000          0      1     17      1    1          172.970      
   7.300000000          0      1     17      1    1          170.562      
   7.350000000          0      1     17      1    1          170.357      
   7.400000000          0      1     17      1    1          171.817      
   7.450000000          0      1     17      1    1          175.444      
