T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 1.109046503756534733e-12 2.443843113329183127e-13 3.150900636148812483e-14 9.932802899330446291e-17 1.478517843807602383e-17 5.503895739778904365e-12 6.675270311772779670e-13 3.662578320857929576e-15 5.188628743658454559e-16 1.565678089782880313e-11 4.841412639851408338e-14 8.181559411419565922e-15 8.108153655261916228e-13 9.068634173412254016e-14 1.080071441534935413e-12
2.000000000000000000e+00 2.230150894138878745e-12 2.149272660407972597e-13 2.686394654211838622e-14 1.561826399520027676e-16 2.100455550320378531e-17 4.901222431935605077e-12 5.939582644593195860e-13 5.887255067414933026e-15 7.478528959763603087e-16 1.474687119941209838e-11 7.913464572588963802e-14 1.198291150747546152e-14 1.430374112004964760e-12 1.357229159574978217e-13 1.688039922224306094e-12
3.000000000000000000e+00 3.626287891885068486e-12 2.062424581657260567e-13 2.545477790102161532e-14 1.798139161771255394e-16 2.339011211687934847e-17 4.661311272479831883e-12 5.767209274180074793e-13 6.873141681071091662e-15 8.381506862520215511e-16 1.476950008261758792e-11 9.316732283572821539e-14 1.358579430583512389e-14 1.739582186351284020e-12 1.557746530623591297e-13 1.985324089377433624e-12
4.000000000000000000e+00 4.948957513470963955e-12 2.023624607240897395e-13 2.490551070845452698e-14 1.928674865265456430e-16 2.470045426136268009e-17 4.518899900097012780e-12 5.722071243963774675e-13 7.435579269283919554e-15 8.879298744601554018e-16 1.485522417337454584e-11 1.012485596483849208e-13 1.450633481283140945e-14 1.910722944217715751e-12 1.673473376974719195e-13 2.159937654178102239e-12
5.000000000000000000e+00 6.079030588316051372e-12 1.999706509680638009e-13 2.462193525486006511e-14 2.014948315144566838e-16 2.558406082152205201e-17 4.430318254078154555e-12 5.700842660930332389e-13 7.803446613242333534e-15 9.209147758948721137e-16 1.487491181888906784e-11 1.064950174259584289e-13 1.512038376956631414e-14 2.013310250909164969e-12 1.749080755993290411e-13 2.272147029539717114e-12
6.000000000000000000e+00 7.002909503033028372e-12 1.982651480025021531e-13 2.439133909301078647e-14 2.080410045118951407e-16 2.626963562325361041e-17 4.380702108180387425e-12 5.670309949339153039e-13 8.068501663338412568e-15 9.456418885901741913e-16 1.480783433060102208e-11 1.101922773755458377e-13 1.557087640761987270e-14 2.078663889494963922e-12 1.802613705779087197e-13 2.348646933607980259e-12
7.000000000000000000e+00 7.743393232626542674e-12 1.970396052773790198e-13 2.412655247073725155e-14 2.135966669546727016e-16 2.686110649812342646e-17 4.361855725791427782e-12 5.619204204384771062e-13 8.275796345091917247e-15 9.660619881045853650e-16 1.465718843704329652e-11 1.129871986936895886e-13 1.592768193821144619e-14 2.122510882805020705e-12 1.843153275170337813e-13 2.403426317253409829e-12
8.000000000000000000e+00 8.332756235069940843e-12 1.962291327268005415e-13 2.379759667159502844e-14 2.187314300854829845e-16 2.741311658372853147e-17 4.367980698953472873e-12 5.545792069202133897e-13 8.450014921920014988e-15 9.842793403798233245e-16 1.443511934360557804e-11 1.152409334315095648e-13 1.622960007469729600e-14 2.153413044809544603e-12 1.875802552092209877e-13 2.444491837124211270e-12
9.000000000000000000e+00 8.802143512667734196e-12 1.957941290689906944e-13 2.340250211159869837e-14 2.237664002625585401e-16 2.795715880526251280e-17 4.394392121465941347e-12 5.452699112667352080e-13 8.605623127099187887e-15 1.001512820427399181e-15 1.415701134174562086e-11 1.171681478006786789e-13 1.649978130218480454e-14 2.176317804597480045e-12 1.903618239302560712e-13 2.476685936390392642e-12
1.000000000000000000e+01 9.177996246657654885e-12 1.956907068711957278e-13 2.295170421464373407e-14 2.288928157891279779e-16 2.851261022899041268e-17 4.436997497314819005e-12 5.344168854611011473e-13 8.751491373278514097e-15 1.018508623552791389e-15 1.383818791187871267e-11 1.189018885162893601e-13 1.675268793907383632e-14 2.194214281238404169e-12 1.928510252897228794e-13 2.503054176899681981e-12
1.100000000000000000e+01 9.481464669762691960e-12 1.958660052764809632e-13 2.245971722172339301e-14 2.342294996038854310e-16 2.909203266703348130e-17 4.492086089366470711e-12 5.224642700897918877e-13 8.893237400852185729e-15 1.035742039468022746e-15 1.349221565785721532e-11 1.205270693377944641e-13 1.699764736963746092e-14 2.208969996917549845e-12 1.951708327323659861e-13 2.525569425078160674e-12
