R,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36
2.5,-212571.5238460675,-965952.8569022953,-1350859.0021883782,-1267332.1055513495,-884975.6886538888,-458955.99976623006,-131984.95832773327,69875.7092394356,156992.59995029654,154942.09467532017,118532.62096959593,110964.80789240026,157084.88168939843,238577.6371780468,318452.85882871837,368613.14914111985,380454.24321215565,472164.19479958573,287897.3114675034
2.6,-127392.4466511039,-581484.7988660481,-819482.743964774,-775344.9270108347,-546347.666742912,-286072.05286767153,-84575.28512436866,40071.98029170324,94129.19504290541,94079.12197976965,73070.81878730605,69178.07186730694,98116.12949115812,149075.7651134727,199363.74661559748,230176.78184219357,236245.4696551952,290522.00444964983,176681.36550304297
2.7,-75283.82979129246,-345673.5369696608,-492015.3092753842,-470376.50185970636,-334951.4642806328,-177301.9694085554,-53974.75777744043,22523.4316341985,55887.03595448364,56654.006786478676,44730.474066824114,42893.18489533539,60983.06313591829,92727.6811662257,124221.5008389879,143050.87797112425,145925.95840483584,177711.77812932158,107750.54844587583
2.8,-43718.31440720895,-202335.56947970256,-291772.1527344374,-282584.5682709828,-203730.42526563213,-109192.0155986762,-34289.25501824771,12341.384536644693,32811.78490173588,33800.09318184147,27166.98352244494,26435.674067224918,37700.9171453317,57394.64532513898,77004.95383907513,88445.88781756742,89621.29682849553,108014.19661564987,65264.28202895959
2.9,-24821.1280660288,-116131.43714906127,-170425.7707880928,-167816.58419705878,-122794.46698312703,-66765.77846372743,-21672.157117917963,6538.147846792446,19016.034966737927,19952.236013583562,16353.470264434647,16183.712773524032,23171.62721543363,35335.16577601183,47469.29891104451,54377.57155334131,54698.87787891739,65196.207150908194,39235.655549397365
3.0,-13669.984304660153,-64950.92099357704,-97668.5972179173,-98283.6315198621,-73232.31318712275,-40492.25127495712,-13618.690539341458,3303.6525575248065,10854.49727651955,11634.68757826808,9744.664902525166,9833.376498809084,14150.904244095367,21627.516851284352,29084.128079501752,33226.680094895346,33157.896192820335,39053.41569688823,23395.017913464897
3.1,-7207.8414392739305,-35044.100014094016,-54598.11477926355,-56581.50953720761,-43130.809815166605,-24328.23326992876,-8501.853898831096,1552.2951936872334,6084.461025363892,6688.474352842879,5739.119479853657,5924.463462633559,8581.515090110175,13153.191036663122,17700.966442457455,20165.86358688392,19950.764795323164,23199.207540058753,13824.577351403696
3.2,-3550.114755359943,-17919.077061911335,-29498.03756074488,-31869.618001205872,-25021.315497009644,-14457.490425994385,-5267.68311780184,640.6448765786373,3335.941050066301,3780.6626801173516,3334.324187097065,3535.2330748243676,5164.002749866828,7943.411448613584,10694.266708540625,12148.104734067017,11906.490139605387,13655.414804378466,8088.554682127192
3.3,-1545.0121932000388,-8373.041625169504,-15157.554951358938,-17437.197748610924,-14246.600534799387,-8480.851326972106,-3235.479519010456,192.69843490534683,1778.7750057658336,2093.879908741941,1906.2446241488447,2086.415605860878,3081.0260661756315,4760.131117940105,6409.055511871178,7257.955413313867,7042.163566837512,7956.92877973384,4680.9623596053425
3.4,-495.76677133560094,-3248.044690741373,-7174.834462893755,-9159.009901216084,-7919.950263091392,-4897.473575877543,-1967.0862444546756,-7.516105346419775,914.4982818516403,1130.7198338851877,1068.891208973166,1215.745131780784,1820.8587125318072,2828.1317595487326,3806.7502393375403,4296.640817181938,4124.056408856387,4584.892143620626,2676.354318391724
3.5,13.959688975004928,-648.5488445863998,-2888.2588581051477,-4519.443896978007,-4264.175190181755,-2773.6533892792277,-1181.5189099791917,-81.40351901004134,446.9428501623248,591.1039269367348,585.215572939056,697.894266320882,1064.7339160224935,1664.249360345706,2238.7333972249244,2517.5429983300555,2388.797170278768,2609.301838175322,1509.8559755602712
3.6,229.1917742483199,547.940426510778,-706.5259913503415,-1998.6495149909704,-2193.5784199865448,-1532.1063244031714,-699.33808257908,-95.32672423389701,202.2759327613111,295.7883307570969,310.8173633906371,393.5586547111139,615.1861374128378,968.86794780442,1302.0759435161754,1458.1209753388264,1366.9102846277776,1464.6189513740787,839.2454585615203
3.7,291.3845264860573,995.0426619916,308.8576105726429,-688.3626519036567,-1050.7693051401632,-818.4073654135376,-406.4902419388786,-84.20559329078678,79.92957650708037,138.93119844959637,158.54979610887256,217.20162113740764,350.64047846864327,557.2199560339867,747.9338857548073,833.4954784563095,771.596020067471,809.5451003358712,458.90909017893
3.8,280.1626631688513,1065.2134737715965,702.104565087877,-52.85462649481347,-441.796934947816,-416.6917224042121,-230.86714875317492,-65.41994360745007,22.721991459988548,58.87225334244687,76.38416263825678,116.70566744645834,196.7530434561117,316.0558297788677,423.6149833275284,469.3404779866316,428.94575389040756,439.8442905159913,246.45359295796968
3.9,238.80871941542367,964.6306470445566,782.0503027326838,218.85419889975586,-133.45364064291718,-196.694674997674,-127.15570586777561,-46.86832664305186,-1.173502952031139,20.264582784862245,33.64945296914605,60.59487714102627,108.40422359126521,176.42802535252918,236.09634589367383,259.7447482521392,234.37193090418432,234.44899773555184,129.7811091638965
4.0,189.66301226763792,802.8264665780771,718.9882880202236,303.6854353142912,10.290369902590392,-80.65195572899634,-67.0788803498094,-31.545389976145326,-8.998121989464611,3.240023367836894,12.536344577513605,30.0526300722384,58.44094226983014,96.67390841493757,129.1583250740007,140.8771964566485,125.55316249930357,122.35001363642047,66.9204545936077
4.1,143.3093896031005,634.4023652524571,603.0892652551502,299.6833854913954,67.34856828803426,-22.73271155698503,-33.132852111810735,-20.074472209438344,-9.76304594324257,-3.097141076864535,2.892117096960342,13.963652031765585,30.67667204667542,51.82831792829982,69.12701457066963,74.61414182268615,65.73558074363837,62.39533524174249,33.76523471301233
4.2,103.96764897103478,483.6654485216708,479.22319029326076,259.25657828380554,81.3236762839927,3.656552179051991,-14.584768184612761,-12.059954867892404,-7.9466003644819745,-4.533427264897568,-0.9398670119211033,5.854454676824573,15.565203163685176,27.072268580734185,36.0354473672994,38.41837122358755,33.495173501923006,31.05990835427278,16.681996379671812
4.3,72.59529741464932,358.92121559109063,367.41334431863896,208.9674540324917,75.87668138819456,13.650850627919752,-4.927291722986446,-6.773220850746348,-5.608070896568072,-4.00965677448006,-2.019354572229062,2.0191278206632703,7.544893437365645,13.703460618011292,18.17906752188923,19.122528097515822,16.508144706839552,15.104985081676574,8.096759332991914
4.4,48.62410485507216,260.57562287717536,274.6324884094409,161.1464587845409,63.30218706177475,15.651977537929088,-0.26843654084633706,-3.4730955385533973,-3.5705103593844782,-2.926070203947565,-1.936514176306481,0.38089181049670334,3.420685400843652,6.674360680799476,8.785963823582962,9.137743003425847,7.791981669693289,7.215132112174033,3.888562310334887
4.5,30.89618934547473,185.58589556044777,201.44622884172517,120.58833598030765,49.57708487162986,14.170190762974824,1.680660118285685,-1.533693098536972,-2.0645523484980335,-1.8801485430860967,-1.47128691460291,-0.1927043022217198,1.3867598222084592,3.0991924069287515,3.996809592644413,4.159785120009014,3.458851098569397,3.433750292990908,1.8694701471544988
4.6,18.140485996440578,129.7971057285992,145.6360166244057,88.32644642393538,37.283889134367,11.512983514936183,2.237520384476841,-0.4767055951359851,-1.0660765786851312,-1.0734299143076098,-0.9721249388381139,-0.29700817465237556,0.4418722600746223,1.3560612171681838,1.6505042989781857,1.7937616155344116,1.3873730961625999,1.6748806245713186,0.9110913795358767
4.7,9.192586715596596,89.08353250358759,104.0853060664736,63.69677403591976,27.268355334096444,8.774438804232654,2.1393631138911013,0.039125102818866546,-0.4641262960996633,-0.5285414684505596,-0.5686465004858648,-0.22913275282492776,0.04346766273703649,0.5520825657483212,0.5617373734470616,0.7380434306061809,0.4470937152947398,0.8723262160609004,0.4512440776617597
4.8,3.0768321786651858,59.836114042547436,73.69158106997882,45.41937985204306,19.554035559456892,6.40469355579802,1.7827484742859054,0.24396193660938395,-0.13764632348625722,-0.19977200765394568,-0.28754000377397393,-0.12575333112795117,-0.09432821337502627,0.20819587461688757,0.09633619036712208,0.3057935349224086,0.05218152214036918,0.5015961233811198,0.22105407396474164
4.9,-0.9812020548393794,39.1088355534808,51.750368685350416,32.12885506717076,13.82825300067459,4.530440639986351,1.3687075771596013,0.2849988501965912,0.014642397355881083,-0.025595921173662262,-0.1132076965430885,-0.04095837894433888,-0.11692487232184967,0.07575668944375581,-0.07487764426203268,0.1483494190178891,-0.09107812475026526,0.3168794681888274,0.09777880877679707
5.0,-3.5738787960384424,24.600418667393054,36.067014274608496,22.605690844028686,9.686385386063103,3.1300285432187103,0.9893654899964446,0.2511131356520848,0.06690416177069816,0.0492583040293241,-0.01763621080585144,0.010938591393955196,-0.09494155955608874,0.03138042606031421,-0.1164254190152407,0.09796103470965598,-0.12427477728054563,0.2099849888839482,0.027925447876730878
5.1,-5.142050480376633,14.567395680301209,24.939057728457996,15.852747071989642,6.743858186074847,2.1252231233016983,0.6787107833541833,0.19228949170758594,0.06851114464810536,0.06684525023045784,0.02629808284109391,0.03270210856471567,-0.06052700499237446,0.01771363316858148,-0.10661501153587279,0.08019224020595189,-0.11259937012628349,0.13708321229712345,-0.011282920655545387
5.2,-6.006815813832553,7.718342189850015,17.086134188466026,11.09724410250241,4.678694531342414,1.4263458815076915,0.44165903504199105,0.13389197131003688,0.04956490173640128,0.055877592400938224,0.04002045215311894,0.03276416393257923,-0.026915886996935114,0.010795264485092758,-0.080339144161438,0.06636002195750866,-0.0845766873658054,0.08222157165971365,-0.030163835722542755
5.3,-6.39792398993671,3.113007645246408,11.566645621243545,7.761584595756557,3.2398608301701484,0.9521639323644411,0.2701700867149309,0.0865924493440624,0.026636408234436425,0.03418291836111855,0.03849100770032081,0.019957784829096954,0.0013929634088319552,0.0025638393673059266,-0.0517266628198144,0.04855863129893116,-0.05211713619938155,0.040169409239281216,-0.034543667863437044
