T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 3.396450276073482818e-11 2.620624761966642057e-11 1.156689401134965359e-11 1.856713237536578834e-12 1.927284322986381790e-12 9.615065356736710578e-11 3.550950877072208069e-11 2.490714249551466105e-11 5.371568030869962385e-12 1.863595121225126795e-10 5.553727488619321507e-11 2.854474195559589756e-11 2.211410302046819765e-10 7.651546543411212459e-11 2.032600095449203534e-10
2.000000000000000000e+00 3.862161470032606723e-11 2.753497874786920935e-11 1.237337996796689232e-11 2.505360238966137120e-12 2.275976883977547471e-12 1.035576042546140140e-10 3.894041572756234396e-11 2.696287141641105959e-11 6.621498423704207341e-12 1.754614585067186511e-10 5.871665633616353891e-11 3.205603274068053353e-11 2.084963721272456363e-10 7.820319747894640477e-11 2.022218840925397479e-10
3.000000000000000000e+00 4.365594500265686488e-11 2.830257198425780316e-11 1.279033154658186936e-11 2.891823338947083414e-12 2.452838360671750851e-12 1.155782543711814058e-10 4.214895429610205849e-11 2.800779549018603447e-11 7.501942313524541911e-12 1.760316145463216975e-10 6.058911072044546329e-11 3.352285174170715659e-11 2.043740565011971372e-10 7.941724118662079875e-11 2.026834327374622853e-10
4.000000000000000000e+00 4.810333622619021266e-11 2.854034888010242263e-11 1.299065399604401970e-11 3.134169775440017711e-12 2.551275713423401305e-12 1.263645254482000715e-10 4.481178350782489951e-11 2.858206004007859370e-11 8.195797608797116405e-12 1.793175819049555721e-10 6.229968916924840621e-11 3.417638412867292525e-11 2.026288747149605200e-10 8.013376081907153930e-11 2.021329298311394038e-10
5.000000000000000000e+00 5.188368654356292233e-11 2.843500095057455332e-11 1.305248365007924316e-11 3.297723056729142911e-12 2.607705405875817475e-12 1.351479255618907402e-10 4.688265194070623634e-11 2.886929722940989068e-11 8.771490143108961784e-12 1.827317896078444617e-10 6.385991080030813762e-11 3.445851136221010181e-11 2.016748365678618556e-10 8.053701205654494980e-11 2.008452071469326501e-10
6.000000000000000000e+00 5.503276742564666147e-11 2.812391696544479958e-11 1.301764173068086202e-11 3.410967235527072836e-12 2.636503350934914667e-12 1.420665578939123777e-10 4.842656487603923893e-11 2.894447930882902523e-11 9.241540820223814201e-12 1.854897029843532976e-10 6.514419758288253167e-11 3.450869459141717546e-11 2.007914248915891410e-10 8.062289515330863292e-11 1.989501672233762936e-10
7.000000000000000000e+00 5.760746689111867498e-11 2.768886170791256638e-11 1.291203521172806322e-11 3.487845894789424110e-12 2.645230936779112666e-12 1.473775544932297137e-10 4.952238741657747081e-11 2.885420447722890979e-11 9.612690519138734907e-12 1.873881052808740852e-10 6.608767438394120906e-11 3.438911572009997223e-11 1.996573341434146724e-10 8.039366913248872840e-11 1.965495264059313184e-10
8.000000000000000000e+00 5.967050983656072659e-11 2.717821841603874043e-11 1.275416046109702263e-11 3.536816821057591824e-12 2.639141275340026091e-12 1.513311657226743583e-10 5.024527713712111787e-11 2.863631207396594221e-11 9.895859577864403232e-12 1.884389964641914384e-10 6.668915604603030884e-11 3.414358787655890134e-11 1.981701718876423464e-10 7.988830590196562929e-11 1.937647746483495291e-10
9.000000000000000000e+00 6.128690726040816066e-11 2.662232661290291227e-11 1.255839277146106300e-11 3.564011150998947549e-12 2.622300235821495420e-12 1.541548937628848517e-10 5.066403994223335267e-11 2.832337152954921143e-11 1.010459519995537833e-11 1.887389929757858056e-10 6.698412317395636035e-11 3.380845626852995378e-11 1.963394066027481046e-10 7.916456664278822491e-11 1.907211819633862837e-10
1.000000000000000000e+01 6.252075979237358877e-11 2.604146637631801096e-11 1.233618819310218564e-11 3.574264798785452184e-12 2.597884976123756646e-12 1.560508216611225753e-10 5.083971625994828640e-11 2.794275551811002758e-11 1.025254020629852433e-11 1.884120862935149341e-10 6.702250735538294874e-11 3.341354061442746388e-11 1.942225746397345859e-10 7.828182071763153020e-11 1.875297325334280955e-10
1.100000000000000000e+01 6.343225875896971498e-11 2.544980363778135788e-11 1.209662071564172185e-11 3.571476690164064562e-12 2.568334079310789716e-12 1.571943716839823863e-10 5.082470005772912005e-11 2.751661699147957866e-11 1.035196544177002523e-11 1.875823564956760685e-10 6.685562791421799592e-11 3.298221722512336139e-11 1.918907032705383062e-10 7.729217528953474116e-11 1.842792194347938703e-10
1.200000000000000000e+01 6.407564624301398693e-11 2.485743215703379570e-11 1.184675470650883107e-11 3.558778553009957050e-12 2.535479714224289745e-12 1.577344413839743249e-10 5.066266328219279062e-11 2.706228046890204426e-11 1.041322462911527421e-11 1.863616277763173596e-10 6.652990544204638436e-11 3.253201536396481034e-11 1.894116131620700813e-10 7.623754707419158599e-11 1.810356949109813869e-10
1.300000000000000000e+01 6.449826249773157238e-11 2.427154448305554156e-11 1.159198029158531601e-11 3.538657254605258405e-12 2.500671134640157870e-12 1.577949897200745879e-10 5.038914616325971796e-11 2.659290312412307233e-11 1.044472564316220596e-11 1.848450094259578920e-10 6.608456432888265993e-11 3.207555711153857969e-11 1.868431437802305482e-10 7.514979018255528628e-11 1.778453605342744796e-10
1.400000000000000000e+01 6.474043874554558437e-11 2.369718593724280257e-11 1.133632478794066900e-11 3.513062890493560203e-12 2.464882941810267701e-12 1.574776129766189068e-10 5.003252443718970820e-11 2.611821594487704291e-11 1.045313324139265679e-11 1.831104743234016963e-10 6.555139571510303551e-11 3.162156515439394803e-11 1.842314453955508353e-10 7.405207233238692851e-11 1.747384893247170479e-10
1.500000000000000000e+01 6.483592288065573627e-11 2.313778703472988806e-11 1.108273068867725933e-11 3.483506726442057823e-12 2.428804811364846739e-12 1.568645659924493670e-10 4.961510867569210486e-11 2.564522740842543663e-11 1.044364742896314143e-11 1.812203286797994687e-10 6.495545323194329843e-11 3.117578226411014620e-11 1.816116244374783912e-10 7.296057473038890790e-11 1.717332333177436574e-10
1.600000000000000000e+01 6.481258155856016194e-11 2.259556121156053547e-11 1.083329320402490496e-11 3.451147529618280300e-12 2.392913125406397647e-12 1.560218179465504813e-10 4.915421991098830855e-11 2.517883634680013832e-11 1.042028269387379824e-11 1.792234071826532002e-10 6.431608002088154401e-11 3.074174291073627109e-11 1.790093163139405592e-10 7.188610350917794333e-11 1.688388801770096281e-10
1.700000000000000000e+01 6.469320328782416889e-11 2.207181010128473659e-11 1.058945632169211553e-11 3.416865195545792563e-12 2.357526774297044011e-12 1.550018955619644551e-10 4.866316025754266273e-11 2.472233929478627358e-11 1.038611687146946470e-11 1.771573906868233568e-10 6.364797010073378263e-11 3.032138950968097537e-11 1.764424777313432490e-10 7.083546132609005029e-11 1.660584621282523866e-10
1.800000000000000000e+01 6.449629606924387498e-11 2.156716000375931774e-11 1.035217049594802123e-11 3.381321810697582140e-12 2.322849896470543803e-12 1.538463938971357383e-10 4.815204635315342909e-11 2.427783696826450268e-11 1.034349996669404530e-11 1.750509589773790629e-10 6.296213217749027456e-11 2.991554862581968763e-11 1.739230735162820543e-10 6.981254932032843917e-11 1.633907631110540622e-10
1.900000000000000000e+01 6.423682217874307079e-11 2.108174495243091320e-11 1.012201705183897198e-11 3.345011188077668104e-12 2.289004196862537906e-12 1.525881175748832412e-10 4.762850178965368537e-11 2.384655257147954019e-11 1.029422322108498806e-11 1.729256623780445015e-10 6.226670913199838222e-11 2.952428998242714243e-11 1.714585302797572262e-10 6.881922084137486714e-11 1.608318184798157348e-10
2.000000000000000000e+01 6.392684438855379132e-11 2.061534765679801913e-11 9.899304894069327091e-12 3.308298359157165047e-12 2.256053123240847806e-12 1.512528628251052993e-10 4.709821919166086627e-11 2.342907679303103276e-11 1.023965281814321143e-11 1.707974851913448764e-10 6.156764796755838971e-11 2.914719153324500434e-11 1.690529268788492310e-10 6.785592588353180587e-11 1.583760084091307650e-10
2.100000000000000000e+01 6.357607695138127581e-11 2.016750713016190542e-11 9.684144809865068184e-12 3.271450624467396778e-12 2.224019772000900301e-12 1.498608746247481009e-10 4.656540874069882706e-11 2.302555373082488137e-11 1.018083388099436440e-11 1.686781174133476044e-10 6.086923349014462680e-11 2.878353135563457117e-11 1.667079367231143472e-10 6.692218743919932923e-11 1.560168364132091864e-10
