R	0	30	60	90
2.5	403904.557126	36966.635868	2513.028331	601.425649
2.6	374577.623495	33915.138104	1831.354976	374.953682
2.7	452604.267833	30653.711242	1320.995227	221.193488
2.8	676791.834475	26710.576103	941.66686	118.566351
2.9	1178837.447014	22627.34655	661.768114	51.50566
3.0	2329783.354208	18968.343241	456.80862	8.88725
3.1	5619747.695884	15810.984658	307.951607	-17.159181
3.2		13163.97357	200.82851	-32.13868
3.3		10966.968966	124.544054	-39.855002
3.4	4070261.759172	9153.320293	70.890383	-42.892204
3.5	1769012.307121	7655.699094	33.718698	-42.997774
3.6	858024.969526	6412.354486	8.456637	-41.334397
3.7	438841.34097	5370.632773	-8.266755	-38.672008
3.8	235386.709735	4488.25644	-18.9181	-35.517636
3.9	134926.114846	3733.885947	-25.286346	-32.201918
4.0	86193.115579	3085.117579	-28.666093	-28.937025
4.1	64105.867463	2526.689041	-29.987048	-25.84622
4.2	60866.743325	2047.975032	-29.918033	-22.99924
4.3	59183.088242	1642.510461	-28.940161	-20.421401
4.4	61600.164906	1299.554606	-27.401505	-18.116556
4.5	24625.082964	1014.928881	-25.549639	-16.06732
4.6	17490.676036	781.997601	-23.564159	-14.257167
4.7	12264.436664	594.031592	-21.562911	-12.660543
4.8	8405.029744	444.354269	-19.625252	-11.257404
4.9	5519.418323	326.838328	-17.797013	-10.027043
5.0	3452.269885	235.829848	-16.10244	-8.951292
5.1	1954.463817	166.309899	-14.549088	-8.011634
5.2	868.179114	113.96444	-13.135131	-7.190559
5.3	86.852493	75.458281	-11.852231	-6.473038
5.4	-469.269899	46.897862	-10.696074	-5.847343
5.5	-860.675878	26.253173	-9.652751	-5.298015
5.6	-1132.75695	11.696405	-8.716594	-4.815858
5.7	-1319.233046	1.668697	-7.877654	-4.3907
5.8	749.614241	-5.030047	-7.129404	-4.013912
5.9	509.530761	-9.311482	-6.462374	-3.680946
6.0	341.75307	-11.86089	-5.869122	-3.383661
6.2	145.06726	-13.673728	-4.875884	-2.882469
6.4	53.148593	-13.146428	-4.092756	-2.479979
6.6	12.041466	-11.694272	-3.471274	-2.154696
6.8	-4.974909	-10.023522	-2.971927	-1.888069
7.0	-10.923748	-8.445134	-2.568018	-1.670305
7.2	-12.05296	-7.060515	-2.236385	-1.489761
7.4	-11.264809	-5.886826	-1.963581	-1.337458
7.6	-9.839803	-4.909972	-1.737044	-1.211692
7.8	-8.315265	-4.111012	-1.54791	-1.106672
8.0	-6.904381	-3.464535	-1.38921	-1.016339
8.2	-5.688509	-2.944605	-1.255862	-0.941197
8.4	-4.69006	-2.524433	-1.140619	-0.875907
8.6	-3.894381	-2.184058	-1.04277	-0.818628
8.8	-3.270388	-1.904338	-0.959624	-0.770189
9.0	-2.778174	-1.677522	-0.887918	-0.727158
9.5	-1.926046	-1.267232	-0.74742	-0.640445
10.0	-1.409677	-0.998242	-0.648046	-0.574472
10.5	-1.082563	-0.812636	-0.575329	-0.523441
11.0	-0.859838	-0.681563	-0.520036	-0.481302
11.5	-0.706399	-0.589082	-0.476134	-0.447012
12.0	-0.599783	-0.521443	-0.439985	-0.418426
12.5	-0.524914	-0.470789	-0.410446	-0.393446
13.0	-0.46953	-0.430322	-0.384879	-0.372434
13.5	-0.4269	-0.397812	-0.363461	-0.352922
14.0	-0.392888	-0.371228	-0.344487	-0.336691
14.5	-0.365268	-0.349179	-0.32762	-0.32088
15.0	-0.341892	-0.329357	-0.312229	-0.307313
16.0	-0.305045	-0.297981	-0.285943	-0.282489
17.0	-0.27723	-0.27233	-0.263534	-0.26191
18.0	-0.253654	-0.251144	-0.245055	-0.243633
19.0	-0.234803	-0.232638	-0.22951	-0.227727
20.0	-0.218458	-0.216637	-0.21426	-0.213395
21.0	-0.204028	-0.203058	-0.202312	-0.200818
22.0	-0.19107	-0.191133	-0.190343	-0.189795
23.0	-0.180246	-0.180164	-0.179833	-0.179195
24.0	-0.169445	-0.170634	-0.169473	-0.168625
25.0	-0.160619	-0.161602	-0.160746	-0.160026
50.0	-0.053264	-0.054333	-0.054519	-0.054214
100.0	0.000227	-0.000277	-0.000562	0.0
