T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 1.819804043583683476e-12 6.827368273812999438e-14 1.487008812646234277e-14 4.286978826324563217e-17 7.809769232675801419e-19 5.008785811148212913e-12 2.785167293712287641e-13 2.219502593849346777e-15 1.743081838157590240e-16 8.473686842590805741e-12 3.464345930304677962e-14 4.184740798472929459e-15 7.020907565359801501e-13 6.646260566974258623e-14 1.178776238486990252e-12
2.000000000000000000e+00 1.994643543022038144e-12 8.141340195870903544e-14 1.849710088455735495e-14 6.596696907392035757e-17 1.057569111115017804e-18 6.144236158136459787e-12 3.434832433365095279e-13 3.450172301473007026e-15 2.417911308107998903e-16 1.080139508917615912e-11 5.383657054358875839e-14 5.877189759113344402e-15 1.106843938131365200e-12 9.303957002754853949e-14 1.643318485304118852e-12
3.000000000000000000e+00 2.074414798625737748e-12 8.413206215390565019e-14 1.954219849417093617e-14 7.672684298189403032e-17 1.165320247144746271e-18 6.310867055154546160e-12 3.610219853127088303e-13 4.015616955401613146e-15 2.675696029970783646e-16 1.135285752619179676e-11 6.238400762592110419e-14 6.512186060092199438e-15 1.268860016963691470e-12 1.010723841453324301e-13 1.720170554986478028e-12
4.000000000000000000e+00 2.163923728349729345e-12 8.509298207172612361e-14 1.989430586214851512e-14 8.239803959288666154e-17 1.221414117011192272e-18 6.307324491878694298e-12 3.666227544418696478e-13 4.299966469334415356e-15 2.795549529972792013e-16 1.146864839111598843e-11 6.660045222821538573e-14 6.801151809559258831e-15 1.341276442729788313e-12 1.040409999353837097e-13 1.719387731480885890e-12
5.000000000000000000e+00 2.261644162032359038e-12 8.588180910192398924e-14 1.997769110370203549e-14 8.587620776950745744e-17 1.259984749075038603e-18 6.278995620467295108e-12 3.679057403423578872e-13 4.460264379838729639e-15 2.862332763874264925e-16 1.143503387262200418e-11 6.893346961600919014e-14 6.956257460520800072e-15 1.376649359807010756e-12 1.053170724721032717e-13 1.702101141564538578e-12
6.000000000000000000e+00 2.358473567352721084e-12 8.690002488838191480e-14 1.991018385194793791e-14 8.839759957040575692e-17 1.293812001004220240e-18 6.260748792448406937e-12 3.667949954001135942e-13 4.563935869816062603e-15 2.908178689242797359e-16 1.132652886628809497e-11 7.041197368086710123e-14 7.056898343847230707e-15 1.395597668904592602e-12 1.060063614662876786e-13 1.683432489335145677e-12
7.000000000000000000e+00 2.449681981203897859e-12 8.825260871700222753e-14 1.973096448117014403e-14 9.052696344868293484e-17 1.328442767888390465e-18 6.260943217614809132e-12 3.638353178079453527e-13 4.641812595941009999e-15 2.946810849793966688e-16 1.116597787704041954e-11 7.150191439615738349e-14 7.136780926273123494e-15 1.407084214421027722e-12 1.065330627845653801e-13 1.667510092802410167e-12
8.000000000000000000e+00 2.534353344171316965e-12 8.994992924601098559e-14 1.946207617198554712e-14 9.254043878618070195e-17 1.366609700488089731e-18 6.280139441731632270e-12 3.593227789086634260e-13 4.708921227294750404e-15 2.984585692362206150e-16 1.096482835566049598e-11 7.242894268037226169e-14 7.211430972710932670e-15 1.415314179135030183e-12 1.070742536055181981e-13 1.655304358385659895e-12
9.000000000000000000e+00 2.613464072933926975e-12 9.196475642041088190e-14 1.912290628001864437e-14 9.458113454769822410e-17 1.409847756547363507e-18 6.316299068206911624e-12 3.535517546480742680e-13 4.772972908246090247e-15 3.024615907795364193e-16 1.073258284299607063e-11 7.330814015478598207e-14 7.288378681107554160e-15 1.422366767508370073e-12 1.077061150750077362e-13 1.646797355570766879e-12
1.000000000000000000e+01 2.688593115943521928e-12 9.425117536468404674e-14 1.873181648561519770e-14 9.672694499262735902e-17 1.459155456167971733e-18 6.366452223339943296e-12 3.468273290498577686e-13 4.838075180003632702e-15 3.068483062539957834e-16 1.047812748458668853e-11 7.420028983783069582e-14 7.371374443214286036e-15 1.429301113312914185e-12 1.084603295292811725e-13 1.641670748114058536e-12
1.100000000000000000e+01 2.761273488682978136e-12 9.675318296378775584e-14 1.830531636923334916e-14 9.902216577332272128e-17 1.515289636853476346e-18 6.427336309543527089e-12 3.394377994727221477e-13 4.906466724947098227e-15 3.117008690346187050e-16 1.020942227508331869e-11 7.513804234914570432e-14 7.462285452172479591e-15 1.436659229969919645e-12 1.093479996461348983e-13 1.639540377843871093e-12
1.200000000000000000e+01 2.832727535680521306e-12 9.941055163599320294e-14 1.785739590551624653e-14 1.014931153673126980e-16 1.578905589584190270e-18 6.495713196660498823e-12 3.316346845363721631e-13 4.979376975266521211e-15 3.170623761641304541e-16 9.933179117615287515e-12 7.613883863112474560e-14 7.562005298299951151e-15 1.444709958712376113e-12 1.103705037382069397e-13 1.640036780824601475e-12
1.300000000000000000e+01 2.903798049865153699e-12 1.021635417978148080e-13 1.739936380001072663e-14 1.041562367412598748e-16 1.650626657200762703e-18 6.568562033895043895e-12 3.236251851794063898e-13 5.057473867841716610e-15 3.229554552114767525e-16 9.654778049444957638e-12 7.721162925805419574e-14 7.670912539099029514e-15 1.453573688455399003e-12 1.115246652301403750e-13 1.642829965419266145e-12
1.400000000000000000e+01 2.974970675483316806e-12 1.049565010354358658e-13 1.694003203707896374e-14 1.070224682904138874e-16 1.731079571252852242e-18 6.643199105647718704e-12 3.155729795183017716e-13 5.141106994529407573e-15 3.293919821576033077e-16 9.378357538897749269e-12 7.836052361481986960e-14 7.789111186375527938e-15 1.463288909145314395e-12 1.128052962586370998e-13 1.647633631578929294e-12
1.500000000000000000e+01 3.046433803414665937e-12 1.077402549694446294e-13 1.648606061400696395e-14 1.100996770899493873e-16 1.820912337526392597e-18 6.717341274741545297e-12 3.076031314919361040e-13 5.230444184739758617e-15 3.363783186177524116e-16 9.106987191252896774e-12 7.958684418892704203e-14 7.916560790241672326e-15 1.473848955358630726e-12 1.142064725816257107e-13 1.654202124420213613e-12
1.600000000000000000e+01 3.118148875895891284e-12 1.104733700354823268e-13 1.604234158465538847e-14 1.133940461899729022e-16 1.920802933016700318e-18 6.789124817761477778e-12 2.998083954572650834e-13 5.325550265127119295e-15 3.439181989361426309e-16 8.842861284081582093e-12 8.089031630830485587e-14 8.053148452328479747e-15 1.485222819300851617e-12 1.157221740165167133e-13 1.662325267049197250e-12
1.700000000000000000e+01 3.189917754999753178e-12 1.131225070765371893e-13 1.561235990866985307e-14 1.169108789497837822e-16 2.031463064712472075e-18 6.857091828502294083e-12 2.922554737145889160e-13 5.426433334069738434e-15 3.520143443380358333e-16 8.587480888454323872e-12 8.226977163075671739e-14 8.198729283590630512e-15 1.497367144674987730e-12 1.173465992612441629e-13 1.671823033632295282e-12
1.800000000000000000e+01 3.261441075727988914e-12 1.156621299601316935e-13 1.519850538957854018e-14 1.206550698386691170e-16 2.153639242380154419e-18 6.920155763863555790e-12 2.849905840515280169e-13 5.533072250503627918e-15 3.606693679180030629e-16 8.341811206162302361e-12 8.372356952328433390e-14 8.353149228784688581e-15 1.510233194359649220e-12 1.190743105788741451e-13 1.682540747641822020e-12
1.900000000000000000e+01 3.332365466588278455e-12 1.180738130647234595e-13 1.480232980632969458e-14 1.246313803468668621e-16 2.288112367155997514e-18 6.977555772321739418e-12 2.780441319799804348e-13 5.645433003775057736e-15 3.698862744480410864e-16 8.106411005038823370e-12 8.524985058127698407e-14 8.516257798460556544e-15 1.523770886831357747e-12 1.209002887562046825e-13 1.694344979853773325e-12
2.000000000000000000e+01 3.402319672541517640e-12 1.203453415351402025e-13 1.442475270544238872e-14 1.288445991195354564e-16 2.435696456102795932e-18 7.028806975370809646e-12 2.714344968676778122e-13 5.763478383832478585e-15 3.796687230073520926e-16 7.881535895874752557e-12 8.684668830253723882e-14 8.687914905076435400e-15 1.537931093697704572e-12 1.228199408261500309e-13 1.707120125451315247e-12
2.100000000000000000e+01 3.470940709647674209e-12 1.224697430190734796e-13 1.406622294302448195e-14 1.332996324393194226e-16 2.597236785144675565e-18 7.073651520504097198e-12 2.651710320391604548e-13 5.887173563214516604e-15 3.900211469800608559e-16 7.667219080142406567e-12 8.851217810922949791e-14 8.867994192508143011e-15 1.552666894365520231e-12 1.248290833603595920e-13 1.720765574646608710e-12
2.200000000000000000e+01 3.537891641426479470e-12 1.244443412627530003e-13 1.372684380554770901e-14 1.380015524019906546e-16 2.773607531242136091e-18 7.112013305896729048e-12 2.592564063170031881e-13 6.016489165344065059e-15 4.009487851384273484e-16 7.463333585783367501e-12 9.024448751091251377e-14 9.056384243679863240e-15 1.567934202599860538e-12 1.269239136769946980e-13 1.735193378907358199e-12
2.300000000000000000e+01 3.602872656012347631e-12 1.262698845272259310e-13 1.340646897796021680e-14 1.429556191701144174e-16 2.965708877533126006e-18 7.143957864287638039e-12 2.536884119565288523e-13 6.151402783118188107e-15 4.124576543355944050e-16 7.269639720517727126e-12 9.204188210686563027e-14 9.252988479102959425e-15 1.583692016118519604e-12 1.291009756390722314e-13 1.750326322278566872e-12
2.400000000000000000e+01 3.665627009213360904e-12 1.279497751663684389e-13 1.310477558830727088e-14 1.481672871454949021e-16 3.174463486934782499e-18 7.169657934530972907e-12 2.484613491681470643e-13 6.291899544083249385e-15 4.245544810533598512e-16 7.085820935452760223e-12 9.390273662234800238e-14 9.457724227807483592e-15 1.599902443043585814e-12 1.313571236061567078e-13 1.766096320677552983e-12
2.500000000000000000e+01 3.725943188971914583e-12 1.294894090581452694e-13 1.282131943702398590e-14 1.536422009099022840e-16 3.400812236006179379e-18 7.189364647465481275e-12 2.435670792093107669e-13 6.437972092723443260e-15 4.372466015761980528e-16 6.911510712978568724e-12 9.582553677442336484e-14 9.670521258974871089e-15 1.616530600048296485e-12 1.336894863892679580e-13 1.782443085917327820e-12
2.600000000000000000e+01 3.783654416977113107e-12 1.308956226957275281e-13 1.255557649020299623e-14 1.593861843077084482e-16 3.645709121020801626e-18 7.203383909635345690e-12 2.389958204036177531e-13 6.589620219622184474e-15 4.505418365972932378e-16 6.746312562278649642e-12 9.780887562911135517e-14 9.891319950874767832e-15 1.633544440747860720e-12 1.360954321296208884e-13 1.799313003611453236e-12
2.700000000000000000e+01 3.838636370418716942e-12 1.321762396312776470e-13 1.230697384042778406e-14 1.654052244967820359e-16 3.910115292090033715e-18 7.212057400942862691e-12 2.347367460130427209e-13 6.746850278559830602e-15 4.644483442399626777e-16 6.589814754803561091e-12 9.985144675587218439e-14 1.012006921085844369e-14 1.650914550300088122e-12 1.385725345376000937e-13 1.816658184526784328e-12
2.800000000000000000e+01 3.890803799711592770e-12 1.333397050368564768e-13 1.207491262386206571e-14 1.717054518380958681e-16 4.194992228705417030e-18 7.215747547251826129e-12 2.307784300672036735e-13 6.909674476527941634e-15 4.789744549281523803e-16 6.441601064567862416e-12 1.019520356180102214e-13 1.035672422655854462e-14 1.668613928022590195e-12 1.411185406964894774e-13 1.834435657436034951e-12
2.900000000000000000e+01 3.940106543627433567e-12 1.343947962348836912e-13 1.185878481314131878e-14 1.782931159311444091e-16 4.501294131649991175e-18 7.214825841200976793e-12 2.271091769212372688e-13 7.078110086415114047e-15 4.941284916786332725e-16 6.301258486167344266e-12 1.041095100822284349e-13 1.060124411184072678e-14 1.686617770927519299e-12 1.437313405426142962e-13 1.852606678320841190e-12
3.000000000000000000e+01 3.986525302221779349e-12 1.353503973373753082e-13 1.165798535963888549e-14 1.851745578087445805e-16 4.829959663674010244e-18 7.209663933498763040e-12 2.237172621446852746e-13 7.252178610467693240e-15 5.099185798162378795e-16 6.168382675136626110e-12 1.063228105773766814e-13 1.085358950363067060e-14 1.704903265484359810e-12 1.464089381115759624e-13 1.871136136162750089e-12
3.100000000000000000e+01 4.030067417390573028e-12 1.362153270716091969e-13 1.147192081278116098e-14 1.923561781998466855e-16 5.181903218492492247e-18 7.200626983019979768e-12 2.205911059632958671e-13 7.431904909912946667e-15 5.263524505669121446e-16 6.042581678614208212e-12 1.085909402116263919e-13 1.111372016253067075e-14 1.723449391440971713e-12 1.491494246483186361e-13 1.889992039786409681e-12
3.200000000000000000e+01 4.070762826514604384e-12 1.369982101083592754e-13 1.130001527761534785e-14 1.998444017941600296e-16 5.558005930738524979e-18 7.188068824970873200e-12 2.177193955314325893e-13 7.617316309299692248e-15 5.434372432992147191e-16 5.923478388496706591e-12 1.109129550233558700e-13 1.138159262809814623e-14 1.742236739402611527e-12 1.519509536930115765e-13 1.909145073506126539e-12
3.300000000000000000e+01 4.108660291806848487e-12 1.377073835315736799e-13 1.114171436745400444e-14 2.076456375522993612e-16 5.959106656950258124e-18 7.172328585202773215e-12 2.150911685013986656e-13 7.808441681088700647e-15 5.611793112802493697e-16 5.810712045336427154e-12 1.132879544637827158e-13 1.165715797708253505e-14 1.761247342601978802e-12 1.548117182625154457e-13 1.928568211857185656e-12
3.400000000000000000e+01 4.143823962294542425e-12 1.383508313704771461e-13 1.099648765213516580e-14 2.157662352632529332e-16 6.385993159839980479e-18 7.153728431741733990e-12 2.126958674275708507e-13 8.005310515369786258e-15 5.795840356631483332e-16 5.703939041916040094e-12 1.157150721684863150e-13 1.194035972902141083e-14 1.780464522575994325e-12 1.577299302431076201e-13 1.948236385622034368e-12
3.500000000000000000e+01 4.176330293020483452e-12 1.389361412905659143e-13 1.086382998315320372e-14 2.242124387276096657e-16 6.839393716748895346e-18 7.132572210148927562e-12 2.105233722979933751e-13 8.207951980271933001e-15 5.986556520472857851e-16 5.602833214989811729e-12 1.181934670564974732e-13 1.223113193821545312e-14 1.799872748092409886e-12 1.607038020932657717e-13 1.968126192816777135e-12
3.600000000000000000e+01 4.206265323844518487e-12 1.394704785798583680e-13 1.074326198599833089e-14 2.329903361168648857e-16 7.319969350963841627e-18 7.109144757067010347e-12 2.085640167667475370e-13 8.416393979945536601e-15 6.183970933915092428e-16 5.507085767669672529e-12 1.207223147901381677e-13 1.252939750443518514e-14 1.819457506507910693e-12 1.637315309275170198e-13 1.988215649392294574e-12
3.700000000000000000e+01 4.233722305592863343e-12 1.399605734641430455e-13 1.063432994079564767e-14 2.421058082090657207e-16 7.828306854484247443e-18 7.083711726575998888e-12 2.068085923446846621e-13 8.630662218436398111e-15 6.388098523694099421e-16 5.416404929926912132e-12 1.233007996298796122e-13 1.283506672716083785e-14 1.839205186701600915e-12 1.668112850167488804e-13 2.008483975214445577e-12
