T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 1.855286244713549815e-12 6.654177913811803471e-14 1.446074344500752272e-14 3.101271838069938438e-17 5.986588442207616570e-19 4.821689913692990107e-12 2.739900804423238390e-13 1.628357934207310826e-15 1.378817142702698116e-16 8.358539797949851766e-12 2.593922336003910745e-14 3.404272379341827671e-15 5.700612604277240651e-13 5.782706885999117003e-14 1.146797722628375461e-12
2.000000000000000000e+00 2.033126021285035306e-12 8.003353222201141769e-14 1.816197039755374893e-14 6.078603937769421478e-17 9.934700032760121887e-19 5.972700192618110462e-12 3.405531289061823591e-13 3.207070056739926065e-15 2.313237201404310469e-16 1.072708791903582715e-11 5.047333251336663078e-14 5.708311213445286539e-15 1.081273647091835099e-12 9.356675390546561312e-14 1.759069531742293662e-12
3.000000000000000000e+00 2.104173740317154262e-12 8.309949397253318558e-14 1.929386958133154332e-14 7.470421618289605606e-17 1.142197213948837047e-18 6.178467251369237212e-12 3.589938892081828854e-13 3.933046584553297361e-15 2.653992854614476023e-16 1.130092031365652457e-11 6.136754922082614955e-14 6.522402024262961016e-15 1.280687667603025361e-12 1.035590476576592671e-13 1.843518540905808906e-12
4.000000000000000000e+00 2.186916387284389870e-12 8.430167293204837961e-14 1.970545477995837327e-14 8.171166219202521134e-17 1.213772962878836363e-18 6.204527983525716708e-12 3.651292174782494744e-13 4.283163242176562861e-15 2.801636320636173204e-16 1.143012900779032856e-11 6.651193934569458484e-14 6.863452051509954278e-15 1.364197680102249396e-12 1.067526804498740170e-13 1.827507885982250548e-12
5.000000000000000000e+00 2.279909068133433176e-12 8.525546044037326160e-14 1.982902876156033897e-14 8.578985278424741417e-17 1.258916068578149062e-18 6.197044400534984849e-12 3.667520868108330093e-13 4.471615101939332464e-15 2.878190772609156157e-16 1.140513363257468549e-11 6.922633105501068819e-14 7.031907268332102720e-15 1.401958245807414684e-12 1.078443206821061413e-13 1.793930878656392269e-12
6.000000000000000000e+00 2.373395276320009877e-12 8.639007250966005732e-14 1.978964768431911802e-14 8.859285075279770295e-17 1.295728652304742804e-18 6.193722363929251511e-12 3.658714469481205268e-13 4.587528007454083348e-15 2.927164370175022027e-16 1.130250796031287843e-11 7.086051129541324078e-14 7.132923335665009882e-15 1.420307930148591496e-12 1.082693331235836838e-13 1.761501030377607895e-12
7.000000000000000000e+00 2.462173368635004047e-12 8.782774297823248676e-14 1.963086167664681434e-14 9.085529883260491112e-17 1.331739591995169755e-18 6.204918444724826182e-12 3.630754874137672532e-13 4.670432515588629850e-15 2.966277701171205094e-16 1.114616341671576132e-11 7.200637010366884159e-14 7.208765143743731787e-15 1.430208076627889548e-12 1.085400582351855625e-13 1.734482783336801280e-12
8.000000000000000000e+00 2.545027615375430408e-12 8.958927314239277433e-14 1.937730911063480137e-14 9.292838051765307418e-17 1.370513587411287698e-18 6.232457199036676163e-12 3.586840822848721395e-13 4.739133767944781738e-15 3.003452161635414984e-16 1.094813892581230350e-11 7.294327445489788442e-14 7.278073259974221363e-15 1.436606804550849094e-12 1.088552788128171539e-13 1.713374803704560627e-12
9.000000000000000000e+00 2.622744143752848643e-12 9.165389775495792750e-14 1.904996822894159728e-14 9.499083296757506735e-17 1.413967967424959558e-18 6.275102734169541193e-12 3.530055604625724030e-13 4.803101002335698916e-15 3.042460893048567836e-16 1.071828645840889913e-11 7.381084555267276558e-14 7.349562072326871337e-15 1.441864827510106666e-12 1.092933757551119703e-13 1.697673050113343655e-12
1.000000000000000000e+01 2.696778403802832843e-12 9.397984469933569100e-14 1.866821433059168876e-14 9.713847533428320088e-17 1.463289381374665695e-18 6.330407839276181187e-12 3.463536505296620328e-13 4.867304735769076237e-15 3.085176999965955741e-16 1.046570998045960997e-11 7.468166826870182016e-14 7.427423886012063176e-15 1.447142176236359634e-12 1.098827184190614267e-13 1.686667278584805858e-12
