T	0->2	0->4	0->6	0->8	0->10	2->4	2->6	2->8	2->10	4->6	4->8	4->10	6->8	6->10	8->10	
1.000000000000000000e+00 1.694077735659119054e-18 1.018300234884742333e-35 2.963071379187873651e-61 8.223857936061018242e-98 8.425768754480024652e-143 1.991378976223065555e-34 1.277098128967633176e-60 8.806155694000213530e-97 8.105816422351213426e-141 3.934921756264947837e-59 9.516643973749873093e-96 1.435927790932059087e-139 2.471300804738547134e-94 2.047708056255455949e-138 4.781222687177114182e-137
2.000000000000000000e+00 5.814624867192939953e-15 3.047644056233855770e-24 2.899147696279129237e-37 1.313171671341034953e-56 4.869394910487475095e-80 5.895521398951394330e-23 1.240049381464146440e-36 1.405245804339468448e-55 4.227247379047201494e-78 3.831239012072992434e-35 1.507548360253180313e-54 7.427547146460648751e-77 3.904616955603523832e-53 1.053324031049133281e-75 2.437961309819777804e-74
3.000000000000000000e+00 8.764507031141535219e-14 1.952135351497060801e-20 2.746027197187704239e-29 6.792249363009394148e-43 3.782705575223614212e-59 3.740422289185345885e-19 1.179571889219447727e-28 7.244993400706384508e-42 3.017139966942224565e-57 3.591013578781429791e-27 7.729662914630509751e-41 5.250761122358063824e-56 1.980936966691883326e-39 7.390809034141088096e-55 1.686434799992802071e-53
4.000000000000000000e+00 3.432773094577706074e-13 1.546588980856307674e-18 2.622234937488881251e-25 4.803543551761141411e-36 1.047635197146980763e-48 2.928512972012443891e-17 1.133142578733684409e-24 5.099683905827555550e-35 7.750413950489301872e-47 3.392093703927756975e-23 5.418588822738543670e-34 1.336745648443597292e-45 1.372978059157377703e-32 1.868612153977560583e-44 4.205319807207285724e-43
5.000000000000000000e+00 7.828735218020889452e-13 2.133656542260680260e-17 6.343534742565282567e-23 6.152192045041930595e-32 1.946429755960201122e-42 3.985013124365713699e-16 2.758331624488152501e-22 6.493434576825956569e-31 1.345464444922562476e-40 8.120902871343925038e-21 6.876198026467513853e-30 2.301100863890781633e-39 1.722070910903569319e-28 3.196305067491184904e-38 7.099640244735349229e-37
6.000000000000000000e+00 1.358846818618372050e-12 1.234003740455175259e-16 2.444438115013021692e-21 3.367953142639031292e-29 2.977065694677755724e-38 2.269551696956443341e-15 1.069242583265282435e-20 3.530543525546115336e-28 1.934213019821376138e-36 3.099276490478476184e-19 3.727462779068326001e-27 3.281516344525323013e-35 9.223670128357895172e-26 4.531018609970167259e-34 9.938373496487662988e-33
7.000000000000000000e+00 2.014731021056184214e-12 4.354176582747573649e-16 3.294858292973504088e-20 3.051317263623580031e-27 2.939101370335303740e-35 7.874439324376965882e-15 1.449093759776170308e-19 3.173939939283076886e-26 1.803438714880260422e-33 4.141132528639295282e-18 3.341694341068899485e-25 3.035872283611856264e-32 8.167750329420132402e-24 4.167911519271936002e-31 9.030450825457961231e-30
8.000000000000000000e+00 2.705490804863472705e-12 1.129892648535459437e-15 2.301470803855285334e-19 8.996941826144585290e-26 5.240154360162121823e-33 2.006803548815184269e-14 1.017142321335019899e-18 9.278466042515934368e-25 3.048726960049103956e-31 2.870002628064396564e-17 9.743237362015237236e-24 5.092981106340819827e-30 2.351484829813258246e-22 6.953159129811262366e-29 1.488413955430911834e-27
9.000000000000000000e+00 3.401036114697923086e-12 2.390820135107818394e-15 1.036536401021690523e-18 1.256622879371318844e-24 2.987210241505440485e-31 4.166255314416703501e-14 4.600903618905613356e-18 1.283860018506624811e-23 1.653259277096009259e-29 1.283548908267995062e-16 1.344763910751903466e-22 2.740898846273652476e-28 3.203693522982131521e-21 3.721427191011774575e-27 7.871167345898124155e-26
1.000000000000000000e+01 4.083682051442095487e-12 4.386739289268199863e-15 3.432513580112895560e-18 1.041192715255942121e-23 7.669578523500185319e-30 7.495190209092256513e-14 1.529490762966036963e-17 1.053086584458324294e-22 4.048583335294049038e-28 4.223717572241507511e-16 1.100328654660871082e-21 6.661274006372840396e-27 2.586807102125371987e-20 8.994786226953219820e-26 1.879828546934486421e-24
1.100000000000000000e+01 4.744430867449783660e-12 7.255406806623256319e-15 9.088030478507229875e-18 5.904586199384017032e-23 1.102871421188580225e-28 1.215060445977402134e-13 4.063551606364318458e-17 5.908251646451095285e-22 5.564734817478624013e-27 1.111871795086142164e-15 6.158372244392664085e-21 9.086308242000177028e-26 1.428316641109091234e-19 1.220209497487979263e-24 2.519714628975654240e-23
1.200000000000000000e+01 5.379761878092596435e-12 1.109735492164368267e-14 2.034566462595211817e-17 2.520833483166149037e-22 1.027141750634548227e-27 1.821555987189837584e-13 9.125665372169208518e-17 2.493986295284294001e-21 4.962176366205743256e-26 2.476017822507190021e-15 2.593342259756611052e-20 8.040405974526564032e-25 5.932340879595935113e-19 1.073803529896267758e-23 2.190846705090358875e-22
1.300000000000000000e+01 5.989292255426671057e-12 1.597476479684735604e-14 4.003984904905503893e-17 8.653613137959561776e-22 6.851366122490067409e-27 2.570737064969472423e-13 1.801037942735286887e-16 8.460554190188206744e-21 3.173231721035802343e-25 4.848623487880985946e-15 8.776593907425768393e-20 5.101936085173737951e-24 1.979710706455748647e-18 6.775815058708280203e-23 1.365819013377372839e-21
1.400000000000000000e+01 6.574222313844109075e-12 2.191337195142353913e-14 7.122133097516292749e-17 2.503533637859803885e-21 3.517011419599665216e-26 3.458943223181675912e-13 3.212039506729492847e-16 2.417708032735066033e-20 1.563114466222485329e-24 8.583927434737546276e-15 2.502003407129381902e-19 2.493498741946140988e-23 5.563985129687604435e-18 3.292990816197400536e-22 6.557491438784488498e-21
1.500000000000000000e+01 7.136373561206971957e-12 2.890619042890796364e-14 1.168687922719660581e-16 6.317636709299818552e-21 1.464556555520616668e-25 4.478356014817670648e-13 5.283596582953089885e-16 6.023897199456283398e-20 6.250236691754204433e-24 1.402149610341364437e-14 6.218806818494790172e-19 9.891281487118955866e-23 1.363173911256836103e-17 1.298855469008645673e-21 2.555018452617104759e-20
1.600000000000000000e+01 7.677638050673510482e-12 3.691834428689115785e-14 1.796481340254927216e-16 1.426895281952497280e-20 5.146775171465172528e-25 5.618145017500424332e-13 8.140438590307838037e-16 1.342874814726675812e-19 2.109954330993529357e-23 2.145740843567467291e-14 1.382906054271498210e-18 3.312194227854395420e-22 2.987565063789058969e-17 4.324351787584569073e-21 8.402557525228266973e-20
1.700000000000000000e+01 8.199697015133519089e-12 4.589247216992160817e-14 2.617487860278709044e-16 2.941784593193344064e-20 1.573175246843427284e-24 6.865471958638648350e-13 1.188634121162515717e-15 2.731783319209967791e-19 6.196570572670111910e-23 3.112504329881716460e-14 2.806125858263740737e-18 9.647776198882534311e-22 5.973883454525904628e-17 1.252270700246571206e-20 2.403362053926585812e-19
