R	Gamma	E
2.50	0	-78.708530583715
2.50	5	-78.708900235001
2.50	10	-78.709726830629
2.50	15	-78.710561442089
2.50	20	-78.711223245735
2.50	25	-78.711753060843
2.50	30	-78.712246753818
2.50	35	-78.712757732701
2.50	40	-78.713305925526
2.50	45	-78.713881886402
2.50	50	-78.714461900909
2.50	55	-78.715020244012
2.50	60	-78.715534253353
2.50	65	-78.715986798145
2.50	70	-78.716365894501
2.50	75	-78.716664457593
2.50	80	-78.716878798203
2.50	85	-78.717007572087
2.50	90	-78.717050474902
2.60	0	-78.712038862196
2.60	5	-78.712184680217
2.60	10	-78.712557864261
2.60	15	-78.713028935001
2.60	20	-78.713510297269
2.60	25	-78.713974682112
2.60	30	-78.714431110978
2.60	35	-78.714890591976
2.60	40	-78.715355558126
2.60	45	-78.715818648961
2.60	50	-78.716267480469
2.60	55	-78.716688655142
2.60	60	-78.717069921474
2.60	65	-78.717401753681
2.60	70	-78.717677638323
2.60	75	-78.717893580609
2.60	80	-78.718047680581
2.60	85	-78.718139741582
2.60	90	-78.71817042443
2.70	0	-78.71462728546
2.70	5	-78.714701366342
2.70	10	-78.714902299395
2.70	15	-78.715184609492
2.70	20	-78.715507163633
2.70	25	-78.715848185048
2.70	30	-78.716198537326
2.70	35	-78.71655390133
2.70	40	-78.716909017584
2.70	45	-78.717256596136
2.70	50	-78.717587967024
2.70	55	-78.717894635729
2.70	60	-78.718169555227
2.70	65	-78.718407552423
2.70	70	-78.71860407197
2.70	75	-78.718757080079
2.70	80	-78.718865825243
2.70	85	-78.71893038995
2.70	90	-78.718951708503
2.80	0	-78.716503082811
2.80	5	-78.716544772655
2.80	10	-78.716661372175
2.80	15	-78.716835668448
2.80	20	-78.717047572539
2.80	25	-78.717283581219
2.80	30	-78.717533930554
2.80	35	-78.717791557304
2.80	40	-78.718049115964
2.80	45	-78.718299668781
2.80	50	-78.718536571555
2.80	55	-78.718754152256
2.80	60	-78.718948003076
2.80	65	-78.71911478933
2.80	70	-78.719252112302
2.80	75	-78.719358358956
2.80	80	-78.719433114121
2.80	85	-78.719477221022
2.80	90	-78.719491828161
2.90	0	-78.717837887669
2.90	5	-78.717862093897
2.90	10	-78.717931395138
2.90	15	-78.718038878736
2.90	20	-78.718175538321
2.90	25	-78.718333401274
2.90	30	-78.718505698921
2.90	35	-78.718685648421
2.90	40	-78.718866561947
2.90	45	-78.719042306343
2.90	50	-78.719207677633
2.90	55	-78.719358749831
2.90	60	-78.71949262633
2.90	65	-78.719607227682
2.90	70	-78.719700664528
2.90	75	-78.719772391483
2.90	80	-78.719822485375
2.90	85	-78.719851763083
2.90	90	-78.719861382854
3.00	0	-78.718770901381
3.00	5	-78.718784990688
3.00	10	-78.718825573971
3.00	15	-78.718890638906
3.00	20	-78.718976764945
3.00	25	-78.719079720475
3.00	30	-78.719195215369
3.00	35	-78.719317723883
3.00	40	-78.719441654094
3.00	45	-78.719562311026
3.00	50	-78.719675547406
3.00	55	-78.719778431267
3.00	60	-78.719868796442
3.00	65	-78.719945347367
3.00	70	-78.720007279137
3.00	75	-78.720054224967
3.00	80	-78.720086519039
3.00	85	-78.720105148968
3.00	90	-78.720111199626
3.10	0	-78.719411518157
3.10	5	-78.719419256827
3.10	10	-78.719442408361
3.10	15	-78.719480671222
3.10	20	-78.719533435252
3.10	25	-78.719599000036
3.10	30	-78.719674559241
3.10	35	-78.719756219491
3.10	40	-78.719839607978
3.10	45	-78.719920742959
3.10	50	-78.719996512002
3.10	55	-78.720064818731
3.10	60	-78.720124306059
3.10	65	-78.720174088241
3.10	70	-78.72021368725
3.10	75	-78.720243121599
3.10	80	-78.720262945612
3.10	85	-78.720274126263
3.10	90	-78.720277697133
3.20	0	-78.719843302403
3.20	5	-78.719847334082
3.20	10	-78.719859799443
3.20	15	-78.719881450944
3.20	20	-78.719912841741
3.20	25	-78.719953591772
3.20	30	-78.720001952016
3.20	35	-78.720055063625
3.20	40	-78.720109645253
3.20	45	-78.720162763107
3.20	50	-78.720212188543
3.20	55	-78.7202563945
3.20	60	-78.720294389906
3.20	65	-78.720325594131
3.20	70	-78.720349829128
3.20	75	-78.720367306962
3.20	80	-78.720378665359
3.20	85	-78.72038483805
3.20	90	-78.72038676843
3.30	0	-78.720128508002
3.30	5	-78.720130421919
3.30	10	-78.720136672227
3.30	15	-78.720148332984
3.30	20	-78.720166381037
3.30	25	-78.72019095195
3.30	30	-78.720220933771
3.30	35	-78.720254314012
3.30	40	-78.720288811527
3.30	45	-78.72032239872
3.30	50	-78.720353532962
3.30	55	-78.720381117363
3.30	60	-78.72040446105
3.30	65	-78.7204231797
3.30	70	-78.720437199772
3.30	75	-78.720446826102
3.30	80	-78.720452693701
3.30	85	-78.720455685554
3.30	90	-78.720456557832
3.40	0	-78.720312518119
3.40	5	-78.720313301682
3.40	10	-78.720316135124
3.40	15	-78.720322040166
3.40	20	-78.720331974054
3.40	25	-78.720346130744
3.40	30	-78.720363814463
3.40	35	-78.720383682181
3.40	40	-78.720404290806
3.40	45	-78.720424393876
3.40	50	-78.720443008504
3.40	55	-78.720459399166
3.40	60	-78.720473022117
3.40	65	-78.720483597783
3.40	70	-78.720491097147
3.40	75	-78.720495831525
3.40	80	-78.720498379302
3.40	85	-78.720499476907
3.40	90	-78.720499743796
3.50	0	-78.720427731905
