T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.034617019560051475e-12 1.672272693348473881e-13 2.627844005237337745e-14 1.349668483885457106e-16 1.791168528095940847e-17 8.040738076089286225e-12 6.908533603560472634e-13 3.834341304895068546e-15 4.993848055790822445e-16 1.368258064118657638e-11 5.858765166560443653e-14 7.432694510155532274e-15 7.935295832306820713e-13 8.765916105973680929e-14 1.015172302807694266e-12
2.000000000000000000e+00 3.853703491420756154e-12 1.938221368764197908e-13 3.032887012316166310e-14 2.580178370081237239e-16 3.125826657198849847e-17 9.870511418008869118e-12 8.121249178051310228e-13 7.493520624345863342e-15 8.763991826349025623e-16 1.686258580020309257e-11 1.162505181269839921e-13 1.315713794045097938e-14 1.610385572950768113e-12 1.561176207684835749e-13 1.745174720669836343e-12
3.000000000000000000e+00 3.865572965935353937e-12 2.054804071538568638e-13 3.243091356935595345e-14 3.148311825343845872e-16 3.699039177675604704e-17 1.067262751223412253e-11 8.745886827148304970e-13 9.173638793152860819e-15 1.040278461056690715e-15 1.850934450622068794e-11 1.427148608984817115e-13 1.570535469363342572e-14 1.996586892259736082e-12 1.875278505822105546e-13 2.092046896711737733e-12
4.000000000000000000e+00 3.949550622745673353e-12 2.106572427505562050e-13 3.340784650071790696e-14 3.436434819953111124e-16 3.975752617063473773e-17 1.098229342801455514e-11 9.029148714068633544e-13 1.000156373672638746e-14 1.119934938995827138e-15 1.924080549706681685e-11 1.556094763109346111e-13 1.696482620144669822e-14 2.186501551828765986e-12 2.034360840546407096e-13 2.269718875008927232e-12
5.000000000000000000e+00 4.063555397795045745e-12 2.136926243021989090e-13 3.382911610099151381e-14 3.600981044657948532e-16 4.128415325697117263e-17 1.110240217860679875e-11 9.145243970336920948e-13 1.045340527799928432e-14 1.163846028083158812e-15 1.952271960694590387e-11 1.625290185911400786e-13 1.766367794014025423e-14 2.287187398851720420e-12 2.124095807061409512e-13 2.368742325072522486e-12
6.000000000000000000e+00 4.183326435263722132e-12 2.162282767612506079e-13 3.390924151158261599e-14 3.706948764515361865e-16 4.224813390542984296e-17 1.115262358903885587e-11 9.161593944164854904e-13 1.072644047884436051e-14 1.191260630258213935e-15 1.954690215122081183e-11 1.666096659886694138e-13 1.809667939704500411e-14 2.344088113401358763e-12 2.180026547894888075e-13 2.428195859471397870e-12
7.000000000000000000e+00 4.297679845503096248e-12 2.188998369921007170e-13 3.373899199335429025e-14 3.784225746933130409e-16 4.294906353246338640e-17 1.118179937969795080e-11 9.107230090834357990e-13 1.091069000113205149e-14 1.210761668987649940e-15 1.939968968196261017e-11 1.692741319857478789e-13 1.839732719465077287e-14 2.378223212159405732e-12 2.218563051107914407e-13 2.466566659385810954e-12
8.000000000000000000e+00 4.403420997891352236e-12 2.219416403050874936e-13 3.337437223552254146e-14 3.847752490975328002e-16 4.353184857540194145e-17 1.121024680211648820e-11 8.999467264282223897e-13 1.105074341332643825e-14 1.226536336418870938e-15 1.913054585747531473e-11 1.712228414875139832e-13 1.863159936632799072e-14 2.400111255753990190e-12 2.247947652487502734e-13 2.493302825065535791e-12
9.000000000000000000e+00 4.501154098437400494e-12 2.254100281965283905e-13 3.286122934037949360e-14 3.905496656171126895e-16 4.407140493038706205e-17 1.124579669523537678e-11 8.851712688401764990e-13 1.117011483233331596e-14 1.240768450992756923e-15 1.877435765779425820e-11 1.728227319231503849e-13 1.883428363830632094e-14 2.415348108600729080e-12 2.272588894173308195e-13 2.513528689028169879e-12
1.000000000000000000e+01 4.592823545171322917e-12 2.292742090740353000e-13 3.223959607733821313e-14 3.961923560655948932e-16 4.460843911195850626e-17 1.129040279581952656e-11 8.675206948058376078e-13 1.128178939177979165e-14 1.254654987267608751e-15 1.835806810133588827e-11 1.742748379234140749e-13 1.902461272931568369e-14 2.427049244342865155e-12 2.294956508400268978e-13 2.530150795259175207e-12
