   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          4122.04      
  0.1000000000          0      1      7      1    1          2927.77      
  0.1500000000          0      1      8      1    1          2592.70      
  0.2000000000          0      1      8      1    1          2173.91      
  0.2500000000          0      1      8      1    1          1836.19      
  0.3000000000          0      1      9      1    1          1597.15      
  0.3500000000          0      1      9      1    1          1418.01      
  0.4000000000          0      1      9      1    1          1276.20      
  0.4500000000          0      1     10      1    1          1157.54      
  0.5000000000          0      1     10      1    1          1093.99      
  0.5500000000          0      1     10      1    1          979.270      
  0.6000000000          0      1     10      1    1          908.925      
  0.6500000000          0      1     11      1    1          848.453      
  0.7000000000          0      1     11      1    1          796.060      
  0.7500000000          0      1     11      1    1          750.175      
  0.8000000000          0      1     11      1    1          709.535      
  0.8500000000          0      1     12      1    1          673.186      
  0.9000000000          0      1     12      1    1          640.431      
  0.9500000000          0      1     12      1    1          610.785      
   1.000000000          0      1     12      1    1          583.867      
   1.050000000          0      1     12      1    1          559.364      
   1.100000000          0      1     12      1    1          536.995      
   1.150000000          0      1     13      1    1          516.505      
   1.200000000          0      1     13      1    1          497.668      
   1.250000000          0      1     13      1    1          480.294      
   1.300000000          0      1     13      1    1          464.219      
   1.350000000          0      1     13      1    1          449.311      
   1.400000000          0      1     13      1    1          435.456      
   1.450000000          0      1     14      1    1          422.557      
   1.500000000          0      1     14      1    1          411.472      
   1.550000000          0      1     14      1    1          400.124      
   1.600000000          0      1     14      1    1          389.559      
   1.650000000          0      1     14      1    1          379.685      
   1.700000000          0      1     14      1    1          370.458      
   1.750000000          0      1     15      1    1          361.816      
   1.800000000          0      1     15      1    1          353.776      
   1.850000000          0      1     15      1    1          346.259      
   1.900000000          0      1     15      1    1          339.236      
   1.950000000          0      1     15      1    1          332.684      
   2.000000000          0      1     15      1    1          326.607      
   2.050000000          0      1     15      1    1          320.978      
   2.100000000          0      1     15      1    1          315.805      
   2.150000000          0      1     16      1    1          311.069      
   2.200000000          0      1     16      1    1          306.801      
   2.250000000          0      1     16      1    1          303.005      
   2.300000000          0      1     16      1    1          299.716      
   2.350000000          0      1     16      1    1          296.982      
   2.400000000          0      1     16      1    1          294.844      
   2.450000000          0      1     16      1    1          293.396      
   2.500000000          0      1     16      1    1          292.742      
   2.550000000          0      1     17      1    1          293.030      
   2.600000000          0      1     17      1    1          294.466      
   2.650000000          0      1     17      1    1          297.339      
   2.700000000          0      1     17      1    1          302.075      
   2.750000000          0      1     17      1    1          309.303      
   2.800000000          0      1     17      1    1          320.032      
   2.850000000          0      1     17      1    1          335.915      
   2.900000000          0      1     17      1    1          359.364      
   2.950000000          0      1     17      1    1          381.147      
   3.000000000          0      1     18      1    1          400.436      
   3.050000000          0      1     18      1    1          434.727      
   3.100000000          0      1     18      1    1          456.101      
   3.150000000          0      1     18      1    1          438.638      
   3.200000000          0      1     18      1    1          383.394      
   3.250000000          0      1     18      1    1          321.367      
   3.300000000          0      1     18      1    1          273.494      
   3.350000000          0      1     18      1    1          241.325      
   3.400000000          0      1     18      1    1          218.771      
   3.450000000          0      1     18      1    1          194.741      
   3.500000000          0      1     19      1    1          153.266      
   3.550000000          0      1     19      1    1          170.244      
   3.600000000          0      1     19      1    1          181.862      
   3.650000000          0      1     19      1    1          184.487      
   3.700000000          0      1     19      1    1          184.954      
   3.750000000          0      1     19      1    1          184.865      
   3.800000000          0      1     19      1    1          184.656      
   3.850000000          0      1     19      1    1          184.449      
   3.900000000          0      1     19      1    1          184.283      
   3.950000000          0      1     19      1    1          184.168      
   4.000000000          0      1     19      1    1          184.100      
   4.050000000          0      1     20      1    1          184.063      
   4.100000000          0      1     20      1    1          184.050      
   4.150000000          0      1     20      1    1          184.040      
   4.200000000          0      1     20      1    1          183.997      
   4.250000000          0      1     20      1    1          183.882      
   4.300000000          0      1     20      1    1          183.605      
   4.350000000          0      1     20      1    1          183.007      
   4.400000000          0      1     20      1    1          181.772      
   4.450000000          0      1     20      1    1          179.114      
   4.500000000          0      1     20      1    1          172.829      
   4.550000000          0      1     20      1    1          155.430      
   4.600000000          0      1     20      1    1          157.229      
   4.650000000          0      1     21      1    1          206.268      
   4.700000000          0      1     21      1    1          209.440      
   4.750000000          0      1     21      1    1          209.461      
   4.800000000          0      1     21      1    1          209.935      
   4.850000000          0      1     21      1    1          210.957      
   4.900000000          0      1     21      1    1          212.425      
   4.950000000          0      1     21      1    1          214.257      
   5.000000000          0      1     21      1    1          216.406      
   5.050000000          0      1     21      1    1          218.841      
   5.100000000          0      1     21      1    1          221.551      
   5.150000000          0      1     21      1    1          224.526      
   5.200000000          0      1     21      1    1          227.765      
   5.250000000          0      1     22      1    1          231.272      
   5.300000000          0      1     22      1    1          235.045      
   5.350000000          0      1     22      1    1          239.091      
   5.400000000          0      1     22      1    1          243.410      
   5.450000000          0      1     22      1    1          248.002      
   5.500000000          0      1     22      1    1          252.858      
   5.550000000          0      1     22      1    1          257.965      
   5.600000000          0      1     22      1    1          263.297      
   5.650000000          0      1     22      1    1          268.811      
   5.700000000          0      1     22      1    1          274.452      
   5.750000000          0      1     22      1    1          280.131      
   5.800000000          0      1     22      1    1          285.735      
   5.850000000          0      1     22      1    1          291.109      
   5.900000000          0      1     22      1    1          296.055      
   5.950000000          0      1     23      1    1          300.304      
   6.000000000          0      1     23      1    1          303.474      
   6.050000000          0      1     23      1    1          304.951      
   6.100000000          0      1     23      1    1          303.425      
   6.150000000          0      1     23      1    1          295.048      
   6.200000000          0      1     23      1    1          281.002      
   6.250000000          0      1     23      1    1          346.911      
   6.300000000          0      1     23      1    1          336.584      
   6.350000000          0      1     23      1    1          328.606      
   6.400000000          0      1     23      1    1          322.135      
   6.450000000          0      1     23      1    1          316.007      
   6.500000000          0      1     23      1    1          309.877      
   6.550000000          0      1     23      1    1          303.698      
   6.600000000          0      1     23      1    1          297.523      
   6.650000000          0      1     23      1    1          291.445      
   6.700000000          0      1     24      1    1          285.553      
   6.750000000          0      1     24      1    1          279.921      
   6.800000000          0      1     24      1    1          274.610      
   6.850000000          0      1     24      1    1          269.660      
   6.900000000          0      1     24      1    1          265.095      
   6.950000000          0      1     24      1    1          260.924      
   7.000000000          0      1     24      1    1          257.148      
   7.050000000          0      1     24      1    1          253.758      
   7.100000000          0      1     24      1    1          250.741      
   7.150000000          0      1     24      1    1          248.081      
   7.200000000          0      1     24      1    1          245.756      
   7.250000000          0      1     24      1    1          243.749      
   7.300000000          0      1     24      1    1          242.037      
   7.350000000          0      1     24      1    1          240.600      
   7.400000000          0      1     24      1    1          239.420      
   7.450000000          0      1     24      1    1          238.476      
   7.500000000          0      1     25      1    1          237.754      
   7.550000000          0      1     25      1    1          237.231      
   7.600000000          0      1     25      1    1          236.894      
   7.650000000          0      1     25      1    1          236.726      
   7.700000000          0      1     25      1    1          236.712      
   7.750000000          0      1     25      1    1          236.836      
   7.800000000          0      1     25      1    1          237.082      
   7.850000000          0      1     25      1    1          237.430      
   7.900000000          0      1     25      1    1          237.859      
   7.950000000          0      1     25      1    1          238.342      
   8.000000000          0      1     25      1    1          238.838      
   8.050000000          0      1     25      1    1          239.284      
   8.100000000          0      1     25      1    1          239.564      
   8.150000000          0      1     25      1    1          239.440      
   8.200000000          0      1     25      1    1          238.304      
   8.250000000          0      1     25      1    1          234.041      
   8.300000000          0      1     25      1    1          217.210      
   8.350000000          0      1     25      1    1          278.530      
   8.400000000          0      1     26      1    1          265.707      
   8.450000000          0      1     26      1    1          262.844      
   8.500000000          0      1     26      1    1          262.522      
   8.550000000          0      1     26      1    1          263.184      
   8.600000000          0      1     26      1    1          264.342      
   8.650000000          0      1     26      1    1          265.799      
   8.700000000          0      1     26      1    1          267.453      
   8.750000000          0      1     26      1    1          269.250      
   8.800000000          0      1     26      1    1          271.153      
   8.850000000          0      1     26      1    1          273.138      
   8.900000000          0      1     26      1    1          275.184      
   8.950000000          0      1     26      1    1          277.277      
   9.000000000          0      1     26      1    1          279.401      
   9.050000000          0      1     26      1    1          281.545      
   9.100000000          0      1     26      1    1          283.695      
   9.150000000          0      1     26      1    1          285.839      
   9.200000000          0      1     26      1    1          287.965      
   9.250000000          0      1     26      1    1          290.062      
   9.300000000          0      1     26      1    1          292.118      
   9.350000000          0      1     26      1    1          294.121      
   9.400000000          0      1     26      1    1          296.060      
   9.450000000          0      1     26      1    1          297.924      
   9.500000000          0      1     27      1    1          299.710      
   9.550000000          0      1     27      1    1          301.394      
   9.600000000          0      1     27      1    1          302.975      
   9.650000000          0      1     27      1    1          304.444      
   9.700000000          0      1     27      1    1          305.794      
   9.750000000          0      1     27      1    1          307.019      
   9.800000000          0      1     27      1    1          308.114      
   9.850000000          0      1     27      1    1          309.076      
   9.900000000          0      1     27      1    1          309.903      
   9.950000000          0      1     27      1    1          310.593      
   10.00000000          0      1     27      1    1          311.147      
   10.05000000          0      1     27      1    1          311.566      
   10.10000000          0      1     27      1    1          311.853      
   10.15000000          0      1     27      1    1          312.010      
   10.20000000          0      1     27      1    1          312.043      
   10.25000000          0      1     27      1    1          311.954      
   10.30000000          0      1     27      1    1          311.751      
   10.35000000          0      1     27      1    1          311.437      
   10.40000000          0      1     27      1    1          311.017      
   10.45000000          0      1     27      1    1          310.492      
   10.50000000          0      1     27      1    1          309.864      
   10.55000000          0      1     27      1    1          309.123      
   10.60000000          0      1     27      1    1          308.252      
   10.65000000          0      1     27      1    1          307.202      
   10.70000000          0      1     27      1    1          305.850      
   10.75000000          0      1     27      1    1          303.816      
   10.80000000          0      1     27      1    1          299.285      
   10.85000000          0      1     27      1    1          328.233      
   10.90000000          0      1     27      1    1          312.351      
   10.95000000          0      1     27      1    1          308.312      
   10.95000000          0      1     27      2    1         0.521613      
   10.95000000          0      1     27      1    2          38.8548      
   10.95000000          0      1     27      2    2          943.130      
   11.00000000          0      1     27      1    1          306.176      
   11.00000000          0      1     27      2    1         0.542472      
   11.00000000          0      1     27      1    2          15.0307      
   11.00000000          0      1     27      2    2          2821.58      
   11.05000000          0      1     27      1    1          304.749      
   11.05000000          0      1     27      2    1         0.665736      
   11.05000000          0      1     27      1    2          11.3700      
   11.05000000          0      1     27      2    2          2559.72      
   11.10000000          0      1     27      1    1          303.634      
   11.10000000          0      1     27      2    1         0.737426      
   11.10000000          0      1     27      1    2          9.12534      
   11.10000000          0      1     27      2    2          2313.82      
   11.15000000          0      1     27      1    1          302.699      
