      R       THETA       E_CP
    2.5000   0.0000   -78.692134093376
    2.5000   5.0000   -78.692570701572
    2.5000   10.0000   -78.693527294509
    2.5000   15.0000   -78.694473717330
    2.5000   20.0000   -78.695125000775
    2.5000   25.0000   -78.695588318469
    2.5000   30.0000   -78.695994083322
    2.5000   35.0000   -78.696417254462
    2.5000   40.0000   -78.696907907693
    2.5000   45.0000   -78.697426179274
    2.5000   50.0000   -78.697988429231
    2.5000   55.0000   -78.698540067048
    2.5000   60.0000   -78.699051297217
    2.5000   65.0000   -78.699514277471
    2.5000   70.0000   -78.699900714268
    2.5000   75.0000   -78.700204415438
    2.5000   80.0000   -78.700434307933
    2.5000   85.0000   -78.700554409953
    2.5000   90.0000   -78.700599967378
    2.6000   0.0000   -78.695502056434
    2.6000   5.0000   -78.695656745937
    2.6000   10.0000   -78.696071486353
    2.6000   15.0000   -78.696589561030
    2.6000   20.0000   -78.697080907894
    2.6000   25.0000   -78.697538632058
    2.6000   30.0000   -78.697980359471
    2.6000   35.0000   -78.698413454681
    2.6000   40.0000   -78.698854716806
    2.6000   45.0000   -78.699310665910
    2.6000   50.0000   -78.699766696169
    2.6000   55.0000   -78.700195478436
    2.6000   60.0000   -78.700588528054
    2.6000   65.0000   -78.700931753146
    2.6000   70.0000   -78.701215440718
    2.6000   75.0000   -78.701439827226
    2.6000   80.0000   -78.701607803612
    2.6000   85.0000   -78.701694308392
    2.6000   90.0000   -78.701725505950
    2.7000   0.0000   -78.698036003127
    2.7000   5.0000   -78.698107478968
    2.7000   10.0000   -78.698324967302
    2.7000   15.0000   -78.698628451806
    2.7000   20.0000   -78.698974295643
    2.7000   25.0000   -78.699323223904
    2.7000   30.0000   -78.699670189598
    2.7000   35.0000   -78.700022783535
    2.7000   40.0000   -78.700380083632
    2.7000   45.0000   -78.700741070127
    2.7000   50.0000   -78.701079977966
    2.7000   55.0000   -78.701399974429
    2.7000   60.0000   -78.701688300885
    2.7000   65.0000   -78.701937799239
    2.7000   70.0000   -78.702140854174
    2.7000   75.0000   -78.702312863964
    2.7000   80.0000   -78.702417649667
    2.7000   85.0000   -78.702484376171
    2.7000   90.0000   -78.702505198312
    2.8000   0.0000   -78.699902775595
    2.8000   5.0000   -78.699941666372
    2.8000   10.0000   -78.700067321494
    2.8000   15.0000   -78.700255021661
    2.8000   20.0000   -78.700485204285
    2.8000   25.0000   -78.700728096698
    2.8000   30.0000   -78.700988816194
    2.8000   35.0000   -78.701250832126
    2.8000   40.0000   -78.701516357000
    2.8000   45.0000   -78.701783302081
    2.8000   50.0000   -78.702023995273
    2.8000   55.0000   -78.702259073537
    2.8000   60.0000   -78.702464730653
    2.8000   65.0000   -78.702639763251
    2.8000   70.0000   -78.702786758791
    2.8000   75.0000   -78.702908812501
    2.8000   80.0000   -78.702979401808
    2.8000   85.0000   -78.703024832456
    2.8000   90.0000   -78.703040387345
    2.9000   0.0000   -78.701252391179
    2.9000   5.0000   -78.701276298993
    2.9000   10.0000   -78.701355832127
    2.9000   15.0000   -78.701463018596
    2.9000   20.0000   -78.701611575604
    2.9000   25.0000   -78.701779374788
    2.9000   30.0000   -78.701960405942
    2.9000   35.0000   -78.702149113196
    2.9000   40.0000   -78.702345113153
    2.9000   45.0000   -78.702521649079
    2.9000   50.0000   -78.702701486531
    2.9000   55.0000   -78.702861520968
    2.9000   60.0000   -78.703004230340
    2.9000   65.0000   -78.703126703380
    2.9000   70.0000   -78.703236985892
    2.9000   75.0000   -78.703305512535
    2.9000   80.0000   -78.703358410913
    2.9000   85.0000   -78.703392054105
    2.9000   90.0000   -78.703402793053
    3.0000   0.0000   -78.702204093525
    3.0000   5.0000   -78.702219252825
    3.0000   10.0000   -78.702265475280
    3.0000   15.0000   -78.702335020609
    3.0000   20.0000   -78.702423026248
    3.0000   25.0000   -78.702534768667
    3.0000   30.0000   -78.702658129718
    3.0000   35.0000   -78.702796398967
    3.0000   40.0000   -78.702922254902
    3.0000   45.0000   -78.703051115718
    3.0000   50.0000   -78.703167882491
    3.0000   55.0000   -78.703276358724
    3.0000   60.0000   -78.703370962714
    3.0000   65.0000   -78.703465586630
    3.0000   70.0000   -78.703530710540
    3.0000   75.0000   -78.703576021611
    3.0000   80.0000   -78.703612717272
    3.0000   85.0000   -78.703634744825
    3.0000   90.0000   -78.703642364604
    3.1000   0.0000   -78.702859713373
    3.1000   5.0000   -78.702867893234
    3.1000   10.0000   -78.702895516335
    3.1000   15.0000   -78.702937789138
    3.1000   20.0000   -78.702996393717
    3.1000   25.0000   -78.703068176536
    3.1000   30.0000   -78.703152081401
    3.1000   35.0000   -78.703234934976
    3.1000   40.0000   -78.703324713171
    3.1000   45.0000   -78.703408337130
    3.1000   50.0000   -78.703486956531
    3.1000   55.0000   -78.703554613142
    3.1000   60.0000   -78.703629732761
    3.1000   65.0000   -78.703681531422
    3.1000   70.0000   -78.703723738279
    3.1000   75.0000   -78.703751795951
    3.1000   80.0000   -78.703776190332
    3.1000   85.0000   -78.703791635026
    3.1000   90.0000   -78.703796104865
    3.2000   0.0000   -78.703303542665
    3.2000   5.0000   -78.703312967417
    3.2000   10.0000   -78.703322165466
    3.2000   15.0000   -78.703347867860
    3.2000   20.0000   -78.703385210889
    3.2000   25.0000   -78.703430155238
    3.2000   30.0000   -78.703478977755
    3.2000   35.0000   -78.703537258224
    3.2000   40.0000   -78.703593101742
    3.2000   45.0000   -78.703647631313
    3.2000   50.0000   -78.703693632742
    3.2000   55.0000   -78.703750368081
    3.2000   60.0000   -78.703788518052
    3.2000   65.0000   -78.703820819872
    3.2000   70.0000   -78.703847180048
    3.2000   75.0000   -78.703864672557
    3.2000   80.0000   -78.703880709338
    3.2000   85.0000   -78.703889292523
    3.2000   90.0000   -78.703892172750
    3.3000   0.0000   -78.703593008625
    3.3000   5.0000   -78.703591768279
    3.3000   10.0000   -78.703602616081
    3.3000   15.0000   -78.703619869673
    3.3000   20.0000   -78.703640450421
    3.3000   25.0000   -78.703665643572
    3.3000   30.0000   -78.703699514591
    3.3000   35.0000   -78.703733874127
    3.3000   40.0000   -78.703768905700
    3.3000   45.0000   -78.703802004775
    3.3000   50.0000   -78.703829210429
    3.3000   55.0000   -78.703865649494
    3.3000   60.0000   -78.703888423935
    3.3000   65.0000   -78.703907644483
    3.3000   70.0000   -78.703923054340
    3.3000   75.0000   -78.703934216877
    3.3000   80.0000   -78.703942682124
    3.3000   85.0000   -78.703947843910
    3.3000   90.0000   -78.703946610384
    3.4000   0.0000   -78.703774348376
    3.4000   5.0000   -78.703775468744
    3.4000   10.0000   -78.703781972548
    3.4000   15.0000   -78.703791407381
    3.4000   20.0000   -78.703803409519
    3.4000   25.0000   -78.703820053508
    3.4000   30.0000   -78.703838695942
    3.4000   35.0000   -78.703858923303
    3.4000   40.0000   -78.703879098521
    3.4000   45.0000   -78.703895366459
    3.4000   50.0000   -78.703921115578
    3.4000   55.0000   -78.703935748771
    3.4000   60.0000   -78.703948381917
    3.4000   65.0000   -78.703958931825
    3.4000   70.0000   -78.703966555073
    3.4000   75.0000   -78.703972930544
    3.4000   80.0000   -78.703974465559
    3.4000   85.0000   -78.703977522348
    3.4000   90.0000   -78.703978692471
    3.5000   0.0000   -78.703888823270
    3.5000   5.0000   -78.703889139717
    3.5000   10.0000   -78.703892481385
    3.5000   15.0000   -78.703905184160
    3.5000   20.0000   -78.703904792831
    3.5000   25.0000   -78.703913603273
    3.5000   30.0000   -78.703923726585
    3.5000   35.0000   -78.703934474273
    3.5000   40.0000   -78.703942799660
    3.5000   45.0000   -78.703960109265
    3.5000   50.0000   -78.703968344889
    3.5000   55.0000   -78.703975548254
    3.5000   60.0000   -78.703981633774
    3.5000   65.0000   -78.703985910855
    3.5000   70.0000   -78.703989583398
    3.5000   75.0000   -78.703989566440
    3.5000   80.0000   -78.703992021694
    3.5000   85.0000   -78.703993658001
    3.5000   90.0000   -78.703994185442
    3.6000   0.0000   -78.703959002007
    3.6000   5.0000   -78.703960131354
    3.6000   10.0000   -78.703957452001
