   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          4586.97      
  0.1000000000          0      1      7      1    1          2904.68      
  0.1500000000          0      1      8      1    1          2448.83      
  0.2000000000          0      1      8      1    1          2008.02      
  0.2500000000          0      1      8      1    1          1676.23      
  0.3000000000          0      1      9      1    1          1447.78      
  0.3500000000          0      1      9      1    1          1279.00      
  0.4000000000          0      1      9      1    1          1146.63      
  0.4500000000          0      1     10      1    1          1039.74      
  0.5000000000          0      1     10      1    1          974.568      
  0.5500000000          0      1     10      1    1          877.889      
  0.6000000000          0      1     10      1    1          815.081      
  0.6500000000          0      1     11      1    1          761.447      
  0.7000000000          0      1     11      1    1          715.400      
  0.7500000000          0      1     11      1    1          675.711      
  0.8000000000          0      1     11      1    1          641.581      
  0.8500000000          0      1     12      1    1          612.818      
  0.9000000000          0      1     12      1    1          590.420      
  0.9500000000          0      1     12      1    1          579.307      
   1.000000000          0      1     12      1    1          611.367      
   1.050000000          0      1     12      1    1          885.535      
   1.100000000          0      1     13      1    1          429.251      
   1.150000000          0      1     13      1    1          424.814      
   1.200000000          0      1     13      1    1          415.384      
   1.250000000          0      1     13      1    1          404.144      
   1.300000000          0      1     13      1    1          392.597      
   1.350000000          0      1     13      1    1          381.326      
   1.400000000          0      1     14      1    1          370.571      
   1.450000000          0      1     14      1    1          360.427      
   1.500000000          0      1     14      1    1          351.771      
   1.550000000          0      1     14      1    1          342.778      
   1.600000000          0      1     14      1    1          334.436      
   1.650000000          0      1     14      1    1          326.668      
   1.700000000          0      1     14      1    1          319.451      
   1.750000000          0      1     15      1    1          312.744      
   1.800000000          0      1     15      1    1          306.515      
   1.850000000          0      1     15      1    1          300.723      
   1.900000000          0      1     15      1    1          295.352      
   1.950000000          0      1     15      1    1          290.372      
   2.000000000          0      1     15      1    1          285.757      
   2.050000000          0      1     15      1    1          281.495      
   2.100000000          0      1     15      1    1          277.575      
   2.150000000          0      1     16      1    1          273.990      
   2.200000000          0      1     16      1    1          270.733      
   2.250000000          0      1     16      1    1          267.809      
   2.300000000          0      1     16      1    1          265.229      
   2.350000000          0      1     16      1    1          262.986      
   2.400000000          0      1     16      1    1          261.110      
   2.450000000          0      1     16      1    1          259.612      
   2.500000000          0      1     16      1    1          258.513      
   2.550000000          0      1     17      1    1          257.837      
   2.600000000          0      1     17      1    1          257.607      
   2.650000000          0      1     17      1    1          257.862      
   2.700000000          0      1     17      1    1          258.642      
   2.750000000          0      1     17      1    1          259.996      
   2.800000000          0      1     17      1    1          261.981      
   2.850000000          0      1     17      1    1          264.665      
   2.900000000          0      1     17      1    1          268.143      
   2.950000000          0      1     17      1    1          272.521      
   3.000000000          0      1     18      1    1          277.932      
   3.050000000          0      1     18      1    1          284.528      
   3.100000000          0      1     18      1    1          292.503      
   3.150000000          0      1     18      1    1          302.067      
   3.200000000          0      1     18      1    1          313.433      
   3.250000000          0      1     18      1    1          326.770      
   3.300000000          0      1     18      1    1          342.121      
   3.350000000          0      1     18      1    1          359.183      
   3.400000000          0      1     18      1    1          377.080      
   3.450000000          0      1     18      1    1          393.995      
   3.500000000          0      1     19      1    1          407.043      
   3.550000000          0      1     19      1    1          412.699      
   3.600000000          0      1     19      1    1          408.250      
   3.650000000          0      1     19      1    1          393.456      
   3.700000000          0      1     19      1    1          371.003      
   3.750000000          0      1     19      1    1          345.151      
   3.800000000          0      1     19      1    1          319.714      
   3.850000000          0      1     19      1    1          297.115      
   3.900000000          0      1     19      1    1          279.680      
   3.950000000          0      1     19      1    1          276.769      
   4.000000000          0      1     19      1    1          254.704      
   4.050000000          0      1     20      1    1          243.554      
   4.100000000          0      1     20      1    1          235.791      
   4.150000000          0      1     20      1    1          230.105      
   4.200000000          0      1     20      1    1          225.995      
   4.250000000          0      1     20      1    1          223.199      
   4.300000000          0      1     20      1    1          221.626      
   4.350000000          0      1     20      1    1          221.493      
   4.400000000          0      1     20      1    1          223.851      
   4.450000000          0      1     20      1    1          231.229      
   4.500000000          0      1     20      1    1          192.405      
   4.550000000          0      1     20      1    1          203.380      
   4.600000000          0      1     21      1    1          207.395      
   4.650000000          0      1     21      1    1          209.685      
   4.700000000          0      1     21      1    1          211.490      
   4.750000000          0      1     21      1    1          213.175      
   4.800000000          0      1     21      1    1          214.880      
   4.850000000          0      1     21      1    1          216.666      
   4.900000000          0      1     21      1    1          218.560      
   4.950000000          0      1     21      1    1          220.578      
   5.000000000          0      1     21      1    1          222.729      
   5.050000000          0      1     21      1    1          225.016      
   5.100000000          0      1     21      1    1          227.444      
   5.150000000          0      1     21      1    1          230.015      
   5.200000000          0      1     21      1    1          232.732      
   5.250000000          0      1     22      1    1          235.598      
   5.300000000          0      1     22      1    1          238.613      
   5.350000000          0      1     22      1    1          241.772      
   5.400000000          0      1     22      1    1          245.029      
   5.450000000          0      1     22      1    1          248.065      
   5.500000000          0      1     22      1    1          245.828      
   5.550000000          0      1     22      1    1          228.186      
   5.600000000          0      1     22      1    1          254.478      
   5.650000000          0      1     22      1    1          261.032      
   5.700000000          0      1     22      1    1          266.027      
   5.750000000          0      1     22      1    1          270.740      
   5.800000000          0      1     22      1    1          275.426      
   5.850000000          0      1     22      1    1          280.157      
   5.900000000          0      1     23      1    1          284.950      
   5.950000000          0      1     23      1    1          289.795      
   6.000000000          0      1     23      1    1          294.671      
   6.050000000          0      1     23      1    1          299.547      
   6.100000000          0      1     23      1    1          304.379      
   6.150000000          0      1     23      1    1          309.119      
   6.200000000          0      1     23      1    1          313.711      
   6.250000000          0      1     23      1    1          318.095      
   6.300000000          0      1     23      1    1          322.206      
   6.350000000          0      1     23      1    1          325.980      
   6.400000000          0      1     23      1    1          329.355      
   6.450000000          0      1     23      1    1          332.277      
   6.500000000          0      1     23      1    1          334.696      
   6.550000000          0      1     23      1    1          336.577      
   6.600000000          0      1     23      1    1          337.897      
   6.650000000          0      1     24      1    1          338.646      
   6.700000000          0      1     24      1    1          338.826      
   6.750000000          0      1     24      1    1          338.453      
   6.800000000          0      1     24      1    1          337.549      
   6.850000000          0      1     24      1    1          336.132      
   6.900000000          0      1     24      1    1          334.200      
   6.950000000          0      1     24      1    1          331.672      
   7.000000000          0      1     24      1    1          328.134      
   7.050000000          0      1     24      1    1          320.694      
   7.100000000          0      1     24      1    1          302.727      
   7.150000000          0      1     24      1    1          327.880      
   7.200000000          0      1     24      1    1          323.902      
   7.250000000          0      1     24      1    1          320.586      
   7.300000000          0      1     24      1    1          317.591      
   7.350000000          0      1     24      1    1          314.803      
   7.400000000          0      1     24      1    1          312.188      
   7.450000000          0      1     25      1    1          309.741      
   7.500000000          0      1     25      1    1          307.459      
   7.550000000          0      1     25      1    1          305.348      
   7.600000000          0      1     25      1    1          303.411      
   7.650000000          0      1     25      1    1          301.649      
   7.700000000          0      1     25      1    1          300.064      
   7.750000000          0      1     25      1    1          298.654      
   7.800000000          0      1     25      1    1          297.417      
   7.850000000          0      1     25      1    1          296.349      
   7.900000000          0      1     25      1    1          295.446      
   7.950000000          0      1     25      1    1          294.703      
