T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 4.945169928569290783e-12 1.202802679945707393e-13 1.811434152526397942e-14 1.265193849282697360e-16 1.031822450059265861e-17 7.828022516559916180e-12 5.344291717626451058e-13 4.502764366627831662e-15 4.360726525059255973e-16 1.463354140454488033e-11 7.833251436469439223e-14 8.161245715345202988e-15 1.316612786098005576e-12 1.094885700770622703e-13 1.344538786668729075e-12
2.000000000000000000e+00 5.875195550300230720e-12 1.276980980361171095e-13 1.932524011141499402e-14 1.609943693819408234e-16 1.318881117060142084e-17 8.153769120883761259e-12 5.693626714476617912e-13 5.757055694306626467e-15 5.482770756309616594e-16 1.570735546332025422e-11 1.000986680312315057e-13 1.033221946609606128e-14 1.703217890073411472e-12 1.407086939886158497e-13 1.788592884709053845e-12
3.000000000000000000e+00 6.645234000356557895e-12 1.303561586214813419e-13 1.977479788064102026e-14 1.743490687238051421e-16 1.460745295612752397e-17 8.127624204434241076e-12 5.800754883243758607e-13 6.236543004472311631e-15 5.986288441978506713e-16 1.591787815496579439e-11 1.083847841498118658e-13 1.129439185694831975e-14 1.857567394687322498e-12 1.547523723169359370e-13 1.997247499733000363e-12
4.000000000000000000e+00 7.174270054799830123e-12 1.320101316518985647e-13 1.992222579769578646e-14 1.810234837005739889e-16 1.537959214387579401e-17 8.071825746392077193e-12 5.821412179408709263e-13 6.461135152239663667e-15 6.235480846888002844e-16 1.585749869817458151e-11 1.121518765159590540e-13 1.174961938132484724e-14 1.926330177479440395e-12 1.613365825622911868e-13 2.095029409353106343e-12
5.000000000000000000e+00 7.517241882490159481e-12 1.336517481275141064e-13 1.993050546245709083e-14 1.849967961892862163e-16 1.585444138035564351e-17 8.034143025936660939e-12 5.804013606002927943e-13 6.579791420306435497e-15 6.373862998010917451e-16 1.568665115911039305e-11 1.140154920991541679e-13 1.198181565124363715e-14 1.956940501149263080e-12 1.645899595709431637e-13 2.141540645138859623e-12
6.000000000000000000e+00 7.726058575680201648e-12 1.356242458628830622e-13 1.984286711046710057e-14 1.878862495034192752e-16 1.619326819930676945e-17 8.024644425954880007e-12 5.761190669575958818e-13 6.653712995159927401e-15 6.464736242668411246e-16 1.545210834108990401e-11 1.150601495007025461e-13 1.211629603413962255e-14 1.969992089807520650e-12 1.663497864885821438e-13 2.163980534608120176e-12
7.000000000000000000e+00 7.840017676914819943e-12 1.380302037895759425e-13 1.966928226934446722e-14 1.904219450923228478e-16 1.647275199505369982e-17 8.043131033282681517e-12 5.695822676101186399e-13 6.710539650660782673e-15 6.537142431196822409e-16 1.516798004560714082e-11 1.157767559787825102e-13 1.221040070648571898e-14 1.975042856708128677e-12 1.674598161784863892e-13 2.175022904000912088e-12
8.000000000000000000e+00 7.888653963485909808e-12 1.408751160869920186e-13 1.941828538124313462e-14 1.929558290360945036e-16 1.673122949814592982e-17 8.086284529773469826e-12 5.610244174764676930e-13 6.763514262414010760e-15 6.605062106738177206e-16 1.484297107896633500e-11 1.164001254392583359e-13 1.229160523119854658e-14 1.976758853311426835e-12 1.683256972235067225e-13 2.180852614292904926e-12
9.000000000000000000e+00 7.893839727571664599e-12 1.441193657040693669e-13 1.910255099675895883e-14 1.956655718310210449e-16 1.698880435945555678e-17 8.149855912606718652e-12 5.507886258412834085e-13 6.819225213635777328e-15 6.675491746568689956e-16 1.448636383411551770e-11 1.170463786033975601e-13 1.237354758384527301e-14 1.977498946178467782e-12 1.691495216838179494e-13 2.184609824754244376e-12
1.000000000000000000e+01 7.871432950549431499e-12 1.476987033431511911e-13 1.873704299993611796e-14 1.986436136102438239e-16 1.725646048279135895e-17 8.229376165368938655e-12 5.392793552780245436e-13 6.881000061767635715e-15 6.752020264445577871e-16 1.410785843453101163e-11 1.177733846359800492e-13 1.246311496049750517e-14 1.978473526916147496e-12 1.700337483921141956e-13 2.187929199444944331e-12
1.100000000000000000e+01 7.832683459072832074e-12 1.515350883995363939e-13 1.833658424517725653e-14 2.019387917035417028e-16 1.754041288560897274e-17 8.320446688213832493e-12 5.268963558222900917e-13 6.950494731930199652e-15 6.836503419536443178e-16 1.371652247899084961e-11 1.186091194250219482e-13 1.256375778684750441e-14 1.980295760874812574e-12 1.710298951467697340e-13 2.191666562014706428e-12
1.200000000000000000e+01 7.785390655013323367e-12 1.555447742537453248e-13 1.791438138525643853e-14 2.055769351960716386e-16 1.784428809339461340e-17 8.418921369113371011e-12 5.139944939851608071e-13 7.028480330250405073e-15 6.929887612834513231e-16 1.332011976582585399e-11 1.195657219046667677e-13 1.267711950937618347e-14 1.983257963316164134e-12 1.721625425007833720e-13 2.196260022988091357e-12
1.300000000000000000e+01 7.734814146166454685e-12 1.596449677825188775e-13 1.748143748695005862e-14 2.095715492912547616e-16 1.817026466771712775e-17 8.521045502230343236e-12 5.008679000642171297e-13 7.115251396284377124e-15 7.032632553031426981e-16 1.292488796906689591e-11 1.206467931471455925e-13 1.280387330349063666e-14 1.987476513335863116e-12 1.734416942983962694e-13 2.201917636232191646e-12
1.400000000000000000e+01 7.684369260372122586e-12 1.637589119049343293e-13 1.704650694523630243e-14 2.139295768873933840e-16 1.851969302926237976e-17 8.623551659109342740e-12 4.877489641582072551e-13 7.210846003514727901e-15 7.144935813060975221e-16 1.253559685525238264e-11 1.218513343453603311e-13 1.294416735764440803e-14 1.992970703548806917e-12 1.748693803831224803e-13 2.208718668668473174e-12
