   ENERGY (CM-1)    JTOTL  JSTEP  JTOTU      F    I         SIG(F,I)
  5.0000000000E-02      0      1      6      1    1          4591.27      
  0.1000000000          0      1      7      1    1          2903.50      
  0.1500000000          0      1      8      1    1          2446.64      
  0.2000000000          0      1      8      1    1          2005.89      
  0.2500000000          0      1      8      1    1          1674.30      
  0.3000000000          0      1      9      1    1          1446.05      
  0.3500000000          0      1      9      1    1          1277.43      
  0.4000000000          0      1      9      1    1          1145.22      
  0.4500000000          0      1     10      1    1          1038.46      
  0.5000000000          0      1     10      1    1          970.970      
  0.5500000000          0      1     10      1    1          876.823      
  0.6000000000          0      1     10      1    1          814.110      
  0.6500000000          0      1     11      1    1          760.558      
  0.7000000000          0      1     11      1    1          714.580      
  0.7500000000          0      1     11      1    1          674.950      
  0.8000000000          0      1     11      1    1          640.869      
  0.8500000000          0      1     12      1    1          612.139      
  0.9000000000          0      1     12      1    1          589.745      
  0.9500000000          0      1     12      1    1          578.526      
   1.000000000          0      1     12      1    1          609.528      
   1.050000000          0      1     12      1    1          916.579      
   1.100000000          0      1     13      1    1          428.569      
   1.150000000          0      1     13      1    1          424.222      
   1.200000000          0      1     13      1    1          414.882      
   1.250000000          0      1     13      1    1          403.698      
   1.300000000          0      1     13      1    1          392.193      
   1.350000000          0      1     13      1    1          380.955      
   1.400000000          0      1     14      1    1          370.229      
   1.450000000          0      1     14      1    1          360.109      
   1.500000000          0      1     14      1    1          351.439      
   1.550000000          0      1     14      1    1          342.473      
   1.600000000          0      1     14      1    1          334.154      
   1.650000000          0      1     14      1    1          326.408      
   1.700000000          0      1     14      1    1          319.212      
   1.750000000          0      1     15      1    1          312.524      
   1.800000000          0      1     15      1    1          306.313      
   1.850000000          0      1     15      1    1          300.538      
   1.900000000          0      1     15      1    1          295.183      
   1.950000000          0      1     15      1    1          290.217      
   2.000000000          0      1     15      1    1          285.616      
   2.050000000          0      1     15      1    1          281.371      
   2.100000000          0      1     15      1    1          277.457      
   2.150000000          0      1     16      1    1          273.883      
   2.200000000          0      1     16      1    1          270.637      
   2.250000000          0      1     16      1    1          267.722      
   2.300000000          0      1     16      1    1          265.151      
   2.350000000          0      1     16      1    1          262.917      
   2.400000000          0      1     16      1    1          261.049      
   2.450000000          0      1     16      1    1          259.558      
   2.500000000          0      1     16      1    1          258.467      
   2.550000000          0      1     17      1    1          257.798      
   2.600000000          0      1     17      1    1          257.577      
   2.650000000          0      1     17      1    1          257.840      
   2.700000000          0      1     17      1    1          258.629      
   2.750000000          0      1     17      1    1          259.994      
   2.800000000          0      1     17      1    1          261.993      
   2.850000000          0      1     17      1    1          264.693      
   2.900000000          0      1     17      1    1          268.192      
   2.950000000          0      1     17      1    1          272.595      
   3.000000000          0      1     18      1    1          278.040      
   3.050000000          0      1     18      1    1          284.678      
   3.100000000          0      1     18      1    1          292.709      
   3.150000000          0      1     18      1    1          302.344      
   3.200000000          0      1     18      1    1          313.799      
   3.250000000          0      1     18      1    1          327.243      
   3.300000000          0      1     18      1    1          342.713      
   3.350000000          0      1     18      1    1          359.890      
   3.400000000          0      1     18      1    1          377.857      
   3.450000000          0      1     18      1    1          394.733      
   3.500000000          0      1     19      1    1          407.548      
   3.550000000          0      1     19      1    1          412.730      
   3.600000000          0      1     19      1    1          407.616      
   3.650000000          0      1     19      1    1          392.136      
   3.700000000          0      1     19      1    1          369.163      
   3.750000000          0      1     19      1    1          343.049      
   3.800000000          0      1     19      1    1          317.576      
   3.850000000          0      1     19      1    1          294.990      
   3.900000000          0      1     19      1    1          276.104      
   3.950000000          0      1     19      1    1          260.879      
   4.000000000          0      1     19      1    1          248.846      
   4.050000000          0      1     20      1    1          239.440      
   4.100000000          0      1     20      1    1          232.147      
   4.150000000          0      1     20      1    1          226.513      
   4.200000000          0      1     20      1    1          222.172      
   4.250000000          0      1     20      1    1          218.827      
   4.300000000          0      1     20      1    1          216.174      
   4.350000000          0      1     20      1    1          213.708      
   4.400000000          0      1     20      1    1          206.748      
   4.450000000          0      1     20      1    1          218.092      
   4.500000000          0      1     20      1    1          215.841      
   4.550000000          0      1     20      1    1          215.754      
   4.600000000          0      1     21      1    1          216.639      
   4.650000000          0      1     21      1    1          218.899      
   4.700000000          0      1     21      1    1          226.647      
   4.750000000          0      1     21      1    1          200.596      
   4.800000000          0      1     21      1    1          211.252      
   4.850000000          0      1     21      1    1          214.474      
   4.900000000          0      1     21      1    1          213.741      
   4.950000000          0      1     21      1    1          221.989      
   5.000000000          0      1     21      1    1          223.224      
   5.050000000          0      1     21      1    1          225.258      
   5.100000000          0      1     21      1    1          227.518      
   5.150000000          0      1     21      1    1          229.922      
   5.200000000          0      1     21      1    1          232.443      
   5.250000000          0      1     22      1    1          235.055      
   5.300000000          0      1     22      1    1          237.716      
   5.350000000          0      1     22      1    1          240.343      
   5.400000000          0      1     22      1    1          242.713      
   5.450000000          0      1     22      1    1          244.171      
   5.500000000          0      1     22      1    1          246.594      
   5.550000000          0      1     22      1    1          260.258      
   5.600000000          0      1     22      1    1          263.329      
   5.650000000          0      1     22      1    1          266.581      
   5.700000000          0      1     22      1    1          270.327      
   5.750000000          0      1     22      1    1          274.404      
   5.800000000          0      1     22      1    1          278.725      
   5.850000000          0      1     22      1    1          283.238      
   5.900000000          0      1     23      1    1          287.905      
   5.950000000          0      1     23      1    1          292.473      
   6.000000000          0      1     23      1    1          297.797      
   6.050000000          0      1     23      1    1          302.943      
   6.100000000          0      1     23      1    1          308.725      
   6.150000000          0      1     23      1    1          278.397      
   6.200000000          0      1     23      1    1          312.797      
   6.250000000          0      1     23      1    1          318.670      
   6.300000000          0      1     23      1    1          323.204      
   6.350000000          0      1     23      1    1          327.151      
   6.400000000          0      1     23      1    1          330.599      
   6.450000000          0      1     23      1    1          333.539      
   6.500000000          0      1     23      1    1          335.945      
   6.550000000          0      1     23      1    1          337.791      
   6.600000000          0      1     23      1    1          339.061      
   6.650000000          0      1     24      1    1          339.755      
   6.700000000          0      1     24      1    1          339.882      
   6.750000000          0      1     24      1    1          339.469      
   6.800000000          0      1     24      1    1          338.553      
   6.850000000          0      1     24      1    1          337.182      
   6.900000000          0      1     24      1    1          335.410      
   6.950000000          0      1     24      1    1          333.291      
   7.000000000          0      1     24      1    1          330.881      
   7.050000000          0      1     24      1    1          328.228      
   7.100000000          0      1     24      1    1          325.368      
   7.150000000          0      1     24      1    1          322.318      
   7.200000000          0      1     24      1    1          319.213      
   7.250000000          0      1     24      1    1          322.640      
   7.300000000          0      1     24      1    1          326.554      
   7.350000000          0      1     24      1    1          316.486      
   7.400000000          0      1     24      1    1          312.051      
   7.450000000          0      1     25      1    1          308.223      
   7.500000000          0      1     25      1    1          299.206      
   7.550000000          0      1     25      1    1          307.915      
   7.600000000          0      1     25      1    1          304.246      
   7.650000000          0      1     25      1    1          301.877      
   7.700000000          0      1     25      1    1          299.721      
   7.750000000          0      1     25      1    1          287.943      
   7.800000000          0      1     25      1    1          297.819      
   7.850000000          0      1     25      1    1          296.565      
   7.900000000          0      1     25      1    1          295.555      
   7.950000000          0      1     25      1    1          294.750      
   8.000000000          0      1     25      1    1          294.124      
   8.050000000          0      1     25      1    1          293.662      
   8.100000000          0      1     25      1    1          293.354      
   8.150000000          0      1     25      1    1          293.189      
   8.200000000          0      1     25      1    1          293.162      
   8.250000000          0      1     25      1    1          293.264      
   8.300000000          0      1     26      1    1          293.491      
   8.350000000          0      1     26      1    1          293.833      
   8.400000000          0      1     26      1    1          294.285      
   8.450000000          0      1     26      1    1          294.841      
   8.500000000          0      1     26      1    1          295.497      
   8.550000000          0      1     26      1    1          296.247      
   8.600000000          0      1     26      1    1          297.085      
   8.650000000          0      1     26      1    1          298.008      
   8.700000000          0      1     26      1    1          299.010      
   8.750000000          0      1     26      1    1          300.087      
   8.800000000          0      1     26      1    1          301.234      
   8.850000000          0      1     26      1    1          302.448      
   8.900000000          0      1     26      1    1          303.727      
   8.950000000          0      1     26      1    1          305.068      
   9.000000000          0      1     26      1    1          306.473      
   9.050000000          0      1     26      1    1          307.951      
   9.100000000          0      1     26      1    1          309.522      
   9.150000000          0      1     26      1    1          311.248      
   9.200000000          0      1     26      1    1          313.314      
   9.250000000          0      1     26      1    1          316.491      
   9.300000000          0      1     26      1    1          327.556      
   9.350000000          0      1     27      1    1          315.631      
   9.400000000          0      1     27      1    1          312.514      
   9.450000000          0      1     27      1    1          312.209      
   9.500000000          0      1     27      1    1          307.751      
   9.550000000          0      1     27      1    1          339.900      
   9.600000000          0      1     27      1    1          329.917      
   9.650000000          0      1     27      1    1          328.852      
   9.700000000          0      1     27      1    1          329.087      
   9.750000000          0      1     27      1    1          329.408      
   9.800000000          0      1     27      1    1          295.053      
   9.850000000          0      1     27      1    1          333.517      
   9.900000000          0      1     27      1    1          334.081      
   9.950000000          0      1     27      1    1          334.962      
   10.00000000          0      1     27      1    1          335.893      
   10.05000000          0      1     27      1    1          336.812      
   10.10000000          0      1     27      1    1          337.691      
   10.15000000          0      1     27      1    1          338.519      
   10.20000000          0      1     27      1    1          339.287      
   10.25000000          0      1     27      1    1          339.990      
   10.30000000          0      1     27      1    1          340.624      
   10.35000000          0      1     27      1    1          341.186      
   10.40000000          0      1     27      1    1          341.676      
   10.45000000          0      1     27      1    1          342.092      
   10.50000000          0      1     27      1    1          342.436      
   10.55000000          0      1     27      1    1          342.707      
   10.60000000          0      1     27      1    1          342.907      
   10.65000000          0      1     27      1    1          343.037      
   10.70000000          0      1     27      1    1          343.100      
   10.75000000          0      1     27      1    1          343.097      
   10.80000000          0      1     27      1    1          343.029      
   10.85000000          0      1     28      1    1          342.856      
   10.90000000          0      1     28      1    1          342.855      
   10.95000000          0      1     28      1    1          342.102      
   10.95000000          0      1     28      2    1         0.306018      
