T	2->0	4->0	6->0	8->0	10->0	4->2	6->2	8->2	10->2	6->4	8->4	10->4	8->6	10->6	10->8	
1.000000000000000000e+00 2.701910114677142411e-12 1.639506418544861077e-13 1.846915866785732833e-14 1.350845599333208027e-16 1.717072045726877666e-17 7.218723071864599272e-12 4.183322221507650383e-13 2.906921854110244152e-15 3.147703147036425372e-16 1.071286106564238913e-11 4.501739228119640814e-14 4.441943166353387889e-15 7.609389731261734815e-13 6.365954524629679195e-14 9.051157387176636280e-13
2.000000000000000000e+00 2.823382175251959775e-12 2.000032464917186761e-13 2.309695929038352272e-14 2.016987420929478058e-16 2.479956727884204233e-17 8.852691168928685536e-12 5.234189235506464734e-13 4.436223319958936166e-15 4.573556780060355254e-16 1.366136936316332415e-11 6.990017663378817201e-14 6.506899305921208309e-15 1.217954979986499308e-12 9.382560552824190373e-14 1.345577249873397983e-12
3.000000000000000000e+00 2.870348709530742544e-12 2.165871955382836138e-13 2.547517087934151650e-14 2.356720654733301653e-16 2.871798924744746517e-17 9.373561449589178735e-12 5.720769691689136547e-13 5.214699301722201133e-15 5.296176145360030112e-16 1.478957687544611237e-11 8.250267331446822354e-14 7.542769388523968873e-15 1.447880210921609344e-12 1.085913124227299965e-13 1.539958866655358552e-12
4.000000000000000000e+00 2.954029067467787002e-12 2.247396266675836145e-13 2.671543161784291747e-14 2.550128566127576427e-16 3.083443534536045359e-17 9.554581578368732997e-12 5.963724239392726344e-13 5.643965996015688407e-15 5.679414579799480519e-16 1.526668586224508810e-11 8.931463236164670526e-14 8.084580170990358941e-15 1.568395932793415964e-12 1.161878480298921903e-13 1.632984285230499153e-12
5.000000000000000000e+00 3.059718174806851276e-12 2.292046138821924591e-13 2.736539683465630660e-14 2.673685841347748469e-16 3.212936971160721362e-17 9.610282261599583828e-12 6.084923601530890932e-13 5.906231530607626670e-15 5.908339710190567822e-16 1.544394755666650669e-11 9.336893673867792864e-14 8.401134726013560874e-15 1.636423369705220471e-12 1.205303129092723427e-13 1.681962429333558254e-12
6.000000000000000000e+00 3.170392633106233168e-12 2.321059536926036663e-13 2.765062464829773321e-14 2.762799627771158231e-16 3.304864876389125391e-17 9.621672690896084994e-12 6.131406154112299559e-13 6.086017524998932563e-15 6.066498232613778189e-16 1.544723229714205617e-11 9.606542394947030813e-14 8.613335633409107812e-15 1.678238234983506064e-12 1.233555788020814238e-13 1.710755255871818477e-12
7.000000000000000000e+00 3.277080701533308923e-12 2.344152421166034975e-13 2.767367524866661970e-14 2.834748159314121828e-16 3.380021549395440189e-17 9.622316231435332668e-12 6.123939876819896892e-13 6.224261867098291469e-15 6.192646672262846684e-16 1.533018683426694067e-11 9.807607273674579779e-14 8.777205399554033000e-15 1.706427977044301226e-12 1.254645848010103075e-13 1.730031395625696912e-12
8.000000000000000000e+00 3.376882363890991640e-12 2.365849812354296108e-13 2.749713900899018106e-14 2.898476728387304547e-16 3.448640088384393218e-17 9.626357012746690544e-12 6.075185690654813563e-13 6.341964282480478680e-15 6.305780891090273930e-16 1.512408593444709498e-11 9.974213301754237380e-14 8.920175663481907118e-15 1.727370968589246751e-12 1.272483159238340667e-13 1.744887032648495392e-12
9.000000000000000000e+00 3.470012860958238847e-12 2.388168335869179354e-13 2.716930608537529311e-14 2.958864830705162409e-16 3.516007518954037977e-17 9.639160029488169629e-12 5.995053859540624432e-13 6.450467746558226381e-15 6.415693955500390848e-16 1.485235260427772264e-11 1.012458091831777444e-13 9.056357813130046147e-15 1.744465339924893569e-12 1.289071103280363654e-13 1.757881005435282181e-12
1.000000000000000000e+01 3.557882551182248335e-12 2.411821246400130604e-13 2.673034501061041375e-14 3.018689898457278438e-16 3.584959818830059435e-17 9.661807921387840820e-12 5.891894810596432845e-13 6.556161596621342003e-15 6.527643764023731003e-16 1.453411186158484463e-11 1.026882768763174679e-13 9.193291598903101975e-15 1.759593762589104809e-12 1.305472628469625781e-13 1.770339735749900048e-12
1.100000000000000000e+01 3.642107044153266530e-12 2.436816509697639733e-13 2.621350486178136426e-14 3.079586046226022707e-16 3.657057003536845943e-17 9.693227493201678465e-12 5.772675274572348325e-13 6.662762292303879121e-15 6.644540653575038117e-16 1.418497115911492142e-11 1.041272809169452505e-13 9.335109992076000622e-15 1.773828355297419317e-12 1.322262844507979046e-13 1.782959110273224339e-12
1.200000000000000000e+01 3.724071948483970413e-12 2.462789880689138205e-13 2.564561528159077949e-14 3.142538610570504636e-16 3.733167378038525344e-17 9.731318878901988195e-12 5.643040174991995427e-13 6.772481663199137494e-15 6.768029427455386125e-16 1.381735516051227049e-11 1.055962797484125675e-13 9.484106578480120651e-15 1.787789097699981983e-12 1.339753206787046310e-13 1.796099113229997274e-12
1.300000000000000000e+01 3.804785796293021575e-12 2.489206842976561942e-13 2.504776448998880267e-14 3.208152093922442326e-16 3.813772143198159432e-17 9.773607868226928800e-12 5.507433622487882734e-13 6.886655175529577165e-15 6.899050231448234943e-16 1.344088577938168160e-11 1.071146806532339436e-13 9.641549387444604179e-15 1.801835097242871231e-12 1.358108010821666460e-13 1.809935364851936620e-12
1.400000000000000000e+01 3.884871533939213912e-12 2.515488350867393964e-13 2.443614894720562618e-14 3.276801706953131452e-16 3.899130844905040731e-17 9.817632208141411784e-12 5.369268115244243699e-13 7.006094405216170187e-15 7.038141304092087143e-16 1.306282424997476443e-11 1.086935473027435105e-13 9.808120913556587623e-15 1.816170985043289423e-12 1.377407446276782643e-13 1.824540316399785000e-12
1.500000000000000000e+01 3.964618557472881016e-12 2.541086663865094208e-13 2.382295434800631451e-14 3.348722265376079376e-16 3.989374434715662771e-17 9.861160846300024396e-12 5.231106523909804554e-13 7.131292000761005828e-15 7.185608231052799907e-16 1.268851553813026961e-11 1.103388978861990988e-13 9.984164388869527721e-15 1.830908210449522759e-12 1.397682925001917833e-13 1.839928243010672807e-12
1.600000000000000000e+01 4.044055559686446423e-12 2.565527004573527206e-13 2.321716801725688107e-14 3.424061929258652499e-16 4.084559157762683859e-17 9.902303099335475989e-12 5.094832564032572487e-13 7.262544433177517394e-15 7.341621470665570131e-16 1.232179127415317392e-11 1.120536676240744149e-13 1.016982568422646648e-14 1.846101391081927901e-12 1.418937454665335917e-13 1.856080860835672618e-12
